Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_walk_speed
0,17052.16069644633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0
1,14323.693808031992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.762087218264108E-7,0.0,-1.8304745334414076E-6,-4.7457679662921385E-7,-4.1611151049998556E-7,5.743401263026468E-8,-7.352637402922855E-8,-1.2824170066856532E-7,-6.3478280966032356E-6,-2.223019738939444E-6,-2.107719534875537E-6,-8.311691551290586E-7,-3.6528093098338567E-6,-9.708903312699141E-7,-2.013556116960743E-6,-4.828770752005326E-7,-2.2150273383576506E-6,-8.075852988564492E-7,-7.422299786049416E-7,-2.3098993822728265E-7,-1.3466500525313976E-6,-3.4814044963882656E-7,-6.984235903126056E-7,-1.362912292674373E-7,1.0039053623551558E-6,3.5374955372391403E-7,3.461997230315617E-7,3.890543202137117E-8,6.832868905264748E-7,2.3332852529477237E-7,1.6431844883229726E-7,1.7006386382044468E-8,0.0024484702650520167,-0.013979873864654182,-0.10001601905598775,-0.09999142795417887,1.872900549130459E-8,-5.11431766518213E-7
2,13786.634488775175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.968920020070995E-4,0.0,-1.3404904111639305E-4,-4.15080602478236E-5,-1.2190820107871057E-4,-2.7176938415958444E-5,-6.095559054239798E-5,-1.8688625523809238E-5,-6.328765986786572E-6,-1.7701231304679777E-6,-3.125217378968086E-6,-1.1651916591343824E-6,-3.4571567122798133E-6,3.286811442239067E-7,-3.339174799850868E-6,-6.077870525728615E-7,-1.1626003005696863E-4,-4.7715257698317864E-5,-3.6181589246704806E-5,-1.086254772764054E-5,-6.978296126459989E-5,-1.8689451619216047E-5,-3.627580739927589E-5,-6.592802648274861E-6,4.114602312140693E-5,1.3025010821258074E-5,1.5012325700746714E-5,1.4922403450066892E-6,2.880499014677392E-5,9.857136519458175E-6,5.921503717328279E-6,5.653348358358401E-7,0.013712749538278678,-0.012207371859459356,-0.10073233018130229,-0.09965824287989433,8.675292714201425E-7,-2.0231032762146718E-5
3,13505.136458055655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01054488703754635,0.0,-0.006127983359601541,-0.0018943396629462006,-0.006388316456355859,-0.0015198265773275618,-0.003242503357866289,-9.02454740573425E-4,-4.173278360440399E-5,3.754149169235397E-6,-5.688403218282544E-5,-1.944207383655679E-5,-1.6051179896199912E-5,4.802367447357925E-5,-6.934828030001813E-5,-8.360872742994523E-6,-0.0022026494341190073,-9.582847977747126E-4,-6.441129596630738E-4,-1.8961590475242407E-4,-0.0013580105578965141,-3.6095115734971603E-4,-7.07597132516924E-4,-1.1283353544580466E-4,0.002279735553019802,7.571271318656339E-4,8.131675732946449E-4,1.122149033384861E-4,0.0015375407866586996,5.05265423910605E-4,4.163651260436121E-4,5.3070320082119824E-5,0.01385316602615208,-0.012187321439493196,-0.10967328016226009,-0.07633347875713604,1.1964845307528004E-5,-0.0014235663679174266
4,11125.33255312807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9506374439279885,0.0,-0.5651002190131055,-0.17670265128355717,-0.5652728441649898,-0.13500189017373185,-0.2886399452698264,-0.08275833506722775,-0.0037807105009893182,5.893432620330706E-4,-0.005729137258746224,-0.0019426651587526897,-0.0013583227059547273,0.005064533737761673,-0.0070262672537582905,-8.249260563695922E-4,-0.0965563390009625,-0.042542768279679476,-0.0270273526505736,-0.008074725046939629,-0.06475653293798615,-0.015595428288540615,-0.03432220924434419,-0.004658637622912838,0.05645645593890961,-4.4376810348092303E-4,0.030201404122521387,-0.002313518193174965,0.05275932122974378,0.021039570171693073,-0.010053933809510767,-0.0026685980340247807,0.008399851276765753,-0.01348182867561655,-0.3111656593889028,-0.20628036185428805,8.5845378908388E-4,0.2654761730578325
5,10385.232094719604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9650629329654975,0.0,-0.792782653627667,-0.23180919935460265,-0.2956877699243406,-0.11897712948978335,-0.18239150618172634,-0.07322438330761766,-0.019152271249131367,0.001182117562465153,-0.026111537819835863,-0.00877818165792679,-0.007522261081522287,0.02215548637476705,-0.032126456130455366,-0.0037241106447760118,-0.4828629129387655,-0.31715242721969555,-0.08312291652221523,-0.022282485430091356,-0.3353234341010599,-0.0832693148681942,-0.17820230347455768,-0.017252394025828933,0.14491438568865103,-0.07205262225877856,0.11245273350258814,-0.014351645689102306,0.1634635962505747,0.07239374826549595,-0.0794371618694564,-0.01571826797610188,-0.011908145324152332,-0.016638191517567135,-0.6463569088189365,-0.23583245692608473,0.009994263682172207,0.925390481957006
6,9874.40636805506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9851813147540753,0.0,-0.9000285839333728,-0.26226123764394177,-0.17423812732419963,-0.11156648015028964,-0.13489182698441787,-0.06734213757892027,-0.02737016239963517,0.0014985681275102355,-0.03704566018585314,-0.012476606974184023,-0.010808869915607044,0.03140830687666403,-0.04563776902065842,-0.005283369080435029,-0.6354238248438167,-0.42929067407962507,-0.10253657028796437,-0.027562579189276872,-0.44010295424259155,-0.1094211505512728,-0.23599405099001974,-0.022476467308643385,0.14972516007746528,-0.12936627086922597,0.14295370518271336,-0.023623944507993933,0.19618299617358875,0.09148165929515495,-0.1287214306915493,-0.024681048519119897,-0.01334639750237171,-0.01685021893712513,-0.6512787392632683,-0.1844932237676441,0.015557260226531939,1.3306557778823263
7,9359.239023329732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0061183336486539,0.0,-1.017858174377094,-0.2956656614740659,-0.039999789044078554,-0.10304494953153062,-0.0824589188948856,-0.06073325639206089,-0.036445180709816685,0.0018483601865737285,-0.049118393919233456,-0.01655878876125263,-0.01442870409122088,0.041618993625766834,-0.06055429230391678,-0.00700577690893581,-0.8047951795252852,-0.5537483623312516,-0.1241274727812597,-0.03347028027513983,-0.556809729489643,-0.13843209062445955,-0.3002931812986909,-0.028232365220045373,0.15413083041301615,-0.19310325913547519,0.17610672976148628,-0.03376371335850509,0.23148420681879714,0.11210752455914963,-0.18301819103228412,-0.03459111543081963,-0.0151763084965741,-0.017121738816109497,-0.6619902560406516,-0.1263403357394208,0.021379068213862512,1.7958955480916465
8,9351.892377510054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.560243861311423,0.0,-0.8615132703257864,-0.6205033880736496,0.3419751044177588,0.12478498310915626,-0.027097919191741288,0.3159744059650807,-0.18650404001284349,0.007446609372948717,-0.25131027711485815,-0.08823888686923573,-0.06987520200527565,0.21997293961064757,-0.3151213673895834,-0.03655859688223253,-1.9711109443507495,-1.168676242233381,-0.32972921431784025,-0.16529008347043944,-0.8892347284208496,-0.2504265284552095,-0.6658887234848411,-0.12159221702477757,0.27080993432478107,-1.2180987563429493,0.36949980426176987,-0.024957841401239807,0.4304442683850611,0.15710126052557616,-0.7392534132604629,-0.2064984956672454,0.00513184513611328,-0.013913828785621078,-0.015614185130946923,-0.07851226436218411,0.10118727241870451,1.4205266479579755
9,9308.753416440111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.974993922787578,0.0,-0.19579711150194956,-0.32744266428613256,0.22796642603418918,0.31928780644240967,-0.022766134638785906,0.8324531165907241,-0.41352102415361613,-0.004366110374169112,-0.5354529220065924,-0.1896215051403956,-0.1473569832092098,0.4686917535673097,-0.681271720110429,-0.07943007013607961,-2.4870274983428438,-1.3687591465780917,-0.33292505779323395,-0.3290798132442548,-0.4848888867857053,-0.1647067024566842,-0.7633493104006075,-0.2237885131082129,0.08979419525622309,-2.2543125986254626,0.0868927946500021,-0.07034145038985283,0.3417685172734057,0.05879577591581388,-1.2856133191372592,-0.45611814863137334,-0.00801467342387574,-0.015837882330352812,-0.26187037068841856,-0.08802419608708988,0.17538057730265183,1.522239818415919
