Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad
0,17052.16069644633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0
1,14250.4744492372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.688479962178029E-7,0.0,-1.781693956618513E-6,-4.61929731912716E-7,-4.0502249552927543E-7,5.590344543898537E-8,-7.156695920464833E-8,-1.248241693032966E-7,-6.178663920610729E-6,-2.163778168967819E-6,-2.05155061648102E-6,-8.09019209809488E-7,-3.555465073734196E-6,-9.450169364065194E-7,-1.959896572915654E-6,-4.7000881517696964E-7,-2.1559987590086516E-6,-7.860638430851727E-7,-7.224501860811288E-7,-2.2483425442990827E-7,-1.3107629832818946E-6,-3.3886280516002804E-7,-6.798112004761225E-7,-1.3265918486686999E-7,9.771521452212288E-7,3.4432243143063E-7,3.3697379725282064E-7,3.7868635616463875E-8,6.650778807607181E-7,2.2711052015721075E-7,1.5993950306154508E-7,1.6553180766651672E-8,0.0023832206318662474,-0.013607322212844504,-0.1000155921618808,-0.09999165639185012,1.822989355366547E-8
2,13701.069628648404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9258889935339503E-4,0.0,-1.3136992622672064E-4,-4.067762044658352E-5,-1.1927797114734215E-4,-2.6568193705900292E-5,-5.9627335538306365E-5,-1.830185551197904E-5,-6.1743099872298325E-6,-1.7269109576295254E-6,-3.0532564377824512E-6,-1.1372625925162206E-6,-3.3713759940516135E-6,3.2611269310140713E-7,-3.2641473160017643E-6,-5.923574423213794E-7,-1.1480959805630219E-4,-4.709165228980539E-5,-3.574716084847933E-5,-1.0739646414372242E-5,-6.89008848086221E-5,-1.8451535269580697E-5,-3.582047082000828E-5,-6.519100616662808E-6,4.0250045023075446E-5,1.2737363737529138E-5,1.4687294178384347E-5,1.4529346763539428E-6,2.81891184868713E-5,9.651719545123728E-6,5.774149917122329E-6,5.479990189823745E-7,0.013598985203275902,-0.011845386704242459,-0.1007261534184145,-0.09966699796359922,8.598867221779636E-7
3,13315.071592220265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014770942604479533,0.0,-0.008577521424325038,-0.0026516288179413046,-0.008947693556041207,-0.0021292072504096155,-0.004541957824973749,-0.001263643689835333,-5.791470536182784E-5,5.194745655172166E-6,-7.93015099929885E-5,-2.7019214648463436E-5,-2.2146102125438905E-5,6.710273151298193E-5,-9.679056112435861E-5,-1.1560759153445176E-5,-0.003058178395353271,-0.0013317963134494635,-8.933735393668237E-4,-2.627924552795707E-4,-0.0018862268396171184,-5.013286573167201E-4,-9.827749862938628E-4,-1.5631361825608605E-4,0.003193337951101704,0.00106068533010085,0.001138972308015412,1.573605503550815E-4,0.002153377998477843,7.075449503503867E-4,5.836934960767663E-4,7.446686710287105E-5,0.013789198194833539,-0.011818416240795685,-0.1133197244566434,-0.06681639241624832,1.6494934485257694E-5
4,11607.578990415277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4619371679944746,0.0,-0.8686388030691886,-0.27143587538831215,-0.8708051979132565,-0.20778452310254814,-0.4444487116117883,-0.1272866077809701,-0.005973400517365966,7.97899308217271E-4,-0.008784594090761776,-0.0029738798520174635,-0.0021873303182905414,0.007663977576318865,-0.010762272303187657,-0.0012616097094942339,-0.1483456390857485,-0.06565158058082486,-0.04133312141381954,-0.012290260238392605,-0.09924404254948907,-0.02404639760724394,-0.05254492145698945,-0.007067058313812542,0.08862146592506895,6.589865189573084E-4,0.0465747978681877,-0.003458196319788829,0.08192861444051189,0.032715692382019046,-0.014636376420621365,-0.004071292060027823,0.005830182329804841,-0.013746205589052086,-0.40243466498723895,-0.31510866887761485,0.0012087255346687293
5,10733.097395542318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4879525277743977,0.0,-1.2045904949536848,-0.31836904182473474,-0.6537613679087664,-0.19457851086330577,-0.3580252942798675,-0.11744729381429125,-0.023162834787134046,5.884176146608789E-4,-0.03028711798207249,-0.010194598027981661,-0.009199797893935524,0.025412967032860563,-0.037424951024733186,-0.0043302877307860406,-0.6404044133368703,-0.45224336237218843,-0.09063154633142041,-0.02629652689376422,-0.4326524730681026,-0.11080115178897396,-0.23107736507496843,-0.02230238435799769,0.2896356815770911,-0.030215311925275025,0.16739702291003694,-0.007943398724297957,0.26423904380584856,0.10600797467843343,-0.055229343223197794,-0.013341896396868672,-0.03341327609637338,-0.019908524750326402,-1.075090605013409,-0.5758555054439364,0.012906870708886364
6,10602.509869022499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5279644392444458,0.0,-1.3820212563859418,-0.33628194917844356,-0.5187638123224503,-0.18607014699337002,-0.30224457253858567,-0.08572591343937423,-0.043282079486221856,-1.8300100402462072E-4,-0.052015174764769995,-0.019167290792576022,-0.01702236826920879,0.0451630800862419,-0.06581627874268059,-0.007437594364907464,-0.7974249740812925,-0.5625782535682992,-0.10484261750778098,-0.0329541697772727,-0.47562886145607103,-0.1313092701666573,-0.2704247566324992,-0.03753985702353245,0.3918675958503808,-0.1367030963684819,0.2668374400442898,-0.011841304699967295,0.36308713676149995,0.15128487964405812,-0.13230766127117854,-0.02618325809818449,-0.026387935645753743,-0.018790832430988176,-0.8980027008629625,-0.5463324944947027,0.05130463768252366
7,10440.459185239435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9250235269945204,0.0,-2.046207430987907,-0.34624428935032203,0.38261525533253526,-0.040179322190782324,0.05567231084128316,0.42535958955219305,-0.27757425734539426,-0.0162444409891561,-0.32284433088282005,-0.12858572757255382,-0.10765127105958423,0.2939396230807596,-0.4226897715674599,-0.048056989118719036,-0.951876970575777,-0.20412609632768453,-0.2317860939129664,-0.16762019763115174,0.5519937495798402,0.0014513289093795179,-0.041060240747237686,-0.2072311819658208,0.9700869603496387,-1.6693980439882998,1.1268254254227785,-0.08349644665222611,0.9961487879352603,0.47176553783137415,-1.1762684603448532,-0.22039450618685436,-0.03439097416689281,-0.01978561788509865,-1.1357264073598528,-0.5971965522260438,0.407195513803718
8,10278.319547850486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.549602365239532,0.0,-1.190293771919524,-0.42367646865518593,0.39992952986933444,0.4209990035790454,0.07910811706881189,1.1281002127541915,-0.7028014173457288,-0.03829506156182824,-0.8448785896293675,-0.3451911643797345,-0.24149374979139382,0.7990291101740902,-1.1204669919643078,-0.13077015934275577,-2.1841671724740066,-0.7012578300817709,-0.1377380625476843,-0.32890265244323624,1.4800554872384581,0.12023692099037034,-0.08458589910831017,-0.4049867023912408,1.2682208699785606,-2.7710175894898663,0.5058098595376004,-0.3060859044623203,1.0448806523438396,0.4736778318880528,-2.52230407406325,-0.6650924226979542,-0.03941799663466046,-0.020283901416734883,-1.1550159332431067,-0.5913632046465088,1.1484895588012192
9,10165.630118585177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1517841607761468,0.0,-0.9771871401335847,0.2118370295866171,0.8956862977990706,0.39856187074689364,0.2209121708650864,1.2781908455868396,-1.0947997018226339,-0.07543345212883815,-1.3204998111737092,-0.548982278193733,-0.34795570443082174,1.2578316587082836,-1.7614367937821556,-0.20813160749431003,-2.566561367966294,-0.5121427844050158,-0.08545328558500195,-0.35059329811888296,1.3523982907244172,0.513688265026176,-0.09449849948998175,-0.4466957928020561,1.483642679479543,-3.2038253987045007,-0.24080365753380872,-0.574147189723204,0.9252413267615779,0.21971046308666592,-3.001799535348022,-1.0565349301242575,-0.04198956049715168,-0.020374656697644777,-1.1870118007300796,-0.577569096914557,1.7850867435783986
