Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad
0,17052.16069644633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0
1,16421.61602045296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.805004163561917E-7,0.0,-3.184344685540994E-6,0.0,-7.238792197572402E-7,9.991381444932396E-8,-3.5100138496208363E-7,-1.1042859266740704E-5,-3.867227302111568E-6,-3.6666478428811687E-6,-1.4459251049752644E-6,-6.354529222100447E-6,-1.6889879701358042E-6,-4.342864991036684E-6,-3.853323498560966E-6,-1.4048979691073566E-6,0.0,-4.018365559146057E-7,-2.3426700889412395E-6,0.0,-1.4520932420047248E-6,1.746421841439988E-6,6.153926158674423E-7,6.022587192724828E-7,6.768097749112732E-8,1.1886649821110214E-6,0.0,3.15437753884418E-7,0.00425942734180798,-0.024319779506437985,-0.10002786719775121,-0.09998508782938191,3.258150168829589E-8
2,16225.639691117001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7867043433291415E-4,0.0,-2.4596596989772974E-4,0.0,-2.3285136145373395E-4,-5.2962034759925026E-5,-1.5195090362150093E-4,-1.0986363797172535E-5,-3.0045158522133537E-6,-5.497565367683298E-6,-2.064841539368836E-6,-5.997677923784851E-6,6.756525286364429E-7,-6.968701175601334E-6,-1.7434574443915752E-4,-7.266930852428863E-5,0.0,-1.5823423494903012E-5,-1.0514566967000497E-4,0.0,-6.41216085992111E-5,7.915018605755784E-5,2.5296313218667013E-5,2.875868898330752E-5,3.191383222906014E-6,5.48456981944543E-5,0.0,1.3602592907940228E-5,0.017540217033617578,-0.022149745428624704,-0.10098960373888859,-0.09928355501559315,1.184286863376661E-6
3,15757.19596424458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017549729357721408,0.0,-0.010148950237352631,0.0,-0.0106255986854606,-0.0025352195038417197,-0.006887570958511857,-4.709173371839118E-5,1.6397247167392526E-5,-8.800267156812888E-5,-3.061911304253972E-5,-1.438076718038993E-5,8.48904540526943E-5,-1.2207444572539213E-4,-0.003536366895460313,-0.0015354608827895856,0.0,-3.071999428319338E-4,-0.0021824486104482,0.0,-0.0013227369539297643,0.0038204815145304336,0.0012741191151254233,0.0013596793735015042,1.894365034210752E-4,0.0025725116980464926,0.0,7.937724345435002E-4,0.01794698934535723,-0.022086802550782533,-0.11590558691987095,-0.06031821135752895,1.9595110257645446E-5
4,13828.719447826421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0341589595479066,0.0,-0.6117358425637506,0.0,-0.6098021720643414,-0.1474718004010547,-0.3984087732773189,-0.0026582603355108526,0.0013951588749456648,-0.006007550242611347,-0.0020759114028174068,-6.336811211096726E-4,0.006110208189654188,-0.008375773023111125,-0.08491529156585909,-0.03671707998569149,0.0,-0.007578184681924671,-0.058863931425869945,0.0,-0.03646315392752589,0.047597154660431705,-0.009373854457359831,0.03024506098434175,-0.0034141129495998093,0.05001370024042914,0.0,-0.019582928497813925,0.011995548621814772,-0.023500473720886615,-0.3302070226272645,-0.27013831787244047,8.385241521688206E-4
5,13021.906484273295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1261125785686468,0.0,-0.847255740422742,0.0,-0.39222201899463,-0.15274411902543591,-0.2697922502857042,-0.01134059540686539,0.005451348343259324,-0.024757697941724565,-0.008517821576592477,-0.0029270484910287635,0.02492938464294176,-0.034501111719125704,-0.46032226169817825,-0.2968362411839776,0.0,-0.023154422855665352,-0.3203688202996823,0.0,-0.1957652831104066,0.19373042237644603,-0.05778951731759035,0.13167207340116996,-0.010665902594755873,0.19830440594359033,0.0,-0.08326591847921734,-0.02808891643618765,-0.02980189694903061,-1.0475330090373427,-0.5275738859158905,0.008239903646720897
6,12857.121907713623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9208299257141357,0.0,-0.990563666816352,0.0,0.38951861890368783,0.04316616395193498,0.2869492731554142,-0.1001427021525988,0.046377864087333395,-0.21427554663020051,-0.07619983921401244,-0.027556460463180107,0.21793871772810197,-0.30084639434672944,-1.3764221390139317,-0.7194081817879634,0.0,-0.04606742393576074,-0.332276388694299,0.0,-0.3714805137398026,0.8297910694774957,-1.030318628862689,0.8694514781643559,-0.08059641982999621,0.9789322468561095,0.0,-1.0078199118361022,-1.6287622698833715E-5,-0.025371434229834698,-0.3126313186837799,-0.42465636823569064,0.35816893597963617
7,12709.57925141351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.562732676320833,0.0,-0.1449677275200152,0.0,0.5634194817026035,0.5439284734114751,0.31319966115639647,-0.2501981941406799,0.11266838614527423,-0.5335701469477123,-0.19097457760533904,-0.06561105286591523,0.5460307740168204,-0.7544252836658591,-1.8131336965798632,-0.7185057051281984,0.0,-0.06964012652687968,0.646379131040207,0.0,-0.0978138640853064,1.2430886996752895,-2.4823728652347667,1.421274587030608,-0.21818954894014925,1.5954637742825155,0.0,-2.391510215433919,-0.018357533427504524,-0.028119866367387652,-0.7583096382206077,-0.5210184240796503,0.8807891627101356
8,12585.012476113761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5742236157423735,0.0,-0.294384167634715,0.0,0.6018188677103345,0.5171231025228699,0.41783441389150405,-0.39115572537042953,0.16871735101027927,-0.8269899383556631,-0.29700717594940734,-0.09916935306722702,0.8483952927078715,-1.1748560466326254,-2.2529373509651918,-1.0364866650800242,0.0,-0.055642652211968624,1.1972075076422968,0.0,-0.01651674298763553,1.0956397938741775,-3.0718838460386646,0.8767911621869868,-0.34568293975418335,1.3063955057660712,0.0,-3.139758015693607,-0.022831678376287565,-0.028657898494467038,-0.8237524817235685,-0.47367686242451923,1.3533281300415052
9,12441.889951017141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7731501322247167,0.0,0.053416436682788615,0.0,0.9242469606495144,0.2625617470113471,0.020689827187840848,-0.7335935085689559,0.284549560840723,-1.5130786260143883,-0.5451145569736436,-0.18055107620773414,1.545166838918223,-2.1562662586394215,-2.862864347018981,-0.6609677644635672,0.0,-0.07086781466653054,1.079981502035186,0.0,-0.029321827381195473,1.5579590067292726,-3.336139139353714,-0.2933952634428256,-0.6523034384685675,1.14341033596787,0.0,-3.6006197265881763,-0.02716290060274448,-0.028964827266248917,-0.8506699278710443,-0.4788987739943325,2.4097752799142054
