Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad
0,17052.16069644633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0
1,16421.61602045296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.805004163561917E-7,0.0,-3.184344685540994E-6,0.0,-7.238792197572402E-7,9.991381444932396E-8,-3.5100138496208363E-7,-1.1042859266740704E-5,-3.867227302111568E-6,-3.6666478428811687E-6,-1.4459251049752644E-6,-6.354529222100447E-6,-1.6889879701358042E-6,-4.342864991036684E-6,-3.853323498560966E-6,-1.4048979691073566E-6,0.0,-4.018365559146057E-7,-2.3426700889412395E-6,0.0,-1.4520932420047248E-6,1.746421841439988E-6,6.153926158674423E-7,6.022587192724828E-7,6.768097749112732E-8,1.1886649821110214E-6,0.0,3.15437753884418E-7,0.00425942734180798,-0.024319779506437985,-0.10002786719775121,-0.09998508782938191,3.258150168829589E-8
2,16225.639691117001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7867043433291415E-4,0.0,-2.4596596989772974E-4,0.0,-2.3285136145373395E-4,-5.2962034759925026E-5,-1.5195090362150093E-4,-1.0986363797172535E-5,-3.0045158522133537E-6,-5.497565367683298E-6,-2.064841539368836E-6,-5.997677923784851E-6,6.756525286364429E-7,-6.968701175601334E-6,-1.7434574443915752E-4,-7.266930852428863E-5,0.0,-1.5823423494903012E-5,-1.0514566967000497E-4,0.0,-6.41216085992111E-5,7.915018605755784E-5,2.5296313218667013E-5,2.875868898330752E-5,3.191383222906014E-6,5.48456981944543E-5,0.0,1.3602592907940228E-5,0.017540217033617578,-0.022149745428624704,-0.10098960373888859,-0.09928355501559315,1.1842868635179373E-6
3,15757.19596424458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017549729357721408,0.0,-0.010148950237352631,0.0,-0.0106255986854606,-0.0025352195038417197,-0.006887570958511857,-4.709173371839118E-5,1.6397247167392526E-5,-8.800267156812888E-5,-3.061911304253972E-5,-1.438076718038993E-5,8.48904540526943E-5,-1.2207444572539213E-4,-0.003536366895460313,-0.0015354608827895856,0.0,-3.071999428319338E-4,-0.0021824486104482,0.0,-0.0013227369539297643,0.0038204815145304336,0.0012741191151254233,0.0013596793735015042,1.894365034210752E-4,0.0025725116980464926,0.0,7.937724345435002E-4,0.01794698934535723,-0.022086802550782533,-0.11590558691987095,-0.06031821135752895,1.9595110259087177E-5
4,13828.72359595186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0341626673169246,0.0,-0.6117380366666318,0.0,-0.6098043573763268,-0.1474723290125883,-0.3984102012303029,-0.002658269858944002,0.0013951639035539982,-0.006007571832337698,-0.0020759188623910166,-6.336833798169487E-4,0.006110230165144633,-0.008375803125934276,-0.08491558837041945,-0.03671720829981008,0.0,-0.007578211200601804,-0.058864138154118756,0.0,-0.036463282091372395,0.04759731432236235,-0.009373893292563513,0.030245166334873532,-0.003414126092436428,0.050013873267550905,0.0,-0.01958300281555388,0.011995526915767968,-0.02350047887681675,-0.3302078042257393,-0.27013908312664753,8.385271389734431E-4
5,13021.910342681216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1261159578776572,0.0,-0.8472584147258351,0.0,-0.3922243823733522,-0.15274458901032326,-0.26979376442139,-0.011340605297962245,0.005451353107395741,-0.02475771975632707,-0.008517829159998038,-0.002927050856816358,0.0249294069068889,-0.03450114233948408,-0.46032269724429525,-0.29683677718126056,0.0,-0.023154416634253272,-0.32036911082027375,0.0,-0.1957654690791271,0.19373067534364563,-0.05778951462426947,0.13167221115815542,-0.01066591251459964,0.19830465311536732,0.0,-0.08326595610630408,-0.028088937807485677,-0.029801902046772747,-1.0475337144459667,-0.5275746675771396,0.00823991876142499
6,12857.123351953207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9208317960248813,0.0,-0.9905745184014303,0.0,0.38951924128659143,0.04316477682172881,0.28695017751790397,-0.10014274252386753,0.04637785840325136,-0.2142755877714305,-0.07619986080189799,-0.027556479270552093,0.21793875967524273,-0.30084646016349376,-1.3764210155460845,-0.7194083064836083,0.0,-0.046067358234886224,-0.33227536610951003,0.0,-0.3714801775597717,0.8297918240003987,-1.0303198995791691,0.8694528297158612,-0.08059633853819241,0.978932825565743,0.0,-1.0078202177270208,-1.6255501880901163E-5,-0.02537143030678571,-0.3126311193103346,-0.4246567598028539,0.3581731947623681
7,12709.554874197318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5627570646226125,0.0,-0.1449740496253895,0.0,0.5634405911486632,0.5439332669506248,0.3132130045747553,-0.25020050698080865,0.11266938568065517,-0.533574959439987,-0.19097632352142732,-0.06561171365652255,0.546035686302545,-0.754432078433535,-1.8131415528403112,-0.7185018676773232,0.0,-0.06964000335645029,0.6463885369566742,0.0,-0.09781117035210768,1.243103431231118,-2.4824017380934276,1.4212950988378252,-0.21819113279005126,1.5954826396793422,0.0,-2.3915358395581343,-0.018357549916250715,-0.028119868414860902,-0.7583106149141075,-0.5210198846966949,0.8809251919864914
8,12584.957960906635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5742930314055026,0.0,-0.29437793397822454,0.0,0.6018714173411068,0.5171487416331434,0.41788066581648986,-0.391169270082912,0.16872296102630183,-0.8270181003421369,-0.29701737529384814,-0.09917290879323301,0.8484241289689338,-1.1748960213374202,-2.2529778353696663,-1.0364662904325943,0.0,-0.05564236421199354,1.1972774531231314,0.0,-0.016512010186046033,1.0956631277912918,-3.0719748618553457,0.8767947706765578,-0.3456927645397442,1.3064134219771897,0.0,-3.139859365112687,-0.02283314954867066,-0.02865811680501546,-0.8237858765396444,-0.47368293291064134,1.3539798801212575
9,12441.686034511997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.773615308607236,0.0,0.054076730578908605,0.0,0.9248680890849026,0.2622816598336157,0.020050968798642765,-0.7341795926984163,0.2847482571147617,-1.5142520584386001,-0.5455391138070981,-0.1806915367948647,1.5463572792928468,-2.157942621092686,-2.8639838941816333,-0.6603100554305239,0.0,-0.07089984035368205,1.0800072354465238,0.0,-0.029379114006460157,1.5589185353882966,-3.3365812564491275,-0.29525827762372203,-0.6528157452646425,1.143273362169841,0.0,-3.601397583923634,-0.027172994306099367,-0.028965779116772325,-0.850778120699356,-0.47894624866430485,2.413226788439588
