Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad
0,17052.16069644633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0
1,13960.489871829821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.3947691540526996E-7,0.0,-1.5870476214431177E-6,-4.114648756497418E-7,-3.6077463571838516E-7,4.979611104636721E-8,-1.7493580882016725E-7,-5.503657820960572E-6,-1.9273899334026847E-6,-1.8274230061013237E-6,-7.206355546419198E-7,-3.1670379570143647E-6,-8.417758142896116E-7,-2.164443310917017E-6,-1.9204604076970697E-6,-7.001880136802148E-7,-6.435240155426365E-7,-2.0027158277459638E-7,-1.1675648711529119E-6,-3.018427530311898E-7,-7.237096964726673E-7,8.704003188093192E-7,3.0670592656025757E-7,3.001601152836214E-7,3.3731566445040866E-8,5.924195144821539E-7,2.022991712360537E-7,1.5721122756865588E-7,0.0021228587665840836,-0.012120750745033191,-0.1000138887508341,-0.09999256791357498,1.623831584320781E-8
2,13951.996625202884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.837886734262901E-4,0.0,-2.621708503823461E-4,-8.126600505068789E-5,-2.377251971688956E-4,-5.292038617873405E-5,-1.5541444063776956E-4,-5.66387875218298E-6,-1.1298150300721423E-6,-3.89200417076309E-6,-1.391260238300313E-6,-2.888982206372485E-6,1.682307009244768E-6,-5.089380616872593E-6,-2.3569755436170334E-4,-9.654085374850441E-5,-7.347493817380266E-5,-2.2130890537904354E-5,-1.4133771399380606E-4,-3.784772032805355E-5,-8.695364635407862E-5,7.928463800101723E-5,2.502332926974699E-5,2.896509540035764E-5,2.803665961710469E-6,5.563841687782532E-5,1.909495568264927E-5,1.2239059980039984E-5,0.026141549461784944,-0.008373467324018995,-0.10151389514606123,-0.0993551832196869,1.7901941464159067E-6
3,13612.859478424734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01157497958975423,0.0,-0.006632003476707862,-0.002044344003424912,-0.007001520143755152,-0.0016795739837083582,-0.0045268104320388075,-5.682900287070413E-5,-2.0804813371088147E-6,-6.403212463876349E-5,-2.149579084689518E-5,-2.3752178588631844E-5,4.845686493268398E-5,-8.68556403250967E-5,-0.0021915430855979916,-9.3508696050587E-4,-6.48735644764844E-4,-1.9971709017453475E-4,-0.001355038168684429,-3.51701208106744E-4,-8.331119445825017E-4,0.0025991080711130943,8.809551505806106E-4,9.166902206927145E-4,1.31149942778577E-4,0.0017401815100271706,5.706432605731657E-4,5.534368870603436E-4,0.02637784684631346,-0.00833891248732197,-0.11152907639383303,-0.0732413545776045,1.3949974909541938E-5
4,12816.259164305971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.916238004889399,0.0,-0.5544528629171896,-0.1758618208831383,-0.510731480243879,-0.12950655073563586,-0.3347734892074533,-0.007163755341232694,-2.456785698227408E-4,-0.008121906750067184,-0.002675518207441887,-0.003075387773873534,0.006092620112580675,-0.010976710917308168,-0.04386133189140491,-0.016201242013130984,-0.01295328278698093,-0.0056865737546749635,-0.03710400123572676,-0.004573273897888608,-0.025621124108084314,-0.015598440787076319,-0.04747436060463499,0.017827639310350536,-0.008150166302948075,0.01647334621218602,0.009645309825321993,-0.04525993328780796,0.015758943653105414,-0.010447973221537237,-0.3527077010460525,-0.40059006794008184,9.786275930669106E-4
5,12015.32775368994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0119493330266989,0.0,-0.7747183135487715,-0.23848921126718509,-0.28200956966197754,-0.13516879490587827,-0.1944034853572689,-0.029743933313410464,-0.0031748788955043216,-0.030823538955838576,-0.010078741396687482,-0.013366630007572716,0.022132522546626225,-0.04206554699831597,-0.2948126507327108,-0.17882670060485123,-0.05675984400649832,-0.02141078539034358,-0.22411192639856986,-0.04287531601943345,-0.14566653871470625,-0.0067868082528160616,-0.1584308197259951,0.08274117750029722,-0.025753094475873158,0.090068454809793,0.044859069374397265,-0.15238844102753996,-0.027147036862658312,-0.0171730202769715,-1.1568850987453356,-0.656665893465789,0.006623580653255745
6,11666.330794197784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.572878612116969,0.0,-0.6583663016256293,-0.6173069127098934,0.16815068997078442,0.12808899439677288,0.22453652318195935,-0.21842979444963595,-0.0010363409006861517,-0.23536712072370908,-0.09846928637619565,-0.08855199958419331,0.21424892969743026,-0.3358657023910595,-0.8226101412501383,-0.4070099110159263,-0.17333290863582604,-0.06048654223054161,-0.1723910598640224,-0.13875469259932005,-0.3230577039675363,-0.1101062870153039,-1.3376534502563808,0.6232723392540237,-0.18766311114195655,0.6449823695032729,0.29408371883568263,-1.2085752983078233,-0.01772688330163785,-0.015563578509670266,-0.8823228228366871,-0.5706392900306407,0.3074631837057544
7,11441.049758783536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9919212387173268,0.0,-0.019016021634414737,0.09616791941891867,-0.031236769526128,0.8694940660237337,0.266971624416473,-0.7952108475946118,-0.024845046350591128,-0.8545778095055743,-0.370420158097144,-0.29703858796361693,0.8082311315511853,-1.24282982528899,-1.1008756659743577,-0.37764229726537224,-0.10611719780917239,-0.15816442293780694,1.16115213184584,-0.07504390893086976,-0.07100949314448457,-0.4886248637065073,-4.604517640898103,1.8980306590923166,-0.6956959485390869,2.1264188779482427,0.9262236749897064,-4.220707352419834,-0.0403239657721957,-0.018595226153783208,-1.4948839132319653,-0.5379510446961033,1.1926235181680183
8,11418.360250816244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.983708247069698,0.0,-0.4393077219181781,1.0634135978237826,0.177966017827034,0.5613236602918594,0.06732065177804053,-1.1325729864545515,-0.04870411929310287,-1.2188245161187494,-0.542914252116015,-0.4032766639907911,1.1666661250653299,-1.7910845276716358,-1.5802840899677117,-0.9326815288287361,0.20457862892248552,-0.19139770742601456,1.294169293168244,0.13984740202357843,-0.14165781743443118,-0.8054758338009902,-5.464525858888363,1.4292987693793116,-0.9214653459786153,2.2740175820834994,0.8963688682622598,-5.29575441306422,-0.03419571280601926,-0.01732757439515454,-1.3133747780219516,-0.40499853124916707,1.712831040673691
9,11246.137442504689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.320883977037315,0.0,0.4184746686765915,1.3243158058967404,0.24833193675369827,0.1840928341563619,-0.39505436688432016,-1.6403756054049667,-0.09138750754188552,-1.7690760604595726,-0.7977505603701602,-0.5539219411026713,1.7048466240243623,-2.614630564976754,-2.232471495870398,-1.53557940087676,0.5241557979215237,-0.2389493483412227,1.4941184184797025,0.43928172773951224,-0.259170434100525,-0.7650860119912942,-5.800806125527846,0.23473908591051762,-1.1470826521048347,2.310644408283369,0.6758893538571971,-6.197055888424163,-0.043643446228306765,-0.0184252531316012,-1.4525327123642404,-0.4012594404794183,2.459466748633235
10,11078.436957703512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.944456663115172,0.0,0.979097907163659,2.247653214787855,0.2857931406747092,-0.03550474375912102,-0.08388917478036428,-2.51904399955097,-0.21624051584122816,-2.6905579079601925,-1.2314979781554092,-0.8122512257092431,2.5711865007006005,-4.0168268777971035,-2.9574454769976697,-2.102969530152601,0.7999095621708286,-0.2965678143719997,1.9926074321827592,0.797668600631455,-0.3534195166036919,0.840799731687177,-5.24785339681083,-0.6939291583463254,-1.4615667655379025,2.8169186760736205,0.5232717890282338,-6.809788212214702,-0.04507208733299963,-0.017895592600540643,-1.4221984213429897,-0.5561650250624357,3.606787960978856
11,10690.380686595656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2305387455162013,0.0,0.6543964180707489,2.112221606427788,0.975220599427377,0.3490182920538071,-0.07883606013274955,-3.499636516597026,-0.4246692752753086,-3.6830988164512743,-1.7094988652771526,-1.0639872039693365,3.442118516990389,-5.549059455194486,-2.8161968784631277,-1.932850861162546,0.8867669385254902,-0.25592654218185107,2.5526044601315045,1.1386018364559793,-0.09189786503448089,1.7814561222215048,-4.643128910725048,-1.237978218319479,-1.8878101265643439,2.1812169295356383,0.06569447570801212,-7.06223632933911,-0.04433675088487162,-0.016797765730017497,-1.515550350024823,-0.5420962061342451,4.7640771764816
12,10112.15705099101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5875956808810905,0.0,0.07972601856104178,1.5082707508560995,0.4113956962590557,0.5266341516830857,0.21829027569540024,-5.337954483866648,-0.7904588543337506,-5.605691129455401,-2.638079729431671,-1.487560804595609,5.119550386375899,-8.498989298529443,-3.228668040864792,-1.40389170693948,0.13501010442660433,-0.12871520840038245,2.300545497185062,1.362876278265106,-0.07920626034957523,2.99195227742222,-3.786640944501147,-1.5300875220776557,-2.664613419054514,0.7451565045793533,-0.5212878225350137,-6.9396344958826495,-0.05063959208876562,-0.015936839383021935,-1.5603897034305068,-0.5586136206363802,6.977510959392426
13,9680.285154315028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.723231269277754,0.0,-0.4327756077410214,0.5879551077461141,0.5833749643732168,-0.059245247489747355,-0.8334129640184124,-6.331949819792555,-0.8930105743241588,-7.044814762988381,-3.373313933481135,-1.4804148085682018,6.566674715336042,-10.76716982966052,-3.0139943666876086,-1.3052114753487698,0.18841529754527056,-0.04706262386829277,1.6604167630234028,1.512776598439589,-0.03456103936308961,4.17394172861439,-3.4947258645494057,-1.2903145870790407,-3.088089960303592,0.8346738317068778,-0.3241648944399019,-5.825054038192653,-0.047718290323393066,-0.01436078856865912,-1.4648417797386397,-0.6373324031060118,8.280621880447395
14,9182.955525884148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3983905461746389,0.0,-0.7847085541538874,-0.2403120365500292,0.41130957759917464,-0.8622493798566602,-0.18453158501667544,-6.820261319842276,-0.7840280412988645,-8.434802274373673,-4.112954219685794,-1.0496904079771234,8.13319397364475,-12.982984312593885,-1.8972891513517711,-1.1227584739467071,0.7783623192668373,0.003932411134202812,1.0210308614311754,1.791416265105266,-0.07179444028235152,4.46702410538336,-3.5719355913932964,-1.6418729017424836,-3.417045408882486,1.0449156808163262,-0.31565363344810526,-4.0291494940154315,-0.04315854480402234,-0.012920417247495652,-1.526699968061643,-0.5999698168975125,9.170556880118923
15,8695.736249747797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5736871066621183,0.0,-0.7392093395274562,-0.0770174489212615,0.3398553730838113,0.24890296845527948,-0.1805703992377298,-7.149476947357991,-0.7222714307286963,-9.889920529716441,-4.9021146667907445,-0.2619503634134617,9.622682401802269,-15.301782652555794,-1.131680434679287,-1.2307829351329413,1.0822692035266388,-0.03226617267886453,-0.20273695047633722,1.3895616449074755,-0.4102782182225191,4.279777160312271,-3.5676293270744592,-1.927129726116232,-3.5859805877808286,1.0913294762708468,-0.3833120250330679,-1.3453809654241864,-0.03991800971762692,-0.011880375105928223,-1.4725795819354786,-0.5730827428490455,9.832797972239607
16,8432.711115013943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.824498549139245,0.0,-0.46567911213684343,0.1344913325295196,0.4503777120618247,0.14671042144050803,-0.16507394564206437,-7.279914388953988,-0.9652984103921464,-10.396929894322959,-5.214289517113907,0.286785384598652,9.740990389096151,-16.147485931980345,-0.7087089588984454,-1.3330332709737118,1.0557329153250203,-0.10896339156026197,-0.6526521472133026,0.9642404338875009,-0.46642254266236205,3.9459655259872286,-2.7516984303686174,-1.615663673489282,-3.3076304163295704,0.4630034677843913,0.5378362136403778,-1.0428829987822075,-0.03714312757131365,-0.011269694248876793,-1.4423003324688894,-0.5356406104180225,9.686109915256008
17,8223.376166333635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3492823672513563,0.0,-0.7264073540823062,-0.45070866516202635,-0.023479670970387223,0.5142861670939597,-0.1618400850305092,-7.839391611303984,-1.90573249373401,-10.85315218841087,-5.544342037312739,0.8754518191160239,8.776627013863362,-17.01094567873478,-0.6167234329123155,-2.0776941993736306,1.1593445445711257,-0.42252816974265733,-0.5230770078334941,1.0616831335061414,-0.7624014025416307,3.478506915428576,-1.5309272273436139,-1.2327906200549692,-1.71811566342724,0.5988590191269765,-0.02160832331423157,-1.2292123112311315,-0.03159933048273316,-0.009789849466423098,-1.2895475720990102,-0.49182538297513745,8.857405712967704
18,8113.574822902522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.428380423301289,0.0,-0.645030772754783,-0.34741413446594843,0.13476390042370656,0.07120231487027967,-0.22539984476250033,-8.113936706542315,-2.2424333482548926,-11.113136104913137,-5.706749541805443,1.04060473834678,8.4142096478422,-17.491564252981277,-0.8625565482018978,-2.038720271450535,0.6617144313060823,-0.6172040114282585,-0.13575711438519122,1.080895482016198,-0.82517994806843,3.2691788526802976,-1.4460668434723816,-0.8340452191253191,-0.8228843461075439,0.4236317410786686,-0.6623228468708277,-0.8738113164301038,-0.03015825709501045,-0.009278885955292597,-1.244080800074395,-0.4701286263591123,8.399426533823181
19,8004.113448052204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1996888073070309,0.0,-1.2773329565952234,-0.5912199069835786,0.3009715706204592,0.04546519396136153,-0.13000057673426282,-8.90971013452727,-2.3537374577163317,-12.460847387347837,-6.401616465634553,0.8739011328348454,8.474770572439612,-19.951986296069116,-2.0797041661853246,-0.9476104629360265,-0.7638512546571476,-1.3037250707900045,0.6894257628794069,0.30648950121676666,0.11716151994649471,2.069238999974637,-0.9903986548789523,-1.9057326002630428,-0.538711781371616,1.197405298812261,-0.15405943456794757,-0.5363352295801942,-0.02382446816305566,-0.0071076820011345965,-1.0149046721993549,-0.3758373576089338,6.273171199163549
20,7701.256292962777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1244532943565284,0.0,-1.3713937155621008,-0.7674929644841009,3.4313526074825074E-4,0.2429087421266094,0.05604730480046502,-9.950513002331135,-2.1150760869006526,-14.78524584810547,-7.6039593115730515,0.63030337720327,9.065757953129376,-24.247954732154433,-3.8028305435677288,-0.9415294583327456,-0.37133328432448703,-2.4257555409005183,1.2267462282523294,0.5633915380627205,0.9821871028353553,0.9910718972026251,-0.7361126910708329,-1.154442182028907,-1.6616980444318936,0.17767560481929778,-0.19914333103559032,-0.12890648339310307,-0.014656516146110856,-0.004011288641057004,-0.6834791791412811,-0.24685273466251662,2.6026055048771504
21,7554.1159875620815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.373227352926801,0.0,-1.2018794686397223,-0.4282991407185061,0.07367755036969081,0.49338648436235,0.05304336154775957,-10.70452090377597,-2.138631537818102,-15.777284942782673,-8.128304517122423,0.3867980314566961,8.65716917871841,-26.151299441990346,-3.4720096725758336,0.01684532247031234,-0.2501560243077063,-2.639338378614053,-0.19599189471750922,1.2912136956727864,0.7332544222810798,1.265072898295391,-1.2457745909425042,-1.2922847604861643,-1.059363399890048,-0.19897516835123163,-0.12015529632686103,-0.5636632893947378,-0.008599278046961553,-0.00209633618199055,-0.5615329057878907,-0.19426702654096106,1.2036943745851207
22,7515.420748868659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.610562600396834,0.0,-1.0162241261479037,-0.2253878122541627,0.20505512622679348,0.41071105233430294,0.08722776232684205,-11.163672474605034,-2.278188551621065,-16.198164399486267,-8.332766127790743,0.34004705825814024,8.081531559564246,-26.957576250174917,-3.1480821646268113,0.06697485361427714,-0.11358383588244392,-2.5580685133109577,-0.5559470587065063,1.3367421103723014,0.5213289571701002,0.6571351762545548,-1.0160420708592788,-0.9449693440002203,-1.0125764391929568,0.16787828236130353,-0.13137045988778429,-0.48096317842603015,-0.00771684250470879,-0.001467557745762363,-0.5716422340644022,-0.18132531042397715,1.1279418410971322
23,7369.743507186275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8532418725173738,0.0,-0.9388593782873695,-0.1319985632594603,0.27123706687539517,0.33442159914214376,0.2733574542617164,-10.46815057424594,-2.0378186222796097,-16.92043997806531,-8.571631589156281,1.8251236291298079,5.656495201228726,-28.881962397751856,-2.197872985584799,-0.934109441422247,-0.02582865990831819,-1.8202263073240164,-0.4938879215104891,0.38008309109836036,-0.20371227668661895,0.24605812349409956,-1.45139377226105,-0.5465664083251738,-0.15098700337315674,0.26082923866152624,0.3981199161077805,-0.21300438433825253,-0.008508259870924559,-0.0016835905609594352,-0.6336052575443851,-0.1894342868602752,1.475502076452199
