Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_16_24,b_carD_age_gr_40_54,b_carD_age_gr_55_69,b_carD_age_gr_70up,b_carD_female,b_carD_shopping_trip,b_carD_recreation_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_16_24,b_carP_age_gr_40_54,b_carP_age_gr_55_69,b_carP_age_gr_70up,b_carP_female,b_carP_shopping_trip,b_carP_recreation_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_16_24,b_pt_age_gr_40_54,b_pt_age_gr_55_69,b_pt_age_gr_70up,b_pt_female,b_pt_shopping_trip,b_pt_recreation_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_16_24,b_bike_age_gr_40_54,b_bike_age_gr_55_69,b_bike_age_gr_70up,b_bike_female,b_bike_shopping_trip,b_bike_recreation_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_16_24,b_walk_age_gr_40_54,b_walk_age_gr_55_69,b_walk_age_gr_70up,b_walk_female,b_walk_shopping_trip,b_walk_recreation_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_shopping,g_bike_grad_c,g_bike_grad_e,g_bike_stressLink,g_bike_stressLink_c,g_bike_stressLink_e,g_walk_vgvi,g_walk_speed,g_walk_speed_c,g_walk_speed_e
0,56098.993934027254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,52640.63560695736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2520450232477644E-7,0.0,7.768366322539285E-9,-1.3149704393133544E-7,-1.163513872551475E-7,-5.0291358273228316E-8,-4.779020627834264E-8,-9.786190837068543E-8,-1.3327580648571582E-7,-2.8785151026561528E-8,-5.6544303769211915E-8,-3.044648763842902E-8,-8.480253824333841E-7,-1.662384839756529E-7,-4.997824192353224E-8,-2.0335119608013564E-7,-1.8970085789554752E-7,-9.745177700602229E-8,-4.4831074363108345E-7,-2.9477649623150664E-7,-3.9163782729778426E-7,-9.909620577818866E-8,-2.708539959514117E-7,-9.815739655168761E-8,-2.8727912698678853E-7,-4.027939268788424E-8,-1.838047419233559E-8,-6.639646024081051E-8,-7.092080804150154E-8,-4.3621073372175045E-8,-1.6768948324482145E-7,-1.1968666894035305E-7,-1.312704003542721E-7,-3.919492444299731E-8,-8.617392843045075E-8,-2.9876114368042425E-8,7.327033136419235E-7,6.57765964696906E-8,5.047822997875705E-8,1.9233498700086224E-7,1.8666773354985252E-7,9.006159106001205E-8,3.994580404557839E-7,1.2197350778867263E-7,5.610355696787377E-7,1.2152510102376395E-7,1.9481260871025615E-7,7.628623839667687E-8,2.8040090446960824E-4,-0.0019375034831586276,-0.10000134888255942,-0.09998921913451064,1.6525768802751274E-9,8.63942984779483E-10,3.2234618586851937E-10,4.387334364527039E-10,1.0733933186103066E-7,2.2351918301744004E-8,2.837296276951907E-8,-7.29453402249948E-7,-6.645597077429584E-7,-4.887669618603868E-8,-1.275975457888151E-7
2,51784.25195414465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7703916714384186E-5,0.0,-1.0689399419989074E-6,-1.2953792036254446E-5,-1.1786051894876566E-5,-5.495986056677054E-6,-1.539242620849142E-5,-1.3935005223856063E-5,-1.9038011749289417E-5,-5.1546199092857845E-6,-1.0777012748137309E-5,-4.375651906331016E-6,-6.898556049735557E-6,-1.9269903175021566E-6,3.447100187704719E-7,-2.0257236994624423E-6,-1.6148074274139066E-6,-6.925515991739362E-7,-3.41014311874058E-6,-2.0755298279968076E-6,-3.758597051275314E-6,1.564154546795924E-7,-2.7871947866626543E-6,-9.863280714037434E-7,-2.3085636158396947E-5,-3.7436604211870475E-6,-1.454017252654424E-6,-5.250998886127743E-6,-5.525277585081134E-6,-3.334302291314923E-6,-1.3219389251363159E-5,-9.40331143778701E-6,-1.0790328647947027E-5,-3.190640808969477E-6,-6.912278160721254E-6,-2.3536631042843934E-6,4.474475029986228E-5,3.871303230550457E-6,3.0999093543462607E-6,1.1793392126312326E-5,1.1442103260635345E-5,5.492769909766472E-6,2.440849412147917E-5,7.221593737034668E-6,3.453212185156785E-5,7.435902854534891E-6,1.1871844664151343E-5,4.680227248220833E-6,-0.0027527719058035765,-0.002455450386461407,-0.10012388279269029,-0.09934056190492796,1.4736704177972704E-7,7.033451088859173E-8,3.294900494713228E-8,3.538043847013285E-8,9.906700078537115E-6,2.3169622047817188E-6,2.331553481937088E-6,-4.45923180672087E-5,-4.063689311836239E-5,-2.8293440988760606E-6,-7.794538946224609E-6
3,48094.49839749084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038859931352968145,0.0,-8.529151710939437E-5,-0.0014403533950549064,-0.001301260206953265,-5.974869150246969E-4,-0.0015025266988380921,-0.0014432052353431251,-0.0019831726893908474,-5.288685229986375E-4,-0.0010983574268229978,-4.625095551819315E-4,-6.528824820705766E-4,-2.00304205424333E-4,5.42179935235728E-5,-2.0346438719460737E-4,-1.5445033172103125E-4,-6.059613738079301E-5,-3.151440205067739E-4,-1.8551789441604874E-4,-3.635735599264546E-4,4.687323356627875E-5,-2.8459947177715604E-4,-1.01914944600248E-4,-0.004053951791340333,-6.872015394601154E-4,-2.694661071227767E-4,-9.248871596825301E-4,-9.503089561130225E-4,-5.548787122470619E-4,-0.002273543206894906,-0.0016199835798366335,-0.001881100643984815,-5.557787021364795E-4,-0.0012215082965954139,-4.223765252896351E-4,0.005297907754212927,4.5053375540594047E-4,3.6790211523814675E-4,0.0013995563557100655,0.0013565054770123472,6.48354468554136E-4,0.0028911611937270237,8.21410886383696E-4,0.004127438174464056,8.838164223472857E-4,0.0014021435912504284,5.548075971952283E-4,-0.003819466270280095,-0.002638176567945498,-0.13386237101793935,-0.022534338628176165,3.832753461002773E-5,1.5433639953682375E-5,8.609995031003957E-6,8.13614322683304E-6,0.002761078721391083,6.246468944733554E-4,5.618342507892443E-4,-0.005208986461794046,-0.004747199478178421,-3.1609337094056227E-4,-9.065040635281135E-4
4,45542.23389702447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04676542324787382,0.0,-0.001050642354889385,-0.01708307386675391,-0.01545499366525678,-0.007112580264853524,-0.018218774237099764,-0.01737911027294359,-0.02388063404524756,-0.006374967496100059,-0.013227325817139899,-0.00552423713948483,-0.008054404868921991,-0.00241976773357942,6.200399834990867E-4,-0.002483117774348722,-0.0019045455954594772,-7.670883597277079E-4,-0.003906981296916829,-0.0023039904526476985,-0.004515230934692828,4.8534959249029217E-4,-0.0034450130509287103,-0.0012233761954676728,-0.032145333406056416,-0.005044413719029501,-0.002038587333741012,-0.007351292320904412,-0.0077411536478563655,-0.004677934972072135,-0.018443517044532863,-0.013127906411254402,-0.01497353271670783,-0.004431782731183745,-0.009627403553929532,-0.003290712772138753,0.049003608336549945,0.002849736329291687,0.003320818867751747,0.013391789008692962,0.012983249692043348,0.006038979022061523,0.026882517625010868,0.004652196080862761,0.04252682720952191,0.00860563225073507,0.012401437890716708,0.005051660372484232,-0.01084808414660825,-0.0039008274875281896,-0.27183966289552886,-0.0626611366707431,2.2699777513149018E-4,1.0836825454376136E-4,4.8234888129118614E-5,5.511431827919835E-5,0.015400817903951126,0.0034131780635948458,0.0036515847717494996,-0.037776022243780315,-0.033009518330378435,-2.678343828848864E-4,-0.006565447840642216
5,42503.79386697931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1958963536878422,0.0,-0.02282641721655796,-0.4353292431988909,-0.3926812396732899,-0.18111809378187102,-0.4483742934355033,-0.44615151035621525,-0.6008461501064314,-0.1634211829057986,-0.3347648095795365,-0.14018075205096753,-0.16625263099910148,-0.05671123457251343,0.01864910347279502,-0.05432744988161604,-0.039609191203440315,-0.01391687201478283,-0.08006453250280424,-0.04395181390664294,-0.09287028915042977,0.020814772214418173,-0.07948541903151744,-0.02864104481841679,-0.5828577408805676,-0.08078234608437047,-0.034315198553189735,-0.13387850761065268,-0.1451626604188957,-0.09145172985748733,-0.3420184761272397,-0.24396679238628316,-0.273733604552183,-0.08124095560386575,-0.17163206502267037,-0.05764051060100644,0.9918398523749182,0.027312745028884627,0.0673780090742903,0.2798972267490078,0.2698824234330088,0.12065975520042549,0.5387594670058693,0.008204054478807869,0.9640719850576281,0.18599486809724197,0.23475232571343918,0.10128037031486578,-0.022033137662635552,-0.006229082315122856,-0.4645990145002207,-0.13720500983457112,0.007414836600270853,0.0041392753730208585,0.0013767977985589801,0.0020862816076236126,0.5162245058587297,0.10087229399042105,0.14052998790891977,0.4756720999882169,0.5734697092061825,0.3329178491692348,0.09777120944642292
6,40810.22824376696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3343428419184942,0.0,-0.019946582343471173,-0.4909921455579205,-0.44183176126585005,-0.2029008811733781,-0.484145119408596,-0.49750934189651547,-0.6740785858821103,-0.18252783788254798,-0.37008901236699265,-0.1557487165161875,-0.1854369755748085,-0.06637095039497762,0.022921083379708905,-0.061176550539682975,-0.04398294329882105,-0.014825529940611011,-0.08813964217421394,-0.04740800352680101,-0.10369786252574922,0.025970741669891072,-0.09057188350813156,-0.032823766762265755,-0.6568327606237458,-0.0925015640450197,-0.03845310626620827,-0.14988135436802624,-0.16326831866207353,-0.10351037292628845,-0.3855851512547249,-0.27741409573924275,-0.3053521476289248,-0.09120901198466469,-0.19329954742617989,-0.06504850285001762,1.1426440945064535,0.029436925597775623,0.0785458971417255,0.32128733219075756,0.3106611646847541,0.13983838278013774,0.6146348516653106,0.009849822445153256,1.1087033018822547,0.2138272871816345,0.26859088854484436,0.1175819295949878,-0.01726860097773356,-0.005419126397004283,-0.3731714892775401,-0.12418946042107214,0.007513868126422274,0.004465305789835384,0.0014998335851212816,0.002180745286522371,0.5252809041071054,0.10740408978315455,0.1463695209368337,0.39668453060299713,0.50419210806332,0.35116618189196325,0.08238128142870671
7,39247.750441724966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1969092559263197,0.0,0.05882568551637374,-0.5439933570570988,-0.4730551330337215,-0.20206464944291644,-0.2073608319730968,-0.44654658240510603,-0.6483679847773366,-0.16470420945212655,-0.2871234870721389,-0.13589523315423502,-0.24660420256433283,-0.11941125132121273,0.045823458390744594,-0.0828979499939717,-0.054426413175557534,-0.014106010341451732,-0.10842148385683054,-0.060004436227900866,-0.13016618194794144,0.05551724012378012,-0.13504540104490745,-0.05024348925777094,-0.8775980528294507,-0.1435722874260548,-0.050561179468576856,-0.18887854745677943,-0.21229022319415455,-0.14024792999246968,-0.5102144505272495,-0.3950883056123259,-0.36962876228947705,-0.11717963222960566,-0.2573848232941234,-0.08885074749646002,1.3018691648239886,-0.023335206462416234,0.10155206048115319,0.36236143501959045,0.3566214020076645,0.16280065389896758,0.6177214375050247,-0.11234886081741534,1.3821726839112634,0.2548140130544002,0.26044588779563077,0.14410327336285794,-0.017330988076250754,-0.005322733341892313,-0.3359763194249632,-0.12577438438178173,0.006765719945775311,0.005684132698285433,0.0024956229541468096,0.0022565309727089443,0.5074555235171773,0.1549897176454298,0.150018219209856,0.451414115621347,0.4494419719146593,0.46919631222337327,0.06917376240975978
8,38755.239649637515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2535185335024748,0.0,0.10559658215449075,-0.6071950234620913,-0.5221969462785395,-0.22122320273044005,-0.09586762301712673,-0.4869568235661067,-0.6682395780650586,-0.17024327556157226,-0.27389005149902285,-0.1365636789488747,-0.2584787120435467,-0.15023202589886314,0.06759184017154116,-0.0947225356252635,-0.05630682764858839,-0.00931035993624094,-0.1010076369617498,-0.05720323548502425,-0.12849682538437035,0.0853122216999796,-0.15916556917193367,-0.06193038284838192,-0.9906380501872772,-0.17859922860816754,-0.05664874827930846,-0.20347836322815996,-0.234639595621905,-0.1598617936516776,-0.5695140867265633,-0.46725024259016257,-0.38111555918633727,-0.12744928580544673,-0.2893191578658347,-0.10242942623941759,1.281834399148402,-0.03325607919051037,0.1086748152477419,0.33609046887305255,0.3378803719330359,0.1562164096740035,0.544935108925198,-0.1852281662232439,1.4218000410647482,0.26317907485652964,0.2176431588305368,0.144930922639744,-0.017206717072436217,-0.005306956724215948,-0.3289664750380691,-0.12392376863142983,0.005916046143875442,0.006076314003431302,0.0032337840805610894,0.002036990328570991,0.4090073869878442,0.1730508945274395,0.12746975636633515,0.5240743824875662,0.38746668836919074,0.44763891932636346,0.08930263644055235
9,38077.58682788077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.453017607581951,0.0,0.41886782121978844,-0.9539214058723922,-0.7914585087750516,-0.3445028226542277,0.4358570151082978,-0.7776563671817958,-0.5727646153859198,-0.1429897299296129,-0.17258973492605167,-0.10865613263458675,-0.37247678108793003,-0.3662443891346383,0.24342399821663183,-0.20094739155091637,-0.09075925052331733,0.01365463144868656,-0.046023624454116736,-0.10257207913046715,-0.06798866912335857,0.30923904735794105,-0.33479612605315145,-0.1586836516055858,-1.4272432287830559,-0.3889147541335207,-0.0788925390920204,-0.2083704096615981,-0.29101246374807543,-0.2506529647111786,-0.6741264028176835,-0.8115113714851855,-0.23237790283308574,-0.13391367624377185,-0.3830519107464439,-0.16280979138945734,1.3149159100512462,-0.25178663822345676,0.1511301510810596,0.1953824515349049,0.3139976635764508,0.21662555345434567,0.5283539474658798,0.1629261355352376,0.976402672484311,0.30777873766488045,0.10996717060702658,0.09999770704498515,-0.017078922069940734,-0.005246297388997997,-0.2722871030929815,-0.12422241441839306,0.026383917193598866,0.011983896105059155,0.014032572602403794,0.006224468659055966,0.49117902760105303,0.5609686959405816,0.08110576753834392,0.6175065968025616,0.17924554910190219,0.6055223178645603,0.07265335187239025
