Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_16_24,b_carD_age_gr_40_54,b_carD_age_gr_55_69,b_carD_age_gr_70up,b_carD_female,b_carD_shopping_trip,b_carD_recreation_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_16_24,b_carP_age_gr_40_54,b_carP_age_gr_55_69,b_carP_age_gr_70up,b_carP_female,b_carP_shopping_trip,b_carP_recreation_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_16_24,b_pt_age_gr_40_54,b_pt_age_gr_55_69,b_pt_age_gr_70up,b_pt_female,b_pt_shopping_trip,b_pt_recreation_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_16_24,b_bike_age_gr_40_54,b_bike_age_gr_55_69,b_bike_age_gr_70up,b_bike_female,b_bike_shopping_trip,b_bike_recreation_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_16_24,b_walk_age_gr_40_54,b_walk_age_gr_55_69,b_walk_age_gr_70up,b_walk_female,b_walk_shopping_trip,b_walk_recreation_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_bike_stressLink_e,g_walk_vgvi,g_walk_speed,g_walk_speed_c,g_walk_speed_e
0,56098.993934027254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,52376.91179129254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.146689843585451E-7,0.0,7.404946576865865E-9,-1.2534534867416438E-7,-1.109082361717169E-7,-4.7938627740915674E-8,-4.555448464907755E-8,-9.328373216547723E-8,-1.2704089715131323E-7,-2.7438523971283253E-8,-5.389904791464885E-8,-2.9022139926851232E-8,-8.083530554584886E-7,-1.584615145255538E-7,-4.7640159601595896E-8,-1.938380195777083E-7,-1.8082627157095535E-7,-9.289278756802488E-8,-4.2733786855433066E-7,-2.8098626095640975E-7,-3.7331622482910356E-7,-9.446028666651906E-8,-2.581829031841082E-7,-9.35653968171644E-8,-2.738396336709411E-7,-3.839504197130709E-8,-1.7520598772074515E-8,-6.329030076113715E-8,-6.760299050416235E-8,-4.158039213589993E-8,-1.598446331408655E-7,-1.1408748669522639E-7,-1.2512930793786766E-7,-3.7361307324371666E-8,-8.214253935151284E-8,-2.8478449861176723E-8,6.984259841698011E-7,6.269943545954087E-8,4.8116757213537627E-8,1.833371708374883E-7,1.7793504286104034E-7,8.58483293317373E-8,3.807705927425573E-7,1.1626734263901414E-7,5.347892013200759E-7,1.1583991324125004E-7,1.8569888443774856E-7,7.271741527410302E-8,2.6728318818822254E-4,-0.0018468631871355232,-0.10000128577912991,-0.09998972348500489,1.575266021775467E-9,1.0231778279060276E-7,2.1306250766606755E-8,2.704561870699943E-8,-6.953281101461079E-7,-6.334702727259697E-7,-4.6590146381384124E-8,-1.2162827686999742E-7
2,51499.522462739806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2836540408262074E-5,0.0,-9.271352022632386E-7,-1.1299711100133092E-5,-1.0277902587440677E-5,-4.7892770732460285E-6,-1.3387783584131089E-5,-1.2128263937403742E-5,-1.6581377298932727E-5,-4.488115190272107E-6,-9.384314873300953E-6,-3.8141950652213793E-6,-6.333009842012671E-6,-1.732930764413052E-6,2.8315118539516263E-7,-1.8409633517127704E-6,-1.4830468108988557E-6,-6.475313403411882E-7,-3.1452756028275194E-6,-1.943943102011081E-6,-3.4366764130906935E-6,9.299517847213825E-8,-2.5248339834476744E-6,-8.9051528330661E-7,-2.0146244382877748E-5,-3.2632024123882505E-6,-1.2696068792067702E-6,-4.583360290172497E-6,-4.822977412340576E-6,-2.9104093084188286E-6,-1.1537700962360101E-5,-8.20733998092576E-6,-9.412762009910531E-6,-2.783393779771683E-6,-6.032931996305105E-6,-2.0550750217734397E-6,3.914992748050138E-5,3.3901028088270963E-6,2.7119342867541095E-6,1.0317779472105831E-5,1.0010489462626983E-5,4.806131711490425E-6,2.135622562275028E-5,6.322337065778576E-6,3.0209818834814686E-5,6.506054508976302E-6,1.0387686357048691E-5,4.0944764745497485E-6,-0.0024001132890158765,-0.0023028486904607707,-0.10010832438316497,-0.09942311994508533,1.2884901318117139E-7,8.66311759340721E-6,2.025111303830974E-6,2.038673511315978E-6,-3.9010156480646163E-5,-3.5549544757684954E-5,-2.477371674191239E-6,-6.81886244658206E-6
3,46050.538559793786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035102319687178645,0.0,-7.594746710261717E-5,-0.0013066151276541194,-0.0011795654369696935,-5.408153375323818E-4,-0.0013522664816697067,-0.0013017650405740425,-0.0017916507258395856,-4.7752432772331003E-4,-9.91707538132196E-4,-4.1863037829167454E-4,-6.157902598992627E-4,-1.854256734748941E-4,4.814624755965988E-5,-1.9023358946426342E-4,-1.457881247070024E-4,-5.8295748511063464E-5,-2.986321578224665E-4,-1.7915481051148166E-4,-3.411282498905571E-4,3.9830414943120015E-5,-2.6551157441003745E-4,-9.486271225825926E-5,-0.003727209557545161,-6.317599848214105E-4,-2.476310766520161E-4,-8.50553076535255E-4,-8.738970603093882E-4,-5.100340309013968E-4,-0.0020896589944788212,-0.0014907182314652225,-0.0017302220549686568,-5.109326046737102E-4,-0.00112291354961688,-3.8836889122846466E-4,0.004824158783544096,4.100163135912829E-4,3.350334538554183E-4,0.0012745050770091573,0.0012352291841847645,5.902881515982955E-4,0.0026326713081117445,7.464897780562867E-4,0.0037600265174563808,8.049550348928627E-4,0.0012766021352153042,5.052012853749595E-4,-0.0033239521739728897,-0.002461404440676059,-0.1307964413624991,-0.029492269685329767,3.4887736286309706E-5,0.0025086309120530394,5.672338749311788E-4,5.118654737917107E-4,-0.004739167442322404,-0.004319068381764691,-2.8693935608593125E-4,-8.245622908353794E-4
4,43158.23445847915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.056165359894072835,0.0,-0.0011300156318420945,-0.02105027903463855,-0.01896242853903042,-0.00864666247320523,-0.021347225563591622,-0.02071003586324687,-0.028691118856519853,-0.007640038887373477,-0.015837007657798025,-0.0067091219148553045,-0.010354576813273399,-0.003082693560562702,7.854748144442454E-4,-0.003191378870441578,-0.0024533530055338535,-9.91540647859348E-4,-0.005030073365203296,-0.0029967956253497937,-0.005779230742738834,6.161886514815717E-4,-0.004425001954670536,-0.0015725830798112368,-0.03855385434045006,-0.005869059009273987,-0.002447369707480225,-0.00884583464839236,-0.009346493205960883,-0.005675554169028039,-0.02221546977414973,-0.015810693583419477,-0.01788956325866225,-0.00530358665014116,-0.011546788076789737,-0.003955010468703912,0.053976808694428544,0.0022279689383995567,0.003685291619815509,0.015078265239946063,0.01454193707659629,0.006565335702708635,0.029680760183078123,0.0023223398446786734,0.05006574563919694,0.009794079003269547,0.013291150315624098,0.0055696240378870455,-0.011727795415906257,-0.003973637088712623,-0.29633468155874215,-0.08078902905370539,2.941309302055672E-4,0.019974898625021623,0.004373951983311987,0.004798929317382429,-0.02721993471622375,-0.023084674160489718,0.0016025792061813012,-0.004590131769933972
5,37286.52336075633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9069775546898672,0.0,-0.017633830620484986,-0.3286574682273925,-0.29593039770436347,-0.13667545743159815,-0.3404032469179987,-0.33684535390228604,-0.45575329829490735,-0.12352352735299117,-0.25438364741871455,-0.10604874749965137,-0.11369620763962963,-0.040245396490966784,0.014911546856886034,-0.03809723462036631,-0.027787029497379913,-0.00915553316547521,-0.05411910611095829,-0.028494249147782508,-0.06341434948387335,0.017241692030100064,-0.05632395465730375,-0.020502999877757305,-0.4152424976062125,-0.05589681441953735,-0.02437013172792062,-0.09565404430511312,-0.10403190250008806,-0.06575775401522133,-0.2449162801017346,-0.17381335329646322,-0.19496121900611976,-0.05784229444183899,-0.12220585568434736,-0.041073710431303694,0.7316544425594171,0.01721561521946921,0.05092458567870714,0.2076912971414238,0.199383950878508,0.08835608631204481,0.39863712818612923,-0.00366663829313168,0.718615113492804,0.13705733131378472,0.1735418759999685,0.07532640177095806,-0.008164316889613998,-0.003594682327483779,-0.2094487125415641,-0.11389958625457712,0.006221209132036004,0.43568413950264834,0.09076619852856188,0.113909741735005,-0.06837135721359336,-0.01818600271189611,0.1324702348693735,-0.002879874177855854
6,35167.75955894562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9018433058450214,0.0,0.034390504811953077,-0.4006299133072714,-0.3498762337882441,-0.1543872006940115,-0.16405209927458936,-0.3410556112794356,-0.46789794953209424,-0.12216501867216016,-0.21669111507924646,-0.10451671426055677,-0.20193143552135895,-0.08153580704660537,0.030427740456614404,-0.0672135367486103,-0.047459652876429795,-0.014499020764167227,-0.09170801562458009,-0.05551928212719076,-0.1048035005009974,0.03709118334897449,-0.10450651142338707,-0.038468791413226934,-0.6408523099131807,-0.09900090109333984,-0.03716768493423867,-0.13996543850323115,-0.15567389692628,-0.10238990734077393,-0.3672314112205234,-0.28711486328157887,-0.2721340151101057,-0.08616798240378827,-0.1855162986207891,-0.06434376976149589,0.9031724576115147,-0.03498257648166352,0.07162054250632488,0.26135618247121895,0.25138009997033317,0.10870527716090587,0.43393302284925717,-0.12143196228066895,1.0094815302848832,0.18112744055492674,0.17527733453015756,0.09916478080027769,-0.013836139961451091,-0.004531802902237413,-0.2637696576194146,-0.11907618639963283,0.010332217677635508,0.7076117836459292,0.16927898293675392,0.18089810802179768,0.276990543557173,0.3073573196829026,0.342809867181083,0.07313174058918256
7,33922.80610960756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7436311494031983,0.0,0.13467559215855487,-0.4616263193754889,-0.3874256727182743,-0.161621742935453,0.2043479844739129,-0.2999809620123264,-0.40730950551954415,-0.09930243817246864,-0.10669473670930907,-0.07994232133107204,-0.31954508549496735,-0.15301855899283587,0.05983228001833567,-0.10648821107209941,-0.07203693865607406,-0.019251948962264898,-0.13540654117188516,-0.09082683943149895,-0.15449935267945203,0.074154917511059,-0.17525145266868908,-0.06581469558631173,-0.8831208220479814,-0.1582835890218105,-0.050316701240073224,-0.17917458974418998,-0.2070011367526451,-0.1436775287418357,-0.4934042369907956,-0.43184373279925553,-0.3206190360679976,-0.11213165421593982,-0.2522888517410882,-0.09140965929617183,1.136998898184156,-0.10560438044312284,0.10305371949451732,0.3176218436988133,0.31756817350877203,0.1442345043997625,0.45445539173139654,-0.2527414235698737,1.368478116580099,0.24018712728417113,0.16898881854352518,0.13291041921810634,-0.012420123213483477,-0.004111872039441588,-0.19734456414515317,-0.121269987862339,0.00965745456325577,0.631583574606235,0.19788915120898223,0.16790132830170135,0.24250503019880834,0.22072088914543922,0.47875778113248163,0.05815799639745587
8,33180.529048610995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9815549558523278,0.0,0.29875555995577946,-0.6876047387724877,-0.5748791181693835,-0.25909567998508953,0.5881891708859828,-0.5308410180665519,-0.3968562629585362,-0.11322355601900344,-0.06558981556739768,-0.08397986323222856,-0.5064801471472613,-0.30336411640977856,0.13866926768285687,-0.18156427056027633,-0.11263932573954495,-0.019907075018442147,-0.17734191483308342,-0.1458334998299076,-0.2118029358605365,0.18023902841936415,-0.3155111846125396,-0.12455101577688024,-0.9845535479829229,-0.24173024253623915,-0.05120071324044513,-0.15450816490341623,-0.20631748370316358,-0.17249514051092846,-0.47649860644681163,-0.5870034485353837,-0.17493649655368762,-0.10204158365531765,-0.2585340589876429,-0.10953621723028191,1.1704976713939577,-0.2121751558132886,0.14388320787471537,0.24886478983110866,0.29398709563232883,0.15798996440346952,0.2249299086720001,-0.5103689639522826,1.6330141623682506,0.2902948549578401,0.0212368005405984,0.14566092862126598,-0.010354657974901545,-0.0036542592537510206,-0.19598627909502817,-0.10201100262167588,0.009839068956184896,0.1713116407155701,0.20788280123634628,0.0611009583973505,0.4505909574928816,0.1883091887043593,0.6275538582518784,0.10325739605573284
9,32765.46728034797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2797373100454994,0.0,0.6039288010797883,-1.0137951774012053,-0.8378215458240548,-0.419881701375857,1.1460413077001737,-0.9063223052501015,-0.23452741146374342,-0.08188487744561779,0.02282972920392924,-0.05522501454137772,-0.848553229087122,-0.6367197740984891,0.32646862438203417,-0.3347168870694601,-0.1845858748944777,-0.010726518769644831,-0.2161925967246293,-0.26342829843339327,-0.2693920774693452,0.437258279929989,-0.6067985457915286,-0.253235480255466,-1.1227719326103707,-0.42847468551490053,-0.042609754127850064,-0.08187922129315647,-0.17883255297156195,-0.2261683990249547,-0.32098727017578743,-0.8776168284847886,0.21688556227379172,-0.05848372857792034,-0.2463814215709254,-0.13702863302642754,1.1025708258962463,-0.39248265208511357,0.2167442570419285,0.015401837008937797,0.18011057165664762,0.17980509668066488,-0.1058935205246235,-0.626828646201283,1.5645488281130502,0.34638769428240435,-0.23097757513636363,0.11342520024538552,-0.010874294191403252,-0.0035472904452892116,-0.18373857034112132,-0.1104685031729836,0.027599960501655994,0.4625009265863618,0.5242089390259396,0.10303809887882176,0.4774478890934315,-0.24083387350261654,0.8075244569661536,0.11215439187895089
