Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_16_24,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_shopping_trip,b_carD_recreation_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_16_24,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_shopping_trip,b_carP_recreation_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_16_24,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_shopping_trip,b_pt_recreation_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_16_24,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_shopping_trip,b_bike_recreation_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_16_24,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_shopping_trip,b_walk_recreation_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_bike_stressLink_e,g_walk_vgvi,g_walk_speed,g_walk_speed_c,g_walk_speed_e
0,56098.993934027254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,52046.071689151744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0083273512784612E-7,0.0,6.9276690293725495E-9,-1.4527476335925452E-7,-7.945769097967529E-8,-4.261832130408337E-8,-8.727123356784301E-8,-1.1885261824959123E-7,-2.5670004604949974E-8,-5.042504507966604E-8,-2.715155036573679E-8,-7.562515635958357E-7,-1.4824805488208897E-7,-4.456956641083941E-8,-2.306985727710719E-7,-1.4140826680748337E-7,-3.997942843113559E-7,-2.6287560585356725E-7,-3.492545451969312E-7,-8.837195456476426E-8,-2.4154201299573225E-7,-8.753474383951173E-8,-2.561896064346538E-7,-3.592033249464204E-8,-1.639132817899896E-8,-7.965752073712018E-8,-6.019243529286391E-8,-1.4954202613438378E-7,-1.0673410537311286E-7,-1.1706423838035057E-7,-3.495322605790729E-8,-7.684813387274211E-8,-2.664290323500422E-8,6.534097187086052E-7,5.865821349058903E-8,4.501544545688638E-8,2.2711015571554223E-7,1.3269397697114776E-7,3.562284501659308E-7,1.0877346114070892E-7,5.003199616324635E-7,1.0837358122660061E-7,1.7372987058779239E-7,6.803049562359471E-8,2.5005574931064695E-4,-0.0017278256865456392,-0.10000120290567452,-0.09999038584628228,1.4737340126356035E-9,9.57230045665684E-8,1.9932980209337232E-8,2.5302423609921575E-8,-6.505115146894318E-7,-5.926406549781347E-7,-4.358723061805756E-8,-1.137888623532596E-7
2,51198.00460524911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.684936780467794E-5,0.0,-7.53370138119952E-7,-1.1572283066206858E-5,-6.718883875507329E-6,-1.092538748841236E-5,-9.907538665553721E-6,-1.3559771447464735E-5,-3.6686031420732235E-6,-7.67136036205326E-6,-3.1228208519751436E-6,-5.575772828727583E-6,-1.484536135226653E-6,2.1040165045508728E-7,-2.0349888573245793E-6,-9.370202238032757E-7,-2.7861568760723696E-6,-1.7561188470273726E-6,-3.0086160490748357E-6,2.3547156006432357E-8,-2.1840542824501048E-6,-7.670331812604735E-7,-1.6520533891117013E-5,-2.6712194427285076E-6,-1.041934305895548E-6,-5.021772432677983E-6,-3.7192457123594483E-6,-9.463163516308362E-6,-6.731830455749353E-6,-7.71449245130055E-6,-2.281340907079002E-6,-4.948031359075196E-6,-1.6864714759680043E-6,3.2232273440245556E-5,2.7944097366591374E-6,2.2323211198973465E-6,1.125267503144938E-5,6.545145345645075E-6,1.7582349308784692E-5,5.209605586120771E-6,2.4866594685800717E-5,5.3563509909982685E-6,8.55256695110191E-6,3.370379885064233E-6,-0.0019627304327907353,-0.0021067333184921315,-0.10008905001036487,-0.09952516384104021,1.0591584048336172E-7,7.122270141963939E-6,1.6636386787987999E-6,1.6760971289899156E-6,-3.2110316336757085E-5,-2.9261408013851675E-5,-2.041855920665445E-6,-5.61286529034528E-6
3,45247.54818472485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030802241443113553,0.0,-6.541923682583338E-5,-0.0014351497910560383,-8.209690743234482E-4,-0.0011810785029665281,-0.0011400379343784876,-0.0015725208142542452,-4.1880939506247006E-4,-8.697184590901724E-4,-3.682744752262184E-4,-5.724367405929182E-4,-1.681532499760086E-4,4.1097553941888944E-5,-2.218294569259507E-4,-8.939483810819494E-5,-2.793114570274375E-4,-1.7174161475214122E-4,-3.1479583198144835E-4,3.173427987828388E-5,-2.432985623411321E-4,-8.666847148477663E-5,-0.003339933435136732,-5.658594405180962E-4,-2.217715803448138E-4,-0.0010067856959098485,-7.203156449248263E-4,-0.0018719037712384226,-0.0013370785395643494,-0.0015512802774186052,-4.5779934317315526E-4,-0.0010060860497677845,-3.4805751111201993E-4,0.0042760948476495055,3.6321099229513965E-4,2.970018569741095E-4,0.0014974911351980928,8.661193546482939E-4,0.0023336233741569853,6.601582030211115E-4,0.0033345909513043783,7.136852344491367E-4,0.0011314047819268858,4.478111528087875E-4,-0.002730399839055677,-0.0022388681518829617,-0.1272590278342181,-0.03753374012638869,3.090958012827264E-5,0.0022181172922472805,5.010254980587338E-4,4.540007253396945E-4,-0.0041965371738074565,-0.0038245817283304125,-2.534274727367732E-4,-7.299609147127701E-4
4,42504.38944762509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05998932550809955,0.0,-0.0010661470386418798,-0.028624412066976513,-0.01619113973225526,-0.022181203253893528,-0.021962143128501973,-0.03058887967535043,-0.008130451226195937,-0.01686863113286534,-0.007250951045376035,-0.011843908941897794,-0.003487247228484204,8.814803617275489E-4,-0.0046224937332212555,-0.0018384505809133152,-0.005764790620211617,-0.0034930939526435553,-0.006556454747620852,6.995081238244774E-4,-0.005061247776578553,-0.001801727275179487,-0.04126826276742826,-0.006110261469907162,-0.0026297224483693006,-0.012719515893941404,-0.009522972498597312,-0.02387554801846535,-0.016994822076829782,-0.01903360117853816,-0.005656542380588729,-0.012368312462143611,-0.004250642768794769,0.05226127448417525,0.0011768064286695596,0.0036403416506871947,0.020061918982329383,0.010498089437947321,0.02881435300481416,-0.0010757639666148968,0.05219076491549917,0.009828538101552875,0.012463845717779793,0.005422871509007786,-0.011713057662669514,-0.0038585198309356427,-0.305622842356336,-0.09271653418071993,3.566285299686752E-4,0.024317125879541872,0.005356420540096832,0.0058517868376865645,8.050403423826517E-4,0.0025341508119095563,0.0044417337803821415,5.215203785891641E-4
5,35869.84592375331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8879394756865173,0.0,-0.016500066796984406,-0.4027707173367352,-0.23131871134009513,-0.32997536274832806,-0.3279010958654416,-0.44657270325301324,-0.120664557071521,-0.24904413462727842,-0.10424219283645861,-0.11686746154811999,-0.04049037790296029,0.014927697551401175,-0.0500112848912055,-0.015443157538210225,-0.05568924170493227,-0.02997836980732512,-0.0647113163636593,0.016851235499512687,-0.05724346459835715,-0.02101326539497931,-0.3982380360042789,-0.05211652726390782,-0.023527849925186136,-0.12492115622757036,-0.09727870175001387,-0.23628017248377253,-0.16681784866162574,-0.18598298391652265,-0.055249478403857834,-0.11750234917443095,-0.03966393172017273,0.6726480029603971,0.0076875048624422205,0.04765299043144024,0.2601488628035684,0.1347127830173675,0.36830515742214737,-0.03167709988190905,0.6917942570902329,0.12865188120047305,0.15686781894245025,0.06972602401778871,-0.010371750009738829,-0.0038654061950118574,-0.26222629982229606,-0.14178682326272823,0.0061945875461406315,0.4290750090372862,0.09350676786627334,0.11133116572015406,0.02013388352968034,0.04405585207643174,0.09739251851648689,0.01115336530990189
6,33494.79890387963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6514092789706313,0.0,0.09137236833218906,-0.4421423840131645,-0.23661305057546994,0.10247188283400988,-0.24401125871376717,-0.36648699363525417,-0.08984142295975661,-0.11026740124372977,-0.07121010312945122,-0.2785977056445714,-0.12149075195288772,0.0410674134892041,-0.11207965903712142,-0.03051373872412643,-0.1270946247025299,-0.08379856163714447,-0.13888328882678624,0.04901676325096369,-0.14370385920126277,-0.0526065423735499,-0.7472535707572165,-0.1230014677870195,-0.04314447310730124,-0.21647221865091265,-0.17703687926308287,-0.42577130081871667,-0.34432843180285866,-0.3020018552365871,-0.09874565178984548,-0.2155659102702352,-0.07559462757478994,1.0705470217314192,-0.08052642518941029,0.09127782247248548,0.4178893813631712,0.21435487934150116,0.4992861567939927,-0.1844209828815274,1.2445806325209052,0.21881004278091026,0.19714191009280085,0.1209010120966553,-0.012178766868419602,-0.003956723971944044,-0.19971800386650007,-0.16962581454238793,0.011631366903944125,0.7856723517643847,0.21792761517738884,0.19733723120995844,-0.024408902656515317,0.0013316211791274124,0.3355271337422997,0.01030381249807203
7,32581.636923353228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7220450865978387,0.0,0.24715428645326784,-0.597179173267858,-0.3369697973340457,0.561341080600966,-0.3661602813145579,-0.3319665343233226,-0.09253367725705643,-0.022003155625975115,-0.057100135020269796,-0.5126752618757513,-0.2649265812801719,0.10227145410519753,-0.21172655000758908,-0.045230557822636124,-0.20336609758280438,-0.15952560164847004,-0.23037354158028625,0.126333426626488,-0.28425742068254256,-0.10852759498580683,-0.9385521483696316,-0.1978527122840365,-0.0522112327608749,-0.23257124278312144,-0.21826901338595187,-0.48663848970214274,-0.5213079941279745,-0.2386709507445664,-0.10700567016850704,-0.2554037123095838,-0.10126616073195965,1.2389150252881374,-0.1979314189604255,0.13878999268209083,0.41449257762661135,0.21791448141404948,0.3647342860106846,-0.47622926277646027,1.7068744596107466,0.2932985962859973,0.09924980605727847,0.14877925623422883,-0.0090256741132138,-0.003204763894906927,-0.1498152014658667,-0.11879644648218693,0.009987596253038546,0.3400502915286243,0.19717905645632722,0.0987565904376596,0.3093818344206675,0.21691843199730562,0.5779852885963749,0.1516317907587511
8,32167.35536668714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.093834195009269,0.0,0.535343031151781,-0.8455103911904608,-0.5781173295371942,1.0931370169035672,-0.8287576160030761,-0.1641969726954092,-0.08946916513895611,0.04874392956810185,-0.027261863614777213,-0.9658003644749427,-0.5960462556410183,0.2649403777340378,-0.4206350188861597,-0.058854662779607325,-0.30547160643214,-0.3240881959786419,-0.357926431050945,0.34512484563997936,-0.5957273012457729,-0.23949483737361282,-0.8256071503451491,-0.3120036508671664,-0.028954589820081714,-0.0782167328737158,-0.1974280030379834,-0.1772320753277849,-0.6930521472172997,0.22679785232360405,-0.04067855440387548,-0.15677374210799844,-0.10121825092774712,1.167951736793436,-0.5054682310585652,0.21898632829668155,0.15417169097604078,0.20553366616520993,-0.07994811346151831,-0.8730157207426197,2.0081332926017734,0.3742965563622522,-0.20871613135255895,0.13028527545587446,-0.010025199344185574,-0.0031130838681641846,-0.19694926255299225,-0.11012597431376184,0.027645106927135187,0.5331910925051668,0.4298928424554199,0.13515811358890523,0.35449238597737326,0.11303400306180826,1.1109639882161177,0.1930025381365433
9,31978.54441517216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.27648993720969,0.0,0.7201407612398497,-0.8468315304739505,-0.6152099322463808,1.2308113278899464,-0.9224753676088745,-0.10896994239588909,-0.026335172574968854,0.07103981248206101,0.02716313394602294,-1.2595554224633474,-0.8992001621116344,0.44352151743635265,-0.5769098724333772,-0.04619165640851036,-0.2915666725403896,-0.41606322483354563,-0.39617957749266586,0.5711665942217661,-0.8349202448941513,-0.35341533993573493,-0.9499478884764165,-0.4544859248310729,-0.010241107993648444,-0.04138193753947937,-0.22450352062259243,-0.061335749176713694,-0.959431005896204,0.5650419843859222,0.0027126022993323035,-0.16372951829706117,-0.12161054838340192,1.335526115281383,-0.6532721886480664,0.28642622146294777,-0.006722040277365837,0.2198849729754148,-0.04386366927328947,-0.7450676532087824,1.940292662882206,0.4451734363167427,-0.28285072818998325,0.08631548453078804,-0.007969486579432318,-0.0025830129450724005,-0.18074210935597668,-0.14267981696681523,0.036363497521675295,0.28123309794683937,0.5301248684628022,0.08166551151587534,0.10840972975809324,-0.22359250315891616,1.3140172396648917,0.18349236305844838
