Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_16_24,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_shopping_trip,b_carD_recreation_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_16_24,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_shopping_trip,b_carP_recreation_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_16_24,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_shopping_trip,b_pt_recreation_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_16_24,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_shopping_trip,b_bike_recreation_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_16_24,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_shopping_trip,b_walk_recreation_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_speed,g_walk_speed_c,g_walk_speed_e
0,56098.993934027254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51890.481824875016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9401988567029817E-7,0.0,6.6926616927509204E-9,-1.4034660713951547E-7,-7.676224749759409E-8,-4.117257986659663E-8,-8.431073125783001E-8,-1.1482078053521451E-7,-2.4799200964115436E-8,-4.871447612884662E-8,-2.623048824375234E-8,-7.305972396056065E-7,-1.4321903568537764E-7,-4.305763287992405E-8,-2.22872584416335E-7,-1.3661127376150966E-7,-3.862320616424892E-7,-2.5395807591203657E-7,-3.374067822449584E-7,-8.5374112493173E-8,-2.333481825867331E-7,-8.45653024697869E-8,-2.474988856708467E-7,-3.470180695100853E-8,-1.583528510553439E-8,-7.69552984295963E-8,-5.81505271354491E-8,-1.444691115471194E-7,-1.0311336400627255E-7,-1.130930678814768E-7,-3.376750766873844E-8,-7.424121440398521E-8,-2.573909595111421E-8,6.31244098921439E-7,5.666835074383266E-8,4.348838636979583E-8,0.0,1.2819259880462387E-7,3.4414411141542196E-7,1.0508353870223621E-7,4.833476061196121E-7,1.046972239156166E-7,1.6783643168282272E-7,6.572269692279586E-8,2.415731073998882E-4,-0.001669212650758289,-0.10000116209950183,-0.0999907119872468,1.4237405294409293E-9,9.247579280439696E-8,1.9256793663752172E-8,-6.28444210685633E-7,-5.725365043165486E-7,-4.210862086709632E-8,-1.099288024448741E-7
2,51075.20757835994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.4074172097056627E-5,0.0,-6.731204170587442E-7,-1.0388920030284133E-5,-6.029007695203083E-6,-9.785536897787148E-6,-8.878985322377502E-6,-1.2159255802439445E-5,-3.2888737558977323E-6,-6.877439493713943E-6,-2.8020225251372938E-6,-5.197013788180991E-6,-1.3649991393732821E-6,1.7803372980051621E-7,-1.885782913133553E-6,-8.821070528322025E-7,-2.6046707577439045E-6,-1.6572437235880284E-6,-2.7958207783635277E-6,-4.813784702294038E-9,-2.0179266895713E-6,-7.072427251485747E-7,-1.483593655022366E-5,-2.396481337492224E-6,-9.360660667819106E-7,-4.510542352463489E-6,-3.340717358874519E-6,-8.499178361507712E-6,-6.0461465398895734E-6,-6.925838640465263E-6,-2.048193153337066E-6,-4.443861522827073E-6,-1.5150824121978072E-6,2.9009959776568533E-5,2.516618023235624E-6,2.008953071929187E-6,0.0,5.890826529783688E-6,1.582446783429198E-5,4.6909017790789935E-6,2.237812720949562E-5,4.820808599833386E-6,7.697725665876294E-6,3.0331512028997453E-6,-0.0017581867604979087,-0.0020119656568534997,-0.10008006166913064,-0.09957268313575765,9.522402382962321E-8,6.403620358784871E-6,1.495114390990294E-6,-2.8897171755857747E-5,-2.633316211232279E-5,-1.8388323625379154E-6,-5.051246339098833E-6
3,45143.20124335012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002899443892223601,0.0,-6.102293953113877E-5,-0.001354011690008635,-7.739313737740065E-4,-0.0011092621619632332,-0.0010720397047101324,-0.001480425825953465,-3.9413585349055486E-4,-8.184423463292704E-4,-3.470741918045568E-4,-5.54615369714371E-4,-1.6093220358511594E-4,3.806930011443722E-5,-2.1388707998314728E-4,-8.753871726838726E-5,-2.7143019114369454E-4,-1.6891464899429707E-4,-3.0383608493332533E-4,2.8244694612691634E-5,-2.340624503024155E-4,-8.325738332152778E-5,-0.003173851450675694,-5.375307828473281E-4,-2.1068819202053093E-4,-9.569118053347012E-4,-6.845295205665274E-4,-0.0017785708714857572,-0.0012710769838902823,-0.0014745201081314409,-4.350186228817679E-4,-9.55993249643133E-4,-3.307698226854485E-4,0.004044535151294914,3.434561743465363E-4,2.8093094432720176E-4,0.0,8.191594564056242E-4,0.0022072715493647145,6.23774563259834E-4,0.0031547378116859076,6.751134314223539E-4,0.0010700681515262054,4.235627364818977E-4,-0.0024616533801440936,-0.002133243817263582,-0.12576536495202909,-0.04092925302054101,2.9227473080974866E-5,0.0020956349233488044,4.7306026300183995E-4,-0.003967499789462653,-0.003615863645973297,-2.3932732936345267E-4,-6.900402912013507E-4
4,42469.51748815055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05464394556730101,0.0,-9.220431095325712E-4,-0.02630294983214635,-0.014823583284570424,-0.01998270835295091,-0.01996333981568859,-0.027825229807540132,-0.00739107674954695,-0.015351134136496473,-0.00663840088303106,-0.011097899129548821,-0.003247852005128796,8.149454699471553E-4,-0.004330331207975337,-0.001727949890930367,-0.005408364731334682,-0.0033101637670455986,-0.006113284234277135,6.491601810053291E-4,-0.004740046356458344,-0.0016888733354788637,-0.03773576806539057,-0.005538099836313842,-0.0024094779040412496,-0.011646157203739634,-0.00873049751357913,-0.021859360967364662,-0.015564213298471916,-0.017354766986136517,-0.005163174794259434,-0.01131551465998391,-0.0038951773500241482,0.04584654105384093,6.914046062951108E-4,0.0032272231094487504,0.0,0.00914079303132261,0.025305545730798365,-0.0021392702393008057,0.04710119055675385,0.008738257059657892,0.010795997284724296,0.00478050770590255,-0.010600118292900342,-0.003602162904447536,-0.2883610378597019,-0.08969973052616739,3.4441737238165494E-4,0.023520382403283017,0.005202209213208442,0.0140878802157386,0.014437890157514927,0.005177976391669391,0.002896099037929039
5,40983.68132430972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5751291007911097,0.0,-0.02705463364247138,-0.721333153644781,-0.4120335556904252,-0.576886488801244,-0.5811050002159304,-0.7908217491311296,-0.21393459902290235,-0.440509820147658,-0.18560878285394591,-0.21634689284659178,-0.07518485052212388,0.02665355046758361,-0.09164060774528536,-0.02840074822857992,-0.10378962742547558,-0.057967961365501766,-0.11799798485331803,0.031066717225419097,-0.10628966603212782,-0.038755703250910906,-0.6976048815266042,-0.08866444313500486,-0.040951503875371977,-0.21986025914233354,-0.17250523658960074,-0.41514881564449485,-0.2923933938122431,-0.325348419687128,-0.09662674197744292,-0.20570463551677928,-0.06953200363645547,1.1495442938603961,0.001941594180240226,0.08215055681447114,0.0,0.22814484886352804,0.6300184153034095,-0.08724849320900047,1.2193237032870727,0.22308916436748324,0.2641229456426013,0.1199728520431645,-0.008172448548771544,-0.003610050516822431,-0.20231347556417034,-0.144384535429241,0.012305858856324485,0.8543116616399792,0.18620666833184196,0.29087934774344854,0.3069392144038773,0.19136109211347477,0.0661781854846872
6,37451.9590458635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3085915357071443,0.0,0.09207067073857562,-0.7980628218833806,-0.4192314132623334,-0.13986280863151063,-0.47873981283603934,-0.7263463537671376,-0.17973511431293837,-0.3016306340018933,-0.15142032938989036,-0.3820450516672627,-0.17081288631953265,0.05644870020675002,-0.15474477960362162,-0.03919413576153206,-0.17445196670763174,-0.11282899551766369,-0.19233744930668928,0.06602783837569617,-0.19641552001366275,-0.07131227047516663,-1.0593849899897152,-0.17084740363207723,-0.05895476933700476,-0.31493629690076447,-0.2589378847038819,-0.6175832139386587,-0.47029364075318925,-0.45141173687183156,-0.1419052981352627,-0.30942050787844205,-0.10600985159299155,1.5632907855286644,-0.10887967026103525,0.1211418865547007,0.0,0.3035234053676917,0.7786058847263232,-0.24563204403426986,1.8044924537763354,0.31611314195154916,0.31082931422475063,0.17693959404153417,-0.01107155675015898,-0.0038903729925938747,-0.14206540008971547,-0.14586738030926574,0.02013778759695034,1.412234283736466,0.35237882761725214,0.440957604846011,0.49115182848761774,0.4499363769258058,0.1078851716105535
7,36118.41339652757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3235955373402521,0.0,0.32044005694350564,-1.0734108331732974,-0.5336623569674425,0.49747314830162853,-0.5488239168549254,-0.789701601094427,-0.18435260026388658,-0.16799857540608037,-0.1274372626319906,-0.6323589768502551,-0.3604044248558764,0.13439410559067477,-0.26494951275390843,-0.04107469621936367,-0.25998812887185363,-0.18935140877795648,-0.2886256427902214,0.1696367423739824,-0.36483418937233725,-0.13665159461974585,-0.6200555273849027,-0.21094816832857705,-0.011240523865484367,-0.1082349393217511,-0.16932636864163614,-0.30669533884196354,-0.3454197117904555,-0.12174289553591494,-0.0674984016155921,-0.1455462180014273,-0.055805370620843946,1.9750913887549064,-0.33328444946017455,0.16891937426845743,0.0,0.34504691393677867,0.7630693778384696,-0.5695811505496049,2.5710947073709187,0.4386593483559986,0.2623226260600589,0.24583816114686902,-0.009551632811320368,-0.0033689619214352386,-0.17253241848427878,-0.11604805360377446,0.03834268337809328,1.4337877460811623,0.4587034446540759,0.6250613776253425,0.7124342199307105,0.912339396812053,0.20740614437620453
8,35681.7451558781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3597138670269169,0.0,0.4224023317385476,-1.1836183289817186,-0.5839095740169509,0.7577138299084722,-0.6042310960346517,-0.8067765593801617,-0.18781693839836053,-0.11495865236762226,-0.11561279468302568,-0.7270169106057303,-0.4464168423185386,0.1747391797696213,-0.31105314546134344,-0.0370154423795718,-0.2818257382016872,-0.21609289759142206,-0.3195054893028343,0.22499579203456024,-0.43763061425746164,-0.16672080142597384,-0.4994232374078429,-0.2400196102642639,0.006187729456925691,-0.042932570888969776,-0.14716904485008364,-0.20794472226707694,-0.34182903157590083,0.011840443518807614,-0.04240041314186156,-0.09741032170788153,-0.04183805218584691,2.142422389431537,-0.40690051871416033,0.18651584347825137,0.0,0.35491393518498665,0.7369759007878057,-0.6438262034763186,2.8096440418324606,0.48924957716021855,0.23568787693152024,0.27093813430913344,-0.009918915499149474,-0.00335041933083494,-0.19423703508849322,-0.15223934475549522,0.04656158643679147,1.4867992721513095,0.5097387261024527,0.4342285528851352,0.5189023960267717,1.0556422969983428,0.20405272274751116
9,35311.51203715982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6443854218086877,0.0,0.7576845369996621,-1.4059136258881189,-0.7165050193579987,1.3987764763048505,-0.8997605232548158,-0.7421521375579456,-0.1827458315640466,0.016571775103462222,-0.05707395096136439,-1.0593068404891355,-0.8117510927452635,0.37722248648258117,-0.49289358552623785,-0.00889513804540638,-0.2596905941693652,-0.27662625937195073,-0.4153381506708077,0.4905092487021331,-0.7135787032658256,-0.2974230418565955,-0.7928264646109245,-0.43911663699294706,0.03295038460037404,-0.08318645279417405,-0.24772615634146178,-0.2650370135318326,-0.8193266477689499,0.3447976362048114,-0.026176182164505193,-0.17901654688791324,-0.07494217101471054,2.3294928724061816,-0.4960546136713601,0.1996028759633094,0.0,0.26611973949060397,0.4079478482533149,-0.6054759765081071,2.899935838191578,0.6067535110152027,0.027622440732107068,0.2715515564440946,-0.006341279845618405,-0.0025157203463825224,-0.13728496674176197,-0.14763597048333507,0.0607344953675868,0.9548981059698783,0.4917844080581665,0.3973823703394724,0.37840361588150284,1.1457418214775317,0.37315129119220924
