Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_16_24,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_shopping_trip,b_carD_recreation_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_16_24,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_shopping_trip,b_carP_recreation_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_16_24,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_shopping_trip,b_pt_recreation_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_16_24,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_shopping_trip,b_bike_recreation_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_16_24,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_shopping_trip,b_walk_recreation_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_speed,g_walk_speed_c,g_walk_speed_e
0,56098.993934027254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51599.70550114989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8057543308685266E-7,0.0,6.2288990610269975E-9,-1.3062140140394934E-7,-7.14430690375374E-8,-3.831955892061366E-8,-7.846848666132659E-8,-1.0686436651009165E-7,-2.308076019544104E-8,0.0,0.0,0.0,-6.799710890358381E-7,-1.332947873143066E-7,-4.007398869515603E-8,-2.0742880718193745E-7,-1.2714490496067559E-7,-3.594684202713007E-7,-2.3636025444138352E-7,-3.1402644950456185E-7,-7.945818174564796E-8,-2.171785071672161E-7,-7.870541756504167E-8,0.0,-2.303486486146732E-7,-3.229717303165077E-8,-1.4737991706916077E-8,-7.162274265982454E-8,-5.412103293141974E-8,-1.344582401704176E-7,-9.596820603283854E-8,-1.05256374320938E-7,-3.1427615269848195E-8,-6.909672891300859E-8,-2.3955525912094832E-8,0.0,5.875025446616312E-7,5.2741562765758153E-8,4.0474893466945486E-8,0.0,1.193095953422563E-7,3.2029692084620844E-7,0.0,4.4985442087549856E-7,9.744231363830699E-8,0.0,0.0,2.1737483585067345E-7,2.2483349240293645E-4,-0.0015535458970269591,-0.1000010815727476,-0.09999135559265158,1.3250835697531705E-9,8.606775680757143E-8,1.7922409569940993E-8,-5.848966724386435E-7,-5.328630458048994E-7,-3.91907377096761E-8,-1.0231137412344658E-7
2,50873.91155421133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.90075538108687E-5,0.0,-5.271739414049984E-7,-8.225303986776486E-6,-4.768588209894822E-6,-7.707431847738238E-6,-7.002755867987737E-6,-9.602437092875419E-6,-2.5958402975078896E-6,0.0,0.0,0.0,-4.452297822274284E-6,-1.1382473988321258E-6,1.2156901879252781E-7,-1.5967010622197823E-6,-7.700288674011475E-7,-2.2445272880977774E-6,-1.4539756690834922E-6,-2.3799408150345617E-6,-4.931048417970652E-8,-1.6989113676034513E-6,-5.931419096455527E-7,0.0,-1.1753530302139817E-5,-1.8943979791054499E-6,-7.422003485160717E-7,-3.574873921219631E-6,-2.647979883552727E-6,-6.735097974133834E-6,-4.791282566517478E-6,-5.483528267711723E-6,-1.621800418725877E-6,-3.5211824309772984E-6,-1.2012548757715148E-6,0.0,2.3097118379784226E-5,2.0063079598485537E-6,1.5991541399906426E-6,0.0,4.6901687638999385E-6,1.2598864372811952E-5,0.0,1.781273149649653E-5,3.838112354552203E-6,0.0,0.0,8.543531125179184E-6,-0.0013813876857585816,-0.0018294298269476256,-0.10006356016065693,-0.09965985589785506,7.559919848699884E-8,5.084107932215226E-6,1.185819192622722E-6,-2.3002640169975994E-5,-2.0961348272493223E-5,-1.4659789585113848E-6,-4.0209421029520536E-6
3,45113.65173485236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0026216338521497,0.0,-5.4200914433447335E-5,-0.0012295569008609188,-7.017050022640675E-4,-9.98650954065521E-4,-9.672972194615194E-4,-0.001339007255634175,-3.5621985330326037E-4,0.0,0.0,0.0,-5.314567828895621E-4,-1.505069277841842E-4,3.315579678269296E-5,-2.0296192910859275E-4,-8.560670630065599E-5,-2.6164294066210314E-4,-1.6669828082763373E-4,-2.888589324460393E-4,2.2359710191945123E-5,-2.2116593329967395E-4,-7.844455250155061E-5,0.0,-0.0029189555498962115,-4.938974775431524E-4,-1.936818516714687E-4,-8.80430974544802E-4,-6.29650282444113E-4,-0.0016353549652073085,-0.001169706107893551,-0.0013567471635651685,-4.000575549732861E-4,-8.7911159940039E-4,-3.0424430432270425E-4,0.0,0.0036907947187604373,3.1330448311818346E-4,2.5637852881511147E-4,0.0,7.474220861409472E-4,0.002014249654523314,0.0,0.0028799448144191863,6.161883063000794E-4,0.0,0.0,0.0013628871004150267,-0.0019855529267809586,-0.0019339005215178815,-0.12347881984745372,-0.04611580173722137,2.6651323903460662E-5,0.0019082105584312576,4.3012908169101215E-4,-0.0036176374070148237,-0.003297039212538765,-2.178193396815932E-4,-6.290616469777589E-4
4,42512.43784672788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048453859807969665,0.0,-7.5473773975576E-4,-0.02361843735545032,-0.01324509777949143,-0.017420031613902758,-0.017660834126900612,-0.024602378775746975,-0.006526344242389238,0.0,0.0,0.0,-0.010358677325976715,-0.0029881948799484527,7.301907776149208E-4,-0.004030196089362722,-0.0016279104624855004,-0.005064627977152102,-0.0031704868587447226,-0.00564499577408563,5.781522980235886E-4,-0.004407660992082409,-0.0015723100492957198,0.0,-0.03355662585547996,-0.004866335554579685,-0.002149834343048109,-0.01037160463621292,-0.007791122997676486,-0.019477846484966952,-0.013877273283932198,-0.01535664921454845,-0.004579261865106563,-0.010067421821994871,-0.0034750349032037645,0.0,0.03828892606071217,1.2134980993165888E-4,0.0027482065430949163,0.0,0.007540669774300784,0.02117257544800177,0.0,0.04111133857479241,0.00745170326529817,0.0,0.0,0.012862504841700515,-0.009142822876498372,-0.0032274907116924094,-0.2685034128650308,-0.0860329146359757,3.3078985736730124E-4,0.02262108164830889,0.005048177321338531,0.033796680416758,0.032148008738142345,0.006323097738626614,0.006414234790382531
5,35930.05559570066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6386473801637619,0.0,-0.010007028843338607,-0.29683025350540776,-0.16886511205600374,-0.2292595915086101,-0.2350855048658755,-0.31994047572723205,-0.08603169385825596,0.0,0.0,0.0,-0.09711374325045125,-0.03304782443558112,0.010682324490565463,-0.04012612891527659,-0.012938086164129442,-0.047133728600451334,-0.028077082352060842,-0.05179551746447953,0.01256583703662892,-0.04679402986505442,-0.017065068933695034,0.0,-0.2851110580618167,-0.03554143457135783,-0.01682807691512954,-0.0900077914033856,-0.07084046723148676,-0.17016480628526287,-0.11941279900382998,-0.13228114510432476,-0.03945869642052445,-0.08370457372050197,-0.028523978415447314,0.0,0.4387241124507506,-0.005711930476455718,0.03199476324092364,0.0,0.08618604501659616,0.24100834222910267,0.0,0.48935243448350224,0.08723413378735088,0.0,0.0,0.14452274300295373,-0.007075429606074638,-0.0030081710189181887,-0.20906149201130825,-0.06333160420265808,0.00539884659626665,0.37342512640918685,0.0825642284506652,0.3355488488676542,0.32557227107219594,0.09125910894880836,0.06650182987766759
6,33867.393343015225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.884462939567162,0.0,0.06783956601175219,-0.5188976814143826,-0.28663077431067724,-0.014530062589576953,-0.34076366570258426,-0.4492449869582399,-0.110219537920804,0.0,0.0,0.0,-0.30485752540664024,-0.11981647238795065,0.038593961310401353,-0.12448263706683585,-0.036142924530859426,-0.14310111084370225,-0.09987843673562029,-0.14787036828399727,0.04586697613982533,-0.1501360279992839,-0.05513885446329673,0.0,-0.773091670142062,-0.11027216766291024,-0.04295994899332747,-0.23521388069397275,-0.19323038557022165,-0.44260997712511085,-0.3501017970646526,-0.32103759453468966,-0.10467410882510148,-0.21659881646163445,-0.07620025493819442,0.0,1.1414000785033664,-0.08293646677635283,0.08932835907419354,0.0,0.22611641597586862,0.5448360911234563,0.0,1.292525457824041,0.2315339809514117,0.0,0.0,0.3384973304816703,-0.011823980301190732,-0.0037845600499508483,-0.1943502937962545,-0.24411551181791935,0.015846689315146923,1.062211577013973,0.25132105318117265,-0.20784074482269038,-0.1843530373511288,0.24528141107364954,-0.029122277595508672
7,33145.8617879302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8123176645418273,0.0,0.12503599451709976,-0.5515369504191121,-0.2940907904765525,0.19601920928526256,-0.32449904713890304,-0.4160033525152684,-0.09518608452090523,0.0,0.0,0.0,-0.3917245351800023,-0.1681459120962537,0.05692136852357921,-0.16120046715700617,-0.04222126113417814,-0.1749235968391954,-0.1282264948386858,-0.1847798232042214,0.06631180273106702,-0.19553790621744618,-0.07308591647999421,0.0,-0.8688809832233448,-0.13646682319840273,-0.046701632415112125,-0.2558876202293269,-0.21835749505020408,-0.48756756949880065,-0.41552028450262973,-0.32582718917262565,-0.11363242170473015,-0.2381447963926019,-0.08644394631260521,0.0,1.2587156582396113,-0.1269265061749147,0.10308652983508197,0.0,0.22334852480420309,0.5411180129135283,0.0,1.509764888110827,0.2658501885250746,0.0,0.0,0.3365106976119985,-0.010971263085751052,-0.0035304927732457366,-0.16400776271501993,-0.23464535126222835,0.01585206128913407,0.9845412050557195,0.2519634176957459,-0.15368990116699455,-0.1600849726727865,0.3520907742660677,0.06805958182994688
8,32659.714149834035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0109479110348798,0.0,0.2671104822492274,-0.7393251248283544,-0.40399125204478015,0.5311351498642618,-0.47182635412641416,-0.452022684750895,-0.10201903489696738,0.0,0.0,0.0,-0.6054043667511022,-0.3132112855759505,0.12383207382440062,-0.26018130026355657,-0.051839311682695,-0.23031864571076333,-0.19357381589109746,-0.26339997571022267,0.14708072567436226,-0.3237087561696548,-0.12695736404839011,0.0,-0.780292412864601,-0.17292010855329534,-0.030914142397493613,-0.1870321381678639,-0.21544235482013435,-0.3703746336805522,-0.456348070831458,-0.14147845539052314,-0.08370896882005618,-0.18043712724490765,-0.0785971282015186,0.0,1.4136965378958828,-0.24554418203484107,0.12526297460950617,0.0,0.22014666464332683,0.41528635973096806,0.0,1.994059051941495,0.33801817822647856,0.0,0.0,0.23611728479685734,-0.007861806103673505,-0.0028526505889200837,-0.16175458342195706,-0.248056316865999,0.01859672092996173,0.5857756543726373,0.22818129953663102,-0.19982327536464572,-0.31783932856759467,0.5576336621154544,0.11681111822306542
9,32581.023050114738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.28229503161853,0.0,0.665244305692033,-1.0383553445251044,-0.6346796961048486,1.3768156152644855,-0.7914051569899496,-0.32596618611727024,-0.06639243853891218,0.0,0.0,0.0,-1.1565164882728014,-0.7447724119894533,0.3314875793450336,-0.5181050559613529,-0.0630091760278049,-0.33050259313678587,-0.373794748773309,-0.424856217814945,0.41783695630449036,-0.6910412317769772,-0.2863806020937801,0.0,-0.5907824144646279,-0.3515041240074323,0.020893865619394193,0.012675688119256928,-0.22289221698679385,-0.01546892108274045,-0.5961507466300657,0.3821221434566787,6.107894647459505E-4,-0.03699252789062757,-0.058202524378903185,0.0,1.1855737231646393,-0.49526179283632443,0.12263459785499822,0.0,0.18417067814751995,-0.2227070422791564,0.0,2.723883629843905,0.42630841667511754,0.0,0.0,-0.30284241052617766,-0.009069177302200087,-0.002684180762907335,-0.20826073075539908,-0.22035209368919,0.04687373433368042,0.9143173630725125,0.532529231039579,0.03441287440188673,-0.37277496445758485,0.7322428553187071,-0.12720999996718046
10,32456.737059644667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.378189875597174,0.0,0.7411068287608656,-1.03077641594688,-0.643375256956826,1.4155532429945152,-0.8328273536904299,-0.2924418554289226,-0.04156473844941953,0.0,0.0,0.0,-1.2721424446712024,-0.8873379552361833,0.41702528273955114,-0.5838985518201207,-0.052110481200704016,-0.30121247269600104,-0.39660792924165855,-0.4374579778636438,0.5255820992432902,-0.7915287853714177,-0.33777283827978455,0.0,-0.6347297694895659,-0.43015766615266415,0.035041390100768455,0.023365721016985776,-0.23680810715693523,0.025564796974051465,-0.6893411519668092,0.5186900672248068,0.024660760484062245,-0.04337333422158492,-0.06792176179448006,0.0,1.109514481656875,-0.5233742418107808,0.1375650937295339,0.0,0.09214295708360958,-0.270770271788247,0.0,2.7965096393565787,0.42792346976237466,0.0,0.0,-0.39413080671748524,-0.009225257580631398,-0.002661469021394897,-0.21089478342896917,-0.22205756165824372,0.05417986896814481,0.9387184909758423,0.6125125248381649,0.01674085231145767,-0.42037325272785375,0.6018015728090943,0.06193978633610944
