Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_16_24,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_recreation_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_16_24,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_recreation_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_16_24,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_recreation_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_16_24,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_recreation_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_16_24,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_recreation_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_speed,g_walk_speed_c,g_walk_speed_e
0,56098.993934027254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51401.32536849949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.706783550357669E-7,0.0,5.8875021216677675E-9,-1.2346223150615212E-7,-6.752737785858546E-8,-3.621931937508211E-8,-1.0100728529948473E-7,-2.181573714536311E-8,0.0,0.0,0.0,-6.427028581052628E-7,-1.2598909300528035E-7,-3.7877591393738364E-8,-1.960599345749099E-7,-1.2017627679967626E-7,-3.397664765932014E-7,-2.9681511445348026E-7,-7.510319384341325E-8,-2.052752676195729E-7,-7.439168757769696E-8,0.0,-2.17723572681974E-7,-3.0527011737506584E-8,-1.3930223719066664E-8,-6.76972038297658E-8,-5.115473747266808E-8,-1.2708877869479036E-7,-9.948742483417378E-8,-2.9705113177686082E-8,-6.530963723926002E-8,-2.264255821956948E-8,0.0,5.553023807726098E-7,4.985087406959491E-8,3.8256523155414406E-8,0.0,1.12770409157512E-7,3.0274191033925503E-7,4.251985513647807E-7,9.210164150439132E-8,0.0,0.0,2.054608358121338E-7,2.12510694197381E-4,-0.001468398295628575,-0.1000010222933112,-0.09999182938010301,1.2524576577458006E-9,8.135050766550959E-8,1.6940108249406892E-8,-5.528393326333926E-7,-5.036575937413632E-7,-3.7042750116005274E-8,-9.670383583374713E-8
2,50755.17417836316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.566351818527934E-5,0.0,-4.313237151033835E-7,-6.794617032528504E-6,-3.935896696351763E-6,-6.338277100099664E-6,-7.914921447982123E-6,-2.1386037910834633E-6,0.0,0.0,0.0,-3.91589109133824E-6,-9.813373992146287E-7,8.654480780325164E-8,-1.3918545633204897E-6,-6.861374362521684E-7,-1.9825348924135537E-6,-2.0824966878489256E-6,-7.258701487641809E-8,-1.4750538930653664E-6,-5.136298651065774E-7,0.0,-9.713817168433794E-6,-1.5626956982315932E-6,-6.137942220837377E-7,-2.955512180919935E-6,-2.189452996403513E-6,-5.5675549510773015E-6,-4.529701050031819E-6,-1.3398105021265891E-6,-2.9104892461907854E-6,-9.934067315806649E-7,0.0,1.9169586827040095E-5,1.6668797587309235E-6,1.3270098663424264E-6,0.0,3.892643301156162E-6,1.0456339429722749E-5,1.4780931328031404E-5,3.185377181522879E-6,0.0,0.0,7.090660670670542E-6,-0.0011299196530878929,-0.001699388420959646,-0.10005260019895358,-0.09971774149275302,6.256735217904838E-8,4.207600925319023E-6,9.80482728092928E-7,-1.908838703825302E-5,-1.739426054654131E-5,-1.2180448701492448E-6,-3.3367605895671856E-6
3,45113.10610430697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00249109772992628,0.0,-5.083187479591994E-5,-0.0011718408120654795,-6.680228933565032E-4,-9.460065785323544E-4,-0.0012727008012286965,-3.383937453583493E-4,0.0,0.0,0.0,-5.27663395264017E-4,-1.4677057415340644E-4,3.0468125711560177E-5,-2.000174636367403E-4,-8.622769398853161E-5,-2.609134278356579E-4,-2.850463384462329E-4,1.877066850061158E-5,-2.1731290420389123E-4,-7.691321542605467E-5,0.0,-0.002804438083000633,-4.7409770069882696E-4,-1.8603740380874838E-4,-8.461715915060803E-4,-6.050463071481105E-4,-0.0015709931174166286,-0.0013039341002041628,-3.8434570817740324E-4,-8.44561386276663E-4,-2.9234058010789204E-4,0.0,0.003530037933349283,2.996186473957231E-4,2.4522007027907134E-4,0.0,7.148106286042769E-4,0.0019265325188636436,0.0027551393278534508,5.894211078771594E-4,0.0,0.0,0.0013034594419830156,-0.0016816775316521534,-0.0017950194312506141,-0.1224289605465162,-0.04847467536834473,2.546978935384529E-5,0.001822039070126558,4.1020388834276934E-4,-0.0034583609696084328,-0.0031518945922790185,-2.0801691886185037E-4,-6.012873972718932E-4
4,42534.13820061029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04606625432822817,0.0,-6.878096744405751E-4,-0.02259617991827939,-0.01264136424199078,-0.016419239336709125,-0.023334048583384382,-0.00619239159129296,0.0,0.0,0.0,-0.010225649813739716,-0.0029104965733236223,6.88104410985389E-4,-0.003961720554674443,-0.0016225045409246775,-0.005015782708249581,-0.0055299685386927325,5.334837414691118E-4,-0.004327685826779219,-0.001543758821457283,0.0,-0.03191024660977451,-0.004602095156998225,-0.002047756557524676,-0.009869387542554222,-0.007421942715970921,-0.018541630912815365,-0.014553221445816817,-0.004347772202877561,-0.009579052161105196,-0.003310673043757273,0.0,0.03533273360866995,-1.059545303364467E-4,0.0025642790843062595,0.0,0.006911142712466489,0.019556549295307275,0.03877643138060584,0.006947249063679749,0.0,0.0,0.011808563749062062,-0.008426891671568874,-0.0030155287718342987,-0.261150644661989,-0.08373085483298207,3.2451085124007156E-4,0.02217457124142083,0.0049728546566585674,0.0438541327034929,0.04120534398674081,0.006924146028066829,0.008206997862801737
5,39720.421363096066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1896995787209665,0.0,-0.002890316764453669,-0.08936109210799947,-0.05067023308650462,-0.06771671332623795,-0.0945396478138284,-0.025517978822896626,0.0,0.0,0.0,-0.032295085941878084,-0.010450291616314396,0.0030656040093347105,-0.013032149409507986,-0.00453373240956642,-0.01577798345088036,-0.017158405206999475,0.0033962933541695143,-0.014995261233756649,-0.005444807035612192,0.0,-0.09145922642526694,-0.011695972704700767,-0.0055163373784771035,-0.028767113288783064,-0.022464069097004647,-0.05435351348679601,-0.041987463372068545,-0.012589881773064353,-0.027016598821423488,-0.009248623941520765,0.0,0.1286483554638031,-0.002286785120906446,0.009459436826893585,0.0,0.02515006645906647,0.0708518543165846,0.14595367134498677,0.025790629788707938,0.0,0.0,0.04225255989763257,-0.0076773054483822685,-0.0029134668750411155,-0.24228181479053695,-0.06894697278252135,0.0015354271800941948,0.10551721116488609,0.02350664101947926,0.14734575608832765,0.14019454922498453,0.029464508794142714,0.028233323182681364
6,37073.39915992505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.120567132163417,0.0,0.08397490824397535,-0.16126648418063438,-0.0963556711999751,0.3050452655372234,0.013151893655235766,-0.0031370447999307036,0.0,0.0,0.0,-0.2687938955720398,-0.09803216102283255,0.024712874651346816,-0.10385799310753961,-0.03527513978849873,-0.13290048750579128,-0.13414313111308498,0.024533124207002956,-0.12223051446174697,-0.044301794850122034,0.0,-0.4810292368437546,-0.06699328618881031,-0.024604956266327152,-0.1487487003294677,-0.12384202498181086,-0.27204735440073813,-0.1867821268415551,-0.06598580335784605,-0.12813653705845351,-0.046797595807231224,0.0,0.61765447857358,-0.0935395744219907,0.050802286364918646,0.0,0.127267536307315,0.27179159369924627,0.7836899364221428,0.13554172947684648,0.0,0.0,0.16123057583444275,-0.008969634743146203,-0.002931022969330919,-0.18681151731213794,-0.13673720098562264,0.007173491324732768,0.37752021704837635,0.08391696175396021,-1.0569276861507881E-4,0.013665810524137262,0.18742643153687763,-7.493932007450882E-4
7,33838.29312674927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43027312491694136,0.0,0.1415972336644635,-0.35003510092964574,-0.21439679557718866,0.40286311714192313,-0.028443099522513456,-0.029235209465581356,0.0,0.0,0.0,-0.4619268285836713,-0.18300867969409262,0.055725608650570885,-0.18539676850091558,-0.05603912760932597,-0.20800975327727272,-0.2155423876755332,0.05982260614516273,-0.21819290203711916,-0.08192681207381593,0.0,-0.6658421006794351,-0.09017570543572052,-0.030854643333833753,-0.20070174552378514,-0.18275539927285478,-0.3362153156818638,-0.17194062219737843,-0.0839318361633451,-0.16296894762164493,-0.06673208782523742,0.0,0.9514681068361928,-0.2002894700194497,0.08521922567969256,0.0,0.17810575250929644,0.3638147825412361,1.2864838544717516,0.22048779826808523,0.0,0.0,0.202695435297291,-0.008932004953317247,-0.002873648274609152,-0.19146729024722783,-0.24806800891778324,0.00828309149262103,0.263864435555422,0.056579233308629906,-0.38846668881600566,-0.35347483089503273,0.31823866846969756,-0.043422355094321304
8,33335.37252663787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5483733020661977,0.0,0.2012041798181293,-0.439731328231506,-0.2673148152521229,0.5569346345838713,0.03432442564834146,-0.028401883871435392,0.0,0.0,0.0,-0.6298055560499034,-0.26124674007903903,0.0852759742251102,-0.2564726054484473,-0.07306197205041418,-0.2670032907258025,-0.28211440073566135,0.09198339503896394,-0.30056565160716614,-0.11494719381428242,0.0,-0.7712976484604576,-0.11606741564120124,-0.03179014653541835,-0.22386574583169025,-0.21729124642447992,-0.3521106201929204,-0.11165461088962876,-0.08987331412653543,-0.1762224709647591,-0.07842841173672302,0.0,1.0438661046256883,-0.2717876598361549,0.10124748320832154,0.0,0.14886680063865107,0.3167408408217647,1.5430391417853793,0.2617965456544665,0.0,0.0,0.1534934555080556,-0.00667048893351849,-0.0023680352242426614,-0.16467880122627762,-0.24547407437984212,0.0068308738160453575,-0.028323825061433938,0.0069401986337209315,-0.42165898265019774,-0.36822367038886783,0.37496589627024635,0.1538786895019241
9,32699.37252014778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1630631351766978,0.0,0.5041132975925328,-0.7533669036097898,-0.6172833133934236,1.0846126057430765,0.48212869765749905,-4.27865317678907E-4,0.0,0.0,0.0,-1.5227845630293393,-0.7119226181688089,0.2644539365148996,-0.6295334717723942,-0.16461597190324512,-0.5395736951475549,-0.5865346074428577,0.3006326449504757,-0.75455439928034,-0.30245351568083967,0.0,-1.160995143868031,-0.3165642351274381,-0.012578293190143548,-0.2346340443282448,-0.3870536358243857,-0.21042831927087052,0.4471631516249351,-0.08092000513541919,-0.1887349347601817,-0.11840268966657022,0.0,0.7116501537893178,-0.6086056590214218,0.09992816453175123,0.0,0.08925161685933056,-0.3839116748590775,2.0876420600811536,0.3350918301362464,0.0,0.0,-0.46768800780634856,-0.00519686353680498,-0.001599763014152125,-0.14677936575310216,-0.21727624111775323,0.014984202147686752,-0.13158441346439914,0.28814414333677385,-0.4407561800029623,-0.3142700376480312,0.49546480979862917,-0.026144663627690135
