Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_16_24,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_recreation_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_16_24,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_recreation_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_16_24,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_recreation_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_16_24,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_recreation_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_16_24,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_recreation_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_speed,g_walk_speed_c,g_walk_speed_e
0,56098.993934027254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51401.3253683945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7067835503575544E-7,0.0,5.887502121667372E-9,-1.234622315061438E-7,-6.752737785858092E-8,-3.621931937507968E-8,-1.0100728529947794E-7,-2.1815737145361644E-8,0.0,0.0,0.0,-6.427028581052196E-7,-1.2598909300527188E-7,-3.787759139373582E-8,-1.9605993457489672E-7,-1.201762767996682E-7,-3.397664765931786E-7,-2.968151144534603E-7,-7.510319384340821E-8,-2.052752676195591E-7,-7.439168757769197E-8,0.0,-2.1772357268195936E-7,-3.052701173750453E-8,-1.3930223719065729E-8,-6.769720382976125E-8,-5.115473747266464E-8,-1.2708877869478184E-7,-9.948742483416711E-8,-2.9705113177684087E-8,-6.530963723925564E-8,-2.264255821956796E-8,0.0,5.553023807725726E-7,4.985087406959156E-8,3.825652315541184E-8,0.0,1.1277040915750442E-7,3.027419103392347E-7,4.2519855136475214E-7,9.210164150438514E-8,0.0,0.0,2.0546083581212002E-7,2.1251069419736676E-4,-0.0014683982956284767,-0.1000010222933112,-0.09999182938010301,1.2524576577457167E-9,8.135050766550412E-8,1.6940108249405754E-8,-5.528393326333554E-7,-5.036575937413293E-7,-3.704275011600279E-8,-9.670383583374065E-8
2,50755.156137608064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5664097616877148E-5,0.0,-4.313400667873413E-7,-6.794866533445012E-6,-3.936041373202844E-6,-6.33851279682139E-6,-7.915213688071984E-6,-2.138682958872921E-6,0.0,0.0,0.0,-3.916013508562812E-6,-9.813693892281634E-7,8.65494611862636E-8,-1.3918992860250348E-6,-6.86158603199029E-7,-1.982596331950051E-6,-2.0825634723207818E-6,-7.258692078917504E-8,-1.4751013827690091E-6,-5.136462926086397E-7,0.0,-9.714172321666302E-6,-1.5627530012249226E-6,-6.138166569538999E-7,-2.955620184993023E-6,-2.1895329686213297E-6,-5.567758424135923E-6,-4.529866739692669E-6,-1.3398594999729804E-6,-2.9105956557192967E-6,-9.934430380959883E-7,0.0,1.9170283000452606E-5,1.6669402355388072E-6,1.3270580656603524E-6,0.0,3.892784668234305E-6,1.045671917381875E-5,1.478146823180207E-5,3.1854928698909907E-6,0.0,0.0,7.0909181768394664E-6,-0.0011299698599223562,-0.0016993970602921507,-0.10005260212796455,-0.09971773124187819,6.2570531603243E-8,4.210478857944278E-6,9.810952471760283E-7,-1.908908026691468E-5,-1.7394892254342913E-5,-1.2180890395751167E-6,-3.3368817675461167E-6
3,45127.356175543624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024818102707280213,0.0,-5.064282463777391E-5,-0.0011674694457555399,-6.655312261234862E-4,-9.42481307423792E-4,-0.0012679555139452985,-3.3713217698504497E-4,0.0,0.0,0.0,-5.256989508826286E-4,-1.4622366696394838E-4,3.035408009015603E-5,-1.992724070156284E-4,-8.590689816884908E-5,-2.599422824818324E-4,-2.839850666677026E-4,1.8699820506968702E-5,-2.1650323165459294E-4,-7.662659948418105E-5,0.0,-0.00279394855873543,-4.7232412800188826E-4,-1.85341476915213E-4,-8.430066972382363E-4,-6.027835730361109E-4,-0.0015651176022292612,-0.001299056875577699,-3.829081451940541E-4,-8.41402418924326E-4,-2.9124707563551886E-4,0.0,0.0035168644979385413,2.9850073129288E-4,2.4430493026262055E-4,0.0,7.121431430456743E-4,0.0019193430351929861,0.0027448567887117374,5.872214260709614E-4,0.0,0.0,0.0012985952323346815,-0.0016796694305847293,-0.0017946714437425861,-0.12234500842282263,-0.04866694809379582,2.5374874210163713E-5,0.0018162801266219599,4.0888697108586836E-4,-0.0034454564535352436,-0.003140133604950946,-2.0724106878853185E-4,-5.990438393445593E-4
4,42546.22404079612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045962168877617664,0.0,-6.850762854244168E-4,-0.02254983526522191,-0.012614294429981125,-0.016376609244402297,-0.023278974893975013,-0.006177865114590041,0.0,0.0,0.0,-0.010197523934597861,-0.0029038330386795814,6.875202672509935E-4,-0.003951739027291634,-0.0016172711337422133,-0.005001484209299045,-0.005513957892446411,5.344943528670068E-4,-0.00431755835889749,-0.0015403798084647567,0.0,-0.03183443828955405,-0.004589474843683543,-0.0020430229958100523,-0.009846422449464015,-0.007405103220334105,-0.018498513589869627,-0.014517002149229418,-0.004337172004307448,-0.009556429260265753,-0.003303039308323447,0.0,0.03519034913602046,-1.1659141998654449E-4,0.0025553790815016704,0.0,0.006880700047285949,0.01947876220264578,0.03866486650523693,0.006923032650418761,0.0,0.0,0.011757732335831852,-0.00840787395624051,-0.003012104975369333,-0.2607154814468035,-0.08369564899797106,3.2492858385959266E-4,0.022223628698158877,0.005014995982465407,0.04434265139277939,0.041646619754396305,0.006957870690788429,0.008294679346834179
5,39721.02656164771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18938047056170462,0.0,-0.002874512273175775,-0.08924041429505783,-0.050597451417712686,-0.06755946881470297,-0.09436916387248043,-0.025471860844272092,0.0,0.0,0.0,-0.032236258182659384,-0.010440671879262878,0.0030652405247760645,-0.013010754156159363,-0.0045195991279624054,-0.015748203434026564,-0.01711979723806082,0.0034029269017683828,-0.014978396348384805,-0.005439972364371524,0.0,-0.09133723271264002,-0.011666519582478654,-0.0055096940569332245,-0.028732513080049735,-0.0224412359285482,-0.05428498377934166,-0.041928760457340015,-0.012573787511008544,-0.02697959939268782,-0.009237562279573104,0.0,0.12815707984203417,-0.0023417004258620873,0.009429636349951004,0.0,0.02504560400084083,0.07058576868965764,0.1456398856998702,0.025713835321204533,0.0,0.0,0.04206998640293921,-0.007645252355289976,-0.0029076405606565468,-0.24151239618008954,-0.06853259213249109,0.0015435188304296875,0.10627812710806207,0.024477908514904792,0.14935530975870853,0.14071324908667715,0.02990774162569326,0.02834233249827934
6,37158.49165949907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10858536029396557,0.0,0.08404497836833942,-0.15515005765882361,-0.09264401753990421,0.3083398792423672,0.01860767122291762,-0.0014297332271147219,0.0,0.0,0.0,-0.26498365579888267,-0.09711845906343466,0.024572727601596726,-0.10236201513773677,-0.03458930450670445,-0.1308898797307397,-0.13190512709306534,0.024506795696234367,-0.12072733867979069,-0.043758437400427314,0.0,-0.47829939261039656,-0.06458559263700274,-0.024725035301595265,-0.14840732304819285,-0.1241444367662054,-0.27094619525594377,-0.18596431417412634,-0.0659625508058147,-0.12758103929457057,-0.046523557695595394,0.0,0.6002766270072979,-0.09382602767486414,0.049549124329948444,0.0,0.12400266792170825,0.2630061726336704,0.769482489960517,0.13266797812106298,0.0,0.0,0.15502188650602913,-0.009076021466599792,-0.002948945885688706,-0.18676053163646308,-0.13195356952211068,0.006629222875320465,0.3913780684395677,0.12003705656040917,0.0146625996833874,0.03365116311742507,0.21363031843153457,0.002716367463318912
7,33703.03618718791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4127257575519552,0.0,0.1434072084777795,-0.3389627320128229,-0.20800993598551604,0.40992679002235005,-0.013978337692692064,-0.025812564308414276,0.0,0.0,0.0,-0.45653102978502197,-0.18347460089104115,0.05702627662575163,-0.18387182003418834,-0.05458578126348973,-0.2025740555511517,-0.21070681823974316,0.06137980044220569,-0.21661442157558825,-0.08167211753786952,0.0,-0.6665405249179035,-0.0826646376333496,-0.031878694415359385,-0.20278216110829111,-0.18682047809994107,-0.3370816295069921,-0.1664354259454155,-0.08414222768974518,-0.1635541140381131,-0.06743557888336471,0.0,0.9051131564770813,-0.20422221693004777,0.08227465237302042,0.0,0.1677943163656939,0.33567749999341057,1.2543925595766066,0.21389647878712026,0.0,0.0,0.18187193629022352,-0.008605506386933113,-0.002812856240842386,-0.18715677917402473,-0.2326482470710055,0.005650696568638308,0.20462970098918867,0.1102672771677464,-0.3471682520154683,-0.29968603090902834,0.3659308212476755,-0.03190693175723773
8,33575.367886629414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44037273414822375,0.0,0.14915121982305526,-0.3518235073902948,-0.2146798719225409,0.41670626076855904,-0.01362839112720077,-0.027441465065684397,0.0,0.0,0.0,-0.47473166928469374,-0.19303920267956914,0.06088318397613601,-0.191672910488355,-0.056087405784438875,-0.20812241816867366,-0.21717163193003386,0.06582071740237669,-0.22596754968437088,-0.08552831082837516,0.0,-0.6886600385699104,-0.08854171168649771,-0.032566636802142925,-0.20810568829575318,-0.1924931035720815,-0.34424805159003724,-0.16329056536224323,-0.08605796456870901,-0.16843217106287153,-0.06975235922381447,0.0,0.914068573770687,-0.20449726938457788,0.08390120788981105,0.0,0.15967830814450584,0.32986665824758127,1.2786849933359739,0.21805501296945393,0.0,0.0,0.17594166586689278,-0.008725309558777206,-0.002829362357518758,-0.1879331907538651,-0.24022674748097117,0.005845221593693507,0.2101193488781999,0.11800325267223721,-0.38002313663257176,-0.32691081290003254,0.35914441388916457,0.003354062997809583
9,33192.766293727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5727091742997076,0.0,0.21621393247794415,-0.42278809892067254,-0.2608876850940886,0.5638894525003146,0.06582627090560099,-0.023834920349062157,0.0,0.0,0.0,-0.6564378722714803,-0.2862475071890288,0.0981816270440984,-0.2686198820409236,-0.07316847383772362,-0.26400465405269247,-0.2826408933825944,0.1068980757556798,-0.31701532687234846,-0.12296902774378708,0.0,-0.8449324651945939,-0.1324351358531184,-0.03554377614019407,-0.24110096498987046,-0.23950971804525406,-0.37921243747930716,-0.0981063186909566,-0.09612681269457986,-0.19681544122079034,-0.08664148966427423,0.0,0.9237142158937783,-0.23147459876126544,0.09204238215176738,0.0,0.09644318543452204,0.223467120120318,1.4562927881487853,0.24673844476773107,0.0,0.0,0.08209384866666751,-0.007293534223542802,-0.0024687299196334157,-0.16295665346107946,-0.23501001918368825,0.004606488977721393,0.021116871198460202,0.1364713587796145,-0.42338931648926204,-0.33070961087792394,0.3333016303599276,0.2733959367767386
