Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_16_24,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_recreation_trip,b_carD_occupation_employed_full,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_16_24,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_recreation_trip,b_carP_occupation_employed_full,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_16_24,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_recreation_trip,b_pt_occupation_employed_full,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_16_24,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_recreation_trip,b_bike_occupation_employed_full,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_16_24,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_recreation_trip,b_walk_occupation_employed_full,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_speed,g_walk_speed_c,g_walk_speed_e
0,56098.993934027254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,51669.73528137851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8391328025921778E-7,0.0,6.344037165709248E-9,-1.3303587311736805E-7,-7.27636586764244E-8,-3.902787693045019E-8,-1.0883970123577794E-7,-1.4518356370562454E-7,-2.350739658134042E-8,0.0,0.0,0.0,-6.925400168131657E-7,-1.3575867523816428E-7,-4.081473646779009E-8,-2.1126302563393633E-7,-1.2949511536443243E-7,-3.66113015439349E-7,-3.1983107241814787E-7,-2.1691545298668743E-7,-8.092692676110874E-8,-2.2119294397987992E-7,-8.016024810859038E-8,0.0,-2.3460652894918582E-7,-3.289417023019677E-8,-1.501041616191716E-8,-7.294665347635928E-8,-5.5121433338316345E-8,-1.369436339423276E-7,-1.0720198610984379E-7,-7.020496676422441E-8,-3.200853912515572E-8,-7.037394762033427E-8,-2.4398331907690844E-8,0.0,5.983622373337399E-7,5.371646435195084E-8,4.122305176512021E-8,0.0,1.215149739402278E-7,3.262174503074312E-7,4.5816975636176607E-7,2.1275065100156585E-7,9.924348639744914E-8,0.0,0.0,2.2139290170151664E-7,2.2898942781475498E-4,-0.0015822624211459225,-0.10000110156508252,-0.09999119580507622,1.3495770812505002E-9,8.765867653447462E-8,1.8253696407150035E-8,-5.957081968572841E-7,-5.427127544850513E-7,-3.9915159026634684E-8,-1.0420254904675126E-7
2,50919.23537397117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.021157642777599E-5,0.0,-5.617837322812922E-7,-8.739870471501277E-6,-5.068232989938104E-6,-8.20089762800974E-6,-1.021002908201449E-5,-9.396903763064587E-6,-2.7605035404320226E-6,0.0,0.0,0.0,-4.636134212538048E-6,-1.1932360569869878E-6,1.3464604545808265E-7,-1.6675474951614366E-6,-7.981835040901079E-7,-2.3338261051280825E-6,-2.4822894955803197E-6,-1.6168761833786775E-6,-3.967121443772684E-8,-1.7767525991919802E-6,-6.208969313335688E-7,0.0,-1.2486867771894044E-5,-2.0137674891099667E-6,-7.883419698063873E-7,-3.797510600125923E-6,-2.8128070888503756E-6,-7.154821476072976E-6,-5.826577132973816E-6,-3.676690201627013E-6,-1.7232176461492757E-6,-3.740718502386917E-6,-1.2759460568004833E-6,0.0,2.4506071915542097E-5,2.1279800450747093E-6,1.6967946320595636E-6,0.0,4.976270559262641E-6,1.33674773935535E-5,1.8900496827772155E-5,8.753088855776783E-6,4.072275027685593E-6,0.0,0.0,9.064739637749214E-6,-0.001471361912882255,-0.0018741510133089302,-0.10006749262138098,-0.09963908661483073,8.027552743075932E-8,5.3985785145648465E-6,1.2595139315844692E-6,-2.4407051453648866E-5,-2.2241209891244534E-5,-1.5548659861370137E-6,-4.2664204625158476E-6
3,45105.41584203388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002682665004531815,0.0,-5.570882808329859E-5,-0.001256867977887042,-7.175703282153103E-4,-0.0010229846121578346,-0.0013700517702156289,-0.0013608271194729782,-3.645485799247829E-4,0.0,0.0,0.0,-5.359609102456399E-4,-1.527037146199252E-4,3.427192975001628E-5,-2.0518657457607384E-4,-8.59044217244905E-5,-2.634719779022592E-4,-2.9189303112606895E-4,-1.9725393047128112E-4,2.3725450338618383E-5,-2.2382056155173933E-4,-7.944296453254166E-5,0.0,-0.0029749693377069688,-5.035066830928791E-4,-1.9741814382695104E-4,-8.972294651097428E-4,-6.417042828037868E-4,-0.0016668223429894082,-0.0013826232626674808,-8.79633325050659E-4,-4.077404646080408E-4,-8.960055667545807E-4,-3.1007217459049516E-4,0.0,0.0037682354318005398,3.199014700942774E-4,2.617540494381937E-4,0.0,7.631278767033722E-4,0.002056506929304789,0.00294011011884356,0.0013516618842109786,6.290887210882316E-4,0.0,0.0,0.00139150890261745,-0.002096777203416688,-0.0019821934921511967,-0.12398037612057212,-0.04498044870003823,2.721654365270816E-5,0.001949312512845392,4.3956131212540244E-4,-0.0036942216959626193,-0.0033668296262851774,-2.2252250524588957E-4,-6.424103610798876E-4
4,42446.58403494843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050168444001499744,0.0,-7.967256634925897E-4,-0.02438295280062819,-0.013704610198994034,-0.018111691897544847,-0.025471935680008558,-0.02662563942798371,-0.006763487806199651,0.0,0.0,0.0,-0.01059381892360333,-0.003067804974314018,7.558130755041575E-4,-0.004125839142505383,-0.0016601396074979432,-0.005174696267943665,-0.005791103514634959,-0.003961188194405002,6.002926281753854E-4,-0.00451305621349831,-0.0016096432547444944,0.0,-0.03472624815829845,-0.0050474460670324964,-0.002223093571845173,-0.010728895862696009,-0.008061098664731642,-0.02015009169264223,-0.01589837053991701,-0.01036062909822954,-0.004742231497869074,-0.01041575995578882,-0.003592674208050817,0.0,0.040153438995719784,2.353372766353821E-4,0.0028696502997499784,0.0,0.00793789429115941,0.022199819980436887,0.04270212932421565,0.016593003273927227,0.007780828994775235,0.0,0.0,0.01351745043705374,-0.009520365968803067,-0.003323303096536955,-0.273958438926517,-0.08742557090710404,3.3678356530307264E-4,0.02302060983649343,0.005128298538596911,0.029825508874282453,0.028594776912445725,0.006131881970378755,0.005705237354289943
5,41790.022684776806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5810508113952737,0.0,-0.025771975624456923,-0.7293046794397973,-0.42030180133578793,-0.5727961246924397,-0.7864240545192719,-0.7939992372044866,-0.21328619671313806,0.0,0.0,0.0,-0.23094588701238805,-0.0795801094398881,0.0267160946387596,-0.09641711033919549,-0.03028515845648621,-0.1116261912436166,-0.12418619785053184,-0.09177680653334787,0.03168713146649986,-0.11247274056532997,-0.041072942576436254,0.0,-0.6908038817048923,-0.08547780368292279,-0.040520849350741656,-0.21815958220868872,-0.1726566453577833,-0.4129194405248604,-0.31951758003034514,-0.20733938532789942,-0.0958002846010289,-0.20247989964230967,-0.06879713650137669,0.0,1.0949872058864016,-0.010102087696924982,0.07969119305328931,0.0,0.21725835494146276,0.6021991176131407,1.2077719827283853,0.4594048828844619,0.21682741885690765,0.0,0.0,0.36115634469614966,-0.004594797520418731,-0.002838656177055317,-0.1325025888584257,-0.06293457633353876,0.01320445025818625,0.9142764660619772,0.201105962387494,0.6890947424863414,0.6756640424975319,0.21584034416920092,0.13763833532451128
6,41200.46339139249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6967650461440325,0.0,-0.01908474516064841,-0.7943423011103989,-0.45740704131335674,-0.5892667725181417,-0.8461642601135665,-0.8663970041342557,-0.2286299648522728,0.0,0.0,0.0,-0.2567836407256394,-0.09178934923522727,0.03135799593011974,-0.10753403080167147,-0.03268486661590116,-0.12317683945364592,-0.13643107484160033,-0.10193814629098542,0.03787967188186812,-0.12674374666968852,-0.046423489060766085,0.0,-0.7761802445085223,-0.09941838085316906,-0.04520485533051941,-0.2432916544083081,-0.19404134648642707,-0.4623885140944691,-0.35455562377058214,-0.23065930362553905,-0.10742107929028871,-0.22658481187378832,-0.07705154411266878,0.0,1.2288476184113497,-0.01478419930662965,0.09024233345917904,0.0,0.24546707207267057,0.6677414521717112,1.3479880377220752,0.5128419330529926,0.2432529596453319,0.0,0.0,0.4015206862346072,-0.005286809723750756,-0.0029865100802152662,-0.13183293714157565,-0.09849826830711311,0.015233555258571153,1.0567247524422854,0.2348285707646545,0.5823342007848556,0.5765744524419695,0.23535481695685467,0.11810435345131816
7,39332.31076193975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4043743746078259,0.0,0.0969882932351532,-0.8463287370941002,-0.469179413298614,-0.1524511838638108,-0.7404480047674562,-0.9500031909038841,-0.18557070775618068,0.0,0.0,0.0,-0.3896921328315302,-0.17616248384117122,0.060962222029887006,-0.16054888275367177,-0.04006232228645424,-0.17732928656086483,-0.1906750091361002,-0.1481044154243834,0.07608101318241597,-0.20322807866453946,-0.07530408131607541,0.0,-1.0613731571972687,-0.18034703962381654,-0.05737463693670263,-0.30793235590872603,-0.26740850168015873,-0.6200750818616301,-0.43077901467690904,-0.28507925765266195,-0.14427495283820796,-0.29946998960326976,-0.1025188266109301,0.0,1.4848629805515092,-0.11629259030473828,0.12038498297544548,0.0,0.30782847274050085,0.7328880027957414,1.7814548421420473,0.6353797430743081,0.3133022451616293,0.0,0.0,0.4259748010406459,-0.00882139935989187,-0.0034163093842918225,-0.09609122701053519,-0.1143300486658221,0.02437449268909275,1.6623052166914396,0.4044415329155887,0.6379705460915256,0.6381601585271859,0.43041528980731897,0.11932935942370518
8,37741.79878194264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2330059237658078,0.0,0.3155552103994207,-1.0471023944894633,-0.5781686003381853,0.5363126649366001,-0.6915547360338938,-1.2101148675858269,-0.15362893649083312,0.0,0.0,0.0,-0.6016639579700448,-0.34751127242993013,0.12915149380817684,-0.2525547135304833,-0.03940565484521384,-0.2577396332176398,-0.26660980113874233,-0.22492596206941035,0.1715896353617949,-0.3503525491100403,-0.13209115991378942,0.0,-0.6517476951564094,-0.20341087177373235,-0.010294824541973863,-0.1209212167467082,-0.20752966196037528,-0.36506559576435993,-0.10335075711922537,-0.0877565660728333,-0.08607425625436052,-0.13199636938741768,-0.0466609529878451,0.0,1.800676290207549,-0.340981246487128,0.1700662299691481,0.0,0.38985488264764073,0.7396820671221855,2.53667289359418,0.7972563726582824,0.42769310495947604,0.0,0.0,0.3838148405930938,-0.013166635467045967,-0.003933078739333079,-0.1629558888291084,-0.13653332685961894,0.04861308057564434,2.538719629693893,0.6804062050570239,0.67195341855146,0.7016339146780001,0.8773429300962767,0.1166065797064341
9,36862.79409846075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1598054789187755,0.0,0.5055846884871659,-1.1978883806727865,-0.6846838958865735,1.05958579820537,-0.6314601265890414,-1.3863990195700122,-0.13463863365113188,0.0,0.0,0.0,-0.7833365263001663,-0.5144732212452492,0.21187947460351209,-0.34186084125405314,-0.03844600031505693,-0.2933466985657127,-0.3353939172683371,-0.29845422439655167,0.27117196863657533,-0.47800971195870884,-0.18860451124943314,0.0,-0.6066869519230625,-0.2470170371775633,0.009253560598731888,-0.07933576916948448,-0.22067295687049113,-0.31180542484609963,0.09054750125349537,-0.029304830999220065,-0.06202469398623091,-0.10002972693829432,-0.039954721090497865,0.0,2.102228537547174,-0.45775845090149314,0.21813560461433631,0.0,0.44321013812889487,0.7463530957585327,3.120887389651173,0.8609384752012346,0.5300199392316262,0.0,0.0,0.33915638910865714,-0.00996946418436481,-0.003167482437331183,-0.13599900460119646,-0.13706607396774695,0.05729965830326596,2.157054301961156,0.6517081647570547,0.6780088042604411,0.6700537458114102,1.079656648555756,0.12393992379525039
