Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_16_24,b_carD_age_gr_40_54,b_carD_age_gr_55_69,b_carD_age_gr_70up,b_carD_female,b_carD_shopping_trip,b_carD_recreation_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_16_24,b_carP_age_gr_40_54,b_carP_age_gr_55_69,b_carP_age_gr_70up,b_carP_female,b_carP_shopping_trip,b_carP_recreation_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_16_24,b_pt_age_gr_40_54,b_pt_age_gr_55_69,b_pt_age_gr_70up,b_pt_female,b_pt_shopping_trip,b_pt_recreation_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_16_24,b_bike_age_gr_40_54,b_bike_age_gr_55_69,b_bike_age_gr_70up,b_bike_female,b_bike_shopping_trip,b_bike_recreation_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_16_24,b_walk_age_gr_40_54,b_walk_age_gr_55_69,b_walk_age_gr_70up,b_walk_female,b_walk_shopping_trip,b_walk_recreation_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_shopping,g_bike_grad_c,g_bike_grad_e,g_bike_stressLink,g_bike_stressLink_c,g_bike_stressLink_e,g_walk_vgvi,g_walk_speed,g_walk_speed_c,g_walk_speed_e
0,56098.993934027254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,52640.63552372945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.252045175350008E-7,0.0,7.76836684721172E-9,-1.3149705281259458E-7,-1.1635139511347484E-7,-5.0291361669887054E-8,-4.779020950607455E-8,-9.786191498024059E-8,-1.3327581548711184E-7,-2.878515297069941E-8,-5.654430758819216E-8,-3.044648969477294E-8,-8.48025439708688E-7,-1.6623849520333537E-7,-4.997824529904322E-8,-2.0335120981439618E-7,-1.8970087070786955E-7,-9.745178358787734E-8,-4.483107739098164E-7,-2.9477651614059636E-7,-3.916378537488505E-7,-9.909621247110778E-8,-2.7085401424478503E-7,-9.815740318119992E-8,-2.872791463895088E-7,-4.027939540833873E-8,-1.838047543374566E-8,-6.639646472520156E-8,-7.092081283146527E-8,-4.3621076318325346E-8,-1.6768949457050383E-7,-1.1968667702394403E-7,-1.312704092202238E-7,-3.9194927090207237E-8,-8.61739342506043E-8,-2.987611638586355E-8,7.3270336312842E-7,6.57766009122163E-8,5.047823338803704E-8,1.9233499999109232E-7,1.8666774615731852E-7,9.00615971427368E-8,3.994580674350243E-7,1.2197351602671584E-7,5.610356075708616E-7,1.2152510923152195E-7,1.9481262186782386E-7,7.628624354901968E-8,2.8040092340777606E-4,-0.0019375036140168581,-0.10000134888265053,-0.0999892191337825,1.6525769918895261E-9,8.639430431298556E-10,3.223462076396552E-10,4.387334660845892E-10,1.0733933911068732E-7,2.235191981138386E-8,2.837296468581792E-8,-7.294534515169466E-7,-6.645597526270622E-7,-4.88766994871517E-8,-2.482988760420314E-7
2,51783.11359003731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.756979499291446E-5,0.0,-1.065086828962302E-6,-1.2907906056239998E-5,-1.1744290513848461E-5,-5.47649802172218E-6,-1.533751373412548E-5,-1.3885487479363923E-5,-1.8970359066136358E-5,-5.136276544569307E-6,-1.0738648364745703E-5,-4.360102102929562E-6,-6.876903190535617E-6,-1.9206892202697185E-6,3.432976016019583E-7,-2.0192020577301727E-6,-1.6097074270555187E-6,-6.904219120809067E-7,-3.3995436743111724E-6,-2.0691570385913305E-6,-3.746547826158227E-6,1.555011314245849E-7,-2.7781896780775107E-6,-9.831496223265811E-7,-2.3004049676050954E-5,-3.730407472312649E-6,-1.4488796684725956E-6,-5.232445218583988E-6,-5.5057585188728805E-6,-3.3225262107109274E-6,-1.3172682278153744E-5,-9.3700889398581E-6,-1.0752184015080769E-5,-3.17936300774994E-6,-6.887850179360313E-6,-2.345347169005784E-6,4.458724792364819E-5,3.857684722740373E-6,3.0889966237617267E-6,1.1751876444290413E-5,1.1401824174790089E-5,5.473435629247146E-6,2.43225749170226E-5,7.196186795972511E-6,3.441055236389961E-5,7.4097274910995554E-6,1.1830056998885535E-5,4.663751491793183E-6,-0.002741917285052874,-0.002453596941909822,-0.10012344429098875,-0.09934288322731083,1.4684759398472707E-7,7.008653258719142E-8,3.2832246796122507E-8,3.52553955396277E-8,9.87796079582634E-6,2.3100939144557036E-6,2.3246742583396763E-6,-4.443534947981893E-5,-4.049384725342468E-5,-2.8193938822237455E-6,-1.5159503718303996E-5
3,47870.40003932265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038527729089147954,0.0,-8.454204926566305E-5,-0.0014281561951831534,-0.001290222623150623,-5.924053916067753E-4,-0.0014895838902634043,-0.0014308369478676377,-0.001966217605589665,-5.24343555191785E-4,-0.0010889597085055455,-4.5857215742731844E-4,-6.472517484100773E-4,-1.985971719699839E-4,5.377125427517014E-5,-2.0172223498817626E-4,-1.5311896398763044E-4,-6.00654947984109E-5,-3.1241699726702616E-4,-1.8390564237021648E-4,-3.604303150502259E-4,4.650738625797063E-5,-2.8217156849364165E-4,-1.0104943238465017E-4,-0.004021023249579195,-6.816286466297704E-4,-2.6726889603036566E-4,-9.173770895859915E-4,-9.425936689285914E-4,-5.503698059695666E-4,-0.0022550561023122998,-0.0016068769595334973,-0.0018658576968548603,-5.512665960433292E-4,-0.0012115778538870318,-4.189416846027821E-4,0.005253244795081874,4.467190700974536E-4,3.64802962860191E-4,0.0013877650321690433,0.001345072050335897,6.428847326899938E-4,0.002866790077073885,8.144249242899641E-4,0.00409271273156392,8.763714221684614E-4,0.0013903170661784061,5.501323716744343E-4,-0.0037976737354085046,-0.0026344456811923517,-0.13357287042011412,-0.023188211875373205,3.800173302420994E-5,1.530560131246028E-5,8.536534371182651E-6,8.067596583988058E-6,0.002738948319580892,6.19603665176725E-4,5.573597374239121E-4,-0.00516496058331322,-0.004707078779105705,-3.1339410849088727E-4,-0.0017620179413319731
4,45278.0470101317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04646837340361645,0.0,-0.0010352330884067305,-0.017010027145754645,-0.015382699509009517,-0.007074510659220667,-0.018069342861461526,-0.01725850902427009,-0.023731712304785036,-0.006333803838092565,-0.013139656770943621,-0.005493940370425188,-0.008020778403165795,-0.002412042873822008,6.202740670406414E-4,-0.0024746870751065787,-0.0018967319277645657,-7.628602715573145E-4,-0.003889499486439331,-0.0022919543258965217,-0.004496460599317447,4.881961863654752E-4,-0.0034339822318934722,-0.001219858831398038,-0.031947976535974136,-0.005001248169291123,-0.002026140460218911,-0.007308379950123161,-0.007697541249180273,-0.0046534520014002954,-0.018336163339254252,-0.013051508037002146,-0.014878316189898886,-0.004404050991330333,-0.009568074934568845,-0.0032708235649841653,0.04836448606621807,0.0027498277509915275,0.0032785415210446938,0.01324088374072535,0.012829249831576666,0.005954820765820647,0.026536854142188718,0.004405503350590242,0.04218931078413352,0.008515125256028976,0.012214042228983953,0.0049859448338766274,-0.010750718215589098,-0.0038836099363456105,-0.2700258835337657,-0.06328782824503834,2.2681794919449815E-4,1.0841977971434064E-4,4.809902027966023E-5,5.514760157259688E-5,0.015410602402683191,0.003411849437593482,0.0036601951067439364,-0.036504362053278915,-0.031855546376461194,-1.4252488261287568E-4,-0.012732480195718413
5,41639.5987920186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1673279386690547,0.0,-0.02207620209714863,-0.4262966320670404,-0.38251770068814983,-0.17668139298031346,-0.435975418459728,-0.43515487514114437,-0.5863671194926365,-0.15949447450056664,-0.3264967634813198,-0.13679792544843627,-0.1621131475722823,-0.05562934496994784,0.018354530893613052,-0.053123708231515646,-0.03849205804357267,-0.013440219928598306,-0.07808021702952417,-0.042896161684576425,-0.09042581891131747,0.020732303753901674,-0.07789467400916485,-0.02808829221588355,-0.5710941633749022,-0.07898945598580831,-0.033699372495213646,-0.13145155625542934,-0.14186479196150553,-0.08953312068542718,-0.33507690633884535,-0.23890928998194472,-0.2682904632278363,-0.07961184650595214,-0.16809448360752652,-0.05646399670245328,0.9628390964861029,0.025933834104057703,0.0661398535839141,0.27368835828071303,0.2589521058139982,0.11621732217564698,0.5228754783619738,0.0028097441097326347,0.9412757745061585,0.18105342943194044,0.22725317977463666,0.09824975282623315,-0.020780947507083904,-0.005998028613600757,-0.43686731479056556,-0.1326762169733578,0.007703426619833241,0.004243133586528212,0.00145317558629543,0.0021356592439901382,0.5434201239169313,0.11093423994966506,0.14539583439496437,0.43954466608612036,0.5315746827217022,0.3153045146030107,0.1216380372234528
6,40178.40439235602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3242463521042578,0.0,-0.0182626954182169,-0.4900768782666009,-0.43882870091102794,-0.20153303950424767,-0.4747023924480268,-0.4933638593178081,-0.6695153914261515,-0.18114454288018367,-0.36617109943630244,-0.15442327475095494,-0.18541069552138253,-0.0672033480906895,0.023338456433961846,-0.061321314491217124,-0.0438208996620899,-0.014600148334779054,-0.08799014524798891,-0.04740408916594423,-0.10343836710673188,0.026685209923318194,-0.09117247817130626,-0.03308189643050928,-0.6583760978310379,-0.09217495138909329,-0.03865957654731465,-0.15048429689107679,-0.16353367669964353,-0.10383401450235158,-0.3866879720730231,-0.2783142225011388,-0.30558780206402214,-0.0913509191801291,-0.19375052257828973,-0.06526189437354907,1.1362918722831246,0.027558138933116122,0.07890261028803172,0.3208045733752364,0.30729029436436145,0.1382605123938504,0.6100667839965647,0.003607641548805415,1.1089737777871969,0.2131824037471316,0.2659827300224521,0.11704989990701625,-0.0152186064115139,-0.005049933954665169,-0.3309179126479914,-0.1178567530263118,0.00783766457307508,0.0046050076659563685,0.001548673496448276,0.0022549340795129033,0.5382986801956217,0.11725387965259954,0.15089866865395885,0.34965865896597614,0.4535752100738276,0.3388659700873016,0.08181151560915557
7,38169.77077875864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1578422533858626,0.0,0.07542687959658828,-0.5506151573297813,-0.47451388486229634,-0.2002932200446053,-0.14246512834097946,-0.43193549573549234,-0.635459373386436,-0.15970452058861462,-0.26615795625446637,-0.13045177533635255,-0.27201772864722273,-0.1323694389266533,0.049422060181727644,-0.08945376065168018,-0.060123133073938836,-0.015442842037516277,-0.11958319633906325,-0.06857612539527927,-0.14238908143398593,0.06046191963567935,-0.14835974607767832,-0.05466049344144516,-0.942532420586265,-0.14915248676916412,-0.05516629747861448,-0.2040616085178997,-0.22977511078843632,-0.15112405954025981,-0.5489798646833044,-0.4260715713748452,-0.3936301884479,-0.12541729040133404,-0.2770682346293731,-0.09610895385870111,1.3483001658414029,-0.03547712118506176,0.10629389916879868,0.37277887440511204,0.37821438000926133,0.1671840768679815,0.6313689641983067,-0.13603585824150735,1.4538391675294244,0.26588489806743826,0.26400501994511166,0.15051137202946185,-0.015285453893184735,-0.004922599554347102,-0.2900322629686652,-0.1197480478189831,0.0075530976181348245,0.0061013973896719784,0.002341123884111708,0.00251797003092519,0.4386123947017929,0.1721367908155251,0.15337087676395636,0.3916108453445526,0.456350053473067,0.5125668175742276,0.03698212515646703
8,37652.0053011266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2223772453568753,0.0,0.12849212636107554,-0.6170791289501351,-0.5257142592406849,-0.22086298150243536,-0.0157388051645721,-0.4794978985163196,-0.6533773274136555,-0.1657669462892377,-0.25105339638935453,-0.13043009002630118,-0.2906612541807604,-0.1693958703993425,0.0739418760077192,-0.10352534880803065,-0.06312515020709461,-0.010297656886643986,-0.11329323214310917,-0.06732279421121726,-0.14306337755239049,0.09421410720249351,-0.17687601393157135,-0.0685669996473017,-1.0769751179364995,-0.1894722628155404,-0.0630942721002535,-0.22271028627989023,-0.2559599954803338,-0.1733843119009335,-0.6182506086205751,-0.5117228075447514,-0.40723001809866327,-0.13814009068952704,-0.31501111604700865,-0.11248291341088917,1.3191097695251806,-0.03357637159431197,0.11441455504677463,0.3421466515292527,0.34573988812403034,0.15229294552448824,0.54446620316555,-0.22214977937971442,1.4978201032869163,0.2752619810872426,0.21381511520959562,0.15033044563726836,-0.01524153850486909,-0.0049178599081284935,-0.28068488217739074,-0.1179001007503513,0.006986201444039275,0.006712178831485108,0.0030411526489080984,0.0023321064515493734,0.35032976033254204,0.2197952904309359,0.1297634847864526,0.4202039863150795,0.42106055008932214,0.46809196436903455,0.10945757010460552
9,36905.993476681935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5777792095136531,0.0,0.5245817800063628,-1.0441525187065173,-0.8802132453274739,-0.38111353046498975,0.7593862613887117,-0.8555479930234033,-0.6059790799681265,-0.15824465319266393,-0.13056981186000388,-0.10728289791387964,-0.3962332102260421,-0.4347584857967544,0.28538463485643956,-0.21428699575849527,-0.09737521646471374,0.025752146805312733,-0.026180774808030063,-0.07832433914681068,-0.08066582214220035,0.37553336437281604,-0.3840030002695667,-0.18188298928934282,-1.6866414451383576,-0.3815412667014031,-0.1031464189029083,-0.2644716732852978,-0.373322299903463,-0.30058700690073115,-0.8275585434835012,-1.002425912222529,-0.24310985938494883,-0.1609831209746159,-0.4577113124827653,-0.20374028688483636,1.15585882457384,-0.24400073323999505,0.13538408185712436,0.004370424476453583,0.401166766534977,0.20329457829408554,0.19945687393892797,-0.1977591223520076,1.1807962709249933,0.3122480346507984,-0.04817188511051612,0.1142342221482576,-0.015124934033926247,-0.004901518897830306,-0.1765085173994576,-0.11667867803693,0.015040109999277945,0.013724152906146921,0.009313619666867643,0.0027426063203985314,0.7724814855782589,0.6725901441428127,0.09608727756012864,0.5357798732817785,0.09554080905690238,0.5482551084805258,-0.2604254745130198
