| COEFFICIENT NAME               | VALUE      | STD.ERR |  T.TEST     |  P.VAL      |
| asc_carD                       |  0.0000000 |         |             |             |
| b_carD_age_gr_under16          |  0.0000000 |         |             |             |
| b_carD_age_gr_16_24            |  0.0000000 |         |             |             |
| b_carD_age_gr_40_54            |  0.0000000 |         |             |             |
| b_carD_age_gr_55_69            |  0.0000000 |         |             |             |
| b_carD_age_gr_70up             |  0.0000000 |         |             |             |
| b_carD_female                  |  0.0000000 |         |             |             |
| b_carD_shopping_trip           |  0.0000000 |         |             |             |
| b_carD_recreation_trip         |  0.0000000 |         |             |             |
| b_carD_hhcars_0                |  0.0000000 |         |             |             |
| b_carD_hhcars_2                |  0.0000000 |         |             |             |
| b_carD_hhcars_3                |  0.0000000 |         |             |             |
| asc_carP                       | -1.6226562 | 0.05685 |  -28.54468  | 0.00000 *** |
| b_carP_age_gr_under16          |  0.0000000 |         |             |             |
| b_carP_age_gr_16_24            |  1.1179914 | 0.06201 |   18.02995  | 0.00000 *** |
| b_carP_age_gr_40_54            | -0.3596739 | 0.04978 |  -7.22582   | 0.00000 *** |
| b_carP_age_gr_55_69            | -0.1942069 | 0.04940 |  -3.93121   | 0.00008 *** |
| b_carP_age_gr_70up             |  0.0605919 | 0.05618 |   1.07844   | 0.28084     |
| b_carP_female                  |  0.9396088 | 0.03434 |   27.36506  | 0.00000 *** |
| b_carP_shopping_trip           | -0.3142285 | 0.04334 |  -7.25022   | 0.00000 *** |
| b_carP_recreation_trip         |  0.0520079 | 0.04428 |   1.17444   | 0.24022     |
| b_carP_hhcars_0                |  0.3288631 | 0.05217 |   6.30413   | 0.00000 *** |
| b_carP_hhcars_2                |  0.0569834 | 0.03824 |   1.49008   | 0.13620     |
| b_carP_hhcars_3                | -0.0128285 | 0.05393 |  -0.23789   | 0.81196     |
| asc_pt                         | -2.7997896 | 0.12345 |  -22.68020  | 0.00000 *** |
| b_pt_age_gr_under16            | -2.1739129 | 0.11820 |  -18.39183  | 0.00000 *** |
| b_pt_age_gr_16_24              |  1.3973300 | 0.10199 |   13.70096  | 0.00000 *** |
| b_pt_age_gr_40_54              | -0.5194085 | 0.09169 |  -5.66494   | 0.00000 *** |
| b_pt_age_gr_55_69              | -0.1687058 | 0.08787 |  -1.91993   | 0.05487 .   |
| b_pt_age_gr_70up               |  0.0232294 | 0.09746 |   0.23836   | 0.81160     |
| b_pt_female                    |  0.4209485 | 0.05841 |   7.20640   | 0.00000 *** |
| b_pt_shopping_trip             |  0.3716659 | 0.09284 |   4.00331   | 0.00006 *** |
| b_pt_recreation_trip           |  0.7805936 | 0.09014 |   8.65988   | 0.00000 *** |
| b_pt_hhcars_0                  |  1.0382402 | 0.07212 |   14.39662  | 0.00000 *** |
| b_pt_hhcars_2                  | -0.5517124 | 0.07571 |  -7.28719   | 0.00000 *** |
| b_pt_hhcars_3                  | -0.9548948 | 0.12095 |  -7.89499   | 0.00000 *** |
| asc_bike                       | -3.3463122 | 0.19022 |  -17.59208  | 0.00000 *** |
| b_bike_age_gr_under16          | -0.4879724 | 0.17616 |  -2.77010   | 0.00560 **  |
| b_bike_age_gr_16_24            |  0.2398762 | 0.17615 |   1.36178   | 0.17327     |
| b_bike_age_gr_40_54            | -0.1854065 | 0.11493 |  -1.61321   | 0.10670     |
| b_bike_age_gr_55_69            | -0.3375815 | 0.12991 |  -2.59854   | 0.00936 **  |
| b_bike_age_gr_70up             | -0.9669625 | 0.20768 |  -4.65603   | 0.00000 *** |
| b_bike_female                  | -0.5062407 | 0.08395 |  -6.03026   | 0.00000 *** |
| b_bike_shopping_trip           |  0.2177306 | 0.19583 |   1.11184   | 0.26620     |
| b_bike_recreation_trip         |  1.7888892 | 0.16047 |   11.14758  | 0.00000 *** |
| b_bike_hhcars_0                |  0.5423486 | 0.10910 |   4.97121   | 0.00000 *** |
| b_bike_hhcars_2                | -0.3725531 | 0.09737 |  -3.82602   | 0.00013 *** |
