Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under16,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under16,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under16,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under16,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_walk_grad,g_walk_vgvi,g_walk_speed
0,8528.363993556424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,8251.466818485433,0.0,0.0,0.0,0.0,0.0,2.0014394368638674E-7,0.0,1.0372998522174772E-7,3.318968622590584E-8,7.43975705318102E-8,-2.464331072091154E-7,-2.392196258696767E-7,-1.2629914800330803E-7,-4.150437660149039E-8,-9.50506688773186E-8,-1.1158900752726735E-7,-9.738230320639093E-8,-6.339794062888026E-8,-2.1045538369530634E-8,-4.063743149566653E-8,1.415406541797219E-7,1.0560228563151531E-7,6.915200195686316E-8,3.222289702111274E-8,4.669951345238239E-8,3.44710429477795E-5,-3.985017362670926E-4,-0.1000006813058935,-0.09999823285545799,9.150992076101858E-10,4.6859573016654385E-8,5.564211651848713E-8,-2.018659401649009E-9,-1.228023843032313E-7,-1.0630420653026363E-7
2,8071.871868003936,0.0,0.0,0.0,0.0,0.0,5.1432580699827875E-6,0.0,2.699511393493157E-6,8.675565273092765E-7,1.7521025587118207E-6,-5.177471785631703E-6,-7.165793958717543E-6,-2.6340505453383824E-6,-9.272490565622268E-7,-1.761101602677978E-6,-5.961046088082341E-6,-5.18706918685402E-6,-3.326984371095846E-6,-1.1131576356916413E-6,-2.1748494760007583E-6,6.3351552128400725E-6,4.70359478282567E-6,3.093293833911434E-6,1.4488712423374921E-6,2.087588739964565E-6,-0.0012863709613586485,-6.128326194136948E-4,-0.10003941659851182,-0.09992155728249555,5.186176699200861E-8,2.7079765943710764E-6,3.219828702327455E-6,-8.96018606054105E-8,-5.451775816081014E-6,-4.71487617954458E-6
3,7423.294749047393,0.0,0.0,0.0,0.0,0.0,0.00568745876828038,0.0,0.002969038703225822,9.452829685638385E-4,0.0020259958684719875,-0.003355685802204026,-0.004849914552261235,-0.001733848556160078,-5.808537577293134E-4,-0.001199798950306487,-0.0074524705272101316,-0.006228157006299733,-0.004025975671308956,-0.001351644275231156,-0.002756731912676635,0.005002542544390939,0.0036811988131595554,0.002436541003260985,0.0011585377857784274,0.0016416298027381298,-0.0027256741340938436,-8.633697159104894E-4,-0.16444822745697146,-0.04010935016500621,8.052746324496649E-5,0.004413955811010264,0.005296990517985362,-6.823871686731401E-5,-0.004158487906491717,-0.003584780028363735
4,7201.188872324483,0.0,0.0,0.0,0.0,0.0,0.04673334694368518,0.0,0.02434784597590126,0.007801558348201058,0.01660167783750778,-0.026252507092938214,-0.03844583807364704,-0.013539416479711764,-0.004515278885332391,-0.009474328537203655,-0.04638254074425251,-0.039531991060929195,-0.025583333793064086,-0.008542067024733103,-0.01705147694979094,0.024823907614049477,0.017236990605222925,0.011822148428578413,0.006634961125073967,0.0075062970718725594,-0.01121671349841753,-0.002362672732706509,-0.4538899822492844,-0.13947569314500785,5.284710407756116E-4,0.02825611316715523,0.033751494055029696,-1.6162525130130646E-4,-0.010419222011093715,-0.007766970962258595
5,6569.404803094228,0.0,0.0,0.0,0.0,0.0,0.2681789169969824,0.0,0.15677138007445643,0.0370683288442982,0.08750142672757263,-0.4134817575438638,-0.618576659761328,-0.2165795894064763,-0.06410727764435344,-0.17092028739895923,-0.38676935383612604,-0.3861615330938001,-0.24336311386063497,-0.07934794991434913,-0.13433445182324583,0.5272123382227281,0.34823633252381075,0.24934127807258122,0.14334579896429173,0.1596153995860179,-0.008416041278784935,-0.0014778312710025101,-0.29631287281682733,-0.17022275085873348,0.004795512170428834,0.17141778638389848,0.20412475907250738,-0.005211676033367262,-0.3254604048358323,-0.25650439737378156
6,6293.7565336455355,0.0,0.0,0.0,0.0,0.0,0.47972318604765807,0.0,0.2681730561155461,0.06943220949068471,0.14434643459489344,-0.745608985847714,-1.153303474377934,-0.37295368940646423,-0.11123316710588413,-0.31187938728855835,-0.6758755647604541,-0.6819270164448088,-0.43442699006530283,-0.13947261647134937,-0.23440571644248753,0.8582706304423198,0.49797157241634626,0.3826403759534389,0.2475398616156873,0.24514578941403722,-0.005961078904938242,-7.018807139568219E-4,-0.16933230124698986,-0.14267933811161887,0.006691822235949527,0.17803802708165764,0.2519396273119552,-0.0015196273186130092,-0.04558184556491368,0.038564933310145044
7,6154.953512167915,0.0,0.0,0.0,0.0,0.0,-0.07838653839042287,0.0,-0.12918323088184075,-0.02328262298961048,-0.1505020397361282,-0.8830933087721047,-1.6059098308476647,-0.3339253582814764,-0.0955571334309288,-0.41143572120821303,-0.9769122015824585,-0.9880726347184613,-0.6518355592124314,-0.20154256677914692,-0.33730342818282455,1.2850743801785585,0.5267687825308611,0.5035484608500984,0.3925746171311546,0.3337128647653693,-0.005841070152737338,-7.718172082673856E-4,-0.17165241880435564,-0.16505194074019394,0.007807488868560309,0.11389774996687381,0.28370884362047155,-2.0351149153290918E-4,0.12240619927579657,0.25195957233971045
8,5998.455655316515,0.0,0.0,0.0,0.0,0.0,-0.6462469334935619,0.0,-0.09909992993718751,-0.08021438155171512,-0.21920565946306772,-0.7751360286553483,-2.5779654212197336,0.06769383343157165,0.11815567639731415,-0.6687764457789189,-1.7976857243916728,-1.847585819707645,-1.337892171883766,-0.36191934208161347,-0.6369546534159499,1.609253817598918,-1.047722629507858,-0.21235911101388893,0.6564579381050006,-0.007146983100494886,-0.005380567410273589,-7.545017812533186E-4,-0.06139564531550491,-0.15156749571835176,0.009700782873242548,-0.25378399836239707,0.41916235059122864,-0.009258827811596464,-0.09158325062475753,0.21608803332221158
9,5959.479931609257,0.0,0.0,0.0,0.0,0.0,-0.8087838239721369,0.0,-0.05900179881507174,-0.0522541350904714,-0.21438246704371433,-0.8429085222623944,-2.9366880130723176,0.04542408225424838,0.14527848448968197,-0.7668987089331012,-1.768701693331285,-1.8590055564362333,-1.3763859031100862,-0.35562924297143583,-0.628899230492435,1.7850004117400655,-1.4594953457461555,-0.3434682890068014,0.713715062877374,-0.0737418682737439,-0.004810120256687962,-5.763361048374302E-4,-0.08674786485698943,-0.15326897679577378,0.009040942542444868,-0.43131989412620003,0.25032035665694113,-0.013014515943818574,-0.1860031703981228,0.191019429038627
10,5915.205703913004,0.0,0.0,0.0,0.0,0.0,-0.923357900237332,0.0,-0.03941694920312122,0.37641982002639385,-0.10172838030143297,-0.6531810303443408,-2.9685500206923887,-0.145050097860604,0.17795605055248997,-0.7253752881604494,-1.682694190978302,-1.8851163529253852,-1.4044130312633232,-0.30785348975365207,-0.6183316552474702,2.4493966011698762,-2.165236441589151,-0.1406153036841558,0.5923159333745748,-0.025850982365558252,-0.004846737360671382,-6.122552550429578E-4,-0.08566655832011212,-0.15685482392394554,0.013653244332961579,-0.47075021320443455,0.35632353314676,-0.02431892287845286,-0.24910829469337145,0.29890985308223983
11,5909.476879546143,0.0,0.0,0.0,0.0,0.0,-1.0278554549289713,0.0,0.060109434609483536,0.3038347594894948,0.17259747651075544,-0.4565713457471767,-2.914730933598689,-0.18848023212791157,0.30496832200149426,-0.6957667322383218,-1.5409359214833434,-1.8999149225777732,-1.3547142072692153,-0.2046563835977736,-0.5762396289006735,3.007727633695553,-2.3341596749730558,-0.25083775312810164,0.756790812171683,-0.12679297472048895,-0.005114328888226035,-7.266983817919626E-4,-0.08901566166835163,-0.16157774987833456,0.020289245616910277,-0.383760773151207,0.44967364858702075,-0.037299319873253314,-0.22703610463539523,0.38872488728984156
12,5900.243913638326,0.0,0.0,0.0,0.0,0.0,-0.9064130983028388,0.0,0.047960097636895134,0.3423064982291976,0.02934083893412029,-0.36309177336619075,-2.941635460802496,-0.1507943321921411,0.39218475453622537,-0.5854832789460935,-1.3743639271451589,-1.972161525057331,-1.2657480210997054,-0.06743381392622538,-0.47409020437883825,3.3474756034199804,-2.408239530084623,-0.5352793883457887,0.8176721912095779,-0.050167444539228126,-0.00514763124095601,-7.687698296438067E-4,-0.08681703771683423,-0.16108297521688228,0.030274913895052956,-0.20465612579958348,0.49542512163905916,-0.05582399524049313,-0.16989695501468802,0.3866119888527585
13,5890.624399814264,0.0,0.0,0.0,0.0,0.0,-0.6875085313042045,0.0,-0.25125003923650957,0.3535965719865761,0.035962147021206446,-0.36063692613760917,-2.9151902563204586,-0.16899972197548907,0.4824434959567795,-0.5984118856237576,-1.2093155181040613,-2.106795453836258,-1.22127367298841,0.09580641327453071,-0.38985579528670244,3.535045671584585,-2.4954439642574395,-0.6700834034250718,0.8763674942629877,-0.1259865204082506,-0.005068076686129097,-7.434489216475314E-4,-0.08441295102342401,-0.1588551986615789,0.042593478687707735,-0.06774345619691494,0.475817339583512,-0.07957542516664766,-0.10539898014115404,0.32323075460161566
