Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_walk_vgvi,g_walk_speed
0,8528.363993556424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0
1,8266.82079963676,0.0,0.0,0.0,0.0,0.0,0.0,2.123880388366332E-7,0.0,1.1007581705455539E-7,3.522011327092092E-8,7.586416688691665E-8,3.0847825962647706E-9,-2.615090088690092E-7,-2.5385423237840166E-7,-1.3402568100283115E-7,-4.4043466852737776E-8,-8.63630642056431E-8,-1.4502466777381202E-8,-1.1841562641325447E-7,-1.0333980641357041E-7,-6.727640131618451E-8,-2.233302960977755E-8,-3.6055391064327464E-8,-7.068094062190976E-9,1.5019960835782186E-7,1.1206265814911612E-7,7.338247566590824E-8,3.4194179338609774E-8,4.066144166824934E-8,8.894982044066516E-9,3.6579858843014356E-5,-4.228806561910361E-4,-0.10000072298576666,-0.09999812474783545,9.710817248101621E-10,5.904610345141672E-8,-1.3031499772730746E-7,-1.1280752007377769E-7
2,8097.596971270856,0.0,0.0,0.0,0.0,0.0,0.0,4.713391342970974E-6,0.0,2.474879459483108E-6,7.946120695875431E-7,1.8276471697938223E-6,-2.2044909037670197E-7,-4.737873206916187E-6,-6.5593773172499146E-6,-2.4114706609532864E-6,-8.477272136440334E-7,-1.6281191983110626E-6,1.3621726333139911E-8,-5.4868933177466495E-6,-4.77479218093383E-6,-3.061868354822533E-6,-1.0245244293779763E-6,-1.678440690321522E-6,-3.233344087000311E-7,5.820333518966113E-6,4.321019319547607E-6,2.8418958912385663E-6,1.3312143354059175E-6,1.570743094390319E-6,3.471756831019327E-7,-0.0011671685045021114,-6.17746800816202E-4,-0.10003628382505125,-0.09992793741380164,4.773352372168466E-8,2.9638730486356853E-6,-5.00835557167118E-6,-4.331351930056828E-6
3,7545.353509426497,0.0,0.0,0.0,0.0,0.0,0.0,0.006478655632932314,0.0,0.0033802878078446953,0.0010780819144287368,0.002391811675708406,-8.499518596370384E-5,-0.0037493108173793327,-0.005439804527035409,-0.0019386109559455572,-6.500957939177742E-4,-0.0013305205003411038,-7.01113194801502E-6,-0.008488997713899417,-0.007091174424195485,-0.004582448360491949,-0.0015386942695692768,-0.0026182481202569278,-5.220376716123562E-4,0.005619689845120033,0.004133627703087213,0.0027368368278495037,0.001302149884310156,0.0015031255472380855,3.4072705252699564E-4,-0.0028575862867546483,-9.111494534161952E-4,-0.17360447360898212,-0.03281099410441496,9.190895819246708E-5,0.006049323591603059,-0.004664956616915202,-0.004020869623482179
4,6994.892655842668,0.0,0.0,0.0,0.0,0.0,0.0,0.031880585953845825,0.0,0.016595001970047273,0.005322625054852334,0.011744515186613862,-4.0077074475438235E-4,-0.01791350284962303,-0.026188861304890163,-0.00924080940661435,-0.003103695895383566,-0.006387078977576208,-2.0086348873785E-5,-0.03368021064644218,-0.02852433446950644,-0.018452159803460814,-0.006172188390427318,-0.010355314098264044,-0.0020519708057697046,0.018958350072187907,0.013536859713680571,0.009094667713449456,0.004869762680280229,0.004707235210578386,0.0011424080307289874,-0.008648270209813912,-0.0019310496034870884,-0.36794636456488583,-0.09019350212982252,3.6957093537528634E-4,0.023813372997797955,-0.011700296661923766,-0.00938506054023252
5,6326.471726590565,0.0,0.0,0.0,0.0,0.0,0.0,0.30195418959003584,0.0,0.17091316321686123,0.04545898842389152,0.14184003073523066,-0.040500714939791654,-0.3570633573634558,-0.5397618967433963,-0.18602219729842465,-0.056037872197779615,-0.1321425748147475,-0.01525628940235412,-0.33777521260389826,-0.3369721783055801,-0.2119727755339327,-0.06918187730835067,-0.0995021749131222,-0.018092096479178973,0.39390002534169766,0.24572051677887521,0.18439932752493043,0.11168543063052051,0.08854563833556366,0.02891931166773701,-0.006237148998642786,-0.0011405559175996238,-0.23045228956058972,-0.08471868797638953,0.004401967702576259,0.1958522012948535,0.040431471791046045,0.06483660448351565
6,6221.111896078245,0.0,0.0,0.0,0.0,0.0,0.0,-0.1430300943229682,0.0,-0.16851126799201593,-0.03179300247435538,0.009278091725912097,-0.1634957381079113,-0.5000128744913073,-0.9360351447268471,-0.17046003243771432,-0.049621815733927446,-0.1778770630255875,-0.0653672752913842,-0.52799916799105,-0.5307060123658796,-0.3399416489670284,-0.107239233539244,-0.1363097405463779,-0.042326750808261066,0.7616163455584699,0.3075276120526428,0.3043677653348518,0.22720314511401146,0.15554768892472182,0.07207279317701591,-0.005707045795245016,-0.0010921111351205165,-0.23520902695609977,-0.10556968752927776,0.0038362513880340217,0.11707412996788537,0.10679606836163014,0.12406446433857686
7,6117.13325614495,0.0,0.0,0.0,0.0,0.0,0.0,-0.2818713714092042,0.0,-0.25296490964006213,-0.0455549960163986,-0.019290999711960893,-0.2430474821533532,-0.5648920446792324,-1.2112986588158166,-0.136614574685398,-0.030411323244907557,-0.1966538812243068,-0.1154716959146736,-0.6363979445791434,-0.6446094152971287,-0.41948571557577347,-0.12672683984628957,-0.14964873270981036,-0.06354477739641523,0.8411699722758778,0.09277935981307295,0.22526777311537835,0.26994447266019317,0.1285594175638008,0.104256346015075,-0.00595721308667895,-0.0011182539175067278,-0.2515954084266318,-0.09764938130334136,0.0022543076670384875,-0.017791840980805287,0.3291565670445347,0.29593071276150634
8,6044.171783788433,0.0,0.0,0.0,0.0,0.0,0.0,-0.35327693332499305,0.0,-0.2310736546601792,-0.039688540451592716,-0.024173737301230014,-0.2916969889257241,-0.5729743611106263,-1.4072110165518148,-0.104034552347699,4.834491970822363E-4,-0.19735713702450106,-0.17621719409841413,-0.7296255327732465,-0.7480283042460634,-0.48903784643457304,-0.13899150020504208,-0.1568428696225744,-0.08750540781903178,0.9337633921858945,-0.14800826817538318,0.12470237550640781,0.30346246911017605,0.10407908007324805,0.1359138296847778,-0.005519824608291469,-0.0010225391845017772,-0.24144206292536474,-0.09768408226401447,9.029469028211091E-4,-0.1760100854804752,0.27694895672025677,0.22130853528885042
9,5966.9321202422125,0.0,0.0,0.0,0.0,0.0,0.0,-0.6073154021535878,0.0,-0.2840632718164092,0.041402707181677614,-0.06425566398375188,-0.36206898428322487,-0.4150944505248472,-1.824698781965397,0.007414234044500492,0.14696041945445995,-0.16155836556860997,-0.4358768314582685,-1.0469260830224605,-1.0827119332572928,-0.6531287126994191,-0.14021795194946726,-0.15984038171192844,-0.2059708932638893,1.2564116439091315,-1.1234068041098184,-0.1525161865880664,0.3500616116455037,0.038338971490377405,0.21886177870459556,-0.005575134092573115,-0.0011065750645836334,-0.1709423905860475,-0.09784461145330539,0.010602469250567239,0.30195985027963496,0.15218334367172903,0.02219082525399213
