Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_walk_speed
0,8528.363993556424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0
1,8235.305457356828,0.0,0.0,0.0,0.0,0.0,0.0,1.8389226516453745E-7,0.0,9.53071154518708E-8,3.0494685313814E-8,0.0,2.6709021010529143E-9,-2.2642275085389898E-7,-2.197950038494228E-7,-1.160436633100041E-7,-3.813422323410142E-8,-7.477586586475327E-8,-1.255669330897408E-8,-1.0252798552728606E-7,-8.947486490834583E-8,-5.825003092414145E-8,0.0,-3.121789518152842E-8,-6.119778847301681E-9,1.3004755992399229E-7,9.702738515915781E-8,6.35368627513211E-8,2.9606399345568047E-8,0.0,0.0,3.167199593200774E-5,-3.6614341460656033E-4,-0.10000062598388798,-0.09999837634750912,8.407931963277106E-10,5.1123979355412747E-8,-9.767231011496568E-8
2,8036.437455224923,0.0,0.0,0.0,0.0,0.0,0.0,6.209024184584534E-6,0.0,3.257089495991207E-6,1.048135685663685E-6,0.0,-2.904419699029188E-7,-6.260984449898556E-6,-8.664762032966966E-6,-3.183264089225503E-6,-1.1227928735081854E-6,-2.147006236423367E-6,2.2867542044207145E-8,-7.156564144085282E-6,-6.226812162200479E-6,-3.995047786964241E-6,0.0,-2.189078167185477E-6,-4.220861596911817E-7,7.6241893502224456E-6,5.661226585335804E-6,3.722735986773251E-6,1.7435349848997815E-6,0.0,0.0,-0.0015761414050021847,-6.278684866500277E-4,-0.10004731697812663,-0.09990558678529318,6.226734898876946E-8,3.865146757729426E-6,-5.67486644483907E-6
3,7398.503801056077,0.0,0.0,0.0,0.0,0.0,0.0,0.004234250755745703,0.0,0.002211680685539027,7.024867686740646E-4,0.0,-6.342212065577329E-5,-0.002573035290350111,-0.0037014198395794577,-0.001327365557835689,-4.444363556637093E-4,-9.145457733339801E-4,-8.08365497056856E-6,-0.005549305055366331,-0.004639206225589341,-0.003001439543527588,0.0,-0.001711040161192167,-3.420042007371106E-4,0.0038068197062867894,0.0028032608811223714,0.0018544781254326921,8.808509328419209E-4,0.0,0.0,-0.0025971703004047135,-8.064150948551876E-4,-0.14795135910542553,-0.05432779890778625,5.9948379038516004E-5,0.0039419797102744816,-0.002734567024955973
4,7103.6335987455695,0.0,0.0,0.0,0.0,0.0,0.0,0.02639135951529532,0.0,0.013795333616942185,0.0043938608611104844,0.0,-4.948959823707351E-4,-0.01508627452715892,-0.02217213553243259,-0.007780469726518653,-0.0025491235175589414,-0.005469553373377756,-8.364250944034486E-5,-0.02511695797458117,-0.021633286228412738,-0.013973367056466126,0.0,-0.007702345641331356,-0.0015032638178180547,0.013293495171478212,0.008874078728910923,0.006281145612295201,0.0036599894278623217,0.0,0.0,-0.006292851757018647,-0.0014611641861167935,-0.2771774386699265,-0.11246750650049528,3.176596671950843E-4,0.020117793798643716,1.658894128323883E-4
5,6274.4662675269055,0.0,0.0,0.0,0.0,0.0,0.0,0.4218687627595688,0.0,0.23424460769002994,0.06309541355477447,0.0,-0.04929031442502969,-0.46222836623601815,-0.6922848304808044,-0.2385813259402325,-0.07109111634233334,-0.17408051755755344,-0.0165030002017743,-0.46627288539547745,-0.4615705930228712,-0.2856201284710682,0.0,-0.13866795490152048,-0.023003850194036023,0.5124570673556182,0.331278163013857,0.2411054878758717,0.1425220383111602,0.0,0.0,-0.004049384432088061,-5.983028011620471E-4,-0.10144085468600936,-0.12440066026120494,0.009615569355627933,0.5292709015648265,-0.06657864303649871
6,6044.463352854509,0.0,0.0,0.0,0.0,0.0,0.0,0.07299177269168461,0.0,-0.030814857553976643,-0.014037170166464996,0.0,-0.13440530808515228,-0.5821829424720385,-0.9766108813914163,-0.24323117415173942,-0.06593061487457388,-0.23399642021194028,-0.04599960583201712,-0.5876469451846786,-0.5858015565895026,-0.35756436158084093,0.0,-0.16699639318059187,-0.036523770590242866,0.8738802841021771,0.5012778524327762,0.39323312639299396,0.2484868161713818,0.0,0.0,-0.003993294750738965,-6.125573588957702E-4,-0.10741151733902761,-0.16588531237909124,0.012640305010004623,0.6272626108270111,-0.16121925118391536
7,5880.321876863225,0.0,0.0,0.0,0.0,0.0,0.0,-0.4473647267127115,0.0,-0.027561916084778277,-0.00255535737273138,0.0,-0.4921323692631156,-0.8458782055758421,-2.284209381953656,-0.08533110080251324,0.08885926426484833,-0.3708666626401552,-0.37150635078569355,-0.7758762454220255,-0.8554786616348137,-0.5336856053452068,0.0,-0.12369742287519839,-0.1329774735805893,1.3474567272080429,-0.7345898699740713,-0.21232359634416015,0.4508878126921638,0.0,0.0,-0.00201303112270482,-6.648369818467793E-5,-0.10334416270125628,-0.16314052609493973,0.01907308193331381,0.17631273337256437,-0.39331923599223495
8,5820.462042823747,0.0,0.0,0.0,0.0,0.0,0.0,-0.5892261133474845,0.0,3.315952849961973E-4,0.06715836948234004,0.0,-0.5501676326628562,-0.6776576257503719,-2.3565713501457073,0.018824269582303488,0.18691989402246373,-0.30433721181529083,-0.5424566808988417,-1.0144250432896011,-1.1596682153909001,-0.6805985741528483,0.0,-0.15427213476743007,-0.19409876288808495,1.6374421192551756,-1.2093168176447837,-0.3251640050667502,0.5105856558646801,0.0,0.0,-0.0024013533092350475,-2.410935122464544E-4,-0.07889889190007152,-0.17226744700161625,0.024169609183777634,0.1277486800630074,-0.5238210818710073
9,5805.510838135509,0.0,0.0,0.0,0.0,0.0,0.0,-0.6704999137192331,0.0,-0.037466350808386076,0.22483203379048644,0.0,-0.5346108844550592,-0.5612070694880453,-2.388714626098706,-0.07683256511261256,0.26572665004489493,-0.2636308653029338,-0.762869974309156,-1.1365795425074499,-1.4097708097057193,-0.7285265484869716,0.0,-0.12710674742245326,-0.29921401024655675,2.1094453290763955,-1.735208945981324,-0.24033049932536762,0.5578962807493179,0.0,0.0,-0.002346113814819231,-2.7158426361119993E-4,-0.06514796297718761,-0.15453016858585755,0.030576866053107544,-0.029048830994477248,-0.11608443326372175
10,5804.090536534282,0.0,0.0,0.0,0.0,0.0,0.0,-0.6460922228688469,0.0,0.12278261031358102,0.4726196010853019,0.0,-0.36981362050715544,-0.4303952585452667,-2.3263432415024154,-0.4379805918092063,0.3420662221129961,-0.27531350315472175,-1.0618938046232431,-0.8972936401614977,-1.403427218412,-0.518739175350314,0.0,0.04527027471235437,-0.5175646403421656,3.112227459855696,-2.4090719983733964,-0.051556183476986955,0.6699409576098294,0.0,0.0,-0.001986668441123466,-1.4796729894387623E-4,-0.08742809638937789,-0.17288029374823358,0.04365575524177264,-0.17386497025773592,-0.18643735576010348
11,5793.476853905376,0.0,0.0,0.0,0.0,0.0,0.0,-0.5088682189381458,0.0,0.022658702951206644,0.4778245444869004,0.0,-0.32586247051746914,-0.30664078537134243,-2.328314573463943,-0.28686694605712165,0.40061297029710463,-0.3977785812517346,-1.071046218095749,-0.7278326583582074,-1.3669604032950804,-0.38186518435487615,0.0,0.05310411956195991,-0.6589574015650664,3.473347446907885,-2.5838406587841507,-0.1967859328138267,0.7099644626298158,0.0,0.0,-0.0022868165779632763,-2.3329900984063662E-4,-0.09417487535544196,-0.17007781262280303,0.05740873138348669,0.037370565680063306,-0.09933869262497617
12,5788.41860372093,0.0,0.0,0.0,0.0,0.0,0.0,-0.5069438073466962,0.0,0.058620828476674075,0.45958187190144684,0.0,-0.3896925137128393,-0.2567406846383182,-2.280936573548873,-0.3229193090889211,0.37433204443292845,-0.4171238780555532,-1.028192241715958,-0.5976029695399933,-1.4077927006470754,-0.4205459981760393,0.0,-0.023092203921007935,-0.7607718460463877,3.647020467527007,-2.54069702877364,-0.3981532085340296,0.7040174964268426,0.0,0.0,-0.0023561047460263483,-2.6132112507493225E-4,-0.09767470256455216,-0.16998541788103835,0.06997502221744117,0.050053719061443444,-0.039691144556292864
13,5777.766571424014,0.0,0.0,0.0,0.0,0.0,0.0,-0.27685983046288853,0.0,-0.237731926199048,0.45456928937348423,0.0,-0.5730063728156551,-0.2196914653438704,-2.210515892234397,-0.4572719427565769,0.24779519201372327,-0.3652752944060691,-0.9250757737422877,-0.23610212040229384,-1.5484274676961434,-0.6576013502357473,0.0,-0.23599556221643353,-1.0404302958926062,3.8426288209259196,-2.5539118731180297,-0.6179626897795483,0.6009301779350114,0.0,0.0,-0.002281699333829693,-2.421924579414607E-4,-0.10026969658229203,-0.17185692295783397,0.1093822008980176,0.005733920530887601,-0.07283206042048845
14,5769.034895522836,0.0,0.0,0.0,0.0,0.0,0.0,-0.17308595661250709,0.0,-0.3870773689949015,0.2582893511128971,0.0,-0.5975760497947938,-0.12091013601008899,-2.205576663390203,-0.6456008202367529,0.3012769522082084,-0.340636142103113,-0.9595157637448947,0.07086258592307515,-1.6024862318022564,-1.0018459207410801,0.0,-0.26843283855725,-1.2909596374716745,3.8642320587351366,-2.564711255262374,-0.7246857075991415,0.5610840503925768,0.0,0.0,-0.0024758286976543304,-2.876312644601314E-4,-0.10554571124608646,-0.17039516723156548,0.1511487832979287,0.09943603636316282,-0.06567120670852847
15,5761.835732513075,0.0,0.0,0.0,0.0,0.0,0.0,-0.11317746609541363,0.0,-0.4655733344167726,0.3325829720911297,0.0,-0.5257258518802181,0.020713474126454523,-2.2869683642294163,-0.6503291324461761,0.296301679531779,-0.3476347973711803,-1.0558847020218582,0.24747890259067867,-1.6626731616226893,-1.2315415051848888,0.0,-0.1366533735473898,-1.4757513756091898,3.8420622097516994,-2.4136536467624254,-0.7977082434249683,0.4820927014962707,0.0,0.0,-0.0024554034962509515,-3.0323405652327834E-4,-0.10954219442714752,-0.17163945904227915,0.19388517050290788,0.0729354971034964,-0.07486885709789545
16,5751.145323597667,0.0,0.0,0.0,0.0,0.0,0.0,-0.1396551440575512,0.0,-0.5794234737699581,0.4189568875748889,0.0,-0.5132565201494076,0.09385793132448145,-2.2569372320512464,-0.8184640579353208,0.18036261213381155,-0.5443199905447434,-1.1648890192819124,0.21369703897257833,-1.7906089016969646,-1.1673524832441355,0.0,-0.016522656057054483,-1.6604033209183833,3.589697344003064,-2.285890613652848,-0.882885842533525,0.5782140651883421,0.0,0.0,-0.002658550344947066,-3.3731129916068735E-4,-0.11257366887504933,-0.1709959150806008,0.2885062829310835,0.14061070448839688,-0.11208901727634346
17,5729.2849858007485,0.0,0.0,0.0,0.0,0.0,0.0,-0.06246565078552599,0.0,-0.4920418952830687,0.2718982095850163,0.0,-0.542760436677843,0.21390481296922104,-2.2983646680844587,-0.6625423580382566,0.07385485756873843,-0.5393765611527361,-1.256087636369957,0.007598483108851528,-1.7199822669971419,-0.9729528943798532,0.0,-0.18967450309021816,-1.8963447663369521,3.2085856838608513,-1.9469921252502425,-0.6582487749883248,0.9425091154507322,0.0,0.0,-0.0026208210659736187,-3.771927060596101E-4,-0.11630303899668067,-0.17364400016078818,0.5193186465815889,-0.03206542860987996,-0.13451275275412547
18,5703.660835081538,0.0,0.0,0.0,0.0,0.0,0.0,-0.27431961160714347,0.0,-0.2386299760752802,0.4488814691313068,0.0,-0.7400782717724139,0.0947303553156994,-2.2791653585128175,-0.4253862409635864,0.08472863956406104,-0.44459999910722664,-1.183699322670247,-0.2846797619449395,-1.3472645564065002,-0.8656875658969483,0.0,-0.4777390236057096,-2.0914777061167475,2.736867734707629,-1.7083122006848526,-0.2751426924798149,0.7967672344243104,0.0,0.0,-0.0031546347309897253,-5.344419503806564E-4,-0.12752451003570944,-0.173591002118508,0.8306266610777613,0.1610743210219084,-0.12759722980830435
19,5692.608851624472,0.0,0.0,0.0,0.0,0.0,0.0,-0.3005255428135383,0.0,-0.18064416220081483,0.3447922807193694,0.0,-0.6465917849617954,-0.22570120395306925,-2.119053155930725,-0.2645111535979249,0.30008069440534274,-0.5486607884911647,-1.0150091568048003,-0.4641002297410471,-1.3518749022960974,-0.8317042923758199,0.0,-0.43069082518431884,-2.0828593268380184,2.648498209799841,-1.6086882218676064,-0.1979136579086569,0.5758160558704374,0.0,0.0,-0.003104813940624028,-4.980927639245094E-4,-0.1277500274384749,-0.17689780232467048,0.9589252623949442,0.05301479469768454,-0.16217579014267383
20,5687.91029283103,0.0,0.0,0.0,0.0,0.0,0.0,-0.3246417667727064,0.0,-0.19132386768351067,0.2775354398586569,0.0,-0.5068414489272498,-0.3717635719156201,-2.0903111537558434,-0.23195178100863242,0.26124974255652833,-0.3477882193046174,-0.8558461762271155,-0.5317893284462589,-1.3825027792081668,-0.7967570972934599,0.0,-0.29509606883127354,-1.9954497122068227,2.6405277029968217,-1.6034654615286383,-0.24980405249973192,0.5345240193132591,0.0,0.0,-0.0031731456033891256,-5.096424545891776E-4,-0.1293038414980532,-0.17671639598663796,1.0158420523484617,0.0883103911071065,-0.1564036461061674
21,5686.068811793293,0.0,0.0,0.0,0.0,0.0,0.0,-0.3210374817179131,0.0,-0.1880174673418238,0.2537519733027654,0.0,-0.4899662802546461,-0.29845810135511025,-2.116126505149742,-0.2551973519995861,0.2329853677120438,-0.36494788446009757,-0.6708763558644455,-0.5411116675180521,-1.3981665431913224,-0.8294884665670762,0.0,-0.22024662246652174,-1.8441942776676936,2.657411873354277,-1.6268974212133898,-0.23133535820244747,0.5223122212223029,0.0,0.0,-0.0031815644828494007,-5.306506591202336E-4,-0.12991986998206437,-0.17681672903575807,1.046897372195246,0.08449199209618952,-0.1563100047060373
