Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_walk_speed
0,8528.363993556424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0
1,8235.305457342756,0.0,0.0,0.0,0.0,0.0,0.0,1.8389226516144673E-7,0.0,9.530711545026894E-8,3.0494685313301465E-8,0.0,2.670902101008024E-9,-2.2642275085009344E-7,-2.1979500384572865E-7,-1.1604366330805372E-7,-3.813422323346049E-8,-7.47758658634965E-8,-1.2556693308763037E-8,-1.0252798552556284E-7,-8.9474864906842E-8,-5.825003092316243E-8,0.0,-3.1217895181003726E-8,-6.119778847198824E-9,1.3004755992180654E-7,9.702738515752705E-8,6.353686275025322E-8,2.960639934507044E-8,0.0,0.0,3.1671995931475414E-5,-3.6614341460040645E-4,-0.10000062598388798,-0.09999837634750915,8.407931963135792E-10,5.112397935455349E-8,-9.767231011332408E-8
2,8036.432193714401,0.0,0.0,0.0,0.0,0.0,0.0,6.209376119304198E-6,0.0,3.257274179251822E-6,1.0481951272119234E-6,0.0,-2.904590909530911E-7,-6.261336935574194E-6,-8.66525531307476E-6,-3.183443249090798E-6,-1.1228562296662393E-6,-2.147127277773487E-6,2.286961120049293E-8,-7.156976178100935E-6,-6.227170650859562E-6,-3.995277739659846E-6,0.0,-2.18920421017666E-6,-4.2211045674281547E-7,7.624627091455967E-6,5.661551596456505E-6,3.7229497247016447E-6,1.743635097391395E-6,0.0,0.0,-0.0015762353191677565,-6.278837746718407E-4,-0.10004731970539887,-0.09990558136535072,6.227093698081599E-8,3.86709975035346E-6,-5.675192215007965E-6
3,7400.149249664378,0.0,0.0,0.0,0.0,0.0,0.0,0.0041999451067966966,0.0,0.0021937617715242184,6.96795343086706E-4,0.0,-6.291041762856105E-5,-0.0025522156305466774,-0.0036714679799637363,-0.0013166243133377782,-4.408406230278875E-4,-9.071454693038587E-4,-8.017637904156485E-6,-0.005504338655378957,-0.004601615338288329,-0.00297712002519665,0.0,-0.0016971753560521277,-3.392330859204159E-4,0.0037760031689440536,0.002780568930609711,0.0018394660814871672,8.737200878013049E-4,0.0,0.0,-0.0025889971872596457,-8.049849559720844E-4,-0.14756279368338704,-0.05469748405869496,5.946260732168555E-5,0.003912355890598088,-0.002712432891568524
4,7106.662899520693,0.0,0.0,0.0,0.0,0.0,0.0,0.0258531931510136,0.0,0.013515222061969182,0.00430407794363799,0.0,-4.8760370823501716E-4,-0.014780265311323959,-0.02172623291101599,-0.0076229280124369145,-0.002496387874484661,-0.005360123034151818,-8.288244296743915E-5,-0.024595339993932316,-0.021188910849159942,-0.01368521975608815,0.0,-0.007542201420585071,-0.0014714882707019938,0.013016245268329467,0.008681255112149028,0.006149240029240664,0.0035850991885034733,0.0,0.0,-0.006183980491809805,-0.001441842157625074,-0.27318337064236003,-0.11160481319656523,3.1003542278792724E-4,0.019682205559204826,2.695404418343304E-4
5,6275.790419292498,0.0,0.0,0.0,0.0,0.0,0.0,0.4262221697536369,0.0,0.236470943548234,0.06384219006104092,0.0,-0.0493429317390883,-0.4635336894089026,-0.6946057291421398,-0.23918791196982017,-0.07126517108102501,-0.17468372093823453,-0.016412237149194906,-0.4686006180576273,-0.4637836241982882,-0.2869062832692827,0.0,-0.13939055190955332,-0.02307893664315673,0.5119762829767353,0.3305853769809695,0.24082300044806346,0.14251483169409376,0.0,0.0,-0.003958991692358184,-5.79600319876612E-4,-0.09696834752402372,-0.12341733805572609,0.009505726014642939,0.5352261197039012,-0.059286045808074894
6,6043.079684652032,0.0,0.0,0.0,0.0,0.0,0.0,0.06881584641547056,0.0,-0.03645097411570042,-0.015222733426996163,0.0,-0.13639789957635712,-0.5793246007988472,-0.9765906561403821,-0.23905521950276698,-0.06455138990744985,-0.23359363174014228,-0.04644822293666867,-0.6007050570699421,-0.5983452977269327,-0.3650496047208883,0.0,-0.1711588343845085,-0.037215392990394495,0.8781672806021303,0.502193187533296,0.39499859197955595,0.25004198419876034,0.0,0.0,-0.003952945165678582,-6.092677938575599E-4,-0.10173255886629043,-0.16558829439487865,0.01223969346004816,0.6523660578644206,-0.14828325907613576
7,5853.751890494563,0.0,0.0,0.0,0.0,0.0,0.0,-0.46684009755106015,0.0,-0.04588609809119377,-0.005813099683461729,0.0,-0.49208848460520943,-0.7815250440067227,-2.2027286509530097,-0.044062052413273045,0.10170604012237902,-0.34717548161922346,-0.37126408816086676,-0.8576397886111018,-0.9242731940841306,-0.578276373872565,0.0,-0.15244358310955908,-0.13752021709673737,1.3309636725700458,-0.7484653408792751,-0.22172584079896412,0.44656287203942857,0.0,0.0,-0.0023421452739912888,-1.8301263459639228E-4,-0.09021906142686265,-0.1654402861298564,0.014086843812244242,0.2778567563241421,-0.4147275006931551
8,5810.088893820171,0.0,0.0,0.0,0.0,0.0,0.0,-0.552174296551984,0.0,-0.015127683683861259,0.08145469974124721,0.0,-0.5045029665215615,-0.6257862872016663,-2.1843008872072907,-0.007707260033546534,0.1778604428269912,-0.27595241214756333,-0.5275910736092931,-1.0370442884745552,-1.1737130737917576,-0.6811935496969114,0.0,-0.16632556111851646,-0.1960471039022819,1.6238328769133268,-1.1259108160162676,-0.24533800373234582,0.4903764616527619,0.0,0.0,-0.00269076332852246,-3.341040307267778E-4,-0.07065015196131925,-0.1731568400703751,0.01668439402199741,0.2219492737871481,-0.4860552850615832
9,5781.181398692403,0.0,0.0,0.0,0.0,0.0,0.0,-0.6012138821562888,0.0,-0.009926044622458701,0.2577077113458293,0.0,-0.4540470659518531,-0.5327777831058964,-2.220032153442923,-0.1681963157726149,0.24836775087918148,-0.24365514087752077,-0.7607528926012999,-1.0401540606976563,-1.3328775356773297,-0.6524262352198661,0.0,-0.09373367769128538,-0.3079613130753807,2.1721501741388995,-1.638686433257222,-0.11840194664084541,0.5447078166510656,0.0,0.0,-0.00246390867947617,-2.937427003146636E-4,-0.06871986155188924,-0.16041380294877436,0.020559927630154334,0.0648647916518861,-0.14752737073750405
