Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under16,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under16,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under16,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under16,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_walk_grad,g_walk_vgvi,g_walk_speed
0,8528.363993556424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,8251.466818468985,0.0,0.0,0.0,0.0,0.0,2.0014394368295255E-7,0.0,1.0372998521996787E-7,3.3189686225336354E-8,7.439757053053365E-8,-2.4643310720488696E-7,-2.39219625865572E-7,-1.2629914800114092E-7,-4.1504376600778235E-8,-9.505066887568768E-8,-1.1158900752535264E-7,-9.738230320472E-8,-6.339794062779245E-8,-2.1045538369169523E-8,-4.063743149496925E-8,1.4154065417729326E-7,1.0560228562970333E-7,6.915200195567661E-8,3.222289702055984E-8,4.669951345158109E-8,3.4471042947188024E-5,-3.9850173626025486E-4,-0.10000068130589349,-0.09999823285545803,9.150992075944841E-10,4.6859573015850346E-8,5.56421165175324E-8,-2.0186594016143715E-9,-1.2280238430112416E-7,-1.063042065284396E-7
2,8071.871563935901,0.0,0.0,0.0,0.0,0.0,5.143271303859888E-6,0.0,2.699518343011331E-6,8.675587611012098E-7,1.7521070503217837E-6,-5.177484987307614E-6,-7.165812502874251E-6,-2.634057259242058E-6,-9.272514279325964E-7,-1.7611060631382108E-6,-5.96106174832618E-6,-5.1870828130600225E-6,-3.3269931084173374E-6,-1.1131605595021524E-6,-2.174855189736444E-6,6.335171794605894E-6,4.703607092735316E-6,3.093301930252179E-6,1.4488750350383602E-6,2.0875942039061253E-6,-0.0012863744975516926,-6.128331935162013E-4,-0.10003941670221432,-0.09992155707721699,5.186190338649676E-8,2.707997521477045E-6,3.221184738041225E-6,-8.960209508627648E-8,-5.451790082998268E-6,-4.7148885177773875E-6
3,7422.765079257163,0.0,0.0,0.0,0.0,0.0,0.005681931177351307,0.0,0.0029661531300105544,9.443642648874821E-4,0.0020240267592184333,-0.0033524269162907593,-0.004845204257280358,-0.001732164655243392,-5.802896947702817E-4,-0.0011986336836688595,-0.0074452268554692416,-0.0062221035011455015,-0.004022062616017432,-0.0013503305290508197,-0.0027540524033250243,0.004997682907797756,0.0036776228313500896,0.002434174076248261,0.0011574123195584093,0.0016400350797786142,-0.002724293199728366,-8.631296369434075E-4,-0.16438557826806557,-0.04016752679516356,8.04491852557288E-5,0.004409700489236186,0.00529488837061379,-6.81724313912985E-5,-0.004154448440058053,-0.0035812978680852727
4,7194.980274156035,0.0,0.0,0.0,0.0,0.0,0.046405329452664866,0.0,0.024177181407368662,0.007746791588314296,0.01648495666694966,-0.02606707304375501,-0.03817522334409775,-0.013443870799173762,-0.004483178168212932,-0.00940792235608661,-0.0460569339489478,-0.039254951518386566,-0.02540399364500039,-0.008482147276218889,-0.016931710580335685,0.024648667336292892,0.017113195930252564,0.01173854036965477,0.006588258899921337,0.007453570628318703,-0.011144118655499007,-0.0023498506970721037,-0.451376476397897,-0.13881208894808011,5.230976354526444E-4,0.0280449944976314,0.03346881266639761,-1.6009004292744984E-4,-0.010322203712852876,-0.007692358192265484
5,6557.206705638654,0.0,0.0,0.0,0.0,0.0,0.2686997310717438,0.0,0.1569514852464003,0.03722365260134156,0.0877273540425652,-0.4121650567365339,-0.6165985120954821,-0.21585347215198827,-0.06392921868032704,-0.1703272614206178,-0.38579237148135176,-0.38512432053524936,-0.2426799340788783,-0.07913615411647552,-0.13400778021437673,0.5245518788725917,0.3463708461090926,0.24806844894283572,0.1426601709249569,0.1587943416377268,-0.008333665829291794,-0.0014638860947418838,-0.2951943029894241,-0.16910644821136564,0.00452065783640968,0.1708347951446538,0.18129539314012186,-0.005129958393754512,-0.3205685911127879,-0.25232799458982813
6,6481.233783020796,0.0,0.0,0.0,0.0,0.0,0.6524390758004001,0.0,0.35662772073223814,0.09608914233984685,0.1883780064057997,-1.02342379234033,-1.6057081062909562,-0.5011380521138705,-0.15008713907680718,-0.43012860030393374,-0.9219789166962316,-0.9330382200164845,-0.596969484380882,-0.19053207006564166,-0.3195958787661731,1.1335296035106819,0.6155196871892594,0.4911554024660719,0.33518000794048164,0.31510119832361094,-0.0038120152533066276,-3.738970940174013E-5,-0.07011748257817693,-0.11820563263788537,0.007651561471759702,0.1732580178898953,0.16654180448259678,0.0018361389622793545,0.20688640588811924,0.30197489186911686
7,6319.831629842936,0.0,0.0,0.0,0.0,0.0,0.03095207511647935,0.0,-0.07650293737319758,-0.01310697232956147,-0.1325833687107161,-1.1851802074301598,-2.123848142996767,-0.48011952319438206,-0.1359733435518546,-0.5446499241740441,-1.2461873812549813,-1.2652965788409893,-0.8283024678807737,-0.2592736170474846,-0.42662771968217095,1.6655391765931062,0.7306466583920858,0.6705745033411671,0.5106564481393777,0.4367708210758551,-0.0035708297493627864,-8.331690685418386E-5,-0.06702800645378304,-0.142191163968147,0.01047136763698044,0.19359036283135395,0.18643934428438813,0.004563160663071766,0.44703855425279304,0.5857031702420163
8,6284.692939091154,0.0,0.0,0.0,0.0,0.0,-0.023119618214566776,0.0,-0.06193623259413957,-0.020022893457110256,-0.13317469612183466,-1.162365842449397,-2.190756484860315,-0.445007961510038,-0.11442806998081886,-0.565922053956042,-1.3082574559180458,-1.332034216647844,-0.8820021762358145,-0.2722755171889314,-0.44842577914237935,1.7027216217493464,0.6034351410775528,0.6099251500138262,0.537429233375134,0.40911800402954085,-0.003584077004613499,-9.866491056372719E-5,-0.05751141868367189,-0.14110711973818552,0.011354732858051839,0.20131881994579437,0.1947160511004935,0.004002772450172321,0.43547250696531037,0.5845279606886395
9,6161.628934980021,0.0,0.0,0.0,0.0,0.0,-0.4969195232047065,0.0,0.075032696139925,0.008444910388247167,-0.13408974798240392,-1.208256112240569,-3.0192929314005763,-0.3636414076193617,6.077483616516721E-4,-0.822571585762177,-1.3652745289459645,-1.4913458827250226,-1.0666267413112942,-0.29609840750145167,-0.4586844254440441,2.1638703166331337,-0.5115619024685404,0.1751293510779438,0.7554479212147365,0.21049992406590082,-0.002691417167134536,1.5125269276527545E-4,-0.10148303209808647,-0.14700110272004377,0.013366472320996031,-0.105292687936836,-0.20596086914416317,-0.0038033765025247803,0.20821152305498822,0.4825769993554213
