Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_f,g_bike_grad_c,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_walk_vgvi,g_walk_speed
0,30320.955757936834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30121.941177892546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4864380522358516E-7,0.0,-2.3396582307070463E-7,-2.6330015002728515E-7,-1.7289825115019223E-7,-5.7229247394512965E-8,-1.0810054085597143E-7,-6.84054211721756E-8,-1.3183629477958327E-6,-3.1128809560293356E-7,-3.139313045837056E-7,-3.9059702330979586E-7,-6.787032831420674E-7,-1.6939984596738025E-7,-4.082180117652004E-7,-1.5180857411343383E-7,-4.41893044815123E-7,-7.176701364992894E-8,-1.0393832125228138E-7,-1.614274391079136E-7,-2.68520879698163E-7,-5.789406734402316E-8,-1.2971302311715026E-7,-4.9808861880745194E-8,1.8886033368211369E-6,1.7840236343739075E-7,5.171929614175015E-7,6.794042891347225E-7,1.0322395777653279E-6,2.792332098564696E-7,0.0,2.1972453747551443E-7,2.740211711632872E-4,-0.002749417369353282,-0.1000010174028526,-0.09997115274265794,1.540618581762381E-9,1.2596318607570187E-9,5.24466534282641E-10,0.0,7.818189142921949E-8,3.543137855646782E-8,-1.9369203047569218E-6,-1.762967973621609E-6
2,29327.818020843435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8871605222320754E-5,0.0,-1.3149579503895782E-5,-1.5419921897025782E-5,-1.75912929011177E-5,-5.274033254751477E-6,-1.0785229704418278E-5,-4.874400111584753E-6,-7.131758279557741E-6,-2.34557266390335E-6,-1.945833521649364E-6,-2.0631480197906426E-6,-3.587688993716133E-6,-5.525076326051653E-7,-2.431320644622101E-6,-9.170182396403576E-7,-2.2401846064577194E-5,-4.3058180851876066E-6,-5.162809946894648E-6,-7.734514955596107E-6,-1.3145363832718777E-5,-3.0323896873815552E-6,-6.573703569772455E-6,-2.4366185498653644E-6,7.038363197904995E-5,6.410619271654968E-6,1.9348656467337604E-5,2.5410780612956527E-5,3.849514401286761E-5,1.0394652358956765E-5,0.0,8.226048164235762E-6,-0.006021677820130072,-0.003775144848827079,-0.10007725934929798,-0.09892072029393024,1.0242166320283342E-7,6.358622921149165E-8,3.534486638877453E-8,0.0,4.063133621579744E-6,2.429720449855458E-6,-7.243749141225638E-5,-6.594978264257202E-5
3,25036.33347945964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016080634938279601,0.0,-6.082243978361409E-4,-7.052057260876264E-4,-7.056000144790256E-4,-2.1571415411121323E-4,-4.3423103109862783E-4,-2.105773827933063E-4,-2.7569083571782273E-4,-1.014756722712399E-4,-7.922570799990197E-5,-7.865335224869863E-5,-1.3679623357251903E-4,-1.495844275588681E-5,-9.817782742757496E-5,-3.758142164715069E-5,-0.0019226841858733497,-3.9241904473723114E-4,-4.43167083132392E-4,-6.238039949303955E-4,-0.0010719623186650573,-2.5788818104234155E-4,-5.748405823707953E-4,-2.1503917981720785E-4,0.003628394852696331,3.2574263424624137E-4,9.989432166322327E-4,0.0013115277844120631,0.0019853583302780926,5.362085050200368E-4,0.0,4.245243389457447E-4,-0.007030369401985526,-0.003937125384935948,-0.1226037985849758,-0.044564313298524665,2.4867770221259453E-5,1.0715229643167555E-5,6.82889103159216E-6,0.0,8.129710627881833E-4,5.240737467362936E-4,-0.0037069746900714805,-0.0033751992272037868
4,23671.143265699568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04001447346471446,0.0,-0.016605210446497008,-0.018913598659360903,-0.016659238706589242,-0.005310548988649219,-0.010555682872604959,-0.0055237271230862365,-0.008048177881575275,-0.0030464165624324966,-0.002345026548053889,-0.002283243594008262,-0.003967719825111288,-3.7640630772955264E-4,-0.0029182252940878443,-0.0011235186107585633,-0.03686527149272021,-0.006377599782785706,-0.008679175784752871,-0.012875987910436591,-0.02156342299706008,-0.00488109305755227,-0.010884924320849235,-0.004097964922022867,0.07167111751839443,0.0018208222638268373,0.021174409846755223,0.028026273966841615,0.04019082060583977,0.011083265003060509,0.0,0.00858186657994385,-0.01589817193721165,-0.005462648562216519,-0.2817110514439503,-0.09673386544985599,5.425438387011306E-4,2.6204442621308345E-4,1.4579984166244694E-4,0.0,0.01960521018502608,0.011611359289150375,0.0021677418433282696,0.00562337850029282
5,21602.51513364353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7203475901868059,0.0,-0.3056294112725117,-0.34348765793089764,-0.29039701918347866,-0.09515078161852908,-0.18824739325038142,-0.10109482693986001,-0.11077881163157216,-0.04926203457787384,-0.03473404829811051,-0.03255540536915781,-0.052448291767413335,6.706937809286505E-4,-0.04612106298015285,-0.01787546164261642,-0.7164219696367888,-0.11761316578267028,-0.17147324892253685,-0.25055900560012784,-0.406662567708525,-0.0948079162840149,-0.2090916660254584,-0.0773094396269132,1.274583978961106,0.016395868430441864,0.3802047117908827,0.5015433935912827,0.7082648672212822,0.19787553739713215,0.0,0.15281804812933691,-0.02957378468541426,-0.007987102471973663,-0.4686533550449947,-0.21772245490950787,0.032832476312993256,0.01397303257388448,0.008512439715792556,0.0,1.0521115571459176,0.682713123810038,0.026014433583263618,0.10527668471653306
6,19133.45895360366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.25800731140495,0.0,-0.5243784540570844,-0.5780665314346093,-0.48473098276333026,-0.16939706309377078,-0.3186902972072692,-0.17152263944363783,-0.1593109050393766,-0.08356740108641927,-0.05307674255081307,-0.04318492468411161,-0.0749645317461394,0.008818583778403373,-0.07384027841976726,-0.02819360552045835,-1.0318425552203445,-0.13015683627586797,-0.25228584109155744,-0.3787079462896932,-0.47300616698133113,-0.12842307787314744,-0.30456278488770394,-0.11824891416567164,2.1264840928055437,-0.006093254038395918,0.6385501439369167,0.8305723239073339,1.1036455275591945,0.3233490538646129,0.0,0.2613557047972517,-0.01860262209884434,-0.006261447850356696,-0.2896159701710239,-0.19648726023843816,0.04621743319377352,0.009927188926349025,0.006900273414337332,0.0,0.7130870348857994,0.4987718090364581,0.05091743440138766,0.15405661225197875
7,18591.98856511888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8752190211793379,0.0,-0.6682173936287105,-0.6049317737890579,0.08705564968937463,-0.1186726479697851,-0.08974358092333812,-0.1469976419321973,-0.3520593538715111,-0.2273735089353618,-0.11507536740256902,-0.08679459248260132,-0.15154087505858316,0.035335437895586394,-0.17881282009848598,-0.068845011027778,-1.408475446869487,-0.1939023131086759,-0.30412428067661035,-0.47758551745268574,-0.17736565512958286,-0.13933391112106935,-0.40796813877733074,-0.1757074268078993,2.821316112166302,-0.2942390277606425,0.8823288899488861,1.051408780840212,1.031274223467154,0.3890414819877016,0.0,0.3896961690714652,-0.01686687787579855,-0.005670011419251254,-0.23377619088610016,-0.15813055697187808,0.12347060323956965,0.0067715662433206515,0.02060999080505517,0.0,0.2373615869193465,1.0012101018483472,0.35900644193922293,0.4369472891618404
8,18022.611192601045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9482881792228377,0.0,-0.8925304451320748,-0.7018466774737068,0.4929769877168896,-0.13105402849924613,0.002475321552357204,-0.15692841131294621,-0.5446652303918276,-0.4006639238766173,-0.18278615368527484,-0.12716514907045764,-0.2198246446445005,0.07823907715779378,-0.299766563443431,-0.1162372961193815,-1.2997060266696832,0.03536259372609915,-0.28877740905066046,-0.46213517698276224,0.45733920107060816,-0.057223825781775234,-0.3415836764242063,-0.20463993153011129,3.2936634252826544,-0.6592038243547327,1.0423938434297333,1.133460721538429,0.7523067008996274,0.4055740222344117,0.0,0.496805777517726,-0.01648676238740515,-0.005417825333229907,-0.24250197489845154,-0.13949781834742975,0.24959914919257584,0.016295277783564287,0.02874754172353286,0.0,0.3519700222722257,1.0039778231828418,0.5310662384514832,0.5985648676106359
9,17826.625113699898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0340200358834941,0.0,-1.0425526035268065,-0.7570098276583852,0.7214292350884574,-0.12533841191941858,0.04202434917457454,-0.15700974569512866,-0.6723519043506337,-0.5547670516951977,-0.23947246833166763,-0.1520916263135609,-0.24489239866913615,0.1291245763998557,-0.39898948879631496,-0.15837654987920313,-1.5140778262068697,0.14381577107187438,-0.33346811867181825,-0.5052949985041926,0.7298648140962829,-0.029932048200824447,-0.36883507030942553,-0.24722290350617138,3.4640153229218047,-0.8899572954000038,1.0188653663182048,1.012577330536175,0.5462301118645856,0.3811578176921752,0.0,0.5365465201237982,-0.017060805787973907,-0.005423889237158955,-0.2493689483714188,-0.1740564124975709,0.35323323678124585,0.026687217805635363,0.03697899121167225,0.0,0.35464960628095565,1.0276214476810794,0.31299272264384415,0.3355458464257955
