Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_23,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_23,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_23,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_23,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_23,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_c,g_bike_stressLink,g_bike_stressLink_c,g_walk_vgvi,g_walk_speed
0,30320.955757936834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,29892.431762229833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.2535231090076744E-7,0.0,-2.2181940852906417E-7,-2.496308340172239E-7,-1.6392218018208225E-7,-5.425817173210827E-8,0.0,-1.6734259553415685E-7,0.0,-1.249919691126554E-6,-2.951274692283352E-7,-2.9763345512421705E-7,-3.7031904722942685E-7,-6.434681735024656E-7,-1.606053958831556E-7,-3.8702523613161565E-7,0.0,-1.4392738083504681E-7,-4.189520184936412E-7,-6.804120495374096E-8,-9.854232828150081E-8,-1.5304687921217362E-7,-2.545805277480655E-7,-5.4888477329922474E-8,-1.229789278140334E-7,0.0,-4.722301803265455E-8,1.7905558582078924E-6,1.6914054462522986E-7,4.903427145526112E-7,6.441327865328016E-7,9.786505122630703E-7,2.64736723676586E-7,0.0,0.0,2.0831746407427972E-7,2.597952697284042E-4,-0.002606680440181966,-0.10000096458404067,-0.0999726503577432,1.4606368489646592E-9,4.972386774315601E-10,7.193951383953966E-8,3.359194659978159E-8,-1.8363644344724467E-6,-1.6714428972228532E-6
2,28557.782756641154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3441382433355424E-5,0.0,-1.1329667583032343E-5,-1.3280884449833567E-5,-1.51240541477381E-5,-4.535482016729087E-6,0.0,-1.3474476038173092E-5,0.0,-6.453720553071393E-6,-2.0825896096189135E-6,-1.7509288281677966E-6,-1.8770012934026612E-6,-3.2565685829534923E-6,-5.209344140446554E-7,-2.1836839018516276E-6,0.0,-8.207737873583825E-7,-1.930949150166458E-5,-3.7077641509147004E-6,-4.450945829808716E-6,-6.668932998761886E-6,-1.133266422110169E-5,-2.6125711930295096E-6,-5.667103977451012E-6,0.0,-2.1015276286095465E-6,6.081839464956909E-5,5.543724251068357E-6,1.6717713753910728E-5,2.195571728910414E-5,3.3263293201953334E-5,8.982361903655327E-6,0.0,0.0,7.1072548168833394E-6,-0.005174647805268206,-0.0034927937763354145,-0.10006677556177729,-0.0990675708087682,8.850096059786138E-8,3.053488326789229E-8,5.156459450550357E-6,2.099625937012643E-6,-6.258241851274397E-5,-5.6976966291517726E-5
3,24161.2255527669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014978020382757917,0.0,-5.834427706420016E-4,-6.740126954696205E-4,-6.508822531070522E-4,-1.99676954075838E-4,0.0,-6.021410173919793E-4,0.0,-2.762759493571581E-4,-1.0054427109677466E-4,-7.924743881976454E-5,-7.92020235641609E-5,-1.3730089229257528E-4,-1.533878970575351E-5,-9.805142691911954E-5,0.0,-3.753976843602618E-5,-0.0020135792380679913,-4.1720036934208947E-4,-4.6347650868144396E-4,-6.494625491953972E-4,-0.001118516651261499,-2.7055845102104685E-4,-6.017088914128235E-4,0.0,-2.235634703690503E-4,0.0035577050516325094,3.181142021943513E-4,9.798841599295658E-4,0.001286368649274889,0.0019469208895528877,5.258736487267544E-4,0.0,0.0,4.16361285692387E-4,-0.006042677905281329,-0.003632010911809647,-0.1217103494451767,-0.045701905346032384,2.4099727340623142E-5,6.856435061615364E-6,0.0017994357981596211,5.190545915727449E-4,-0.003626309028927705,-0.0033018888547035816
4,22492.14426062288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0412073425564893,0.0,-0.01780731991284042,-0.020148767984251057,-0.016773407618176937,-0.0054004566155636665,0.0,-0.016631375967610693,0.0,-0.009021892800434141,-0.0033890729727192887,-0.0026305603260694263,-0.002568351518706953,-0.004449840299077861,-4.2328679235190543E-4,-0.003266638766378144,0.0,-0.001260351828561491,-0.04035479254178772,-0.0069106654358017635,-0.009527745244666371,-0.014137347748239205,-0.023667777558557347,-0.005335653411073419,-0.011912654878617463,0.0,-0.004470765469077011,0.07355639409294379,7.153779168146723E-4,0.022075595647280382,0.029195184413381994,0.041403147085637616,0.011422353574820502,0.0,0.0,0.008902777555752587,-0.015624224751876904,-0.005283587288233064,-0.29647000332699697,-0.0987386912078694,5.461199142989266E-4,1.5336746880882182E-4,0.03976031782455215,0.011641216703639184,0.02733735138090569,0.028405053799838056
5,20528.711257505154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31535620540912634,0.0,-0.13470551480789764,-0.1508129947887381,-0.1248095803353256,-0.04149627267615742,0.0,-0.12623304757933837,0.0,-0.04942977950981894,-0.021791378905875007,-0.015428608663299342,-0.014567253939071713,-0.02330569861659286,3.4051827455959175E-4,-0.020511895510252093,0.0,-0.00800964723111481,-0.28914027966425,-0.04498653063108586,-0.06970884019033972,-0.10325991805600214,-0.17016222604908937,-0.03838838594379833,-0.08410661059591505,0.0,-0.03144286488819008,0.5315860302986233,-0.00120667401846983,0.16105314513455832,0.2122281097573802,0.29740225817696375,0.08276832928349558,0.0,0.0,0.0643414026754709,-0.02661740701729979,-0.007244200925211449,-0.4410224755251716,-0.15993900152615143,0.009362268936570377,0.0024903052506474645,0.6755597960450275,0.1822017299680847,0.14578184583404385,0.1637732287679477
6,19215.760200149918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3317397348152804,0.0,-0.5550982835040371,-0.6132429748838276,-0.494292465486167,-0.17987309365804838,0.0,-0.5128456831503962,0.0,-0.1441489013448443,-0.07655084534761591,-0.05129079991192522,-0.03858900998188641,-0.06122976844586532,0.012761773389233077,-0.07110770636391411,0.0,-0.027622507707197756,-0.9096551714465924,-0.13022269628263358,-0.21678934299105157,-0.3349695750962299,-0.5429561252116677,-0.11535140016182589,-0.2634253640747839,0.0,-0.10209041370610177,2.1275054372981854,-0.0366376266636806,0.6506276371336362,0.8461087918261427,1.151227713342256,0.32692827073976544,0.0,0.0,0.2612377734684846,-0.00997547262042911,-0.004699226038010731,-0.15831814254148358,-0.08805226759921321,0.005581012339080941,0.002367993465332942,0.42572175036764753,0.13346294484813034,0.5975971687442345,0.6619340925910437
7,19129.413384316125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3652761747662707,0.0,-0.6233947818033811,-0.6636405950704735,-0.4187501131792242,-0.18636599217833769,0.0,-0.49541141418823764,0.0,-0.15579826599518218,-0.0971228933861399,-0.05923857687239829,-0.0390180394801161,-0.05904804586448395,0.024108462922358714,-0.08700316696317882,0.0,-0.03384557198357103,-1.0256706090948922,-0.1678333283721947,-0.23231877312343557,-0.36585631592347967,-0.5922929249851172,-0.1250069473800776,-0.29572046989714706,0.0,-0.11576463766483856,2.4351971562555863,-0.08843379671308041,0.7496360626026304,0.9551967617648525,1.239381633079483,0.3670827089788945,0.0,0.0,0.304923835750888,-0.009635407527557998,-0.0046397078880402644,-0.14936802437231309,-0.1380371430489231,0.005926282121253424,0.003802412225933169,0.36576108851357825,0.1599659465031135,0.33679125238970375,0.42361953496995963
8,18798.221314439917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.225052004586374,0.0,-0.6557201041173897,-0.6621132581521602,-0.23800247969502775,-0.16944855055118724,0.0,-0.39860983486984447,0.0,-0.17870164570923436,-0.12501817055918413,-0.07024371194737325,-0.04149900872138218,-0.06086158367193216,0.03598663819973772,-0.10811577727408521,0.0,-0.04209695723845289,-1.1021435742707115,-0.21306465764233876,-0.2318204781711175,-0.37542426526601846,-0.6079126006275885,-0.1277029114366417,-0.3151395944731101,0.0,-0.12507366462551217,2.6335940655786256,-0.17057880145262194,0.820878444587848,1.0226025234463672,1.2445232009246474,0.38771522364019473,0.0,0.0,0.3387096580212951,-0.009378031945597876,-0.004519881320464353,-0.13374682540048546,-0.14041160285381407,0.007594510566701101,0.006009655236699966,0.3326925755628829,0.21410484293412027,0.3154687410017144,0.43354498625500976
9,18250.168733470822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2709860971580569,0.0,-1.178645272447738,-0.9163099829716755,0.7269116661010685,-0.18654988779664972,0.0,-0.07106501582451036,0.0,-0.24380934841137203,-0.36349548637946666,-0.1424311567475024,-0.023806230932499298,0.008740633520087623,0.18162916546251393,-0.27770023553174955,0.0,-0.10964016108217778,-0.4513728378077059,-0.1751475056155516,0.04259647248160714,-0.0676881792358423,0.09918843814188538,0.05357240116148321,-0.035597908662847844,0.0,-0.0895243742980407,3.71791522574373,-0.961433165407189,1.2083201447183665,1.2853710844430148,0.8602055219226998,0.4592558121516217,0.0,0.0,0.555059385151097,-0.008449997887413673,-0.004155111594876421,-0.16008047636714856,-0.1521469564248997,0.044892116284576795,0.023901906575954965,0.43119834993954353,0.24294188622805118,0.15911088464330123,0.5957787559544264
