Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_23,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_23,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_23,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_23,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_23,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_f,g_bike_grad_c,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_walk_vgvi,g_walk_speed
0,30320.955757936834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30006.20336023881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.3695464225248587E-7,0.0,-2.2786997464106257E-7,-2.564400121447393E-7,-1.6839348409093137E-7,-5.5738171419053024E-8,0.0,-1.7190719808335244E-7,0.0,-1.2840137398664726E-6,-3.0317765868594E-7,-3.057520003377015E-7,-3.8042023671799375E-7,-6.610200493755518E-7,-1.649862278950099E-7,-3.975821201921884E-7,0.0,-1.4785328677287246E-7,-4.303797691240321E-7,-6.989716432015817E-8,-1.0123026652843447E-7,-1.5722153762934706E-7,-2.615247186292043E-7,-5.638566985727567E-8,-1.2633342297771514E-7,0.0,-4.8511119892223033E-8,1.8393968350599852E-6,1.7375418981642727E-7,5.037177885896905E-7,6.617027910498402E-7,1.0053451539279044E-6,2.7195794502732795E-7,0.0,0.0,2.1399973776269836E-7,2.6688170308200414E-4,-0.002677782840286453,-0.10000099089499132,-0.09997190434178495,1.5004786278192978E-9,1.2268128583935738E-9,5.108018525891933E-10,0.0,7.614490605314927E-8,3.450823384029178E-8,-1.8864549314680795E-6,-1.7170348308554414E-6
2,28882.036266773048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.609634738183491E-5,0.0,-1.22196941987482E-5,-1.4326901008644557E-5,-1.6330198391993058E-5,-4.8965429019275054E-6,0.0,-1.4542901140706876E-5,0.0,-6.789314455055491E-6,-2.211951201293856E-6,-1.8472150664374096E-6,-1.969354674518306E-6,-3.4206739159167718E-6,-5.369864974220412E-7,-2.3059033044850622E-6,0.0,-8.682130875379006E-7,-2.082233432209821E-5,-4.000312811791599E-6,-4.799217158949707E-6,-7.19024596155698E-6,-1.2219469156164345E-5,-2.8179333377046428E-6,-6.110651912631723E-6,0.0,-2.2654841402102804E-6,6.549881052136186E-5,5.967986254881311E-6,1.8005047315957445E-5,2.364630084200803E-5,3.582331360801876E-5,9.673424598998448E-6,0.0,0.0,7.654679841703706E-6,-0.005588894655829285,-0.003632197709690946,-0.10007191184139583,-0.09899571875231142,9.531939191664134E-8,5.917018280960691E-8,3.289047541527999E-8,0.0,3.781353448714364E-6,2.261300752427795E-6,-6.740440507969431E-5,-6.136726692189352E-5
3,24529.911124774204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015521469639724842,0.0,-5.958847422206094E-4,-6.896416182213405E-4,-6.778254737365946E-4,-2.0758989583330496E-4,0.0,-6.231425223767685E-4,0.0,-2.762200461993885E-4,-1.0108242104404572E-4,-7.92991368238111E-5,-7.899835893945694E-5,-1.371723825229872E-4,-1.517630374049201E-5,-9.818827764426929E-5,0.0,-3.7585964503958234E-5,-0.0019712720358364398,-4.0568537915587936E-4,-4.5395828581033E-4,-6.374738309703492E-4,-0.0010968445302512874,-2.645954503183146E-4,-5.892391028917019E-4,0.0,-2.1967857651344303E-4,0.0035947505675535283,3.2209207931665806E-4,9.898782812914164E-4,0.001299559565497655,0.0019670696876821193,5.31293471839725E-4,0.0,0.0,4.206394139619363E-4,-0.006520571375511094,-0.003781684510419259,-0.12213995551677648,-0.045108074481628305,2.446875673781795E-5,1.053359945728001E-5,6.856954683630492E-6,0.0,7.906555563950669E-4,5.227741394873592E-4,-0.0036683483095205777,-0.0033400933477933143
4,23106.523418826073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0391420554973618,0.0,-0.01657161657623651,-0.01881429350767917,-0.016125017747387317,-0.00516413086198052,0.0,-0.01576127606071759,0.0,-0.008217407170185445,-0.0030977509401926544,-0.0023947176014644167,-0.002335368218283607,-0.00405252174034649,-3.858640736585592E-4,-0.002976528780514729,0.0,-0.0011472254782794362,-0.03720158531070042,-0.0064095689309306625,-0.00876850661216238,-0.013011292135396783,-0.02177812184862485,-0.004921743464901691,-0.010984281903808823,0.0,-0.004124201227955205,0.07005242319807252,0.0012527477922879965,0.020852504761684033,0.027592016453779386,0.039353166914341486,0.010854853081047836,0.0,0.0,0.008431208605492421,-0.015277768769543969,-0.005290225558871958,-0.28192901467427195,-0.09558524124878567,5.223111232385819E-4,2.561009147778778E-4,1.437530397855836E-4,0.0,0.018888605918010625,0.011281534178045486,0.013020175892168237,0.015293922174113982
5,19479.62691400094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6499738188589353,0.0,-0.2778955034769042,-0.3112122511771388,-0.25978802849549254,-0.08577211085718449,0.0,-0.2597876601871717,0.0,-0.10127158523134543,-0.04515254394758561,-0.03174149360990328,-0.029914096165870867,-0.04783657144102329,9.496673059839348E-4,-0.04245647251060406,0.0,-0.016536895871667685,-0.6256250761741549,-0.10080607121432976,-0.15010392578135154,-0.22079580518596198,-0.35700914463513767,-0.08293694978017131,-0.18234461670283944,0.0,-0.06749890824467791,1.1260617987434582,0.00518937078055175,0.3386324348869234,0.4463364465917089,0.6266336638221643,0.1751925372544257,0.0,0.0,0.13550116597361386,-0.02415329840171279,-0.006984431294587708,-0.39501207512097297,-0.17448703290211243,0.027122197953268676,0.011820244197381664,0.007267500093599312,0.0,0.8832656969107727,0.5812153067012887,0.14323164332774746,0.19855549154835317
6,18031.672116545218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9807704384501842,0.0,-0.4229533839828778,-0.46062560267925967,-0.36387055380650685,-0.13310114881652305,0.0,-0.3713154675064829,0.0,-0.14389367245386156,-0.07332684248889301,-0.04720167591693149,-0.03990933051688234,-0.0669738557141134,0.006823928784565555,-0.06610473156274826,0.0,-0.02520525394071461,-0.8279215429509184,-0.1043595754491555,-0.20163430335495833,-0.3043082987806884,-0.37119422432881033,-0.10224832059205988,-0.24422141720613177,0.0,-0.09530611777116312,1.7190581992734457,-0.024323773287109628,0.5214830049597925,0.6757951725250598,0.8892907817714111,0.26160495343119594,0.0,0.0,0.2118202226036121,-0.015963049245612846,-0.0056678797525972465,-0.2611717098562851,-0.15317722195545988,0.03467626742667344,0.008276416087296578,0.00610447927613311,0.0,0.5792799273916672,0.42948686121127055,0.17992985885472074,0.2704103953370821
7,17865.553096193893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5217094850007087,0.0,-0.5322637533292258,-0.44137999017599533,0.24503473410122506,-0.07809663053065108,0.0,-0.03794123804121141,0.0,-0.351873072235119,-0.21471589103612437,-0.11407199140743408,-0.08787908751329315,-0.1490701318742237,0.031196479728520164,-0.175909288882367,0.0,-0.06818899029607754,-1.2253804653413851,-0.1621582658533693,-0.2617274846148029,-0.41378212525706043,-0.09094662703614154,-0.11265784323125094,-0.3616199216086685,0.0,-0.15897558699152803,2.5048198259747387,-0.31607033733962575,0.7949655331294745,0.9335456715492794,0.8595431428345711,0.34084898983463857,0.0,0.0,0.34362347410396243,-0.01478879540582016,-0.00512178997370513,-0.20559887029246143,-0.15644526732040284,0.09606655626476093,0.00665096503175803,0.017279212107740825,0.0,0.17105659798890666,0.8480154911729312,0.13590273534179118,0.3505925036731804
8,17353.333962796183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5750244792949826,0.0,-0.7583993117253751,-0.5314334089088568,0.674104985221397,-0.08869017262433826,0.0,0.10098170961522848,0.0,-0.581742072027623,-0.39728450301157314,-0.19324025232441536,-0.13812315873348438,-0.23031764748633068,0.07349221634113738,-0.312799519838066,0.0,-0.1218955979604848,-1.073896944712966,0.051091467332005924,-0.22636250223171667,-0.37865727060584076,0.6233554445944487,-0.021351598862014848,-0.2930512546276467,0.0,-0.18382320073167,3.097854532965789,-0.7067234716213364,0.9930984730662169,1.0544261494531832,0.5812943828040127,0.37019004584166143,0.0,0.0,0.4629141322943061,-0.014989309394504562,-0.004927372733799631,-0.22875833804113346,-0.18007808742152343,0.2032778668858896,0.0153661003900615,0.025976198358919213,0.0,0.2758627385503676,0.9259745410981629,-0.0246773262457175,0.3230035013010402
9,17141.844127133365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7136312376611922,0.0,-0.8990866928825991,-0.6069189663289494,0.8227491560544531,-0.0763126153365177,0.0,0.09104379950060448,0.0,-0.7564640698183718,-0.5524956317393378,-0.26021761774207364,-0.1759912059253773,-0.27695904947498406,0.11351385197858815,-0.421379318115647,0.0,-0.16710742935930015,-1.2648097573521802,0.13640032489190002,-0.2656009606320568,-0.4138795391520384,0.8524686340531693,0.00561718036183307,-0.31976903962933,0.0,-0.2172101005033774,3.1784792055463464,-0.9408627423191649,0.941659855540707,0.9035446937942614,0.33364188657819316,0.32817762378076276,0.0,0.0,0.4961746956705949,-0.014532777888829134,-0.004753717564057959,-0.21939112648235562,-0.14822847321677274,0.2745639331471491,0.024091061417767547,0.032385992098770626,0.0,0.27815220971638344,0.9367934047582712,0.17734084384046286,0.49369976734721843
