Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_23,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_23,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_23,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_23,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_23,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_f,g_bike_grad_c,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_walk_vgvi,g_walk_speed,g_walk_speed_c
0,30320.955757936834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30121.940400517495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4864367745412784E-7,0.0,-2.7571319131366684E-7,-1.3853496206781956E-7,-1.7289820191042683E-7,-5.722923109617162E-8,0.0,-1.7650591176094012E-7,0.0,-1.3183625723386964E-6,-3.112880069510663E-7,-3.7951460005830583E-7,-2.1075591443634234E-7,-6.78703089853875E-7,-1.6939979772392708E-7,-4.082178955086216E-7,0.0,-1.518085308798064E-7,-4.418929189682176E-7,-7.176699321137103E-8,-1.3586985782585045E-7,-9.113037988725081E-8,-2.6852080322598916E-7,-5.789405085634744E-8,-1.2971298617612406E-7,0.0,-4.9808847695658545E-8,1.888602798965001E-6,1.7840231263010686E-7,6.7200872990763E-7,3.4699814388382293E-7,1.0322392837933858E-6,2.792331303335267E-7,0.0,0.0,2.1972447490007133E-7,2.74021093124683E-4,-0.002749416586345557,-0.10000101740256284,-0.09997115275087337,1.5406181430089696E-9,1.2596315020259332E-9,5.244663849195969E-10,0.0,7.818186916376586E-8,3.543136846595067E-8,-1.9369197531405766E-6,-1.7629674715452209E-6,-1.3537986081091063E-7
2,29325.990499792937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.885922135293057E-5,0.0,-1.551971119457338E-5,-8.298424247409665E-6,-1.7585678855307785E-5,-5.272352050713649E-6,0.0,-1.5654638715634174E-5,0.0,-7.129885764035876E-6,-2.3449171757845214E-6,-2.4976718802340296E-6,-8.706895806015179E-7,-3.5867520553427023E-6,-5.523843342567081E-7,-2.4306689158099366E-6,0.0,-9.167717084074287E-7,-2.2394768811417848E-5,-4.304453462254108E-6,-6.666273408499003E-6,-4.33419548907914E-6,-1.3141213856878981E-5,-3.0314310237321095E-6,-6.571626904101432E-6,0.0,-2.4358493952833856E-6,7.036155701207854E-5,6.40861053968749E-6,2.514988479504842E-5,1.295735941708024E-5,3.848307024020261E-5,1.039139233897628E-5,0.0,0.0,8.22346774947364E-6,-0.006019648872556177,-0.003774813758173743,-0.10007723478077965,-0.09892105884309586,1.0239184400682031E-7,6.356614349594388E-8,3.5333644864979454E-8,0.0,4.064108657154399E-6,2.430641181397266E-6,-7.241476979140396E-5,-6.592909586586677E-5,-4.835176778041318E-6
3,25037.366031445003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016033213555076758,0.0,-7.153944972583763E-4,-3.76020443823651E-4,-7.035066778578041E-4,-2.150758987576013E-4,0.0,-6.429086990565418E-4,0.0,-2.749019118638677E-4,-1.011863073155008E-4,-1.0325512426381305E-4,-2.9088741723126166E-5,-1.3640426728763784E-4,-1.4914735248043413E-5,-9.789758600877214E-5,0.0,-3.747445108828783E-5,-0.0019174792386140573,-3.9137228930800574E-4,-5.52175758735336E-4,-3.4940338942696217E-4,-0.0010690516061583485,-2.5719072059631794E-4,-5.732836742468851E-4,0.0,-2.1445371188957618E-4,0.0036180565243771686,3.2481124018151437E-4,0.0012959957549339392,6.662508227996764E-4,0.0019797019865706814,5.346809497135596E-4,0.0,0.0,4.2331490033413043E-4,-0.007024899445281891,-0.003936248359794272,-0.12253700347744295,-0.04472237856473919,2.4795255288350527E-5,1.0683816257406741E-5,6.8096327022432605E-6,0.0,8.109968617484144E-4,5.228273440875421E-4,-0.003696395639152032,-0.003365567284948323,-2.387422002564758E-4
4,23682.624342259005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03981533205215554,0.0,-0.019416467188604774,-0.010013014634472515,-0.016564877220167792,-0.005283919689801116,0.0,-0.01599531651633667,0.0,-0.008022549257138396,-0.0030377864442134718,-0.0030665941366182143,-8.101321204632141E-4,-0.003954713747581396,-3.743739643873771E-4,-0.002909641797737716,0.0,-0.0011203699110074153,-0.03674896205967342,-0.006352208643997212,-0.011075717391217413,-0.007243735926582591,-0.021496516059967573,-0.004864488215555709,-0.0108514681369553,0.0,-0.0040855468038917455,0.07128790849214142,0.0017743766199195964,0.028350060373088827,0.013605015632568147,0.0399808732353461,0.011026815237886917,0.0,0.0,0.008536972926924586,-0.015840392893863704,-0.00545303979433165,-0.2807687014937531,-0.09639165863139079,5.443080120737527E-4,2.6264351575013716E-4,1.4635035520770462E-4,0.0,0.019682351375724026,0.011669304899945826,0.002980828532098623,0.006343436588426421,0.008639225781621055
5,21074.24975150917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.548918380067094,0.0,-0.2708046370325296,-0.14011601948871852,-0.22135404022757665,-0.07282407263944378,0.0,-0.2191558059642845,0.0,-0.08581808079536134,-0.037905177724968396,-0.03687463206718335,-0.006234585595262097,-0.04071857002119002,3.0527509037876955E-4,-0.03552267286578678,0.0,-0.013772611971008288,-0.5479237652417547,-0.09044175128555179,-0.1660791792753646,-0.10895653578855231,-0.3109740930238743,-0.07248458381164657,-0.16014440881863506,0.0,-0.059242473088538555,0.9731347854265769,0.01317383082399384,0.3907219469394188,0.18580100249484602,0.5408524398182993,0.1512838681228814,0.0,0.0,0.11624405700735897,-0.02817214096998289,-0.007703228915598111,-0.4578129890622131,-0.19498046780151299,0.024659962385827662,0.01049277198756771,0.006422867378708258,0.0,0.8300836472302349,0.5332405916309303,0.02953462669404625,0.08896272064537568,0.18436235609285848
6,18429.402752531452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1970914864876323,0.0,-0.5582931803405516,-0.29124739981113396,-0.47129787105768917,-0.16409139401905407,0.0,-0.45598450888601316,0.0,-0.14650836556698543,-0.0776392386068008,-0.06818804743788737,-0.004108178228424118,-0.06907260471800612,0.008393491054462332,-0.06822365234761146,0.0,-0.025970301889779543,-0.9565582585254306,-0.11970851914866994,-0.29433663348951455,-0.20742373297277739,-0.41911531607736313,-0.1194750807022405,-0.28375788845097016,0.0,-0.10986786814738592,2.0025673166290616,0.015180653662005208,0.78783799908847,0.38309998998576394,1.033475029981363,0.30733265708640645,0.0,0.0,0.24008079416713268,-0.016887436486296203,-0.005959370832105994,-0.27157367587875547,-0.1888823725622313,0.03822355134456572,0.00703427169178685,0.005011843113465421,0.0,0.5009032175463525,0.4076767402274203,-0.027955430138285057,0.0637792368503879,0.3586727520519184
7,17971.412577056395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1126761752977283,0.0,-0.5796989335904942,-0.2943248677378748,-0.3299804438532893,-0.15615870680579386,0.0,-0.3810704565287567,0.0,-0.19534361555259486,-0.11551497017771961,-0.09066283473531594,-0.002063144160904907,-0.08809752449090405,0.015461958186021571,-0.09535895252293039,0.0,-0.03626683039342434,-1.0925391801506297,-0.14894437975386088,-0.3101013459175827,-0.240741280199068,-0.35993225918211685,-0.1282899502757918,-0.324593855622544,0.0,-0.12792660747763623,2.19948524935359,-0.02284386233681495,0.8405287067321816,0.41539691340491286,1.01224611846245,0.3310348371932286,0.0,0.0,0.26539124220543375,-0.016521354445359748,-0.005824820345069733,-0.25682944879780367,-0.18189118303910712,0.05432315354904984,0.0053890853422676145,0.007355808805368309,0.0,0.33753584151504556,0.585041958267523,0.033144721676525074,0.10631775119732487,0.4894247787887752
8,17632.373918026664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.031959708551598,0.0,-0.6252371653653415,-0.2971702641632477,0.15825928428500236,-0.17027793138292097,0.0,-0.1568761122103262,0.0,-0.39427176253410534,-0.29085847539786375,-0.18519141963168706,0.013198215441118403,-0.15919495185260507,0.051617370809485946,-0.21354744706496026,0.0,-0.08092329401710202,-1.3309556743788133,0.0329182959438033,-0.3433525564420726,-0.36028810417711715,0.013936039339398743,-0.09609647839721902,-0.37486832991431596,0.0,-0.19119089714429813,2.673925986419918,-0.16099801482809267,0.8724952125475327,0.4517734813978847,0.7421605858147737,0.37108026065201366,0.0,0.0,0.3216945088383036,-0.016667706011125015,-0.005611884613930667,-0.24919054533306081,-0.18571902276574415,0.13746661397772905,0.008417905461668209,0.004311667790572931,0.0,0.4796559242802685,0.32162965348485006,0.05352814044309214,0.03540113529331576,0.8253072633735101
9,17406.99122580263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3803854354965097,0.0,-0.7826208453896527,-0.3730839317027287,0.5914589374307343,-0.23374505227858128,0.0,-0.04624937181648171,0.0,-0.6813842645213819,-0.5646417429494338,-0.3331553027259087,0.04336055471067667,-0.2539522829537473,0.11559133017771442,-0.39428648306908687,0.0,-0.15039504376345017,-1.4115868644120633,0.2742861053625334,-0.27576270957521154,-0.458203307906752,0.7289075814672785,-0.018533404760032304,-0.33728628919292863,0.0,-0.24508438146523442,3.1476686602708535,-0.229585409182916,0.7406816063083097,0.39004586968155847,0.28869285690551594,0.394941885512457,0.0,0.0,0.35700180553597904,-0.015861966301724845,-0.005279841602697959,-0.25042798599533045,-0.14625611826102133,0.2809241472863268,0.011765324932674492,0.003808781870512298,0.0,0.5856071113927531,0.2711858974601649,0.4368463591421656,0.24003488871271844,0.9136976883130231
