Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_23,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_23,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_23,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_23,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_23,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_f,g_bike_grad_c,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_walk_vgvi,g_walk_speed,g_walk_speed_c,g_walk_speed_e
0,30320.955757936834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30239.503437875333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6041121163636905E-7,0.0,-2.829449089691778E-7,-1.4216861385763047E-7,-1.774331716498299E-7,-5.873030414587806E-8,0.0,-1.811355085977904E-7,0.0,-1.3529420781117814E-6,-3.194528211374714E-7,-3.894689385529174E-7,-2.1628385911019263E-7,-6.965048827037581E-7,-1.7384300735855943E-7,-4.18925096524937E-7,0.0,-1.557903368564806E-7,-4.5348338661585437E-7,-7.364937914081019E-8,-1.394336062450298E-7,-9.352065063941915E-8,-2.755638707858296E-7,-5.941256155121874E-8,-1.3311524519684588E-7,0.0,-5.111529053056652E-8,1.9381392108444917E-6,1.8308165041544835E-7,6.896349355076434E-7,3.56099603961224E-7,1.0593140240978067E-6,2.8655717293379263E-7,0.0,0.0,2.254876571290819E-7,2.8120842851364435E-4,-0.002821531396576779,-0.10000104408814883,-0.0999703961125717,1.5810272194558178E-9,1.2926705428104398E-9,5.38222682895308E-10,0.0,8.023251172054232E-8,3.636070250206731E-8,-1.9877234767830884E-6,-1.809208577853264E-6,-1.389307570337652E-7,-3.3488748777520354E-7
2,29924.307145826628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1691760555497946E-5,0.0,-1.6640641389544608E-5,-8.899032983055258E-6,-1.887316104574243E-5,-5.65771822630832E-6,0.0,-1.6794277579882286E-5,0.0,-7.469699144270112E-6,-2.479468542174616E-6,-2.625213487556653E-6,-9.028010949335546E-7,-3.751935725133573E-6,-5.667525721794863E-7,-2.5559828518341635E-6,0.0,-9.656945340610186E-7,-2.4004757867754148E-5,-4.615931811676575E-6,-7.144920548949267E-6,-4.645053968888561E-6,-1.4084985923316054E-5,-3.2500793059950306E-6,-7.043560901889905E-6,0.0,-2.610227643592986E-6,7.533836447815956E-5,6.8593852776699715E-6,2.6930091643648394E-5,1.3874157357011E-5,4.1205223065086946E-5,1.112618271626226E-5,0.0,0.0,8.805639406210634E-6,-0.00646069493234786,-0.003919581900116686,-0.10008266673988692,-0.09884463780150658,1.0960785359075624E-7,6.805927984200314E-8,3.782915958184255E-8,0.0,4.348464590941225E-6,2.600145891477925E-6,-7.754325965135639E-5,-7.05984916112505E-5,-5.176140590822533E-6,-1.3101355878723213E-5
3,25712.560438825083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016485208684123129,0.0,-7.252580779769612E-4,-3.8210700343048064E-4,-7.265407516905269E-4,-2.2171413277117732E-4,0.0,-6.603617683695618E-4,0.0,-2.722337028631677E-4,-1.0082873850068985E-4,-1.0238980445361243E-4,-2.856080637346521E-5,-1.3494989241039462E-4,-1.4542109465177246E-5,-9.71531958310351E-5,0.0,-3.7197917937754125E-5,-0.0018556108891850396,-3.7517861157916426E-4,-5.358229968159023E-4,-3.3921388610095427E-4,-0.0010368729064054538,-2.48818257347756E-4,-5.549106648766015E-4,0.0,-2.0813021328140545E-4,0.0036265715849994103,3.261366729312622E-4,0.001298719460398758,6.678329243335153E-4,0.001984250368938122,5.35884276031626E-4,0.0,0.0,4.2426838281465253E-4,-0.007540490925917544,-0.004093164702606184,-0.12289384423104505,-0.04456291541863123,2.505276775448112E-5,1.0818467320051178E-5,6.704791001319696E-6,0.0,8.308531592128273E-4,5.179864079666852E-4,-0.0037091090725111468,-0.0033770918894411544,-2.406594914555377E-4,-6.270035664716439E-4
4,24435.457767488995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04214536804626637,0.0,-0.020219662486538868,-0.01045563307819976,-0.017678242578790734,-0.005620005158475667,0.0,-0.01689966994294134,0.0,-0.008163124034157167,-0.00310737673799631,-0.003123335229476225,-8.182608508057552E-4,-0.00402132739598682,-3.760335793490598E-4,-0.0029670333036900987,0.0,-0.001141282494896661,-0.03769535964042082,-0.006527417143914045,-0.011377052475262618,-0.007410130480999975,-0.022047995847027702,-0.004994596674138405,-0.011126927885254276,0.0,-0.004206333630095622,0.07524578475022725,0.002311596998635129,0.029707392680041227,0.014308927930273028,0.04214396898721677,0.011623620034880313,0.0,0.0,0.00897469809416215,-0.0168240333125117,-0.005688815172416547,-0.2863859101708025,-0.09964218213941217,6.060917409487662E-4,2.8681952505415424E-4,1.5871140986325317E-4,0.0,0.021793056910599004,0.012764812513294593,-0.004772895625018659,-3.483476552027555E-4,0.00816424135837112,-0.0011396568276963257
5,22409.436569013087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5912211811445095,0.0,-0.29027531842278803,-0.15012917358005645,-0.24023987429082633,-0.07869428679461582,0.0,-0.2359305204267912,0.0,-0.09047019014272543,-0.03999389346608842,-0.03893014640158988,-0.0065189274775664455,-0.04297916558284157,1.4495682098979867E-4,-0.03731621169140801,0.0,-0.01437267529162687,-0.6067725093635863,-0.10153723560485797,-0.18338660338305468,-0.11953763655263012,-0.34299313199047626,-0.08011894153360942,-0.17783805098814798,0.0,-0.06607316338026117,1.0672572116346613,0.02181571183831888,0.4252219772555495,0.20290232173047823,0.5926604651331219,0.1656755360380935,0.0,0.0,0.1270624469002926,-0.030424368711485298,-0.008166232334453565,-0.4780917802008625,-0.2144561755896346,0.02880225798844555,0.011962092793200475,0.007233313281673572,0.0,0.8970694405651393,0.57573617724198,-0.05308678113985443,0.021820140811014386,0.18357442791003403,-0.01693273886764715
6,21687.920169127166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.769134275289919,0.0,-0.8118924710372488,-0.4228292405187209,-0.6950572254365186,-0.24431334754734557,0.0,-0.671129205992788,0.0,-0.18522606087181426,-0.10698550397472724,-0.09017944558373346,-9.07429718324867E-4,-0.08783094230445701,0.016103663672290203,-0.09135355186414659,0.0,-0.034668700248827844,-1.3237567828539696,-0.16493790421288124,-0.40294039045478347,-0.287265961653706,-0.5285327706261642,-0.16182773131724576,-0.394340246631806,0.0,-0.15388080070121618,2.854733440906414,0.03688531163945577,1.109497056513005,0.5380538399428436,1.4258482986794196,0.4370359955671509,0.0,0.0,0.34169800104744746,-0.010134930386344589,-0.005048522315925156,-0.15145693548920935,-0.16016169430310326,0.060225831026406926,0.004980764037367374,0.005952924078945085,0.0,0.27796338396548514,0.3279324783270853,0.15416274069336172,0.2474832633906067,0.5296652557601136,0.01703432040715345
7,21139.39043884223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6512800259065905,0.0,-0.863466732855012,-0.4355496944964372,-0.5134214694728105,-0.2319290798684709,0.0,-0.574773133392634,0.0,-0.2197557615048134,-0.14767951568940307,-0.11301297468730484,0.007345085304639935,-0.09795415034929701,0.03008121313841738,-0.1194912260439486,0.0,-0.04517647821961385,-1.4981088541546383,-0.2530959185713683,-0.4027733478793103,-0.31855080560619564,-0.4550261752378906,-0.17463610126521917,-0.44286395241936755,0.0,-0.1729267596698548,3.1034450722202798,-0.021995920593278262,1.1806087905187455,0.5788635465162368,1.386764665302894,0.46694719923847,0.0,0.0,0.375310535046523,-0.010430000044744243,-0.0050251774601528364,-0.14661368469957967,-0.14616917381872593,0.08962652023951811,0.003928852001943109,0.011844116499741587,0.0,0.08684520433511145,0.5645467475721182,0.3067995294944149,0.36747513863854164,0.7361234846298832,0.03950861160501612
8,20615.414206620575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6355791625955354,0.0,-1.0516486011780828,-0.4924335514466993,-0.02230279119092443,-0.25691140806060364,0.0,-0.36709327321374186,0.0,-0.2972757497765379,-0.29792431856903534,-0.18372929707519503,0.050193265379560266,-0.10873972990633317,0.09280701965305307,-0.21491216606049374,0.0,-0.07975855637930596,-1.5661522317807062,-0.21503899321112385,-0.3022576953257127,-0.37544711217762866,0.0976170463675059,-0.12441004618742414,-0.4239953005068054,0.0,-0.20729357258548708,3.670748632801062,-0.2346159490049197,1.2710757214583734,0.651223529609823,1.0196235199720174,0.5211312211820238,0.0,0.0,0.45213556509015385,-0.012065530525463995,-0.005157242256435144,-0.17515911937739745,-0.11010025574182285,0.21805739835765478,0.01117051895038551,0.021035092372899397,0.0,0.29726240117962954,0.3821548189644264,0.7217666771824568,0.6319674347935951,1.4071258765354404,0.107054637572166
9,20223.733141031687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7708459409229886,0.0,-1.4013728981087734,-0.6090272616024275,0.8054574188667822,-0.32004129033428846,0.0,-0.04611161219985871,0.0,-0.3612509123571367,-0.5695785547287753,-0.29846250176760925,0.14869276900131667,-0.08753793935053841,0.22881512902360207,-0.3785499714335515,0.0,-0.13854206381663087,-1.7606599948539692,-0.17375799490067778,-0.13232690374090814,-0.48275152944914795,1.1787675528670993,-0.040931757763660634,-0.40352003171568157,0.0,-0.2722858446978966,4.604691089468853,-0.5104196367195927,1.3166625717067593,0.7211644370374206,0.28483445978173916,0.6034378905229784,0.0,0.0,0.5645389670026092,-0.012265857924433689,-0.005027271315224659,-0.18630555398252086,-0.1527847044299128,0.48828381362750783,0.023782632589815108,0.04268796067201512,0.0,0.39284514517821867,0.2968469576995473,0.558230476402638,0.11388575836572867,2.3717675634137887,0.10856605892304631
