Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_23,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_23,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_23,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_23,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_23,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_f,g_bike_grad_c,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_walk_vgvi,g_walk_speed,g_walk_speed_c
0,30320.955757936834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30239.50380462945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.6041121866642657E-7,0.0,-2.829449132894875E-7,-1.4216861602841503E-7,-1.7743317435907195E-7,-5.8730305042636024E-8,0.0,-1.8113551136356376E-7,0.0,-1.3529420987699678E-6,-3.194528260152235E-7,-3.8946894449975144E-7,-2.1628386241264916E-7,-6.9650489333875E-7,-1.7384301001298296E-7,-4.189251029215396E-7,0.0,-1.557903392352564E-7,-4.5348339354013045E-7,-7.364938026536875E-8,-1.3943360837405328E-7,-9.352065206739383E-8,-2.755638749934376E-7,-5.941256245839416E-8,-1.3311524722939376E-7,0.0,-5.111529131105019E-8,1.9381392404381026E-6,1.830816532109375E-7,6.896349460377374E-7,3.560996093985389E-7,1.059314040272562E-6,2.8655717730925826E-7,0.0,0.0,2.2548766057207194E-7,2.8120843280743954E-4,-0.00282153143965898,-0.10000104408816478,-0.09997039611211968,1.5810272435966557E-9,1.2926705625483355E-9,5.382226911134755E-10,7.786900032820054E-8,8.023251294561929E-8,3.636070305726195E-8,-1.987723507133806E-6,-1.809208605478222E-6,-1.3893075915511065E-7
2,29938.210136899692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.175818452867312E-5,0.0,-1.666699362151758E-5,-8.913140410477095E-6,-1.8903280014628304E-5,-5.666738238765827E-6,0.0,-1.682104144551952E-5,0.0,-7.479553280049453E-6,-2.482948331705449E-6,-2.6288152737053035E-6,-9.039070921443645E-7,-3.7568580437599287E-6,-5.673855572339958E-7,-2.5594256633143077E-6,0.0,-9.669992936968475E-7,-2.4042698056013754E-5,-4.623249200419933E-6,-7.156206114165936E-6,-4.652386394829267E-6,-1.41072324136759E-5,-3.2552193457756827E-6,-7.054693350732287E-6,0.0,-2.6143502702738506E-6,7.545661201167275E-5,6.870140745014838E-6,2.6972364823378378E-5,1.3895935174619656E-5,4.126989798203884E-5,1.1143645319090844E-5,0.0,0.0,8.81946198121754E-6,-0.006471556249962848,-0.003921351152470918,-0.10008279822829848,-0.09884282417191007,1.0978187299662118E-7,6.816683627700752E-8,3.788923163673555E-8,6.391690784406042E-6,4.3553403729729825E-6,2.6042758863222047E-6,-7.766497942390708E-5,-7.070931098337032E-5,-5.184255489703826E-6
3,25723.3238445859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001656421481235744,0.0,-7.285090876807854E-4,-3.838380312740092E-4,-7.300900006625238E-4,-2.2278860193154E-4,0.0,-6.635124798012974E-4,0.0,-2.7341885861107806E-4,-1.0126056256361973E-4,-1.0283192018743942E-4,-2.8688350439538933E-5,-1.3554010218874273E-4,-1.4610881586064194E-5,-9.757211224316942E-5,0.0,-3.735684354031504E-5,-0.0018619376784500192,-3.7636734366933036E-4,-5.376845683898599E-4,-3.4039935764139037E-4,-0.0010404636725078772,-2.4966496214086814E-4,-5.568081630893617E-4,0.0,-2.0885302647189166E-4,0.003641960982783307,3.275352750958748E-4,0.001304221990023791,6.706672809555485E-4,0.0019926679251029817,5.381572517959084E-4,0.0,0.0,4.260673358190985E-4,-0.007566958297640523,-0.004097529097271884,-0.12300054105011193,-0.044327075006335065,2.5165707110222596E-5,1.0867917393914928E-5,6.730383936979167E-6,0.0019325879022446017,8.349152208290574E-4,5.200549819322117E-4,-0.0037249330727401543,-0.0033914981429257894,-2.4171179015252512E-4
4,23982.84142625416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050355170821210445,0.0,-0.024125087479130277,-0.012479484794734359,-0.021138894320740925,-0.00671748140651761,0.0,-0.02018966535075848,0.0,-0.00973175871875727,-0.0037029992039430133,-0.003722770201025577,-9.762185143402462E-4,-0.004794591652086774,-4.4931812011660865E-4,-0.003536513920298951,0.0,-0.0013600362787629947,-0.04488868378487662,-0.007771178524004333,-0.013551642088249131,-0.008826922916492709,-0.026258702380114355,-0.0059491073667325,-0.01324818112893665,0.0,-0.005007932391657299,0.08988925554659005,0.002796499333919639,0.03546991227567009,0.01709708870546276,0.05034267419352362,0.013884521779430501,0.0,0.0,0.010716554009951255,-0.019148026105445224,-0.006087245817499539,-0.322556606393516,-0.11179148205953096,7.114706217806878E-4,3.373977020271719E-4,1.861135829919269E-4,0.05427292947243964,0.025392448129258824,0.014729077003248322,-0.00677460411317265,-0.0013400100815219407,0.009680193889823713
5,22562.101742692976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1535045067213523,0.0,-0.07386965588299527,-0.03830245614324662,-0.06346235996519876,-0.02050740082374046,0.0,-0.06136925837214254,0.0,-0.023670585673030306,-0.010024222359015383,-0.009956993109057618,-0.001861630782599381,-0.011328066541183951,-2.457058368687331E-4,-0.009454819974934482,0.0,-0.003642631033924258,-0.1439401493272539,-0.02453759511254575,-0.04349922679649447,-0.028364470105562534,-0.08272628250792488,-0.019076678931870854,-0.042226007850165684,0.0,-0.01573090282146781,0.2716426609444793,0.006884232219837874,0.10770684827479436,0.05167218293870925,0.1513219549029686,0.042055652440729396,0.0,0.0,0.03235157749522556,-0.026904733085782076,-0.0074403704363142425,-0.43152810676440145,-0.158667840735636,0.004413972348041562,0.0019195821239970496,0.0011341368035911465,0.3181964810689868,0.1347347269075197,0.08401636768985311,-0.020230760064859084,-0.001536598009684826,0.04035166275989058
6,21050.5813384167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.698977143958029,0.0,-0.7677036136634316,-0.40727640347252964,-0.6938735379411604,-0.23017890002984398,0.0,-0.6641545434524629,0.0,-0.11311083333830353,-0.07141159211936617,-0.06654763934720657,0.0050221040098744445,-0.045553638613184434,0.019933165547664403,-0.06544703661797815,0.0,-0.02586269687744338,-1.172257706799276,-0.19555239267754537,-0.35339158980810953,-0.23738714350892415,-0.6425840191511574,-0.1543885879085698,-0.33888451740589354,0.0,-0.1272451555523036,2.6723594763666103,0.052020137823929676,1.0518590283127267,0.5086438618313056,1.4389077026100974,0.41097098902187523,0.0,0.0,0.3179420318463945,-0.012445957380355277,-0.005469893635272206,-0.18847753990310734,-0.17382303357945267,0.011757746995555969,0.005373115592309425,0.0035972512161668658,0.1958903220968848,0.10038659626640273,0.10055283491306741,0.04080741023347222,0.20472761978153922,0.5978618376581184
7,20337.142273470166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5766673640369897,0.0,-0.8153210963991541,-0.42130138680938595,-0.5242863035283774,-0.21525788803735277,0.0,-0.5752527436789816,0.0,-0.12422436631350818,-0.0995566728290915,-0.0817939714529996,0.014930565857678038,-0.04168675341496928,0.03504797877531758,-0.0854117593230827,0.0,-0.03339174458600959,-1.3627168859304217,-0.32085888608536905,-0.3551383014227276,-0.2607211313606362,-0.6812299286440705,-0.17564671846613134,-0.3907004684315436,0.0,-0.14190547048927643,2.9144160306431623,0.013571536299944655,1.1255649687450868,0.5473927030990924,1.4434289103566205,0.4420803125099113,0.0,0.0,0.3491819095712335,-0.013091474632477243,-0.0055273088645245595,-0.18631583052674164,-0.1585860568676301,0.019772740394469614,0.005327684452546117,0.00983169641737884,0.20822318143721713,-0.10071113487855266,0.3356729613285795,0.21851352800812773,0.36506474901413205,0.8172897800302663
8,19842.462615311764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4096729371230448,0.0,-0.8857149191523334,-0.4372493417075963,-0.16893948216695198,-0.20548855845186695,0.0,-0.3998673231213728,0.0,-0.11983211794680843,-0.16565889761818142,-0.10744119931273327,0.04553559899471059,-0.014965551327681698,0.07658998260981162,-0.1263578629182654,0.0,-0.048361507300496355,-1.5281274397394382,-0.41411286100605843,-0.3181104693302818,-0.28977986247258886,-0.6738396671035282,-0.17455976881415236,-0.4140191626200414,0.0,-0.16268229426204023,3.247518066765643,-0.08028515254188723,1.1916697255558413,0.585983586473544,1.3134523166831118,0.4762069737220307,0.0,0.0,0.3930115185191184,-0.014350287558563771,-0.00565330279868309,-0.19322981657550095,-0.13655310866608236,0.03982665323804162,0.014338417738967844,0.015358401419221082,0.16580598784598238,0.12667846313345696,0.15252988436563253,0.442692036311766,0.5681277177269131,1.2867143875390976
9,19487.68928550125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5316657660432549,0.0,-1.0986079673367355,-0.5270573998451707,0.33610244960999314,-0.24673714499222577,0.0,-0.21683319119773034,0.0,-0.021323784071049456,-0.30031147630577176,-0.14308982971502054,0.13271653811751585,0.09179648194949219,0.1879624017438727,-0.20001618460156154,0.0,-0.07533910789946961,-1.4646769008475022,-0.5089713561118562,-0.1317691068881069,-0.27707514704517366,-0.2858585460010358,-0.11144916987928302,-0.316249503262259,0.0,-0.16661877014447932,3.7637086443976373,-0.19545431055868911,1.1935256265923286,0.5875578419732898,0.9154947162454374,0.5179403795008259,0.0,0.0,0.4505957701101939,-0.016093718417549568,-0.0059528187967334955,-0.22875520420868353,-0.1407414476454567,0.10168080744386121,0.03012978230602955,0.02997049123101049,0.40435113006503165,-0.11893940214583573,-0.22570951638258513,0.4836882923041521,0.5553686807784312,2.1461256531227315
10,19263.958528060633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.741694530612978,0.0,-1.2723858033091595,-0.6071653501118914,0.6957509679285407,-0.28030693522257033,0.0,-0.10766619974304752,0.0,0.046590829462397274,-0.4453545439041525,-0.1830184365390139,0.21159710584350352,0.1805014178566804,0.29075077503920865,-0.27689888925271094,0.0,-0.1043275173179405,-1.3877070956137973,-0.6896534537211636,0.06218033885929772,-0.2298774833651935,-0.08206018591453138,-0.06282292502440731,-0.21062562013679198,0.0,-0.15561549179948908,4.103511293183281,-0.12964311908783244,1.0717916116163595,0.5009812134052637,0.5901121413902544,0.5382735335504892,0.0,0.0,0.4677646603221896,-0.016162139595736442,-0.00599384612606009,-0.23898812189402371,-0.1604845023160936,0.15362728796949254,0.051144383531230186,0.05024200225065713,0.2981363085067687,0.043287780935542974,-0.001471742669341386,0.3710503248896225,0.3482138505071698,2.5474683886767044
11,19094.432550726022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.07797026534114,0.0,-1.4189021236348007,-0.6740548354303625,0.9238740155477003,-0.3190767707193379,0.0,-0.0497272533861146,0.0,0.07161634724623549,-0.6331931865752396,-0.24033441870305244,0.2916610470755129,0.2512605375269725,0.39772182813330725,-0.37434002724651994,0.0,-0.14231747803188494,-1.3889828761062155,-0.8757608287970049,0.20026496765961366,-0.19123678069334155,0.10835717440542972,-0.022837911853777607,-0.13188108841802174,0.0,-0.14928077649386187,4.312428476824137,0.098972330116188,0.8362636211707734,0.318671078339417,0.29791772684891255,0.5409868089822418,0.0,0.0,0.4483025772802782,-0.016687107990515374,-0.006133644170770165,-0.25467983959302204,-0.14694003487256582,0.21417074508089273,0.07453485570279342,0.06965110784375222,0.2890324049686792,0.13192516673818278,0.06398282574516759,0.5938149110778551,0.4157492955549279,2.619280073827491
