Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_speed
0,30282.173678332514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,10.0,0.0,0.0,0.0,0.0,0.0
1,29955.215321992226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.4813606609271566E-7,0.0,-2.3044811076359467E-7,-2.5970445029487194E-7,-1.7407852610727737E-7,-5.730383789667581E-8,-1.0863944029291791E-7,-6.795933114316597E-8,-1.2955414036356744E-6,-3.064262105788065E-7,-3.0826986170659125E-7,-3.83704229674029E-7,-6.67009571657404E-7,-1.6656487190999176E-7,-4.0112589374323004E-7,-1.4917990135317616E-7,-4.0113185871920753E-7,-6.365854601018103E-8,-9.418162240825377E-8,-1.4814072766251846E-7,-2.462356138319741E-7,-5.247121839746772E-8,-1.1745049375215116E-7,-4.486830931820062E-8,1.84013932311935E-6,1.7366625214960934E-7,5.039654351056068E-7,6.620256282785332E-7,1.0057748890052224E-6,2.7207320742353544E-7,0.0,2.1408429037436285E-7,2.6336866595298757E-4,-0.0026971885085363906,-0.10000076035263962,-0.09997189225352615,10.000000000933973,4.5872078205379265E-8,5.1443961269002594E-8,8.111969786623697E-8,-1.8873274994842932E-6,-1.717777706667732E-6
2,28665.197194694872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.915423912241728E-5,0.0,-1.3134441049845888E-5,-1.5418318654217437E-5,-1.775986185642898E-5,-5.3186969363979804E-6,-1.0885874669335973E-5,-4.897994147881079E-6,-7.181419455369156E-6,-2.350491451484903E-6,-1.953115519641743E-6,-2.0805563167481253E-6,-3.6175308519550765E-6,-5.661825614397001E-7,-2.4411468415638345E-6,-9.1934808920771E-7,-2.0717453169905804E-5,-3.921144728520045E-6,-4.7702884201273554E-6,-7.213199303347424E-6,-1.2247830738627685E-5,-2.8049109375163413E-6,-6.063980132713482E-6,-2.2349056177813357E-6,6.947357389944842E-5,6.3165810552660685E-6,1.9101666033294094E-5,2.5086188494785078E-5,3.799893915352968E-5,1.0260495191530833E-5,0.0,8.119655700672527E-6,-0.006242893836413268,-0.0037602828385579195,-0.10006768064878821,-0.09893474920127687,10.000000070174783,4.141217936506305E-6,4.731363228521478E-6,4.540515419156977E-6,-7.150007430755267E-5,-6.509306164002816E-5
3,24488.423751402275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015718312586430173,0.0,-5.981503320608987E-4,-6.935541662714189E-4,-6.881835852564406E-4,-2.1056339924597036E-4,-4.2366226977856407E-4,-2.0749320269439816E-4,-2.7523735993311853E-4,-1.0113689938303411E-4,-7.89310646578658E-5,-7.860571638901755E-5,-1.366398407835004E-4,-1.506192046593898E-5,-9.797241177625719E-5,-3.752054196152409E-5,-0.0019160948388610298,-3.907121087382204E-4,-4.4183962552455394E-4,-6.200150479084722E-4,-0.0010676339767921976,-2.571105386743406E-4,-5.733392133385642E-4,-2.1215949339528677E-4,0.0035718272164220063,3.186936837968033E-4,9.839629753267125E-4,0.0012917429326324494,0.001954733334877558,5.27988486127674E-4,0.0,4.1794291593930403E-4,-0.007373325238137258,-0.003943278554881439,-0.123961852943002,-0.045515820976787386,10.000019391797366,0.001503460968378156,0.001795011457142648,0.0010137339994078219,-0.0036414382162883482,-0.003315124006182295
4,22910.716242694987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03977196625007059,0.0,-0.016335401094634567,-0.018661719499127146,-0.016668722526128242,-0.00528399178419496,-0.010521020916994625,-0.00548045740281791,-0.007951274461782424,-0.002990055102327223,-0.0023072045494609973,-0.0022648047563147557,-0.003926841880996537,-3.831970420826069E-4,-0.0028787842897091877,-0.001105052494056671,-0.03544226403856562,-0.006090316050218727,-0.0083638508431587,-0.012364206113423055,-0.020743791437481514,-0.004712326940612379,-0.010455078030317118,-0.003870066939483846,0.07097046021697959,0.0019020487941990084,0.020937807390460743,0.02770122772861329,0.03977268386874374,0.010960373431216468,0.0,0.008461454992536711,-0.017638584885512485,-0.005708069036319384,-0.2927487630262444,-0.10550869996611202,10.000341794943102,0.028742682873684217,0.033342187673864834,0.020791706944290018,-0.003999777450236923,2.5700684078954926E-4
5,21422.952940528594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14598506638237393,0.0,-0.059526907021896724,-0.06760448270935106,-0.06068539323115834,-0.01936711770971647,-0.038599581463766124,-0.020126258422407093,-0.021804028558162387,-0.00926295145293128,-0.006713017462728914,-0.00638371314674635,-0.010417437027211127,-1.6009037689236017E-4,-0.008784946728092609,-0.0033960742919154152,-0.12407199247004103,-0.020388042577378546,-0.029604294909543007,-0.04363872471070217,-0.07182220121659802,-0.016643267690824276,-0.036213931580497814,-0.013086042805606646,0.24852011229298732,0.004703043860762928,0.07377727820011726,0.09741745657690691,0.13856817372462923,0.038485860110335335,0.0,0.02960200159995964,-0.024518011971258358,-0.006913316069411786,-0.37865096544678034,-0.14855709855268662,10.002148803407255,0.21215600991490624,0.22534245263957692,0.12798108539988118,-0.01283657660029278,0.004948895772611341
6,20323.582270852898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5853595213049076,0.0,-0.6237161823407122,-0.7030450401494482,-0.6459790459469388,-0.21182100984483515,-0.41578674588569553,-0.2117014281545389,-0.12113436764854185,-0.06966938652501592,-0.04668166825968641,-0.032829821471312304,-0.05027454501555727,0.01652711320205071,-0.06569797710408448,-0.02552799351857294,-1.0045255270769207,-0.16458320512141758,-0.23469544547387297,-0.3637694687810102,-0.5661584631823144,-0.1335765873543641,-0.2896081311818956,-0.1078464463375389,2.461081592213169,0.02267533047750896,0.7340531940958172,0.9637056119935907,1.3327834049804252,0.37731432404481186,0.0,0.29652905135170365,-0.009845091426796081,-0.004846688321171456,-0.15195136583011895,-0.16895075632144158,10.001171146935963,0.1778371549438109,0.05036341803087202,0.13115920408920978,7.235086870503553E-4,0.14468073423033906
7,19517.98568433875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2839229410840396,0.0,-0.7182963903883645,-0.7318967680465088,-0.27898031767131937,-0.16606359542178684,-0.25460344412895225,-0.19566676111176934,-0.16165625968720276,-0.12570143675773626,-0.06947555866654047,-0.03648208609275749,-0.051439193070019776,0.04321606357569284,-0.10851254587312584,-0.04256495726565103,-1.2817599860992177,-0.3406821393642378,-0.24280898940244838,-0.4055123821193263,-0.6148617959874912,-0.16304162167203398,-0.3635490147352535,-0.13087666837572756,2.901552124763498,-0.14274790933958684,0.8896118051441207,1.1140679699878173,1.3328225945410368,0.42474655387738697,0.0,0.3737490185684129,-0.009924355874416894,-0.004720464880606718,-0.12818435926216315,-0.1306942236919307,10.001786204035081,0.342994485397891,-0.032347657452757556,-0.04737802078352826,0.37137803245305323,0.48618849064937064
8,19033.659769864604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2344294768248711,0.0,-0.9542432432044393,-0.8581230220509728,0.16881726174889483,-0.1450772060054796,-0.13317841004177144,-0.2085620166100747,-0.10290890085911353,-0.19872601389247088,-0.08146378600240489,-0.005089768741237434,0.02011706602984263,0.11627371932435242,-0.1567908379736466,-0.061972439282033456,-1.1250629032060322,-0.49293902817339263,-0.11161003297019861,-0.2746356302196787,-0.3910894452753647,-0.12433572787899452,-0.2670550995030072,-0.11088248389580474,3.3480955534074774,-0.43450386479171543,1.0397765841879787,1.207263528725346,1.1338203693111202,0.45264714475821866,0.0,0.46661142481965207,-0.009591027921516811,-0.004627103813540317,-0.13115381052670155,-0.14622813095319734,9.999056418075147,0.5033172075397704,-0.127199270560578,-0.11811512718684605,0.28780662850373506,0.3747798938953097
9,18959.72825639947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4003709575873207,0.0,-1.2403322353194308,-1.0032628339155256,0.5771269885386356,-0.13981763918693002,-0.07047952719561956,-0.23053943784409173,-0.042436519262036024,-0.31561913236167205,-0.10423440306577747,0.034101591943091314,0.10893020250626916,0.21869402574872188,-0.23207172980695548,-0.09307350450197412,-1.0272276441387007,-0.59181815055323,-0.016091524690087164,-0.18787075666995276,-0.29642606068202204,-0.07468265976374938,-0.17909652767620698,-0.10302448599863973,3.6275749787970066,-0.7668736398219249,1.0776927239703766,1.1447738513579544,0.8357649488014272,0.44217504278993935,0.0,0.5332364820068954,-0.009739960749690918,-0.004684471172724726,-0.1405480370922957,-0.132545037456781,9.994739419158046,0.4957331332978933,-0.3093673313152666,0.3166256070880986,0.45521060761682475,0.4543218605177804
