Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_speed
0,30320.955757936834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,29892.43150994104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.253522771901237E-7,0.0,-2.218193909491078E-7,-2.4963081423311573E-7,-1.6392216719068178E-7,-5.4258167431960246E-8,-1.0248845672940154E-7,-6.485412554227506E-8,-1.2499195920660895E-6,-2.951274458384611E-7,-2.976334315357349E-7,-3.703190178803598E-7,-6.434681225053844E-7,-1.6060538315462175E-7,-3.870252054585253E-7,-1.4392736942830343E-7,-4.1895198529024275E-7,-6.804119956123982E-8,-9.854232047168002E-8,-1.5304686708267838E-7,-2.54580507571677E-7,-5.488847297982055E-8,-1.2297891806752745E-7,-4.722301429006682E-8,1.7905557163001395E-6,1.691405312202559E-7,4.903426756912529E-7,6.441327354830475E-7,9.78650434701628E-7,2.6473670269528374E-7,0.0,2.0831744756439923E-7,2.5979524913872934E-4,-0.0026066802335935136,-0.10000096458396422,-0.09997265035991076,1.4606367332041306E-9,7.193950813808405E-8,9.102569811958414E-8,-1.8363642889342053E-6,-1.671442764755215E-6
2,28557.891847574832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.3443115789482337E-5,0.0,-1.1330250666353678E-5,-1.3281568522472759E-5,-1.5124839735222365E-5,-4.535717149274582E-6,-9.277208893895157E-6,-4.1979663544466684E-6,-6.4539936037538264E-6,-2.0826833831414456E-6,-1.7510050871692319E-6,-1.8770803633683454E-6,-3.2567057100000142E-6,-5.209533327037574E-7,-2.183778152472653E-6,-8.208092876552851E-7,-1.9310482038568735E-5,-3.7079550358699176E-6,-4.451174033183813E-6,-6.669274673483668E-6,-1.1333244950379677E-5,-2.6127053410605686E-6,-5.667394602894631E-6,-2.101635289352218E-6,6.082149170783534E-5,5.544006256343816E-6,1.671856516350831E-5,2.1956835454541022E-5,3.3264987094299574E-5,8.982819288492681E-6,0.0,7.107616803224861E-6,-0.0051749331575216655,-0.0034928396734627016,-0.10006677901247271,-0.0990675233216567,8.850552131923211E-8,5.156725787834866E-6,4.521220342161745E-6,-6.25856056972171E-5,-5.697986802535069E-5
3,24161.333397648654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001497254175406088,0.0,-5.83222587696804E-4,-6.737592621588229E-4,-6.506476992725018E-4,-1.9960399223526828E-4,-4.021511344348468E-4,-1.9977084061372912E-4,-2.761715409831271E-4,-1.0050581722494376E-4,-7.921732942172727E-5,-7.91721768857365E-5,-1.372491572672416E-4,-1.5333326510781446E-5,-9.801411904295122E-5,-3.752540673111497E-5,-0.0020127472192010398,-4.1702652908096836E-4,-4.6328496564252883E-4,-6.49195403679608E-4,-0.0011180545822184742,-2.7044662315167976E-4,-6.014600420402946E-4,-2.2347118410593646E-4,0.0035563292678447967,3.1799180270221383E-4,9.795050372513052E-4,0.0012858710022807752,0.0019461678607144504,5.256702210407576E-4,0.0,4.162002898335728E-4,-0.0060444409678545715,-0.003632287385152121,-0.12170189261160558,-0.04572288560961476,2.409023926444776E-5,0.001798736761714514,0.0010158736605473866,-0.0036249096975556902,-0.003300614647608854
4,22436.18401936579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04175778707514892,0.0,-0.01805039657275486,-0.020423334350168847,-0.01701222714108968,-0.0054704802928290264,-0.010930445903867516,-0.005930184522017032,-0.009143277984088552,-0.003434845897391949,-0.0026660748285732613,-0.002602907173306708,-0.004509882007472559,-4.288013672875514E-4,-0.0033106891975708207,-0.0012773521574009977,-0.040888781403313014,-0.007012812084881489,-0.009650535141528324,-0.014321626999314038,-0.023950572752971234,-0.005407236207997764,-0.012069777613851135,-0.004527838122844476,0.07451707422971147,7.195191406599317E-4,0.02236546899114422,0.02957878104514854,0.041940414491338736,0.01157199789410835,0.0,0.009020050512670233,-0.015824441221237946,-0.005317291558876282,-0.2992722299019737,-0.09965022731210599,5.532086209787635E-4,0.04018288969047233,0.025391582673127484,0.027854044667482862,0.028925065153100817
5,20790.852075002957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3043337494000624,0.0,-0.13007913517375325,-0.14569632410030553,-0.12280262977399117,-0.03985576647155291,-0.0795799313586371,-0.04290571432927589,-0.04705662138903098,-0.02076934685301337,-0.014727184205877437,-0.01388576574064243,-0.022243606056628652,3.675889072657025E-4,-0.01955657702522066,-0.00763711637700474,-0.27663324642247394,-0.044665947325335555,-0.06617909110849751,-0.09832715717737088,-0.1584280872731807,-0.0368728005142383,-0.08046058564161182,-0.029887792494146127,0.5111933636410362,-7.515884294711284E-4,0.15474821152398846,0.2039656861251929,0.2852051691684634,0.07957951030414245,0.0,0.06191644347842233,-0.027242841906358832,-0.007343313867655396,-0.44706412787279637,-0.1619111716028616,0.008649437144642363,0.6162460935296795,0.3474616471347747,0.14003580228855655,0.15716843707749514
6,18976.34043451793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3498251439760904,0.0,-0.5603506920407532,-0.6206951040896942,-0.5177504755934352,-0.17995082379191157,-0.34496975941150804,-0.18479744606278664,-0.14048490448024084,-0.07443702166262062,-0.0505396269981767,-0.037676693841489466,-0.06044977366596736,0.012961424511506751,-0.06952598725541838,-0.027063757757243876,-0.8964327864905117,-0.1424880374560106,-0.2093608983915842,-0.3268083708245654,-0.500256541162958,-0.11516220934699362,-0.26007557092170447,-0.09908046939800363,2.123199925168616,-0.028602173461282028,0.6470821958175877,0.8427090462342093,1.1380781642337643,0.32640586585730735,0.0,0.2612251010730283,-0.011173315494359033,-0.00489296788405417,-0.17381142793777504,-0.09292398076179138,0.005314755755299093,0.39570810254196664,0.3011865128752643,0.5971191351248093,0.6565814734405412
7,18821.963145556318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3664917465371764,0.0,-0.6181211244089257,-0.6621283093273184,-0.4529580460279745,-0.18175330134516685,-0.3257260545112247,-0.19201760246377045,-0.15104461609494982,-0.09246449507941298,-0.05762471489930124,-0.03821256923089664,-0.059244798335842966,0.02292434140111521,-0.08356429235847654,-0.03250549193001883,-0.9899715014315019,-0.18491686507486446,-0.2177636443195698,-0.34767928226548495,-0.5125311296376144,-0.12363754547676488,-0.2855575311747706,-0.10862310727074295,2.3757531791806885,-0.07232813960864498,0.7279189870511583,0.9303842558930148,1.197437762370137,0.35862514593036415,0.0,0.2982815666434723,-0.011043364011700781,-0.004865591874867149,-0.16947995084949843,-0.13446847872507015,0.0063922853599897664,0.3801900195551943,0.24945208506439362,0.383567958289889,0.45946335751391426
8,18380.90512032449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.151811505017263,0.0,-0.6709566583755697,-0.6637595631561427,-0.19056637777217217,-0.15100030409286946,-0.21164098279074156,-0.17759547839573153,-0.18832617957874617,-0.13538156440148894,-0.07517649074695743,-0.04295295242878338,-0.06435986401937785,0.0410156608340779,-0.11666819277985427,-0.0452637472314153,-1.1084578170808026,-0.27450196432092383,-0.21164701110569414,-0.3570120559415321,-0.49065927684062804,-0.13044867068843335,-0.3143435948471879,-0.11955703440689687,2.674965913710089,-0.19245005357480488,0.8337578387407996,1.0291838708441772,1.1914226560412102,0.3890148786153119,0.0,0.3506173337525427,-0.010629495834408387,-0.004683580897129902,-0.14693481041829584,-0.1381901976584092,0.01007259726290338,0.39893748556800895,0.15860017498562862,0.3541897547401635,0.4700657716347374
9,17925.305234565134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1940188429280776,0.0,-1.09802102329706,-0.8929412316924774,0.4822610940982653,-0.1371730289655147,-0.039978164076753864,-0.20998108350400993,-0.2406666862305164,-0.31560574216286374,-0.1330175711123477,-0.032791052315676215,-0.017031096019892923,0.1539810778963249,-0.24883145362403833,-0.09742811838989343,-0.6708102512579075,-0.41217164816549834,0.025439907666613165,-0.09491017265606827,0.16460252140777898,-0.01421693726228293,-0.10594505996824352,-0.07850794405151587,3.481221135945406,-0.7626723784107055,1.1070237111859997,1.2015723378381806,0.8637791332501071,0.43744361901046386,0.0,0.5148617933800452,-0.010063292789607351,-0.004451458511771692,-0.1699726791003741,-0.14509376064230314,0.04667404824027981,0.684003091897853,-0.2166836328702536,0.2654057586363747,0.6036935979810346
