Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_bike_stressLink_e,g_walk_vgvi,g_walk_speed
0,30320.955757936834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,30121.941088936917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.486438011588119E-7,0.0,-2.3396582095094282E-7,-2.6330014764175037E-7,-1.728982495837108E-7,-5.722924687600829E-8,-1.08100539876566E-7,-6.840542055241327E-8,-1.318362935851287E-6,-3.1128809278262154E-7,-3.139313017394458E-7,-3.905970197709343E-7,-6.787032769929243E-7,-1.6939984443259485E-7,-4.0821800806669025E-7,-1.5180857273802774E-7,-4.4189304081151263E-7,-7.176701299971013E-8,-1.039383203105862E-7,-1.614274376453593E-7,-2.6852087726532775E-7,-5.7894066819495115E-8,-1.297130219419328E-7,-4.980886142947021E-8,1.8886033197101366E-6,1.7840236182104132E-7,5.171929567316637E-7,6.794042829792282E-7,1.0322395684130986E-6,2.7923320732657914E-7,0.0,2.197245354847806E-7,2.740211686806185E-4,-0.0027494173444431906,-0.10000101740284337,-0.0999711527429193,1.5406185678041693E-9,7.587878592722087E-8,7.818189072088102E-8,3.543137823545476E-8,3.503980255305542E-8,-1.936920287208163E-6,-1.7629679576488819E-6
2,29328.481042713687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8876361714737113E-5,0.0,-1.3151178293465285E-5,-1.5421798150019706E-5,-1.7593449198499045E-5,-5.274679061153006E-6,-1.0786551469350123E-5,-4.874995047897014E-6,-7.1324780125007356E-6,-2.3458245013622085E-6,-1.9460355536805306E-6,-2.0633550958748036E-6,-3.5880491471168536E-6,-5.525550743145566E-7,-2.4315711093762722E-6,-9.171129733792959E-7,-2.24045634556912E-5,-4.306342003890252E-6,-5.163435972237234E-6,-7.735452043406908E-6,-1.3146957308793635E-5,-3.032757760783666E-6,-6.574500960058675E-6,-2.4369139019567206E-6,7.039211040755993E-5,6.411390701608213E-6,1.9350987459915085E-5,2.5413841902583715E-5,3.849978123411935E-5,1.0395904462462528E-5,0.0,8.227039200790567E-6,-0.006022457272027817,-0.0037752720225060045,-0.1000772687813979,-0.098920590269707,1.0243413890463455E-7,5.965503728874287E-6,4.063626548387074E-6,2.430016599704949E-6,2.113050122679612E-6,-7.244621808655091E-5,-6.595772778919827E-5
3,25038.13673411074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015976932182412676,0.0,-6.042746237573088E-4,-7.006298102908523E-4,-7.01059162875669E-4,-2.1432448327107334E-4,-4.3143496614727147E-4,-2.092146251265815E-4,-2.739067206774053E-4,-1.0081628187553942E-4,-7.871201380066732E-5,-7.81447067450197E-5,-1.359115656249091E-4,-1.4863348990886354E-5,-9.754131479527735E-5,-3.733754498170906E-5,-0.0019098943285646513,-3.8980054338397577E-4,-4.402201005902937E-4,-6.196615359269459E-4,-0.0010648407378697569,-2.561726396060461E-4,-5.710159032529659E-4,-2.136094339198577E-4,0.003604703402042473,3.2361760369050915E-4,9.924200656063647E-4,0.0013029636005044045,0.00197239468006851,5.327072214370281E-4,0.0,4.217522400244269E-4,-0.007033799593891857,-0.003937761405185246,-0.12245387144749738,-0.04492620593454681,2.470263723174571E-5,0.0018775871416687856,8.07595890332104E-4,5.205815557716534E-4,5.343175496762283E-4,-0.0036827808561947224,-0.0033531705908146935
4,23274.516803910185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0459225952659916,0.0,-0.01911649119496157,-0.021770322440358217,-0.019084212603940155,-0.006090962614045256,-0.012105516996112568,-0.006351446182412893,-0.009279693108512056,-0.0035159866626701787,-0.002705036145060729,-0.0026322008094229665,-0.004573716232160251,-4.314105966189254E-4,-0.0033670148565281763,-0.0012966602294051278,-0.042428764110232456,-0.007327789549270035,-0.009996455014841336,-0.01481414839409781,-0.024828380111459065,-0.005615100636992921,-0.012525981301698554,-0.004716103516753187,0.08208269575824326,0.001969216792589147,0.0242861177840776,0.032143510918503634,0.04604994621698348,0.012703602302703374,0.0,0.00983575737947224,-0.01761091042958608,-0.0057567172252362235,-0.3081318379018984,-0.10599336278591229,6.307761581706324E-4,0.04742243924181664,0.02257923351292465,0.013317991252902207,0.014155127880580527,0.00501399650577853,0.00878393525053566
5,21738.99601235725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15666246703079093,0.0,-0.06552307796314821,-0.07442995881366152,-0.06402834467142612,-0.02073524949792923,-0.04114328048542413,-0.021811534390409594,-0.024882181528516116,-0.010565973501421105,-0.007657938698935569,-0.007251686183442886,-0.011895547719075108,-2.1521720743112774E-4,-0.00995711071785153,-0.0038638386925693878,-0.14776464191415922,-0.02500965105628892,-0.03541333353226169,-0.05097130048112555,-0.08512362958853643,-0.01962232365794474,-0.04323395284174465,-0.016060055880900967,0.27448791892027,0.004583774022411657,0.08172413834291194,0.1077351369028076,0.1531241779463688,0.042562641637192394,0.0,0.03292066044307048,-0.025341136238724176,-0.007108074798648892,-0.4163969138342535,-0.1524603348355846,0.00445044076741991,0.3190457136976303,0.13729103527672326,0.08858949536876679,0.0891398768562195,0.010017502847217457,0.025357273807852
6,19685.684028574015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.428049038807319,0.0,-0.5666653216517119,-0.6450753688625953,-0.5765793854057698,-0.1912827563188067,-0.37268850420341665,-0.19164090463822597,-0.10520309254832419,-0.06320843439744328,-0.04153624153347668,-0.02866992067880788,-0.04291010488253142,0.016442122880337414,-0.058978801632389014,-0.02307680989304984,-0.967373051521822,-0.15911688930596377,-0.23575505547466888,-0.3270147402059864,-0.5381297710548834,-0.12684681193050668,-0.2790163637179566,-0.10573529920316532,2.2320932446391466,0.015964203817548782,0.6704577294074846,0.8680447769567672,1.208299021083867,0.34250648486781743,0.0,0.2704514160278567,-0.011782860278182601,-0.005188971861121917,-0.18413609534121697,-0.1702538829243432,0.008964217256000589,0.19930896179464297,0.13318910506651688,0.10057906063988857,0.04983068631026966,0.03815401464103875,0.15672546738296164
7,19286.109452368983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3099244480152124,0.0,-0.6013624713483563,-0.656578172478833,-0.428099216593942,-0.17358022828830488,-0.3100061054568979,-0.1855632124169665,-0.1173637777118931,-0.08411766377535548,-0.04953928389069291,-0.029508320298029696,-0.04141528306002859,0.027680142745096517,-0.07524398208033581,-0.029384724394329105,-1.0814868992634605,-0.22831829567275916,-0.24467551018780473,-0.33202886669737713,-0.5520410215517761,-0.13773831083457208,-0.30786669029587094,-0.11582145954908885,2.40781041042571,-0.04813089630685829,0.7327868371540562,0.9245521805465328,1.2071151778738456,0.36077432578981733,0.0,0.3011106869238923,-0.011513464046521316,-0.005091478943373498,-0.17030284772086868,-0.16952586842094056,0.014070792768083333,0.20586407572973556,0.016764176852425233,0.24348034960106418,-0.020900521671950424,0.04935333943650098,0.17724093080147485
8,19019.565132418422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.123827441401942,0.0,-0.7946093261547389,-0.7308366644312717,0.12196536767441202,-0.147775645277754,-0.13076918168898,-0.18066488241839754,-0.11961029795174437,-0.18063902191245984,-0.0757666499256826,-0.015625477797887168,-8.04545047317598E-4,0.09515763735804289,-0.14376118364701254,-0.05624489550463882,-1.2270173047112676,-0.2494882536403018,-0.23422891857831635,-0.34383341049541377,-0.43897173292857794,-0.11088900967094421,-0.3064630437276913,-0.14585321613358537,2.8576028912428675,-0.4077078754145276,0.9044006665073011,1.0291475889264905,0.9691455170606889,0.38348672779063625,0.0,0.40316368749132314,-0.010847996989747597,-0.004862371391495525,-0.1451703773882966,-0.1472786917890343,0.04428050186347568,0.20290914308470287,0.05139105885237471,-0.06760300559179966,0.1609565665313793,0.20923042131217032,0.3302598226460256
9,18722.084335697462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3637966304406999,0.0,-1.3771303880866022,-1.0876971273639737,0.9903577523500655,-0.1614467501693935,0.05497490422562787,-0.23957735126490765,-0.02659870291850562,-0.3893566620302718,-0.11706611647943002,0.04309312497911115,0.14866491889873795,0.27498132999712,-0.28527998392872456,-0.11255178025661355,-0.9363631331511325,-0.24628398877151605,-0.06878989061020477,-0.07380662308393887,0.18898334695832386,0.029595948048674617,-0.0884415527511084,-0.14075977567973588,3.6435709688479596,-1.2081457228614192,1.1746177261571014,1.106265349413326,0.33124816361364506,0.39656263027873045,0.0,0.5944182522669937,-0.010357617625984568,-0.004776616530292446,-0.16152358223427224,-0.13642926126926225,0.12821567774043666,0.38991209527777426,-0.1204723814173404,-0.2133754511985926,0.15085321146406952,0.33277897079696395,0.43604590049454517
10,18601.45387094749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.462586002061789,0.0,-1.5747893836866131,-1.190984980199026,1.2131183801561194,-0.14754757854148132,0.10837752028409066,-0.2509554730895448,0.025221804481174837,-0.4924393877898997,-0.13473670595834875,0.07323403639312381,0.22129971710080953,0.36265487121279116,-0.3501166901192773,-0.1395914533643106,-1.03363420916372,-0.36133072646349707,-0.033967185732023786,0.0034627042605143293,0.2223681033151996,0.05213148873047722,-0.07248799722533797,-0.14250034735360212,3.7885605655045933,-1.4428583307067504,1.1348107170812258,0.9773028441131686,0.14688977541954282,0.37471475783342106,0.0,0.622187495071644,-0.01083053948499737,-0.0048947008351721425,-0.168805741980812,-0.16143375476619987,0.16596739740089397,0.33335844972684203,0.04588882787193124,-0.21724690387115864,0.10593618458578445,0.1724505990756876,0.2554200114964622
11,18458.56721303596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6378180494171688,0.0,-1.8075225248730624,-1.295360949634011,1.3555706870038886,-0.12224241092994399,0.14537524172352378,-0.2570842796497829,0.0715111682990685,-0.653139341342717,-0.1668977961333404,0.10794549176276544,0.3077588771378693,0.4851725767872861,-0.45078163008873984,-0.18206182893440495,-1.2138133613231297,-0.5407436377362924,0.018596076152077527,0.053980299611379706,0.24124288548733566,0.07336798197470289,-0.06775141158763637,-0.1419061407050043,3.8566717604688137,-1.7122368949996916,0.9744297761023417,0.7257523445228657,-0.027372412438943006,0.3285391777863933,0.0,0.622802203343746,-0.01099235913472319,-0.0049857631532258685,-0.16873556468402431,-0.149382529193796,0.21888979251648394,0.23099241218259436,0.20078109893115265,-0.09301224361495634,0.12286337687714868,0.28298647742722044,0.3004413472655969
12,18358.955990852923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.72712875265752,0.0,-1.9450715389799194,-1.2942337027079571,1.38167062196982,-0.08289418858027288,0.1902796923182107,-0.22302497334000151,0.09100204264193021,-0.8513201663019835,-0.20919974210343767,0.13279774638199193,0.3786907896426264,0.6157960371503026,-0.5697082323860109,-0.2338219351195014,-1.381651401138153,-0.6470874807144608,0.040474569176261146,0.04434867331856363,0.3848574435057891,0.09849577039862259,-0.056788347965477756,-0.13844785494512693,3.9294241526964475,-1.9646920968132382,0.7427284497770185,0.5022866275507003,0.005367501887741648,0.2904806679793052,0.0,0.5925323143040349,-0.011207189050042388,-0.005040158604297738,-0.17046533169132666,-0.15426525215295553,0.2807401693164264,0.2211104768926048,0.10440383902374976,-0.08338586458055774,0.27295710376339205,0.2590661344416042,0.25522837003286364
13,18186.29543651784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7978697862143496,0.0,-2.1610756144905157,-1.1529566411904955,1.4574434821439508,0.0485100830613769,0.3267468037882099,-0.04595015202358421,0.0689214647203133,-1.507728199377297,-0.3619841154058089,0.16593804131174802,0.5442973886471834,1.0023565016081426,-0.9539034829184563,-0.4070156503953749,-1.6366395528959672,-0.7501287905725311,-0.08041320008198799,0.21319168553519013,0.7539994461656283,0.19561307492053004,0.08514891058596745,-0.111363354252245,4.1903211057304794,-2.682238239930589,0.0620018931586076,-0.018489495095334485,0.44765372964820543,0.2280704242153091,0.0,0.45860091330454433,-0.011018617887356965,-0.004917242428716573,-0.16638736941270232,-0.14808851615591673,0.4770421743478166,0.2680659112363469,0.1874001644804199,-0.19758616472037654,0.07595512546154584,0.2866921842940362,0.3006021146439084
14,18123.17268997202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8358265962217724,0.0,-2.130317406087317,-1.0623541873924587,1.5410266354256603,0.0861091774633171,0.3262658457114283,0.046333223575911756,0.0272412793645675,-1.8308202561621643,-0.4527844768874525,0.1479576600317201,0.6067187402846298,1.1614631957880683,-1.128785475623909,-0.49604454932585107,-1.5772294362128145,-0.6728937756966951,-0.11392244359461742,0.14087505438959458,0.798645973865254,0.25285498961638697,0.17484476800030133,-0.0715210500167152,4.294848421751172,-2.893736174365239,-0.1421445865635968,-0.04675730280506477,0.5534494690964701,0.26263278821917707,0.0,0.3816551938722578,-0.010697614321384946,-0.004782838067652034,-0.16433804452093329,-0.1493590797613938,0.5704893264748898,0.16905043793726127,0.2940478067702823,-0.05772595475460543,0.155849528216785,0.27484729428427246,0.27583400018842996
15,17997.87159305736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2423356261719287,0.0,-1.6034681349570539,-0.8676533271921394,1.6876597862655964,0.17044017662246014,0.22528319393761193,0.3583417965607973,-0.16834512023223502,-3.416991139513227,-0.9597021668197611,-0.03180723496241078,0.9238263378642584,1.867124916992126,-1.9313705296316437,-0.9527552859660163,-1.679581665203187,-0.5075439062474211,-0.6793824377072117,-0.14849053800558504,0.8169443729418033,0.4295860312220168,0.054717851321549923,0.14561222432604348,4.46110866518897,-3.114714673913428,-0.4415154958006259,-0.1493121751143421,0.14135785120352046,0.5849480757991616,0.0,0.03511711253150612,-0.010252708314791994,-0.004433697235537232,-0.15320575457723995,-0.14971129732207372,1.0581706007926712,0.19404267747210097,0.2295341751618311,-0.011891383216866024,0.013272523275635328,0.3234789245284108,0.1598913900723106
16,17770.14982275346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.386846458760056,0.0,-1.0180232443162507,-0.8647912824929046,1.6295262597024482,0.44790072276320747,0.40782652648820844,0.4918087278553659,-0.34957555426895986,-5.763529690850245,-1.7636188185985608,-0.410545698734346,1.360437540904008,2.792906611685362,-3.0356329617518836,-1.6504188628655307,-1.3237914215996975,-1.2289409634868407,-0.6425960153746033,-0.15153660374108352,0.7707517324751547,0.6304230007399084,0.04875376049847425,0.41485759747223205,4.520572223284793,-2.9885835213766065,-0.08878496571244104,-0.38022459070591885,0.15520185362597066,0.9334124704645785,0.0,-0.027926271598299912,-0.008573707595184754,-0.0036707845303178073,-0.13344348642450982,-0.14705497621223804,1.8552917655462227,0.17063724659697438,0.2671585158073986,-0.08863196507561383,0.09842449373968254,0.3759335710504664,0.06055735252731251
