Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_c,g_walk_vgvi,g_walk_speed
0,30320.955757936834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,30006.203053498484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.369546036337652E-7,0.0,-2.2786995450156514E-7,-2.564399894801782E-7,-1.6839346920805728E-7,-5.573816649282805E-8,-1.052840325272667E-7,-6.662315036266423E-8,-1.2840136263833713E-6,-3.031776318906341E-7,-3.057519733148713E-7,-3.8042020309587043E-7,-6.610199909535872E-7,-1.649862133132743E-7,-3.9758208505327153E-7,-1.478532737053725E-7,-4.303797310864088E-7,-6.989715814253972E-8,-1.0123025758154844E-7,-1.5722152373386672E-7,-2.61524695515249E-7,-5.63856648738238E-8,-1.2633341181217368E-7,-4.851111560473595E-8,1.839396672491275E-6,1.7375417445976578E-7,5.037177440703406E-7,6.617027325675338E-7,1.0053450650739596E-6,2.7195792099126813E-7,0.0,2.139997188490737E-7,2.668816794945904E-4,-0.0026777826036199037,-0.10000099089490373,-0.09997190434426809,1.5004784952046982E-9,7.390180081258635E-8,7.614489932334583E-8,3.450823079040121E-8,-1.8864547647403029E-6,-1.7170346791012727E-6
2,28882.41528292343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6100343085841634E-5,0.0,-1.2221037770457672E-5,-1.432847750376061E-5,-1.633200942910318E-5,-4.897085180914772E-6,-1.0015367533338768E-5,-4.529144545179547E-6,-6.78993122590446E-6,-2.212165017504425E-6,-1.8473877583357522E-6,-1.969532700672258E-6,-3.4209830980036527E-6,-5.370281924440378E-7,-2.3061170693785824E-6,-8.682937728033349E-7,-2.0824617514485468E-5,-4.000752834752625E-6,-4.799743175069692E-6,-7.191033466178344E-6,-1.2220808096219658E-5,-2.8182425682264308E-6,-6.1113218475863115E-6,-2.265732305376585E-6,6.5505941234157E-5,5.968635296250125E-6,1.800700769785387E-5,2.3648875422455902E-5,3.58272136887775E-5,9.674477679421189E-6,0.0,7.655513314768098E-6,-0.005589550878050713,-0.0036323040900008204,-0.10007191977950836,-0.0989956094068273,9.532988959524249E-8,5.553130825809646E-6,3.781768171437758E-6,2.261549944988498E-6,-6.741174394345203E-5,-6.137394852402267E-5
3,24534.906763644372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015433914227589566,0.0,-5.924987957662166E-4,-6.857260187764872E-4,-6.740106978885409E-4,-2.0641997654066358E-4,-4.1564902824188174E-4,-2.0397915261835743E-4,-2.7465581522604824E-4,-1.0050760901234777E-4,-7.884918838362806E-5,-7.855130936083383E-5,-1.3639612641899197E-4,-1.5091907559367453E-5,-9.763117102738275E-5,-3.737248239290141E-5,-0.0019598009594204526,-4.033179862925275E-4,-4.513171960529765E-4,-6.33770357506983E-4,-0.0010904694152906473,-2.630556491100376E-4,-5.858093748462572E-4,-2.184007415523973E-4,0.003574208185131916,3.202532582485629E-4,9.842210050832727E-4,0.0012921325885206834,0.001955828453821124,5.282572180659021E-4,0.0,4.1823553823094954E-4,-0.006524224719532577,-0.0037823268085152057,-0.12201147144936991,-0.04542169407607214,2.4326606900878088E-5,0.0018321249043828384,7.860794221342104E-4,5.197304511872456E-4,-0.0036473950753683564,-0.003321014911715753
4,22815.05654014891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.043421168669050464,0.0,-0.018430788281586112,-0.02091547423223977,-0.0178601834168037,-0.005724221978415246,-0.011403558942416011,-0.0060898880633722,-0.009147307389274273,-0.0034513580899879575,-0.002666772720434255,-0.0025991503025076692,-0.0045100940102855746,-4.272613745938547E-4,-0.0033152355725398807,-0.0012780866143864398,-0.041351304563400595,-0.007110908068924839,-0.00974926340331457,-0.014470456117113997,-0.02421628925739613,-0.005469076850867837,-0.012207443797781303,-0.004582545448334352,0.07755073294908303,0.0012912104167467488,0.02311333317030563,0.030583834115125694,0.04358177579930645,0.01202425070244899,0.0,0.009340429320114047,-0.016570153953594593,-0.005511684926904122,-0.3018151600313118,-0.10235546094322834,5.850527200242949E-4,0.04326837546641318,0.02098999887548116,0.012445782792202091,0.01665175940489069,0.018998394352211123
5,21896.921565064025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28496562054592733,0.0,-0.12074782378513418,-0.13570856885641877,-0.11499747538114104,-0.03750770907932287,-0.07462432199966906,-0.040005037474859825,-0.04386337264332105,-0.019209140905452518,-0.013693510346147414,-0.012885293741340672,-0.020781461892412822,1.4368140590774827E-4,-0.018047499395839727,-0.007034582403114937,-0.2657301959557651,-0.04347575392262895,-0.06351523320484709,-0.09380688292511327,-0.15316402939808557,-0.03533353071939947,-0.0774797445181762,-0.028692975298138097,0.4886527735798399,0.0032603190981742333,0.14676052906562823,0.19361914412378628,0.2726574610195362,0.07593192871343764,0.0,0.05890787612989573,-0.030217193732515572,-0.00791211006188829,-0.4898154920937602,-0.18268800222513315,0.008592316433084633,0.6154319678127833,0.2695300293518403,0.17086712940770857,0.07338512989820174,0.09508045773844301
6,17903.13944660828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.14611741468154,0.0,-0.465744958892229,-0.5200301034012743,-0.44832660421167914,-0.1534674562661908,-0.29672827036216176,-0.1552731557359261,-0.10990623559230217,-0.058507541540439176,-0.03993605389486922,-0.029621711264965624,-0.047166995996624314,0.01082900376751663,-0.05447021492708927,-0.021686267720729884,-0.7751502136126224,-0.12122216837047341,-0.1826980361499707,-0.2817724801550781,-0.44464141834928006,-0.10021374401681524,-0.2251030022701463,-0.08542487260738454,1.7988256441653412,-0.005299371456482724,0.543244813866371,0.7099054811248475,0.9742321256047315,0.27650579471177195,0.0,0.21951465960407113,-0.019307051765162345,-0.0063034333167605264,-0.305477352899279,-0.16969961773240566,0.007017236462458119,0.47256743216451125,0.275722497227279,0.1556098767687344,0.23348063012152698,0.29639499306162753
7,17152.2764318421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8677188686196274,0.0,-0.5003008720361073,-0.498300270005044,-0.13027551497449663,-0.11553140312378313,-0.1614275020229206,-0.13327733763690677,-0.18461625039575658,-0.11437271654396064,-0.06366740287699858,-0.04647672330339713,-0.07281931324072013,0.022338259513209367,-0.09633752426455403,-0.037750038701855025,-0.9913611208239543,-0.20286487343894655,-0.20783274124529794,-0.33299385523543656,-0.4999772415582914,-0.11821271814976146,-0.28642761934376687,-0.10927725002079991,2.1815367381761654,-0.12064264243136832,0.6748366489165916,0.8425853602262559,1.0137029227949172,0.31786658127944123,0.0,0.28297108246887653,-0.018002222541833535,-0.0059241946626785716,-0.26024350556740883,-0.159604174425918,0.010416829806213803,0.42972045433619804,0.15680398312275168,0.2897463233193836,0.2751832011702709,0.3869773555467103
8,16845.105740332565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9882429503483868,0.0,-0.6884003169618595,-0.5931619377593622,0.15283596963175783,-0.12060083692997556,-0.1271844394545891,-0.15298227904113632,-0.2675059724692223,-0.21867882127114446,-0.10234685326343532,-0.06288431957950583,-0.07938461486395301,0.06423364808072271,-0.16852200353358024,-0.06888695875646923,-0.9788817346849336,-0.16351047866517135,-0.1801289928211253,-0.3089005186748506,-0.3243000966172342,-0.07398335192211808,-0.25296312871993454,-0.12564454272181377,2.393827238175002,-0.3751034614259635,0.736190181355483,0.8249579147947005,0.7305007659585689,0.30580339043227256,0.0,0.3415773200301477,-0.01746122697972925,-0.005771276063883401,-0.25573433399614004,-0.14249040478280364,0.03392824233935976,0.5201736884550241,0.02340970074623125,0.214574838493312,0.3626668239143447,0.5048995189587441
9,16737.062781804474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0612865748600735,0.0,-0.8243794784342381,-0.6533479829875394,0.32963016135659795,-0.10868343266986662,-0.0808573118684222,-0.1529980023456084,-0.33638117262293976,-0.34143068247988634,-0.14491657945939787,-0.07457100911557951,-0.06619468275560933,0.12148686330247199,-0.2452032128659311,-0.10575200420917649,-1.0338763426689488,-0.19230931600828055,-0.14446049687276913,-0.2768915160238052,-0.3420622600797077,-0.040314882185660136,-0.23599753377096824,-0.1353356590458273,2.490712289688859,-0.5936847280347283,0.6701076544387832,0.6968925970453377,0.6019457132161051,0.27721677132660866,0.0,0.35870646356719976,-0.017140755380657968,-0.005668492192513727,-0.24865134881276765,-0.12956639089326033,0.05839609084690001,0.4317506066904053,0.2603196046362806,0.1858496766539975,0.45546981105721496,0.5401821782644441
