Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_c,g_bike_stressLink_e,g_walk_vgvi,g_walk_speed
0,30320.955757936834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,30006.20222455738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.369544512769226E-7,0.0,-2.6852959770639033E-7,-1.3492549070682647E-7,-1.6839341049281073E-7,-5.573814705810648E-8,-1.0528399581694796E-7,-6.662312713257867E-8,-1.2840131786749358E-6,-3.0317752617899645E-7,-3.6962650351182837E-7,-2.0526475591604426E-7,-6.61019760469876E-7,-1.6498615578606595E-7,-3.975819464247947E-7,-1.4785322215205833E-7,-4.303795810220854E-7,-6.989713377087677E-8,-1.3232982465787283E-7,-8.875601538453111E-8,-2.615246043271106E-7,-5.638564521333322E-8,-1.263333677623809E-7,-4.8511098689934397E-8,1.8393960311325001E-6,1.7375411387535452E-7,6.544998193139889E-7,3.379572502063608E-7,1.0053447145313663E-6,2.7195782616528435E-7,0.0,2.1399964423189103E-7,2.668815864385848E-4,-0.0026777816699336595,-0.10000099089455823,-0.09997190435406444,1.5004779720195342E-9,7.390177504458908E-8,3.450821875810989E-8,2.528138002188016E-8,-1.8864541069733648E-6,-1.7170340804075408E-6
2,28882.225006934335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.609816864722088E-5,0.0,-1.4426558159820553E-5,-7.712768787977293E-6,-1.6331023874749024E-5,-4.896790031052848E-6,-1.0014763301000772E-5,-4.52887234622611E-6,-6.789596394034546E-6,-2.2120487092308874E-6,-2.370550551777048E-6,-8.377665874005113E-7,-3.420815311187602E-6,-5.370056669668479E-7,-2.3060009135789456E-6,-8.682498969283403E-7,-2.0823373942777005E-5,-4.0005130481864285E-6,-6.199078963513887E-6,-4.030776765393487E-6,-1.2220078971053587E-5,-2.8180741543939053E-6,-6.1109569000224374E-6,-2.2655971107693535E-6,6.550205890403601E-5,5.96828188881465E-6,2.3411737879765115E-5,1.2062192355389716E-5,3.5825090262202996E-5,9.673904346619053E-6,0.0,7.655059461795272E-6,-0.005589193940229742,-0.003632244684626893,-0.10007191545605275,-0.09899566894449033,9.532417211130322E-8,5.552797042952728E-6,2.2614141507525036E-6,1.323630606031567E-6,-6.740774800714628E-5,-6.137031045086023E-5
3,24536.40986293224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015433749455297627,0.0,-6.987392878269957E-4,-3.6631386448705383E-4,-6.74000538797705E-4,-2.0641732863105517E-4,-4.156436479549379E-4,-2.0397831551046157E-4,-2.7465652313978493E-4,-1.0050824595087084E-4,-1.0304611784799516E-4,-2.9293140828307168E-5,-1.363963407934521E-4,-1.5091664771061498E-5,-9.763162739845819E-5,-3.7372722026265945E-5,-0.001959876935019989,-4.033358229071844E-4,-5.630259513099488E-4,-3.5622282565725595E-4,-0.0010905108057469052,-2.63066059913461E-4,-5.858319173877244E-4,-2.184085373773315E-4,0.00357424232556359,3.2025558009823955E-4,0.0012806601935684311,6.581702503949778E-4,0.0019558472271861693,5.282623372205717E-4,0.0,4.182394876779672E-4,-0.006522675892246266,-0.003782052396008356,-0.12201153270190712,-0.0454211957647646,2.4326783881888955E-5,0.0018321253304671421,5.197374605699224E-4,3.0340320564929273E-4,-0.0036474263729424834,-0.003321043470845107
4,22891.435116407058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04251466733893548,0.0,-0.021149614903543588,-0.010877891304622961,-0.017480602570755458,-0.005605337090109988,-0.01116605257847454,-0.005960819433328001,-0.00895349759542141,-0.003378205232684672,-0.003423009812792576,-9.082313992584639E-4,-0.004414422034643452,-4.1827218046342396E-4,-0.0032449350896438527,-0.0012509622642452492,-0.04049286121309736,-0.006955835203154502,-0.012209459822232411,-0.008002873081091716,-0.023731420850925104,-0.005355441947227278,-0.011953458218704879,-0.004487915785862415,0.07593668954551207,0.0012663994486782134,0.03051825966129691,0.014552821390476235,0.04267598209631584,0.011773660265468501,0.0,0.009144662221299789,-0.01630663916236414,-0.005466000423724764,-0.297628741052873,-0.10086777896346011,5.732355420239144E-4,0.04246775950395429,0.012160932250461446,0.007905886479073568,0.016245786456166474,0.01854367759676285
5,21784.10068488766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28198715598650986,0.0,-0.13861895119374842,-0.07205796736876324,-0.11271623652096739,-0.03717518561557451,-0.07385316662497476,-0.03945158080179291,-0.0439466860968445,-0.019192136320458818,-0.018828363288715032,-0.0032968232263820177,-0.020804588282612363,7.939856835113249E-5,-0.018023497792368583,-0.00701945369419914,-0.26431056301423,-0.0421773326070615,-0.08115948070495975,-0.05242269818404166,-0.15487724724146315,-0.03509060432063543,-0.07698084279485354,-0.028634645336987632,0.4838611042622254,0.0028609677349430407,0.1962027622848895,0.09278974674878754,0.2703995353208459,0.07520894187138981,0.0,0.05824596424718897,-0.029486634170930587,-0.00778336664009454,-0.48190201821739875,-0.17850581939820445,0.00875970951426319,0.6339434181905924,0.16771201806857441,0.11310322057939147,0.07393703120835178,0.09542264594594854
6,17847.12721288261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1702147514028625,0.0,-0.5450461804369177,-0.2890217822566045,-0.4534116526388798,-0.1571153766434764,-0.30287190190504965,-0.1572191899988145,-0.11229364278438023,-0.059967302948090405,-0.05681286780792797,-0.0016488745821466822,-0.04770857289628688,0.010914734767367111,-0.05566534739030202,-0.021985039324937318,-0.7969158679398254,-0.11859127361922689,-0.2467215759432429,-0.16085154935000656,-0.47438752750499313,-0.10273575962619401,-0.23050493798388888,-0.08831342258799141,1.8357804120883772,-0.009606273860626003,0.7420299465963973,0.35293946716953606,1.0001993278526407,0.28237394320201664,0.0,0.22285223780175187,-0.01875301495864557,-0.006203534261309556,-0.2991975563031461,-0.16738224378234548,0.006855398912742701,0.502197591000227,0.14849140980605507,0.11185308226319877,0.22501760004840077,0.29319239007899434
7,17136.49990698054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8833521753117276,0.0,-0.5544348328116393,-0.281835714429786,-0.1128158259126325,-0.11887389377804512,-0.16032223281714103,-0.1309975566122579,-0.19076312781785387,-0.1188516079521818,-0.09412620193327131,5.457231847276391E-4,-0.0737914987696822,0.023148255111086133,-0.09957290810127481,-0.03876548782249274,-1.0224301200702757,-0.19065715867403787,-0.2746712145065861,-0.19843628124705673,-0.5572886067657341,-0.12071880432256962,-0.292301356011828,-0.11304528776009636,2.233775696093224,-0.14538005944080004,0.886772533714034,0.4359751535320676,1.033551393007034,0.32678627484014067,0.0,0.2820860823209622,-0.017513617032725946,-0.005828772844200799,-0.25399720598111397,-0.15819360624049497,0.009960813225603556,0.4247409869908291,0.25195699063340177,0.0876888373945739,0.2580626224054937,0.3770027674279248
8,16649.49735389441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1862625106992364,0.0,-0.8395191925960974,-0.5027488273657816,0.5414590935381467,-0.13820491280877495,-0.08015496839011334,-0.1542247602843155,-0.3801942892092792,-0.3537387234327578,-0.23597981420253106,0.044676677931712955,-0.0861263338215083,0.11775935394610958,-0.26379895604703796,-0.10767016089520512,-0.9669189304943802,-0.1181728565354655,-0.1128585425252756,-0.1883716398689448,-0.21098139944155114,-0.02273126830505054,-0.19876664259923893,-0.13807847709224655,2.778538529339324,-0.78428280897044,0.8906440894528047,0.5077101123871889,0.37961159963338054,0.32039408383745016,0.0,0.37841843142539483,-0.01657236279110776,-0.005525774107076754,-0.25060532702888316,-0.13578498721376203,0.057628168255649065,0.49938071157609576,0.10014136318740052,0.07661873030275686,0.35544604077791314,0.5512877445203208
9,16582.097688686783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.487934546468778,0.0,-1.0337503073651422,-0.6734257188063943,0.6977981817117971,-0.10696841990258762,0.021026569896231945,-0.12806326778292929,-0.5512949640429856,-0.6851474010420651,-0.4226456464895705,0.12969865674273529,-0.04033554151288127,0.2762172230433951,-0.46825490377427337,-0.20319273760471235,-1.1592166892050735,-0.4231594300974035,0.1001943731296211,-0.12611064699985505,-0.07944468994911941,0.03920660412624043,-0.1762548328045115,-0.14033408365240618,3.0112841156432206,-1.3465117282224133,0.4958910596151695,0.2486464171202672,0.15581108988364786,0.24929609192255697,0.0,0.3507504033045964,-0.01687196846662792,-0.005511692382198165,-0.25792441361896534,-0.16012517111117472,0.12199438359800208,0.3980738309626724,0.5974902074218365,-0.07465277613463668,0.24356254493678847,0.34747637625491534
