Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_speed
0,30320.955757936834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,30121.942095049762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.486439895974596E-7,0.0,-2.3396591922089056E-7,-2.633002582326548E-7,-1.7289832220415548E-7,-5.72292709133445E-8,-1.0810058528078086E-7,-6.840544928394798E-8,-1.3183634895879666E-6,-3.112882235293455E-7,-3.1393143359636616E-7,-3.9059718382886617E-7,-6.78703562060783E-7,-1.69399915583645E-7,-4.0821817952576134E-7,-1.5180863650042025E-7,-4.418932264147168E-7,-7.17670431431755E-8,-1.0393836396659232E-7,-1.6142750544785198E-7,-2.6852099004903465E-7,-5.7894091136067936E-8,-1.2971307642378763E-7,-4.980888235010806E-8,1.8886041129582648E-6,1.7840243675331434E-7,5.171931739622174E-7,6.794045683415223E-7,1.0322400019727015E-6,2.7923332460966174E-7,5.20201631067491E-7,2.1972462777312653E-7,2.74021283774549E-4,-0.002749418499249041,-0.1000010174032707,-0.09997115273080293,1.540619214892302E-9,6.891518753758276E-8,7.587881779770647E-8,9.601014159378862E-8,-1.9369211007503064E-6,-1.7629686981278474E-6
2,29329.155068790285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.888125554623638E-5,0.0,-1.3152823278244804E-5,-1.5423728532276493E-5,-1.7595667837269434E-5,-5.2753435834604526E-6,-1.0787911090819363E-5,-4.875607191817043E-6,-7.133217107101771E-6,-2.3460833710509467E-6,-1.9462430735652255E-6,-2.063567655561822E-6,-3.5884189116050423E-6,-5.526036680285014E-7,-2.431828380264481E-6,-9.172103308384092E-7,-2.2407359513029028E-5,-4.3068810573056345E-6,-5.16408006751415E-6,-7.736416393493362E-6,-1.3148596816541025E-5,-3.033136534725348E-6,-6.575321228443001E-6,-2.437217827851695E-6,7.040083242962225E-5,6.412184156064982E-6,1.9353385463977454E-5,2.541699119580985E-5,3.850455169945876E-5,1.0397192695843264E-5,1.9380188970279787E-5,8.228058843176586E-6,-0.006023258848546411,-0.003775403833192437,-0.10007727848545486,-0.09892045650450049,1.0244966791950709E-7,5.229508207393664E-6,5.972079587829775E-6,5.236474264071929E-6,-7.245519582569723E-5,-6.596590152424482E-5
3,25044.07381712389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015834048017286338,0.0,-5.988398157201776E-4,-6.943317635792339E-4,-6.948005915833603E-4,-2.1240941284499744E-4,-4.2758111948857156E-4,-2.0733836112626818E-4,-2.714521885984512E-4,-9.990950236016873E-5,-7.800543069492022E-5,-7.744484828734385E-5,-1.346943514379838E-4,-1.4732258517725023E-5,-9.666577642011618E-5,-3.70021615537192E-5,-0.0018923693711704805,-3.862147708456343E-4,-4.3618136583135425E-4,-6.139847416584741E-4,-0.0010550799556303897,-2.538220825422276E-4,-5.657750201695225E-4,-2.1165004096675654E-4,0.003572134767097216,3.206957187600366E-4,9.834528688921812E-4,0.0012911906307747777,0.0019545736443255875,5.278942289116625E-4,9.8274436952385E-4,4.1794163328272413E-4,-0.00703057172815821,-0.003937290445844535,-0.12224795547903808,-0.04542371548421788,2.447634340906314E-5,0.0015038615262533068,0.001861427765218984,0.0010466297036630834,-0.0036495189702777427,-0.0033228854911381885
4,22949.73730131886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0480858881827198,0.0,-0.02009668107281087,-0.02286212442079123,-0.019948293179587948,-0.006373853214890426,-0.012659981970991059,-0.0066668624062224575,-0.009770980457215287,-0.0037065139598827616,-0.0028498382339254714,-0.002770763454936526,-0.004814489127967038,-4.510423911010314E-4,-0.0035477307862641174,-0.001366907548360725,-0.04463536921822265,-0.007693687807350969,-0.010512215992615658,-0.015605238041525115,-0.026112548199927872,-0.005904323030292572,-0.013172902225433835,-0.00496169633327063,0.08578600050948589,0.0019240031496610228,0.025420543042501922,0.033648344440401635,0.04814691304733348,0.013290074296316989,0.022349317373680774,0.010290839552820907,-0.018346607264256222,-0.005882929412796367,-0.31816931780253904,-0.1099808418698049,6.773668593581695E-4,0.04253857285940099,0.051610505945463896,0.03125389719781182,0.008441753424078761,0.012112018666694448
5,21833.75127348543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11081031184751702,0.0,-0.046431656853406486,-0.052515978849787134,-0.04569598205442013,-0.014677899529526483,-0.029048808872345375,-0.01542299472644738,-0.018619675024860952,-0.007680700506674567,-0.0056581882037776785,-0.00536384580942912,-0.008972325894722945,-3.362191785256649E-4,-0.007271300279838315,-0.0028171239148441314,-0.10360599990157929,-0.01760380775961928,-0.024538207619683082,-0.03632143550007815,-0.059568209779307206,-0.01377673600957554,-0.030313446416693108,-0.011339511222907293,0.19417092985325443,0.003319550888953983,0.057771100589577185,0.07636421943224979,0.10845385845373688,0.03014882936394217,0.050276380425161804,0.023337722428138294,-0.02453047555624566,-0.006956771793983562,-0.4058770341072624,-0.14490113677503072,0.0024819117223650626,0.16310585349401452,0.19365652886492424,0.1083864164878098,0.014701770253421769,0.024505816307964348
6,17735.162746807237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9966009809950397,0.0,-0.39587595330361147,-0.4467639237342577,-0.4119769958668892,-0.13348759690597992,-0.25985637505269327,-0.13369283862952472,-0.07902032605507336,-0.0446890834025104,-0.030188498071908237,-0.0212392843179977,-0.03320498958914193,0.009972538490902346,-0.041783596945036076,-0.01639756441923612,-0.6840724570907091,-0.1123279129386521,-0.16061291114944756,-0.24793603569532605,-0.3840076908487054,-0.09141779747915135,-0.19641110156075867,-0.07583416504776452,1.5524588055373694,0.014272502088881594,0.46383383783801996,0.610857559389266,0.8485010049383858,0.24023334392092038,0.39684596841148273,0.18863190602954633,-0.016821062972677617,-0.005914257787257468,-0.26775242588215514,-0.1610552347355992,0.003477248156409014,0.1979919973694182,0.13794631331331908,0.15450580762990385,0.09764884800153392,0.17257847673341276
7,17045.96676465294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7001921044563673,0.0,-0.4462926685795106,-0.4326238737841951,-0.07075667897226368,-0.08998938096850734,-0.10054073241412564,-0.11501346195084183,-0.1391630799146759,-0.09907261349359904,-0.05373633104082493,-0.032913337576546,-0.0497063921008385,0.02741392845553939,-0.08084908590421115,-0.03348063644009218,-0.9662649130056622,-0.23458552541234845,-0.1906356745683068,-0.3093511551119139,-0.42145905165579933,-0.1233821895210225,-0.2572003068424356,-0.10796606153747751,1.9409141504805467,-0.11722129732407177,0.598445705276389,0.7385188919152532,0.8497805238554706,0.294014680977736,0.4129217111548208,0.26614265043682045,-0.016368391112834946,-0.005686803240618438,-0.23673391131851035,-0.1663507339159811,0.005531764229256303,0.28907164711002875,0.12670632193312095,-0.06640303879616041,0.08932641877926124,0.1522334031326831
8,16879.75818870604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6961855124930189,0.0,-0.5591720519333666,-0.4926877450107809,0.1537586539035127,-0.07916419087418844,-0.039063184746198326,-0.12783257611404206,-0.1732683310488242,-0.15239243805698904,-0.0737993901442647,-0.036710883830488185,-0.04613839450218189,0.053465161505549016,-0.11710837486558096,-0.04995231877188497,-1.030378052367514,-0.3079345457491676,-0.16739705653550482,-0.2965610508275901,-0.4248489165437025,-0.12008542837239743,-0.24026679377370166,-0.1185371800281298,2.084820512809883,-0.26034174431018436,0.6415865535596643,0.7395762463485414,0.7084932157879044,0.30642263168334455,0.3512354134542549,0.3145600047149962,-0.01610625957467972,-0.005596630319703946,-0.2271016326247189,-0.15360096237504905,0.006449469299387435,0.29085851169239857,0.041758429476097356,0.09564921902269627,0.19425286697223476,0.2079074202984033
9,16535.94568121793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0299910756102717,0.0,-1.05618997375,-0.8072801243808216,0.7230669033616856,-0.07621019891637547,0.07699116567339455,-0.20685843731922945,-0.27209901834902794,-0.3619132451078764,-0.14787481812638786,-0.04115257086176273,-0.010266247076830687,0.1676793963762635,-0.2561743656383024,-0.1141455635071064,-1.0580730363156052,-0.5397025269789805,-0.0271399879714391,-0.17878127243759362,-0.16678221302580448,-0.06777507399317692,-0.10589795045460265,-0.13712671598512752,2.4954680851957782,-0.8209852755070759,0.7271193911881708,0.6486434263412917,0.10218859113079737,0.32273456574705267,0.07907843007030674,0.4741674811904128,-0.015731024980032243,-0.005494948712464359,-0.22877200778084691,-0.11845089644332839,0.01323246095353866,0.5076706663855151,-0.024379141210126867,-0.049542840648254594,0.5328769074742932,0.3467031452792471
