Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_shopping_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_shopping_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_shopping_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_shopping_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_shopping_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_f,g_bike_grad_e,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,g_bike_stressLink_e,g_walk_grad,g_walk_vgvi,g_walk_speed,g_walk_speed_c,g_walk_speed_e
0,25778.038176090424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,23393.23201261244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4272150503602582E-7,0.0,-1.2575437739727179E-7,-7.443799641970319E-8,5.54498652680767E-9,-1.519329597888987E-7,-1.8295589689206425E-8,-3.7930571762335876E-8,-1.5720419145821866E-8,-7.085526249899058E-7,-1.1452360560350385E-7,-2.2659802823957985E-7,-1.4898129654734853E-7,-3.8299619090886177E-7,-4.5764758008816536E-7,-7.57222676826561E-8,-2.3223775725659737E-7,-8.237781344450801E-8,-2.4220728968816637E-7,-2.9435878382095163E-8,-7.601502834079768E-8,-6.276149991886115E-8,-1.365004960197651E-7,-1.858164240012819E-7,-3.4150398561326497E-8,-7.396362853076845E-8,-2.3411607704607754E-8,2.665182896476453E-7,1.9840826845050542E-8,8.545293565668455E-8,7.097560213813453E-8,1.4410076048076143E-7,1.8936679615905103E-7,5.988867399230708E-8,6.253509222346655E-8,1.7099569997596964E-8,3.089509540397514E-4,-0.0017399932382496958,-0.10000162494777301,-0.09999656676189463,1.8551341383120782E-9,1.0661702442173943E-9,4.6406439988900214E-10,1.1290165185475486E-7,1.316516984083434E-7,7.759490196772679E-8,3.207804870729975E-8,-3.174178288920083E-9,-2.3918900726026666E-7,-2.1866655830790322E-7,-1.3445225684060372E-8,-4.759611259776473E-8
2,23369.39425217284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6316149617347597E-4,0.0,-7.482981730149686E-5,-4.655993583053291E-5,-5.968750782025852E-5,-1.2119046234072163E-4,-2.251262499772615E-5,-4.7997248338976195E-5,-1.7348354027605236E-5,-2.4290407286355388E-5,-5.9685877400412335E-6,-9.877382261947582E-6,-5.016025969637165E-6,-1.1327021328384534E-5,-1.6822656857654947E-5,4.4855043286271475E-6,-1.2379393230457168E-5,-4.157516338490026E-6,-1.0559956153182804E-4,-1.4416925310063887E-5,-3.2624333440454065E-5,-2.6637991550866312E-5,-5.908588994048695E-5,-8.074645993016683E-5,-1.4883795002483583E-5,-3.215679159087655E-5,-1.0107042789287201E-5,8.830667574068379E-5,6.176390402036571E-6,2.8433924151899623E-5,2.3588305061133888E-5,4.775247602605095E-5,6.24554831545842E-5,2.0179564942254298E-5,2.0462953690316136E-5,5.595699028573285E-6,0.0012495885745771977,-0.0015746114988941457,-0.10074353154981525,-0.0988723414622099,8.403748068919616E-7,4.782512178093494E-7,2.0240991697786572E-7,5.167530868157959E-5,6.033577893140806E-5,3.492846261880858E-5,1.4104949753804684E-5,-1.0345884424446995E-6,-7.852065072304586E-5,-7.182915123773975E-5,-3.901455599364181E-6,-1.5534389720838406E-5
3,22691.523649580657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0034614053836819524,0.0,-0.0015782583015994897,-9.832316543975032E-4,-0.0012751233348413935,-0.0025686282206205478,-4.77587729953498E-4,-0.0010188096864047432,-3.677100791465309E-4,-5.040731399584818E-4,-1.2410750099154101E-4,-2.052618621310578E-4,-1.0463293968470929E-4,-2.3460565688543622E-4,-3.510359418351123E-4,9.416444138136528E-5,-2.5742257692026556E-4,-8.617135991749788E-5,-0.002131120304334478,-2.9035287674038967E-4,-6.580797025748551E-4,-5.394803533331696E-4,-0.0011933681904989825,-0.001631555099858392,-3.0084949273189755E-4,-6.48813408183036E-4,-2.0326066768770604E-4,0.0018540151907314093,1.29931743311538E-4,5.969519345947098E-4,4.95181211909361E-4,0.0010025695843102114,0.0013119001367258958,4.230535470449312E-4,4.300735001289548E-4,1.1767779774221097E-4,7.635299031130067E-4,-0.0016624816753005305,-0.11463223383559801,-0.07627945451822342,1.6612507291451457E-5,9.466461477953846E-6,4.022611343352669E-6,0.0010192302430439934,0.0011884876203490048,6.902433634866019E-4,2.797285547212166E-4,-2.1708283645749476E-5,-0.0016463371043239148,-0.0015059711725952801,-8.23540312418272E-5,-3.25981060009078E-4
4,21138.900053415102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07584491144341539,0.0,-0.035320847836631926,-0.02164678077965442,-0.026608420024615203,-0.05576817740296503,-0.010385308094744064,-0.022260585818547122,-0.008158387292554489,-0.010572205445513821,-0.0027790061489624024,-0.004468715273036812,-0.0020768583098012515,-0.004832068831372677,-0.0071504803941307106,0.0024877719359103004,-0.0057537324290723255,-0.0019646560510278087,-0.03263013546346045,-0.004137474932405485,-0.01010633477884881,-0.008610413723703131,-0.018465360753808908,-0.025163129923551,-0.004662960551432846,-0.009963289792521873,-0.0030223984007329797,0.016762822724955332,-3.522040147023826E-4,0.005662680075374429,0.004838056110096063,0.008956132041438504,0.00956796175191957,0.006122309895694607,0.0021603894835395022,3.039718874787808E-4,-0.006706211081572999,-0.0030482894533319853,-0.2653971602949611,-0.12061731665242142,3.927168241113873E-4,2.266333652381114E-4,1.0019843500897402E-4,0.02402648118351599,0.027503541583340358,0.016512174495108552,0.006901558362798707,4.940118744519918E-4,0.03295687412447061,0.030549587490066386,0.004121077948389352,0.007342710133806364
5,19600.505567040153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24823923393165814,0.0,-0.11796473152227782,-0.07339189936323093,-0.06775843771940644,-0.18035972939836797,-0.03364997194767744,-0.06897326308441357,-0.02556892076099218,-0.03142923077013039,-0.011412812583787114,-0.014347285391962526,-0.004090818362213596,-0.014562922089067584,-0.019702398387283767,0.01261695658628399,-0.021206847580463768,-0.007748180440904945,-0.10498129182000218,-0.013680529676254667,-0.03226363541013864,-0.028016786964297477,-0.057728413930607486,-0.08089132966829175,-0.015615254827460418,-0.03175408901259934,-0.008878482142011184,0.05684709555927593,-0.0034568979503104918,0.019179706386728695,0.017062598267001107,0.029674709978937452,0.029082025398422362,0.023565240767795263,0.004999870875670935,2.59540256198019E-4,-0.012907175209433248,-0.0042313790576673956,-0.3558752336298198,-0.1542209200835312,0.003800739589847648,0.0021527832893827735,9.719082854002191E-4,0.2462368681063038,0.2679966434503447,0.15559917419638974,0.06632039203715741,0.0011199372326145282,0.06320978375589058,0.06399329166716994,0.01618408758964985,0.01703435583088954
6,18804.872837144423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7674240137553207,0.0,-0.35391665968356995,-0.2208181024777693,-0.22661792527636304,-0.557303133425521,-0.10417218706129061,-0.21548191423315802,-0.07858901094924053,-0.08840676959745766,-0.03144379323134583,-0.040749888457458625,-0.013252530230060452,-0.04051611767545638,-0.05509844754765898,0.035551436200009785,-0.05885701162949752,-0.021419559861994918,-0.2234248644048928,-0.028636733781335726,-0.06831632201400961,-0.061864530240878714,-0.1222039776742132,-0.17364863330218094,-0.03365861998047266,-0.06778965880375107,-0.018277095883047725,0.1776240467998288,-0.008518367987151899,0.0597134882540934,0.052606471356522494,0.09269109008746892,0.09482491894117326,0.06964129662900485,0.018615900804713554,0.0020572531705893467,-0.0071148716722967045,-0.003331887639427508,-0.23394843912321817,-0.11103846600083424,0.006722025447136796,0.0037914456843890863,0.00175739896251634,0.42724610596700247,0.45649787571106804,0.26772169530626666,0.11582898562799993,0.0036955466869327902,0.22107717475190058,0.2157020878784656,0.047387102965967404,0.05538444224194956
7,18546.36001060069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7727445475022875,0.0,-0.3782998343458667,-0.23299643268331804,-0.14606468300785286,-0.5569739794359942,-0.10440303539975139,-0.20382082748554017,-0.07460140874329788,-0.12559872655967808,-0.04710659254585697,-0.056108254357137524,-0.018946859250683568,-0.05788568846113938,-0.07930512301589636,0.04823552738049688,-0.08207662010994918,-0.02968534646071464,-0.2651764484897894,-0.03801942594348125,-0.07939069905825852,-0.07273061108606241,-0.14086338378949684,-0.20454370552909765,-0.039850863816524154,-0.08076039052049486,-0.02144556858531645,0.2229421577209289,-0.017077842741673326,0.07501339932947457,0.06751467993846234,0.11274510267695258,0.11165289765168787,0.09169493488587961,0.018958644688549593,0.0015959356880934298,-0.006608019699676262,-0.003204775329440423,-0.21460041190677426,-0.08885242212612612,0.007220152754152859,0.004020521770593642,0.001888466142078569,0.45152177995161097,0.473479222812902,0.2758123614446893,0.12012030127757878,0.005239468532240745,0.31428761745605904,0.3058792939085213,0.07028758029582681,0.07698959984466541
8,18276.59129492951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9628937501001575,0.0,-0.7371931733885784,-0.43856763549344324,0.9223881676093064,-0.6245653462214499,-0.11810873709329699,-0.06462752619514958,-0.019370130291143102,-0.6328348692021833,-0.2649520160699296,-0.2709662440961098,-0.0961706683743907,-0.2771257228100006,-0.3941659367377422,0.24591877693094036,-0.4087784857060147,-0.14983600674630612,-0.8460399062876289,-0.17387986477913103,-0.2287384204646786,-0.22286922769474152,-0.3776245388287847,-0.6266167155575384,-0.12165525979321243,-0.2590549189671574,-0.06762277435125874,1.0147224355156865,-0.13740809881265167,0.3154827887105677,0.3263362345269125,0.442764976060869,0.42326818323467175,0.4214071963896268,0.05579213920596089,0.00867971461072977,-0.0045954506345677075,-0.002417690601827585,-0.07446317339940431,-0.1572105582138466,0.010135443467828442,0.004636516893787553,0.002756250165880784,0.5369467028465087,0.3914744639551671,0.1821792417515215,0.10281489424521568,0.008870194993182163,0.2798165346250616,0.24279802803668354,0.29686523441131857,0.07551490841811881
9,18060.207600842223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1750155813440615,0.0,-0.923323804071182,-0.570306707995119,1.4236165686955005,-0.6691395371524469,-0.12067191371511668,-5.123727180758181E-4,0.02298003193865436,-0.8590285539077014,-0.4115694434690014,-0.38502363952642166,-0.11139908456744169,-0.3419028556444384,-0.49248490871639083,0.42668541916930725,-0.6093414954928936,-0.23245339690021366,-0.6919435405315437,-0.24010249040267234,-0.1369330226402548,-0.17042166608467726,-0.14225678200284123,-0.43384926289145953,-0.09407070689000344,-0.19941393005377886,-0.04833385623001679,1.2513752381676988,-0.2305483229699374,0.348437911325168,0.39675559860512,0.48525258758315615,0.33897715592779903,0.5910028652385729,-0.011447528635663048,-0.009757105217663209,-0.004382331724639109,-0.0022194732316547804,-0.11240279964521374,-0.1677765103875043,0.014133170992919435,0.005105737694653898,0.0037576871287817682,0.7330061518324678,0.33130911078412006,0.06759041770922353,0.09173359229674304,0.011748180092435017,0.24378058799898994,0.23591969326808768,0.44832412942859884,0.13180576564255
