Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_shopping_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_shopping_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_shopping_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_shopping_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_shopping_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_walk_speed
0,25778.038176090424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0
1,23022.231818197622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1972210507188615E-7,0.0,-1.054892097739963E-7,-6.244240226061835E-8,4.651418575056994E-9,-1.2744914490032684E-7,-1.5347277276612172E-8,-3.18181054552418E-8,-1.3187092388600448E-8,-5.943702162935402E-7,-9.606826343243086E-8,-1.9008202680551429E-7,-1.249731386624968E-7,-3.2127681247860057E-7,-3.8389821951064434E-7,-6.351971474443248E-8,-1.9481292023171453E-7,-6.910272726108193E-8,-2.031758744269397E-7,-2.4692321760864964E-8,-6.376529737240499E-8,-5.264755921581963E-8,-1.1450360422360883E-7,-1.5587232935042405E-7,-2.8647102647732627E-8,-6.204447819004861E-8,-1.9638855103197817E-8,2.235691857980373E-7,1.66435013115693E-8,7.168229720397286E-8,5.9537968679472827E-8,1.2087909515010825E-7,1.5885056327816634E-7,5.023768575389582E-8,5.2457636849948596E-8,1.4343994728892616E-8,2.5916387703640034E-4,-0.0014595954074441578,-0.10000136308938144,-0.0999971200241121,1.556181489071173E-9,1.1043618455226772E-7,-1.8342870377409725E-7
2,22984.216182007716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.418911101082019E-4,0.0,-2.4967736443188367E-4,-1.5487381344101488E-4,-1.9693579290384807E-4,-4.010913051389911E-4,-7.47639993820853E-5,-1.5936507957743073E-4,-5.7759179045179724E-5,-9.757465913639465E-5,-2.1941869534722175E-5,-3.8159547466618485E-5,-2.116837439226203E-5,-4.68338038815235E-5,-7.130571786743356E-5,1.2816296182514689E-5,-4.6335835278717886E-5,-1.533165306733055E-5,-3.5305568783738483E-4,-4.802494064067708E-5,-1.0916492546711099E-4,-8.905824781390014E-5,-1.975845951678393E-4,-2.6977002688490165E-4,-4.97135957801203E-5,-1.0755467442005394E-4,-3.385284123793167E-5,2.981045936172158E-4,2.0956052643758436E-5,9.595048649321E-5,7.961705909451123E-5,1.6119555001393277E-4,2.109035213499891E-4,6.805337957604069E-5,6.913052152263042E-5,1.8898667361940013E-5,0.0019623017658920716,-0.0011590948210874813,-0.10250268044242128,-0.096195377854915,2.8281252562882316E-6,2.031035914817991E-4,-2.4234056233591596E-4
3,22112.116223289788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004806303039624799,0.0,-0.002208547281857493,-0.0013707465179155181,-0.0017524404744677737,-0.003556139930395859,-6.631081874927628E-4,-0.0014138611657865585,-5.120855571705071E-4,-8.640275461864322E-4,-1.938790068509188E-4,-3.3749792828536093E-4,-1.8795868178865825E-4,-4.148778531851275E-4,-6.327910116747175E-4,1.1221809674533681E-4,-4.0937557040212133E-4,-1.3524180810688444E-4,-0.0030540767501910115,-4.149740768685146E-4,-9.441213083105368E-4,-7.717085452356386E-4,-0.0017099074889509929,-0.0023348491852811823,-4.303604196713904E-4,-9.303187456419353E-4,-2.923759771213709E-4,0.0026308328715721127,1.8507069698332326E-4,8.467725231706097E-4,7.026042654314075E-4,0.0014225758266859902,0.0018616071622182685,6.002437778149465E-4,6.103375327260672E-4,1.6688928125839684E-4,0.0012657909918037382,-0.0012854269363236567,-0.12140300378058866,-0.06640051427153419,2.4252398172029037E-5,0.001738820886213807,-0.002133047496138318
4,20758.743222634777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06831924660350362,0.0,-0.03197499910751734,-0.019563447555932464,-0.023834874037145827,-0.050123286123174876,-0.009362887353663672,-0.020043486148744086,-0.007355116341974503,-0.01189051129211818,-0.002798258236799185,-0.004772562921210301,-0.002494739048165352,-0.0056427175865276956,-0.008548389959351062,0.0019338568307861491,-0.005903769820796715,-0.001983873703071732,-0.030195358695711275,-0.003854506756090616,-0.009349271191145734,-0.00793863262473367,-0.01710451120723936,-0.023218407986977392,-0.004304675998723291,-0.009224617726729022,-0.0028122549050096203,0.01642871489513858,-1.8827429423943807E-4,0.005509529179555059,0.0047313377310496535,0.008780524261764584,0.009655349418900313,0.005759190202409701,0.002288882035968234,3.5866082652120864E-4,-0.005319145918132908,-0.0025115486504163256,-0.2617441582826002,-0.11265595345536356,3.2853498017887373E-4,0.02287328375084056,0.021672377568369573
5,18699.219761779474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7374156729287594,0.0,-0.3493285554660634,-0.21870358771214043,-0.18467897855718943,-0.5339568332327023,-0.09962762879773063,-0.20121569478796847,-0.07443419850870771,-0.098669188568813,-0.03817862098424993,-0.04396957730997836,-0.010961494641562559,-0.04702734406767346,-0.0633791536351823,0.039030100042506705,-0.06700709008051142,-0.025064022659911478,-0.2730125146352749,-0.035687627288828794,-0.082687815450853,-0.07541969252539701,-0.15461950934949026,-0.209782537736954,-0.04148018517338873,-0.08225313638874987,-0.02159422678471963,0.19042729607534256,-0.00973482052151508,0.06396630944886529,0.05628014189949664,0.09942977969063334,0.10107598988038845,0.07506038036725174,0.019393348205154443,0.0022746226109726336,-0.005702137503802813,-0.002768792758001928,-0.2200365067945975,-0.1514922162247792,0.011792158990127982,0.8394949396181497,0.02846529834183227
6,18137.706023497492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7382473163166826,0.0,-0.3704272005451929,-0.23008154700429312,-0.10813477994110793,-0.5301078105574981,-0.09905538964886416,-0.18882820442751802,-0.07068950496229001,-0.1299795104206586,-0.05366313941000295,-0.05666667554946087,-0.01352073015773664,-0.06203663698349304,-0.0838604519911354,0.05112492052923178,-0.08833295459591554,-0.03304420546874474,-0.33916256389486044,-0.04792970534048595,-0.10105822636414336,-0.09279835964197888,-0.19089979862504508,-0.2588137941867725,-0.05144062178422408,-0.10209596832772211,-0.026599559272868903,0.23458952774621933,-0.01609728994684807,0.07892615515204321,0.06976082733296182,0.12049261816926708,0.11930546790634629,0.09551120367603866,0.020779563097914615,0.002197516903550217,-0.009387957236061688,-0.0034156646485062237,-0.2665207213199628,-0.17845729453927198,0.015363736352727758,1.083918859456963,0.001293542635961785
7,17346.656996229485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8607068974741667,0.0,-0.6473576780251904,-0.36414375996040393,0.6365616210741962,-0.555076843143325,-0.10857496335214162,-0.09762397216115293,-0.03683163967418285,-0.6557566074648653,-0.2547733613033799,-0.24710328271427895,-0.10354571782951359,-0.3073396693435404,-0.457003528374129,0.16311781818076182,-0.3683490399271383,-0.12936402516147463,-0.721152554373683,-0.136173595076706,-0.1940375904422738,-0.1973201671099631,-0.3985933568951702,-0.5296176675456788,-0.10208394506733423,-0.22050064997127916,-0.061275141216652236,0.8085611561080002,-0.09161414390382751,0.27070548152739493,0.2389396884665185,0.3901827793081304,0.37067463584830296,0.3352622656061176,0.05527088183201663,0.008819564709525383,-0.006549025366036183,-0.002473274217020265,-0.14363493567620478,-0.20151426283348198,0.01846943639645242,1.0613431421909991,0.12531950624963636
8,17094.698197684145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0125068728596318,0.0,-0.7493389211606452,-0.44732444642006414,0.8584121662645233,-0.5477725098927182,-0.10057263094438529,-0.06573544840944537,-8.974303133281458E-4,-0.816837494769977,-0.38560173691247,-0.31908564537847167,-0.1022469304897442,-0.31220799849929953,-0.4998012360181091,0.31270971297537997,-0.513447120358652,-0.19445319006838235,-0.6959196751005241,-0.1914708023879525,-0.1515120648064058,-0.1819039441320648,-0.30064119554630353,-0.4475828966369396,-0.08383112106740578,-0.2050963427520864,-0.06592131358121574,0.8580284933765495,-0.1754843843531498,0.2487225177347868,0.23380506506435988,0.34821126816061365,0.18543978624298726,0.43206261279433844,-0.03058552734928989,-0.009808613958317084,-0.006832018459362321,-0.002441016719887811,-0.16637770343901584,-0.21901495715125258,0.022890254576802337,1.0491405862664558,-0.07836065565140646
9,16906.062649392687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1227066463946513,0.0,-0.8188364691683093,-0.5037909639069479,1.0057252198014175,-0.5413464060689672,-0.09278141137635149,-0.04421129774711674,0.02612500734219188,-0.9306312031212224,-0.48216301446211424,-0.37062267415653927,-0.10028738880170862,-0.3107002230270975,-0.5250375455380225,0.4250005075928338,-0.6185171701171671,-0.242348154917335,-0.6921766398828647,-0.23359351579357446,-0.12574778192635455,-0.17456218656729033,-0.2369017730376046,-0.4006156043912909,-0.07188013985941129,-0.19872668769282328,-0.07079065423916044,0.9077947757683673,-0.2370264994829171,0.236166301219183,0.23208394892408987,0.3264975973785884,0.0593229688131581,0.5037807707195784,-0.08824651372220478,-0.0228413016614042,-0.007161844080713927,-0.0024452957463013503,-0.1829821198186624,-0.2393867687579885,0.025961694076286984,1.0275137739180398,-0.27870143513284784
