Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_shopping_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_shopping_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_shopping_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_shopping_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_shopping_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_walk_speed
0,25778.038176090424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0
1,23022.231818136344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1972210507273229E-7,0.0,-1.0548920977474186E-7,-6.244240226105967E-8,4.651418575089868E-9,-1.274491449012276E-7,-1.534727727672064E-8,-3.181810545546668E-8,-1.3187092388693648E-8,-5.943702162977409E-7,-9.606826343310983E-8,-1.900820268068577E-7,-1.2497313866338005E-7,-3.212768124808712E-7,-3.8389821951335754E-7,-6.351971474488142E-8,-1.9481292023309138E-7,-6.910272726157032E-8,-2.0317587442837565E-7,-2.469232176103948E-8,-6.376529737285565E-8,-5.264755921619172E-8,-1.145036042244181E-7,-1.558723293515257E-7,-2.8647102647935095E-8,-6.204447819048712E-8,-1.9638855103336615E-8,2.2356918579961738E-7,1.664350131168693E-8,7.168229720447948E-8,5.953796867989362E-8,1.2087909515096256E-7,1.5885056327928902E-7,5.0237685754250876E-8,5.2457636850319344E-8,1.4343994728993993E-8,2.59163877038232E-4,-0.0014595954074544735,-0.10000136308938144,-0.09999712002411208,1.5561814890821715E-9,1.1043618455304824E-7,-1.8342870377539363E-7
2,22984.21605984514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.418918759178873E-4,0.0,-2.496777172087155E-4,-1.5487403227109874E-4,-1.9693607128552085E-4,-4.0109187191327206E-4,-7.476410504151099E-5,-1.593653047996388E-4,-5.7759260670765925E-5,-9.757479622463773E-5,-2.1941900414954964E-5,-3.81596011386892E-5,-2.11684041384913E-5,-4.6833869630505347E-5,-7.130581811979504E-5,1.2816314387826162E-5,-4.6335900501499576E-5,-1.533167464175747E-5,-3.5305618659204604E-4,-4.8025008488807586E-5,-1.091650796803432E-4,-8.905837362318693E-5,-1.975848742905577E-4,-2.697704079829409E-4,-4.97136660093546E-5,-1.0755482636016093E-4,-3.3852889060919056E-5,2.9810501467857385E-4,2.0956082242027432E-5,9.595062202002368E-5,7.961717155081731E-5,1.6119577769647855E-4,2.1090381924213192E-4,6.805347570001324E-5,6.913061916596981E-5,1.8898694055358217E-5,0.0019623041732925958,-0.0011590944091059415,-0.10250268397807989,-0.09619537248106953,2.8281484158844447E-6,2.032076385744811E-4,-2.4234090463031251E-4
3,22086.62133864587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004959478152867576,0.0,-0.0022789087111774894,-0.0014144199338219537,-0.0018083132680636054,-0.00366946738175152,-6.842411568257102E-4,-0.0014589219124240941,-5.284046872866302E-4,-8.915580725937022E-4,-2.0005488544678072E-4,-3.482499826959952E-4,-1.9394968919230553E-4,-4.2809777400117143E-4,-6.529592255987249E-4,1.1578854957473537E-4,-4.2241573930290843E-4,-1.3954890863626706E-4,-0.0031510957916840434,-4.2815466722927176E-4,-9.7411243589458E-4,-7.962289317181393E-4,-0.0017642292119648163,-0.0024090255765617744,-4.4403302340496984E-4,-9.598719313199081E-4,-3.0166197214031676E-4,0.0027146230651929185,1.9096559598085904E-4,8.737415981947068E-4,7.249815903760872E-4,0.0014678838458460223,0.001920899441799728,6.193597362539288E-4,6.297773622610701E-4,1.7220501489672988E-4,0.00124077228874173,-0.001289964903811781,-0.12208189225749995,-0.06533030073766596,2.502226259461867E-5,0.0017949237436458983,-0.002200960549768598
4,20732.169349935277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06827321192422592,0.0,-0.03194590470338805,-0.019549910477411322,-0.023836452493301626,-0.05009386284582035,-0.009358180232128893,-0.020030710242661415,-0.007348623879598339,-0.011916250013489928,-0.0027982354316795914,-0.00477832922420143,-0.0025042099367982578,-0.005657288803277316,-0.008572852841370625,0.0019228001249257608,-0.005905784553649237,-0.001983132484250218,-0.030249840935506058,-0.003863538896779918,-0.009365754032395266,-0.00795117262042242,-0.01713376188246017,-0.0232610780048412,-0.004312367212259504,-0.009240415824896752,-0.0028177772288682625,0.01661332828308992,-1.6564426222205923E-4,0.005565834501545542,0.00478279936314891,0.008880117664112997,0.009811507022843884,0.0057827385055337285,0.002344151960456302,3.7368847487992353E-4,-0.005342366615260066,-0.0025156706172325006,-0.2623905737565183,-0.11153745303794946,3.258503671730443E-4,0.022756014657893554,0.02053152263188045
5,18631.65255035094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7400167907112569,0.0,-0.3503562027492081,-0.2193644517992872,-0.1862612558884216,-0.535916176567321,-0.09998128529605779,-0.20209225910668993,-0.07472267454066359,-0.09965998876218529,-0.038268035473879414,-0.04425663613572691,-0.011254907449481464,-0.04756610316702703,-0.06423807933610609,0.038851727823227065,-0.06725765117230853,-0.025118800769165846,-0.2732942488687665,-0.03569529453104656,-0.0827713037016453,-0.07552040558767466,-0.15479234475574655,-0.21003306313148296,-0.041528249597544226,-0.08232655193253685,-0.021646460256054295,0.19202710396332925,-0.009586793520624018,0.0644343195375838,0.05675307746258886,0.10024866671313735,0.10235989781151245,0.07529840680287792,0.019833321696649822,0.002391649642852796,-0.005953286035305059,-0.0028151490366815695,-0.2252916648972897,-0.15373792265416591,0.011709003144466833,0.8425658087672709,0.009045129074169272
6,18153.64965712486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7368215309022508,0.0,-0.36869941388522276,-0.22893146363369873,-0.11215015149055535,-0.5293828321875457,-0.0989041712426579,-0.18921398144554924,-0.0707284464844819,-0.13022590433316902,-0.053143419028763746,-0.05645787213569476,-0.013952668849836918,-0.06222587209024677,-0.0844551284430355,0.05002917440152434,-0.08758286083630429,-0.03267503528409216,-0.33586519626261047,-0.046714229430113,-0.10036708245074077,-0.09220621887679925,-0.1892529261785042,-0.25627264325206256,-0.05095224392218219,-0.10114583584186923,-0.026458825545577887,0.23432849338355916,-0.0156466629373839,0.07878286300220926,0.06966848292230704,0.12038998026187499,0.12006079923265127,0.09460763488101438,0.02134749813590604,0.0024084180482344558,-0.009381936166155524,-0.0034141670721973983,-0.2685730527267985,-0.17948276291722207,0.014807789307185808,1.061074085747326,-0.023316523880784028
7,17285.38638124927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8757164985636615,0.0,-0.6866675108984899,-0.3821095789404676,0.7456316207555871,-0.5602762206672941,-0.10996103013548844,-0.08400359166126618,-0.03284831164007613,-0.7327091046737347,-0.28351642527110305,-0.2749385038501893,-0.11599328602567183,-0.34359242111404886,-0.5121194933124933,0.17770090997136917,-0.4082875968131512,-0.14315811488724167,-0.8666874910725922,-0.14624030316358796,-0.24193402403933575,-0.24227255872141143,-0.48503558469857516,-0.6360219268199077,-0.12406659398995562,-0.26631934192912654,-0.0739775985962973,0.9076199173166795,-0.10125424136782137,0.30468606585109764,0.2687506834155844,0.4383923674671196,0.4219809314858493,0.3714098620122227,0.06573820883172904,0.011480448551653871,-0.00645299979103673,-0.002394871894446135,-0.11585032006228868,-0.21455168757683904,0.017545663957720736,1.0355959535946895,0.07469680520533509
8,16926.717920106712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.043128905440978,0.0,-0.8004250351270171,-0.4714620189483028,0.9822502014773615,-0.5613406403033322,-0.10304853886021798,-0.053223894579980786,0.0024342196533556,-0.9242605660625842,-0.42386817262873244,-0.3577924219564962,-0.12098371985001685,-0.36538739619429206,-0.5789351921338156,0.3300326122602727,-0.5678319305150155,-0.212294740382302,-0.8907378590927459,-0.20379620447907748,-0.2144769235863474,-0.24343902469353818,-0.41988412341184067,-0.5866108446468834,-0.11426113085387322,-0.2668239175687417,-0.08216126395660021,0.985527559130708,-0.18543036910741995,0.2904644163926985,0.27000120962311797,0.4105203674123466,0.2494451085259656,0.477030922281769,-0.016148686076437033,-0.005752260844328559,-0.006881974434656377,-0.0023702157175292246,-0.13502801101435163,-0.2529778800192091,0.018961276218527102,0.9777588437831465,-0.29350462233429186
9,16823.934646013888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1361588335716073,0.0,-0.8539178082957843,-0.5121117404235823,1.0874996914766668,-0.5573814052266987,-0.09233060130153219,-0.038773906733653926,0.025562002969920398,-1.0286380036198584,-0.5100013787672822,-0.40470454289992325,-0.12170470183717053,-0.3654180598715563,-0.6027735447218541,0.4286533085157268,-0.6607407703127434,-0.2540553180184347,-0.9498270670302165,-0.24538016125946685,-0.2125207115546433,-0.2552399786674086,-0.40470234720297354,-0.5944731179083579,-0.11299750768397335,-0.28146044418816013,-0.09139153563018566,1.0483405015685956,-0.23564478826578683,0.2817147778717787,0.26744123615993687,0.4040938287529931,0.15088887040072832,0.5356430636099716,-0.05519343116879271,-0.01523909057926882,-0.007288655098700534,-0.002395270181480051,-0.14153829618315794,-0.28458578063426093,0.01958436959015264,0.9215637377687359,-0.5738313406678927
