Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_shopping_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_shopping_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_shopping_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_shopping_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_shopping_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_f,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,g_walk_grad,g_walk_vgvi,g_walk_speed,g_walk_speed_c
0,25778.038176090424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,23259.449843960556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3492633061966557E-7,0.0,-1.1888591489622766E-7,-7.037233606144453E-8,5.242130015436641E-9,-1.4363467341047688E-7,-1.7296319728862842E-8,-3.585887680280582E-8,-1.4861800053281901E-8,-6.698528418452982E-7,-1.0826854628189411E-7,-2.142216792648056E-7,-1.4084422434460705E-7,-3.620776747526414E-7,-4.326517484711154E-7,-7.158646289528627E-8,-2.1955337711765092E-7,-7.787849553389436E-8,-2.2897839284072509E-7,-2.7828147255456045E-8,-7.186323352871583E-8,-5.933358736723545E-8,-1.2904510116441259E-7,-1.7566748790262798E-7,-3.228516939977469E-8,-6.992387723527388E-8,-2.2132910668875434E-8,2.5196157268737356E-7,1.8757158999879405E-8,8.078566047859752E-8,6.709905110377362E-8,1.3623025378175944E-7,1.790239455539195E-7,5.6617669673674587E-8,5.911954562520129E-8,1.616562433508182E-8,2.920766464696844E-4,-0.0016449581503558278,-0.10000153619624741,-0.09999675427876419,1.7538102756591685E-9,1.0079380737458868E-9,1.0673518053089342E-7,1.2446113556328337E-7,7.335681749330841E-8,-3.0008107688360543E-9,-2.2612496320047909E-7,-2.0672341098329328E-7,-1.271087328742525E-8
2,23232.670326242293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8620364931915253E-4,0.0,-8.55231781840721E-5,-5.316156964282999E-5,-6.797607673073784E-5,-1.3816153380708738E-4,-2.5690495409713256E-5,-5.477094612650066E-5,-1.981361271595044E-5,-2.9538811403298098E-5,-7.038658897694247E-6,-1.1848227792577563E-5,-6.210277369977808E-6,-1.3916655788466215E-5,-2.0846606548989135E-5,4.893663487001089E-6,-1.4688827427411029E-5,-4.908355171173408E-6,-1.2078749890489058E-4,-1.6472285742753014E-5,-3.732631133165124E-5,-3.0468090221134566E-5,-6.758815062438648E-5,-9.233837753921537E-5,-1.7018901797357436E-5,-3.6786668303886674E-5,-1.1567657024323305E-5,1.0130156754137121E-4,7.096821175865677E-6,3.261415645813696E-5,2.7058210672231295E-5,5.4778769687811055E-5,7.165335218291394E-5,2.314181587835433E-5,2.34797255227058E-5,6.4200220916358525E-6,0.0012261581632162287,-0.0014805499339586537,-0.10085241845450706,-0.09870667191127033,9.633733340164202E-7,5.482587227064644E-7,5.923875155838404E-5,6.917390338828257E-5,4.004313613405858E-5,-1.1867245261050455E-6,-9.005821368789412E-5,-8.238137721923588E-5,-4.4855055632752015E-6
3,22889.049682906345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001757478100885702,0.0,-8.034386007500385E-4,-4.999130870295231E-4,-6.452166848635034E-4,-0.0013030522495968966,-2.4247469296366988E-4,-5.17188089268754E-4,-1.8687923246184902E-4,-2.745172786300002E-4,-6.545697651206502E-5,-1.101744827777933E-4,-5.7962601285562083E-5,-1.2918962068397848E-4,-1.945946982644327E-4,4.574121574855562E-5,-1.3660630607307295E-4,-4.552614082558445E-5,-0.0010949947817517963,-1.4907481254161092E-4,-3.3825226408432254E-4,-2.769935388942939E-4,-6.131124845430281E-4,-8.379217238308264E-4,-1.5448021572709447E-4,-3.3342931970376086E-4,-1.0457400999197813E-4,9.480790130125528E-4,6.651756515415274E-5,3.052264625394289E-4,2.5321412757894527E-4,5.126716232459082E-4,6.708493899006383E-4,2.1634132090441857E-4,2.1992200688942759E-4,6.016090049344982E-5,9.864920815996232E-4,-0.0015239189630875162,-0.10757310858523993,-0.0878783225187035,8.59152423609548E-6,4.894621006495931E-6,5.273560822504369E-4,6.151537270428992E-4,3.570229560673974E-4,-1.1095126369749188E-5,-8.415148052978538E-4,-7.69753061869549E-4,-4.2124654304933075E-5
4,21329.710724511286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07273858721145185,0.0,-0.034031428062782636,-0.02078761035827189,-0.025244389405030945,-0.05339703479757399,-0.009942315498731005,-0.021336182927495284,-0.007847533759165574,-0.010502838699719179,-0.0027429117752318863,-0.00442175202465663,-0.0020588672561374158,-0.004833500847811278,-0.007180390408988686,0.0024112857763826604,-0.005687146995296019,-0.0019488611473053765,-0.031066229596297526,-0.003920466965529544,-0.009625536207889876,-0.008209861483479425,-0.017582768293934934,-0.023942589773618867,-0.004436370340224484,-0.009495144813541322,-0.002875941210366762,0.014401238206442672,-5.293133620422772E-4,0.004918175474743703,0.004165359392310615,0.007688371408542323,0.0077652978023733344,0.005657875935584829,0.001575685601329886,1.597716452974016E-4,-0.006278136000634127,-0.0028732951954661924,-0.25523520983625714,-0.12827284887314228,4.2999005819385056E-4,2.4788320726268326E-4,0.026400651034142242,0.030333375481905546,0.01815286077978416,6.746056569728847E-4,0.046117016904822436,0.04249379895206955,0.005017080978148812
5,21064.49239412576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5302760349638709,0.0,-0.25339325247584205,-0.15681633544141194,-0.13776431449973692,-0.38399634900786495,-0.07162711628545433,-0.14606521498752592,-0.05442203353913269,-0.06427656329421853,-0.02534285607821583,-0.030056365095401515,-0.006918198862257452,-0.029923385655985717,-0.03950557832737985,0.028987398324136465,-0.04590798607227266,-0.017125708065024624,-0.21275326989036392,-0.027511339919643607,-0.06485796257346821,-0.05825882183625802,-0.11597701989445036,-0.16406701714180322,-0.031970880295483076,-0.06426176884315701,-0.01736615021284363,0.10503052846936645,-0.009760126198093522,0.03627968029205181,0.031503024265027754,0.05466043440038173,0.047661934698034696,0.04904982193766673,0.0052377085387133706,-9.642937511192716E-4,-0.019357146760242902,-0.005398935278367668,-0.43796074827658327,-0.15807991356201637,0.009461580041338423,0.00535158789073821,0.6123938138906962,0.6662576446080372,0.3855252781048744,0.0039524034061721265,0.24758248272068667,0.24721846124086322,0.04251299862188368
6,20138.66017311361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6595428696405856,0.0,-0.3127664506157818,-0.19346523945970182,-0.17693665580839824,-0.4778558582360597,-0.08917818501115973,-0.18265274881893181,-0.06772644581572634,-0.07910833961459185,-0.030462229029549006,-0.03690244447116838,-0.009303097926210301,-0.03654392252034103,-0.04868181690684719,0.03467585514458976,-0.055506455204146536,-0.02065083687895953,-0.2440245787703416,-0.03132128171976293,-0.07431405082070035,-0.06740594507242657,-0.13358129535402768,-0.18855590028786595,-0.03665339644459199,-0.07383807823652602,-0.019905854344712644,0.13246542083782062,-0.011414720494598865,0.04564794408416466,0.03956179413038375,0.06897934099192606,0.06186250805568508,0.06016289404103858,0.007873756911769688,-7.111158204175864E-4,-0.01790209354871291,-0.005171253581963464,-0.4071646343024788,-0.13672141018629302,0.010251925441835183,0.005809421939290804,0.660736486098673,0.7206501919245097,0.41854961160650495,0.005027698358296058,0.31863018292123035,0.3140982010849294,0.05236377147818259
7,19839.41597000893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.654853425953583,0.0,-0.3394498155183431,-0.20431134640485268,-0.08851975968431815,-0.4720334915476599,-0.08778584563778823,-0.16895812295924365,-0.06296920076493862,-0.1315708280578634,-0.050281995541035254,-0.05642723731403569,-0.018658078286226953,-0.06193439388214638,-0.08579648165409026,0.04457572723922702,-0.08318949984550353,-0.03041890768052839,-0.3120683742986816,-0.041802154610851704,-0.09385465429074746,-0.08672536687014401,-0.17124533560113347,-0.24063327634190024,-0.04624306755953619,-0.09503601806480054,-0.025804262697172984,0.19844937177927446,-0.021720345096999275,0.06836914527267912,0.06039428404384709,0.09875221825708284,0.09429637024522933,0.08488808905594812,0.013900674310616003,8.419761192190576E-4,-0.017633689633042952,-0.005072962746962751,-0.3879245021498683,-0.12442059969243524,0.010480461755068919,0.0059648374354608034,0.6671387459995425,0.7340844342573566,0.429925562888039,0.006299402823746773,0.3866033939816109,0.36248756161903867,0.07775382453007862
8,18903.513955136954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7453508341390003,0.0,-0.5022945119452923,-0.28447486241189857,0.2661243209773217,-0.5232898925087628,-0.0950948900828735,-0.1380013011593979,-0.050443168171381655,-0.37679045520463117,-0.14496897790293323,-0.1487193040289556,-0.06198751110962836,-0.17444697341697604,-0.2543954574312973,0.0966018500454501,-0.21428123017557732,-0.07790829337223801,-0.6563825507364203,-0.0960657915868052,-0.1920776018238995,-0.18372993387442016,-0.3605233436830425,-0.5042573507565231,-0.09406127932528754,-0.201897699958492,-0.05604657087330539,0.5608643182121341,-0.06393570163123316,0.1852806481210889,0.1700623093542956,0.2608602664848073,0.2756058951318753,0.20985486885375543,0.05338311214874113,0.011990936497837022,-0.016116720492173636,-0.004614445985120948,-0.2952516084805354,-0.15590468366243332,0.010956421585024627,0.006322419366007484,0.6601055438136623,0.7508670313538057,0.45437484532430583,0.008543902622583692,0.42051341724703123,0.30510781260763964,0.17276881521213694
9,18538.508804633668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8671686489158982,0.0,-0.590110565209876,-0.3539496363668022,0.4558367585953826,-0.48761471751556623,-0.07597988999290659,-0.1128299626130917,-0.009059612511731777,-0.4637846795849377,-0.26898846709071295,-0.19799965270897074,-0.051464281970961596,-0.09927639588681408,-0.21757105660542164,0.24652513419924776,-0.31522603278196326,-0.1390656613747669,-1.0089346372768122,-0.18674104959533944,-0.27157861035429776,-0.2699550329118867,-0.5088667172628067,-0.7452526963203564,-0.1255475047915263,-0.3092025620055285,-0.09843393989847207,0.5118337475051777,-0.1131887987437464,0.08375777263987537,0.10757119114272144,0.11996973028872171,-0.04896464916759791,0.27008877530518166,-0.06717684140439587,-0.007780541404350517,-0.015872837583878214,-0.004555914984339768,-0.2351800806653286,-0.14225809651969332,0.011853916852785985,0.0056705561535450415,0.6927332781392288,0.6977326595755335,0.37707138820498165,0.012406466636806758,0.47163595834893035,0.21019815871167724,0.1930397966666097
