Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_shopping_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_shopping_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_shopping_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_shopping_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_shopping_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_walk_grad,g_walk_vgvi,g_walk_speed,g_walk_speed_c
0,25778.038176090424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,23175.686364242847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.298001068903966E-7,0.0,-1.1436911083568599E-7,-6.76986967699474E-8,5.042967026614297E-9,-1.3817759570147062E-7,-1.663918480037323E-8,-3.449649909396829E-8,-1.4297159247125714E-8,-6.444032834291209E-7,-1.041551253614944E-7,-2.060828063663305E-7,-1.3549316349792177E-7,-3.4832134446757996E-7,-4.16214114324122E-7,-6.886669557409031E-8,-2.112119383009816E-7,-7.491967652523877E-8,-2.202788716614327E-7,-2.6770879128861653E-8,-6.913295092720256E-8,-5.7079340608224846E-8,-1.241423215757523E-7,-1.6899339515281545E-7,-3.105856669946772E-8,-6.72672761324369E-8,-2.1292020300423935E-8,2.423888570666192E-7,1.8044522755217177E-8,7.771639024922026E-8,6.454977294286985E-8,1.310544904124219E-7,1.7222233171330643E-7,5.446660812442646E-8,5.687343090277709E-8,1.5551447645592377E-8,2.8097984846871683E-4,-0.0015824616497448537,-0.1000014778319117,-0.09999687759267291,1.6871781823499518E-9,1.026800164078314E-7,1.1973251348065428E-7,-2.886801684770655E-9,-2.1753385168936963E-7,-1.9886941799385135E-7,-1.2227952126177621E-8
2,23170.806719555276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1544283286236607E-4,0.0,-1.9095854416026508E-4,-1.1862305210800929E-4,-1.514904757359812E-4,-3.0798346355380825E-4,-5.7318602976044064E-5,-1.2219659404109293E-4,-4.423002019331856E-5,-6.819803733430482E-5,-1.597257874591556E-5,-2.7161281112119588E-5,-1.4499420650101363E-5,-3.2301015223110486E-5,-4.875089324854926E-5,1.0631445093880874E-5,-3.347357569681705E-5,-1.1144280493640911E-5,-2.697709894467737E-4,-3.6763354728686454E-5,-8.338016405730336E-5,-6.804656165087813E-5,-1.5095964612668605E-4,-2.0619846114740018E-4,-3.800238356581543E-5,-8.216783513288696E-5,-2.58458796152008E-5,2.2667722801783947E-4,1.5897039592722022E-5,7.297314976168325E-5,6.054490628099765E-5,1.225744696633974E-4,1.6034551544735748E-4,5.177255807808781E-5,5.2547435094453843E-5,1.4367033619071033E-5,0.0021306596559085866,-0.0012566406919168184,-0.10190675632894133,-0.09710637925825914,2.154841983047743E-6,1.3250342379461888E-4,1.54736824694351E-4,-2.6553163692088302E-6,-2.0149381731183205E-4,-1.843147546540497E-4,-1.0051590997540795E-5
3,22502.646955979973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035745048249827076,0.0,-0.0016366946080931468,-0.0010175868159389824,-0.0013095232889646633,-0.002648583180522522,-4.931651610207469E-4,-0.0010517794257334776,-3.8032249094703974E-4,-5.85068717081101E-4,-1.3660597412193447E-4,-2.3261008911882092E-4,-1.2490726094526692E-4,-2.7727144154550344E-4,-4.1962287794475615E-4,8.994610551834685E-5,-2.8624615384681564E-4,-9.508579369576134E-5,-0.002240411278857663,-3.0485520185682583E-4,-6.922456035971659E-4,-5.664767422791516E-4,-0.0012544416889850242,-0.001713691900747561,-3.159364728434893E-4,-6.823123547955839E-4,-2.141623041603875E-4,0.001937440001251777,1.3606879772186362E-4,6.236898054588747E-4,5.174414307630229E-4,0.0010476557294315956,0.0013709549414705022,4.420528092161684E-4,4.494593534551042E-4,1.2293658442057276E-4,0.001660409238412021,-0.0013419012505469802,-0.11558241290659696,-0.07523678283541824,1.7667681740474917E-5,0.0010847104766982861,0.0012657088347458672,-2.2658851749698508E-5,-0.0017185773826227742,-0.0015719950211681368,-8.612648551765529E-5
4,20983.74300472931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07355165657341829,0.0,-0.03437219716911119,-0.02102715499969819,-0.02561998766462025,-0.054014766500893686,-0.010065750676286525,-0.02157678832932353,-0.007922057624796443,-0.011403698614981604,-0.0028484380887119094,-0.004707953410854336,-0.002307722344209133,-0.005311774740704954,-0.007960614299245076,0.0022915865251336345,-0.005952852218545873,-0.0020225856492679358,-0.0314132766001248,-0.0039982571840388855,-0.009726683445647557,-0.00827562346589542,-0.01781312143813956,-0.024141716252758377,-0.004480499220178072,-0.009604757792556108,-0.0029203817256080104,0.015924693841702434,-4.0014040771060215E-4,0.005398470088569458,0.004591801693281417,0.00850595067703376,0.008961530515612222,0.0059160988646252315,0.0019824797614983176,2.671664266630842E-4,-0.00552408630743751,-0.002677939278673146,-0.26614721302180444,-0.11891067602370078,3.726885900463653E-4,0.022625295705432907,0.025955796141195683,5.419746133009816E-4,0.036666532591582784,0.03390629467898781,0.004257151379828724
5,19137.29755953615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7011340291227508,0.0,-0.33574567611635997,-0.20953692999731083,-0.16166015859991434,-0.5070448740156535,-0.09469328989014497,-0.18911015240138135,-0.07044488092209653,-0.08274119241365621,-0.035994605256143765,-0.03966363055840796,-0.00681972768426292,-0.037926887569090045,-0.04909421371602848,0.04220373629939977,-0.06292112293070709,-0.023906737349278753,-0.26909432705286995,-0.03540940032780216,-0.08155541109356242,-0.07411597515016051,-0.15252067426435606,-0.20561851574315498,-0.04092351315096303,-0.08123043046680765,-0.021255229221818866,0.15381937986920524,-0.014065935126732345,0.05276959692711224,0.046334695763353875,0.07982536327052538,0.07162279972828237,0.06986407019647545,0.008755942636114301,-8.111803195062249E-4,-0.014689313229166244,-0.004540756262263969,-0.3601826434566657,-0.16287804215465368,0.012317912467101911,0.7883412365294981,0.8752498253602123,0.0031586248582726687,0.17173601772503683,0.18498635888983397,0.050837548930876136
6,18503.86565278799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.892364004750429,0.0,-0.4268677421406594,-0.26512433811291997,-0.20719780321977127,-0.6450766479366494,-0.12057383561904962,-0.24136730383596897,-0.0893885812978061,-0.11396398032914809,-0.04673864834788906,-0.05308937795925022,-0.012157983157409076,-0.05225513187828809,-0.06965992349943874,0.0518228464401686,-0.08155312898975217,-0.03066069891228169,-0.3162028024400242,-0.041415458631404625,-0.09559783369203671,-0.08807410477986373,-0.18022367771944756,-0.24192166177180197,-0.04792899260793946,-0.09580522288003156,-0.025079521800309087,0.2037518645604109,-0.01766416711039661,0.06987711166050697,0.061088229684780816,0.10571662542586022,0.09730288357828354,0.08997458781127737,0.013457756934469314,-2.879264015832678E-4,-0.011119053857596886,-0.003935369592677752,-0.28767914776290576,-0.12858386685596618,0.013263993413595219,0.8428437675291269,0.9390742163878247,0.004696510941751691,0.2714238340248118,0.28011868196067585,0.06738137652158244
7,18289.036164759964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8950491832667298,0.0,-0.4742712992539345,-0.28563387620654657,-0.06345063830005807,-0.6430592734934365,-0.12018136559334845,-0.22078073726886985,-0.08225156151341703,-0.19554346407584622,-0.08083173073150446,-0.08302107100064073,-0.024569289991604785,-0.09074715905259256,-0.1260776481961165,0.07236464655337493,-0.12781767618152357,-0.04636883730352364,-0.4015458961277976,-0.05591486360343138,-0.11932332211524649,-0.11240054073155764,-0.22993205457594074,-0.3041457788739221,-0.05983624034936673,-0.12285137003487519,-0.032473675295503296,0.2751093427627055,-0.035824829282711926,0.0957633568319056,0.08414673733491501,0.13798331128992933,0.12057706751671149,0.12728914820388076,0.011902884588086473,-0.00149440523609953,-0.010406440678791812,-0.00373129164845548,-0.25147803865356383,-0.07557135880034035,0.014572662798281373,0.9093134109079877,1.0258703343968476,0.008121713261026689,0.4887534373823885,0.4868590913611851,0.11307124555854914
8,17777.010283321826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9188115754314966,0.0,-0.5528072532965214,-0.3227534480424462,0.15365308747160855,-0.6545370953985568,-0.12198156171934905,-0.19323566365821,-0.07159715224247029,-0.3310950385092509,-0.13508490870368323,-0.1325721823040039,-0.04676145742033008,-0.1538031842109743,-0.21996658668611357,0.10429147937110542,-0.2023114123295441,-0.07180701935580695,-0.5445625443035289,-0.08068314276054067,-0.1588951245744574,-0.152967674124305,-0.3128521216958249,-0.4091371607135342,-0.07949657033927204,-0.16808688658301477,-0.04516944952653169,0.4588416087092382,-0.05835306481765559,0.1571957206882552,0.13931866126199036,0.2245511679317706,0.21007828532427186,0.19589002855982257,0.029289453118540434,0.002808678751436576,-0.009867479058721828,-0.003520194168995979,-0.21196991376118113,-0.08203763391877278,0.015069087269299139,0.9118030634377653,1.0513775984287208,0.009307946814195398,0.5211543567436083,0.5144248524990283,0.16318529117450778
9,17408.661448901257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1063709830130015,0.0,-0.713680061234198,-0.41912385389136875,0.5633797379413328,-0.6626104856042851,-0.11974759626810959,-0.15047570571065422,-0.03495844113533321,-0.5062367606623329,-0.27719693675836454,-0.2123820911108916,-0.04757231512957972,-0.15619944670448166,-0.26266729080866086,0.2701061333324709,-0.35982250600495513,-0.1425763161080123,-0.8229121311407306,-0.1611162266034732,-0.2153200155414642,-0.22537612185170663,-0.4418176690421047,-0.5870919139799039,-0.10439486814647858,-0.257130091489146,-0.0765178210115362,0.41277232009763565,-0.08742239573887148,0.04822618672458706,0.0687929073551015,0.0748217169191798,-0.15103457718132812,0.26921368251789535,-0.09782602732712377,-0.020571144352034988,-0.009533594103184745,-0.0033655104960432793,-0.16264903878132186,-0.07135907435922159,0.01571244601409105,0.8807851073506535,1.0023285965380209,0.01186595411757128,0.5010925983648119,0.4538663282739186,0.19556159537290632
