Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_shopping_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_shopping_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_shopping_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_shopping_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_shopping_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_walk_grad,g_walk_vgvi,g_walk_speed
0,25778.038176090424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,23096.53302418099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2473176978144366E-7,0.0,-1.0990331167377983E-7,-6.505524889238434E-8,4.846053036845414E-9,-1.3278214069995032E-7,-1.598947040639612E-8,-3.3149505700237446E-8,-1.3738894508360861E-8,-6.192411078902918E-7,-1.0008815423485993E-7,-1.9803583968774664E-7,-1.302025281893868E-7,-3.3472035415794844E-7,-3.9996209811676855E-7,-6.617764055625541E-8,-2.0296469312999977E-7,-7.199426925231368E-8,-2.116775876848127E-7,-2.5725549942479118E-8,-6.643349937026636E-8,-5.485054937615355E-8,-1.192949054194216E-7,-1.623946679534287E-7,-2.984581510838679E-8,-6.464067404398023E-8,-2.046062547958344E-8,2.329242389819454E-7,1.733993378002597E-8,7.468177899881045E-8,6.202928187842806E-8,1.259371730775982E-7,1.654975234236644E-7,5.23398369085219E-8,5.46526798782697E-8,1.494420639527006E-8,2.700083583291556E-4,-0.0015206708754917225,-0.1000014201266409,-0.09999699951408965,1.6212985155616903E-9,1.1505728819956395E-7,-2.7740800202387013E-9,-2.090397531914255E-7,-1.9110411428801373E-7
2,23070.46480166385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.1378592264866755E-4,0.0,-1.9042438005811713E-4,-1.1820651018096155E-4,-1.50634204296619E-4,-3.065249904587816E-4,-5.7089167030411585E-5,-1.2169984754407826E-4,-4.407864351372462E-5,-7.118939771321872E-5,-1.632895015288366E-5,-2.8087031403799043E-5,-1.5294173985062414E-5,-3.395145578699495E-5,-5.146167471057035E-5,1.0190511763977386E-5,-3.435267792426073E-5,-1.1401760404374668E-5,-2.6915435059514256E-4,-3.664654687688529E-5,-8.32058566562606E-5,-6.789215382441182E-5,-1.506221028931868E-4,-2.056942940117733E-4,-3.790744596352839E-5,-8.198750826097206E-5,-2.5797363627267393E-5,2.2669704010034458E-4,1.591719292915123E-5,7.297312298812264E-5,6.054799051322983E-5,1.225840705070803E-4,1.6037158928195838E-4,5.1764701089131615E-5,5.256142249151596E-5,1.4369951279636314E-5,0.0018541853981401265,-0.001241386400385591,-0.10190518336004241,-0.09710644554243207,2.1529925637367257E-6,1.5461164544690336E-4,-2.6555021522371286E-6,-2.014919534567451E-4,-1.8430971567543524E-4
3,21949.650948029077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006415594776596787,0.0,-0.0029421242590755682,-0.0018277215760550505,-0.002345453584467901,-0.00475022974475748,-8.851281486947263E-4,-0.0018875531087780384,-6.830529840554772E-4,-0.0010999177845942981,-2.516857077071744E-4,-4.333824958447016E-4,-2.3714770075128382E-4,-5.247623242026179E-4,-7.974562445020889E-4,1.5566554413001444E-4,-5.294311062617056E-4,-1.7536498365940405E-4,-0.004041463312222348,-5.494903721324548E-4,-0.0012490209643246418,-0.0010216806538032458,-0.002262862578130388,-0.003090729697666371,-5.697437790581481E-4,-0.001230939949703617,-3.865537287607957E-4,0.0034928202835751107,2.455125505373627E-4,0.001124303582332859,9.328258806066589E-4,0.001888697354365201,0.002471584787644689,7.968979879771974E-4,8.1031776162833E-4,2.2160879567496391E-4,9.169693521586399E-4,-0.0014112982051740096,-0.1281826939375978,-0.05537262277873877,3.195195570197259E-5,0.002289595850739788,-4.083191867747992E-5,-0.0030969875458638973,-0.0028327927370704097
4,20547.277571323863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07013617031225824,0.0,-0.03267525904115022,-0.020058192797417582,-0.024731724185048435,-0.05154890073403435,-0.009629455402918938,-0.02058749688349902,-0.007528165477066364,-0.011983287356732132,-0.0028156916767363505,-0.004806936245375178,-0.0025302634336169193,-0.005672083097804355,-0.008583369468200906,0.0019435121356724534,-0.005937656260222004,-0.0019858001977709847,-0.031595363791267345,-0.0040557585412166475,-0.009776666087520283,-0.008292838485974879,-0.0178799903581321,-0.024316275768651672,-0.004505975273548837,-0.009641388867721349,-0.002943676907764828,0.019013244316853476,6.152001661747426E-5,0.006316044991502845,0.00545404991729449,0.010173580214665655,0.011724444249589096,0.006193669689162023,0.0029894604584375793,5.438841261671351E-4,-0.005850112883369267,-0.0026694163747333346,-0.2713596974813577,-0.1005833959785313,3.0617999737927776E-4,0.021318936852397212,1.811638021532247E-4,0.010700023039481525,0.010245212254912723
5,18723.670805999245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8279133032796102,0.0,-0.39124736361257145,-0.2454240817077531,-0.20917875643174286,-0.5995328661502398,-0.11182976609893923,-0.22615790536825486,-0.08349759979001717,-0.11511836358018979,-0.04283719428752169,-0.05038758896543669,-0.01388914756318963,-0.05541640842559845,-0.07519117897819674,0.042428691669706975,-0.0758818173758112,-0.028059451097723634,-0.3061018619667455,-0.03976601322020156,-0.09268005290119838,-0.0847219154850131,-0.17322020889065332,-0.2357052998077717,-0.04651862742401059,-0.09207837383049837,-0.024307453144873762,0.2249455220060875,-0.009954121019211844,0.07462227886957201,0.06681878579304668,0.11677550816085533,0.12262762813293748,0.08546155710545461,0.024898293299253638,0.0033943780270509873,-0.005532675150003384,-0.0028204431677071136,-0.21121971078777801,-0.14531606362255506,0.012689525139996044,0.9061266726107048,8.511785603798682E-4,-0.018842012119668374,-0.014893244821293276
6,18027.642085706942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.83434280090898,0.0,-0.4237348245179175,-0.26305404142511635,-0.10548070518954494,-0.5995028256496209,-0.11174424138623368,-0.21090081734355787,-0.0788693386331782,-0.15930194239145573,-0.0641829621448429,-0.06820441420512582,-0.017707914284281485,-0.07654616084572823,-0.10401183104705525,0.059255944923477515,-0.10569574904293798,-0.03915611274927925,-0.4002822904119867,-0.057053792413673164,-0.11880276021439823,-0.10946062559601845,-0.22475488009337058,-0.30558265497027015,-0.06064901881753438,-0.1202514971703107,-0.031525964392443664,0.28695647835240107,-0.01956885928053847,0.09541442493324444,0.08597540982867724,0.1454095536573253,0.14772779237135916,0.11376234213106544,0.02677619225877136,0.0034214293688198246,-0.010557545666003077,-0.0037018894370296263,-0.272419516708811,-0.18546370416411523,0.01759698439615498,1.2442547387728717,7.131616752652783E-4,-0.06561156519203278,-0.05913860082211645
7,17196.212012828903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9436106020141567,0.0,-0.7023002676566024,-0.3959105352464347,0.6239447645954188,-0.639438906211295,-0.12025242408426659,-0.122997125586412,-0.04466615406043362,-0.6379676487660781,-0.2516702527788548,-0.24387903762652102,-0.09952210403708475,-0.2936400211845677,-0.434621842762129,0.1724572864117931,-0.36617873066892964,-0.12873785003051716,-0.811794817327088,-0.1487017638109934,-0.22086861820018652,-0.221540962170097,-0.44995123107674306,-0.6020489566013099,-0.11532700440898574,-0.24694691126542026,-0.06905457784190881,0.8502777528276613,-0.10360230745658339,0.28322003991577993,0.2531134720188135,0.3989799980353056,0.38818585848014553,0.3418627128119058,0.0615354130570616,0.012822014356883554,-0.008241023773751407,-0.0028922334186650615,-0.15543564833574097,-0.22551411627020762,0.019640735234352273,1.1763046052704054,0.003126337497125079,-0.09204252041180723,-0.11476053010761994
8,16887.61603809127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2633662135709842,0.0,-0.9878233446641076,-0.5935949990632579,1.2635532672313483,-0.6485103809165516,-0.10538293666284448,-0.043558650340448965,0.028679577012176223,-1.0382238767936356,-0.5344124275821489,-0.4182530565505218,-0.11626864770994659,-0.3432001446600921,-0.575303231602575,0.488903139576007,-0.6970653268698752,-0.26967503571009765,-0.8633647158058824,-0.2930423293405771,-0.15262047188537778,-0.214938604691705,-0.3184858415643426,-0.5072907534599531,-0.09436570466494759,-0.2435233006693229,-0.08449660342602888,0.8117832813632446,-0.29136392278895645,0.16394804682332334,0.18100982356910406,0.18208692697752218,-0.19318517294879078,0.5079124677946358,-0.16523780881556743,-0.0316698570044944,-0.007768898765161543,-0.002570117134761768,-0.16182624700378764,-0.19748583258522862,0.03040766416099546,1.1808910910796493,0.011477379021100983,-0.014237748587323726,-0.222254205375339
9,16820.449318523028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.35151447045231,0.0,-1.0152389155079071,-0.6255072904939855,1.3167927603558214,-0.6232390385837406,-0.08559981657696608,-0.028358881157229246,0.06153579282544944,-1.1078648998190863,-0.6259704074110256,-0.45753041768182556,-0.10607657349186572,-0.3061443154983244,-0.5531326470515827,0.6130752549274326,-0.7873374647200753,-0.31418927925993956,-0.8718984376867974,-0.34386421345860385,-0.12965860601962273,-0.2088407429723693,-0.2535177035354388,-0.4710572856442075,-0.08177700844698547,-0.23928074170935565,-0.08967411356386427,0.8806145002675273,-0.35887115349249177,0.149493693273194,0.17257187675849983,0.18910380295883017,-0.3079062759346553,0.5631796465059206,-0.20067663236848507,-0.04451802950574154,-0.008007071010633148,-0.0025953936558213964,-0.17363173697825376,-0.2202544106608452,0.034025023741751,1.1537651052575861,0.012715711790984534,-0.12398819893015976,-0.3717296403479765
