Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_shopping_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_shopping_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_shopping_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_shopping_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_shopping_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_walk_grad,g_walk_vgvi,g_walk_speed,g_walk_speed_c
0,25778.038176090424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,23096.53302400724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2473175217920523E-7,0.0,-1.0990329616414423E-7,-6.505523971174011E-8,4.84605235296687E-9,-1.3278212196163766E-7,-1.5989468149950384E-8,-3.314950102215499E-8,-1.3738892569518036E-8,-6.192410205025346E-7,-1.0008814011034652E-7,-1.9803581174078433E-7,-1.3020250981511093E-7,-3.3472030692196764E-7,-3.999620416738252E-7,-6.617763121721843E-8,-2.0296466448747407E-7,-7.199425909242984E-8,-2.1167755781271697E-7,-2.5725546312070727E-8,-6.643348999512243E-8,-5.485054163560397E-8,-1.1929488858443746E-7,-1.6239464503617458E-7,-2.984581089652357E-8,-6.46406649218411E-8,-2.046062259216503E-8,2.3292420611150668E-7,1.7339931333001854E-8,7.468176845966326E-8,6.20292731248105E-8,1.2593715530525236E-7,1.6549750006853307E-7,5.23398295222859E-8,5.465267216564361E-8,1.494420428633274E-8,2.700083202253789E-4,-0.0015206706608935383,-0.10000142012644049,-0.09999699951451309,1.62129828676286E-9,1.1505727196259541E-7,-2.7740796287585034E-9,-2.090397236915829E-7,0.0,-1.1750482575098844E-8
2,23070.607722167784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.128988218840377E-4,0.0,-1.9001624883311778E-4,-1.1795315463137792E-4,-1.5031115707369076E-4,-3.058679285164471E-4,-5.696677302968906E-5,-1.2143893200433003E-4,-4.398414588490182E-5,-7.103807148224546E-5,-1.6294148725550074E-5,-2.802722695531548E-5,-1.526165788771107E-5,-3.38793710481672E-5,-5.135218316624684E-5,1.0168514485068419E-5,-3.4279447159565914E-5,-1.1377464684658772E-5,-2.6857760152430415E-4,-3.6568013255320465E-5,-8.302756372536659E-5,-6.774667635011265E-5,-1.502993487636507E-4,-2.052535296296198E-4,-3.7826217228991536E-5,-8.181182420795047E-5,-2.574208492598059E-5,2.2621139723129704E-4,1.5883096884967795E-5,7.281679521747823E-5,6.041828081473859E-5,1.2232146416562588E-4,1.600280349851534E-4,5.1653805156722614E-5,5.244882460490764E-5,1.4339167863887473E-5,0.0018507863527840922,-0.001241986735247744,-0.10190110073387756,-0.0971126438228302,2.1483789407327677E-6,1.542803270475933E-4,-2.6498135864937274E-6,-2.0106031603624188E-4,0.0,-1.0048479833080305E-5
3,22167.455124550943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00489541526502208,0.0,-0.0022451537272412114,-0.001394723398270486,-0.0017895356832293575,-0.003624697286515535,-6.753967263044118E-4,-0.0014402856526284417,-5.212090994351176E-4,-8.393508379779121E-4,-1.9207240007391941E-4,-3.3072529063105164E-4,-1.8095415884650937E-4,-4.004445435602264E-4,-6.085026348042425E-4,1.1881885467516235E-4,-4.0403303009625897E-4,-1.338349372359206E-4,-0.0030859868352970696,-4.195936518213799E-4,-9.537351980764701E-4,-7.800988661197095E-4,-0.001727859603293451,-0.002359989240178569,-4.3503672367216074E-4,-9.399251968818357E-4,-2.951786449020124E-4,0.0026655626612755493,1.8736017561730298E-4,8.580180313625849E-4,7.118915610316478E-4,0.0014413686913139264,0.0018861919448044477,6.081664683815664E-4,6.183907426585662E-4,1.6911878643336334E-4,0.0011520134908826005,-0.0013686900576266546,-0.12152681689036932,-0.06594258720790047,2.4404147284069186E-5,0.0017488228621684173,-3.116257617262251E-5,-0.0023636125857401154,0.0,-1.185432529943333E-4
4,20794.291340418324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06969919862793025,0.0,-0.032560024021837705,-0.019940137729712416,-0.02438985807010738,-0.05117553839215061,-0.009553272616765222,-0.020451987757978688,-0.0074982494277238635,-0.011614404215549646,-0.0027840507594575604,-0.004702024943330293,-0.002415436234452638,-0.005474943944462402,-0.008262612117236421,0.0020259872952148256,-0.005855019390796763,-0.0019711112650776493,-0.03067689280448735,-0.003914852060398553,-0.009497304162915195,-0.008069788583170508,-0.017376413775738023,-0.023601098710142553,-0.00437556264210482,-0.009369460450079057,-0.002854542766933228,0.016833562678876313,-1.7995406074464178E-4,0.005643276131330287,0.00484870606183281,0.008998014274672244,0.009929409034907962,0.005870018941732694,0.0023676544284058896,3.7655074763385935E-4,-0.0055566783042965565,-0.002616678412569631,-0.2631302985591505,-0.11202618783071269,3.321352560219445E-4,0.023141983492330778,3.46693653835931E-4,0.02263231985993091,0.0,0.0031632877864449576
5,20256.947524541993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2994319932995047,0.0,-0.6183974580776603,-0.3874576761081423,-0.30876964732610646,-0.9394474944703651,-0.17538115495459589,-0.3514984388798989,-0.13037387235217304,-0.16906536447821846,-0.06841666329783656,-0.0768498533827977,-0.016897144836740874,-0.08017541271890152,-0.10627068166120152,0.07300212811765269,-0.11936498207702113,-0.04488014730350447,-0.5001488405629732,-0.06576099311564564,-0.15135219971745165,-0.13793780767613692,-0.2826873940145746,-0.3843710099616961,-0.07622587249603732,-0.15045491508898803,-0.039280562393595696,0.3409663777974855,-0.018335641848469714,0.11423690346475097,0.10093038855062886,0.17745979115251492,0.17897364569075633,0.13589283488037296,0.033353272368912466,0.003564753422801094,-0.00878411355748781,-0.003554990703368747,-0.22566513411268788,-0.20117723584850583,0.023080404355563498,1.648103299774874,0.0016419325547942882,-0.0032962591800067866,0.0,0.07750776779281558
6,19987.629797879392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.287030121119273,0.0,-0.6315804266101243,-0.3927202878721989,-0.2501884146615895,-0.9313215961622409,-0.17328254227051315,-0.34008019803809825,-0.12635127990724954,-0.19085489130374558,-0.08065071734502122,-0.08492790274155022,-0.018438582877921612,-0.09038732607407761,-0.12024917537034005,0.08121637759976605,-0.13402030685728136,-0.05022729761476399,-0.5425323066921711,-0.0747499137918077,-0.16258983064948798,-0.1486954911758448,-0.3059370919259252,-0.41529195376335054,-0.08244024446183716,-0.16322187498237356,-0.0426309713839119,0.37017931637373713,-0.023384551922025872,0.12433360473694058,0.1099328898441077,0.1909637400255091,0.19062906677244415,0.14956430097338916,0.03402480855498899,0.0035175805296478735,-0.01154192421381309,-0.004035607350214715,-0.26268398453269387,-0.22118231955844014,0.025286630450536814,1.7987475404148443,0.0014982280274276286,-0.028582597441679975,0.0,0.08949709765938842
7,19000.230636873457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3320672995806184,0.0,-0.9783462543850533,-0.5307996751438724,0.5698402531253314,-1.0002242222433209,-0.17585685359809133,-0.2462506204007694,-0.08558670054005618,-0.697413435372208,-0.3127525379619825,-0.2577994423019488,-0.09679639701942624,-0.3209564080654391,-0.4650936398022196,0.2007540326403943,-0.41094011468065517,-0.14295601729345364,-1.0057421006425167,-0.18743075607161402,-0.27520411650608156,-0.2707737094619179,-0.567766890271664,-0.7506565147330888,-0.14362743675666956,-0.3077750055574517,-0.08532830324634569,0.9646319765132666,-0.10964586885794411,0.3296472746635704,0.2874901601400336,0.46651572637558747,0.4584656276431057,0.3949782529510122,0.07236290773210524,0.011870524049600354,-0.009530522179824169,-0.003248066259059325,-0.1354494033638239,-0.2378472953481833,0.02846417555023746,1.8269434360577632,0.006561412418212979,0.174188988252203,0.0,0.33601461965195945
8,18697.259766307572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7341004639038118,0.0,-1.5946987978562193,-0.8367869557089131,1.8458435439929355,-1.2231649271774119,-0.1995802490809268,-0.13202776884292375,-5.352425142888667E-4,-1.2623095038446834,-0.7090708175203728,-0.4875034962310768,-0.13322897769035286,-0.45009741578719414,-0.7054387805562786,0.5851114304145191,-0.8527446677052981,-0.3187716786541525,-0.5828531392507196,-0.4099496920362651,0.009793881542030869,-0.1257130251579905,-0.1491802190105015,-0.23819354929960368,-0.06623601400026828,-0.15250746966355425,-0.036622930374324,1.3652371971282897,-0.2766820409652034,0.3837467434900679,0.35270902706917817,0.4850967605890937,0.20669125639182168,0.7347483576279827,-0.09346499386402363,-0.029698889289886406,-0.008005742266598009,-0.0025942119673761257,-0.20949212642580567,-0.23225198468766156,0.05153369144867474,1.9784775896049684,0.01305469960674759,0.2030428697409244,0.0,0.6434062016346291
9,18491.209742327123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.869764702260213,0.0,-1.6717721941721808,-0.8880011804264545,2.0403775246038296,-1.1423660935655622,-0.18325261878625568,-0.10337843665548038,0.04717641650839243,-1.33982170226723,-0.8456746644673208,-0.5398620410915094,-0.11254426461978641,-0.37391817915007525,-0.6500889590684104,0.7719499765340847,-0.9792131833401053,-0.3806022274982027,-0.6620025258980191,-0.512097170712855,0.02341825713898756,-0.13333311448463647,-0.11722904728482145,-0.2730450916701738,-0.058805100559365754,-0.1794636067459393,-0.04570063754439051,1.346152408900807,-0.3148038633282383,0.3080599699564953,0.2907261789535847,0.39727838259975273,-0.0627257151945097,0.7996501000464891,-0.17889602361918594,-0.06074591801933653,-0.007871050639878516,-0.0025510837508088097,-0.19764458716562153,-0.20187475224663667,0.05804858054604574,1.9900434603567454,0.01742894553391118,0.3316883485016856,0.0,0.6803307291261891
