Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_shopping_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_shopping_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_shopping_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_shopping_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_shopping_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_shopping,g_bike_stressLink,g_walk_grad,g_walk_vgvi,g_walk_speed,g_walk_speed_c
0,25778.038176090424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,23135.52960676905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.27259330007916E-7,0.0,-1.1213038854305686E-7,-6.637352618382154E-8,4.9442532863309165E-9,-1.354728333615482E-7,-1.6313480476263468E-8,-3.382124612596821E-8,-1.4017298986833983E-8,-6.317893880729805E-7,-1.0211633709659866E-7,-2.0204883102658414E-7,-1.3284094767316613E-7,-3.4150311572417E-7,-4.0806691610394006E-7,-6.751866195316866E-8,-2.0707756258284601E-7,-7.345315860997243E-8,-2.1596701492861134E-7,-2.624685158802357E-8,-6.777970548125063E-8,-5.596203899300295E-8,-1.2171229321634974E-7,-1.6568542783304468E-7,-3.045060966334891E-8,-6.595055040516879E-8,-2.0875238879694402E-8,2.376442076255691E-7,1.7691309592530303E-8,7.619512796010831E-8,6.328624107997929E-8,1.2848915955436393E-7,1.6885115945815899E-7,5.340044953561629E-8,5.5760159874524764E-8,1.5247035271722815E-8,2.754797982720321E-4,-0.001551485697001772,-0.10000144890403755,-0.09999693871234795,1.654152452055599E-9,1.195979170645001E-9,1.1738880506915178E-7,-2.830293880881366E-9,-2.1327572744917914E-7,0.0,-1.1988595635442941E-8
2,23115.99543782318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8954076974808994E-4,0.0,-1.7916145156777991E-4,-1.1125503860187889E-4,-1.419252310349084E-4,-2.8867706277498805E-4,-5.374433329257131E-5,-1.1457331716471707E-4,-4.1484041308035515E-5,-6.549665271251546E-5,-1.5177142596346022E-5,-2.5959188637187454E-5,-1.3999081686117595E-5,-3.11323364831108E-5,-4.708279534666932E-5,9.779230708358261E-6,-3.1868022757091723E-5,-1.0593573797724313E-5,-2.5317459729343346E-4,-3.448632833605646E-5,-7.825822877307693E-5,-6.386080331312105E-5,-1.4167609293549445E-4,-1.9349770972614113E-4,-3.566065845261656E-5,-7.711637062766963E-5,-2.4260803934219686E-5,2.1298374108136842E-4,1.494551640969265E-5,6.856185941252389E-5,5.6886377143574716E-5,1.151692643366329E-4,1.5066475229993646E-4,4.8639191991692014E-5,4.937746741892345E-5,1.3499902765461492E-5,0.0018912450033141007,-0.0012667514385910972,-0.1017907627016253,-0.0972813341094387,2.0237223417802036E-6,1.4522342657701566E-6,1.4532481891124763E-4,-2.4948851211530607E-6,-1.893123167420578E-4,0.0,-9.452598782900736E-6
3,22490.074597659714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033345753475818992,0.0,-0.0015281611531281413,-9.496995038430779E-4,-0.0012202150624167375,-0.0024699330662742414,-4.600571878178674E-4,-9.81120356243918E-4,-3.5491466091816E-4,-5.585713345175665E-4,-1.2911741996064473E-4,-2.210847303969787E-4,-1.1983104753931638E-4,-2.65603270634049E-4,-4.027652859248264E-4,8.247218714364526E-5,-2.710818945600619E-4,-8.992669906685939E-5,-0.0020973029055427763,-2.8527960193871723E-4,-6.481056703628925E-4,-5.302169932561765E-4,-0.0011742880591078982,-0.00160406991486015,-2.957047752537783E-4,-6.387602051103903E-4,-2.005497965710166E-4,0.0018116659784236837,1.272831020808117E-4,5.831801287021529E-4,4.8384686407334035E-4,9.796398487830298E-4,0.0012819492470690806,4.1335938749390976E-4,4.202803987774987E-4,1.1494652679098199E-4,0.001442393367554157,-0.0013481285388666996,-0.11461004550126543,-0.07684889904232428,1.6563493057990348E-5,1.1916870151102847E-5,0.0011868119181584233,-2.118533856712039E-5,-0.00160685436260951,0.0,-8.054995610552698E-5
4,21099.679982957812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07103347357650691,0.0,-0.03323757348970822,-0.020317702369467987,-0.02469050457429367,-0.05213358429371924,-0.009719199562479183,-0.020836183217903318,-0.007655839580496994,-0.01123051319934966,-0.0027847852346279812,-0.0046180221670821765,-0.002280334523868918,-0.005248844176879612,-0.007879900581660724,0.0021976075912324496,-0.0058254463105136215,-0.0019783039946726527,-0.030403282015733276,-0.003859939094926123,-0.00941599612749733,-0.008016023898498136,-0.017238623821557903,-0.02338084970007493,-0.004337595944599075,-0.009294932979089569,-0.0028239773439849842,0.015110081279568303,-4.180415113781538E-4,0.005126776410757614,0.004366919675733102,0.008068296957802694,0.008430490765731102,0.005687551305192383,0.0018265623299345034,2.2900760493907977E-4,-0.0053743770465969,-0.002616543923127437,-0.25797711408077567,-0.12289046925525482,3.7118043330410964E-4,2.7580207765038575E-4,0.025936501188249386,5.43714994296808E-4,0.03682606560520831,0.0,0.004242028905694019
5,19430.178321758987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0845082846764993,0.0,-0.5208752727157093,-0.3254640464319502,-0.24062544671679298,-0.7828733765598619,-0.1462625795680488,-0.2906440504205435,-0.10848394555491718,-0.1299999851976891,-0.05753543191760558,-0.06220529478959424,-0.00999485926829011,-0.060065444125712415,-0.07733352430213433,0.06686625780504768,-0.09953916627156204,-0.03797689555000503,-0.4386920585003964,-0.058201998345772055,-0.1328328542076965,-0.12039455626444978,-0.247740438773317,-0.33635926454508913,-0.06686930452742408,-0.13210819426613704,-0.03434208151329082,0.2623277231534675,-0.019488498123425037,0.08926483101334778,0.07791831152015678,0.13659899954537014,0.1282162589452331,0.11326559846433595,0.019408759731326053,4.1670580538896365E-4,-0.01030053083856678,-0.00381264312178579,-0.2584325905212256,-0.1883259449795373,0.021776972038635847,0.016346992315991193,1.5496498360534074,0.0035031947398100655,0.15351211691156094,0.0,0.07293835912973998
6,19295.928268509764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0621078675781137,0.0,-0.5282397191587017,-0.32678882091756783,-0.18109687114252382,-0.7661265615299486,-0.14287032439141956,-0.27669002030324186,-0.10351863412553683,-0.15300386571750949,-0.06900976537700516,-0.07055579190915821,-0.01260328088294146,-0.07093847503029038,-0.09276524187832205,0.07390369444688769,-0.1136722037503122,-0.04294492628322622,-0.4694247314684506,-0.06520218491269265,-0.14068015076500495,-0.12824015098374542,-0.26470511116762724,-0.3584778886550726,-0.07124440439379422,-0.1415032032265282,-0.03688058643206551,0.2862998981766967,-0.024423667186774935,0.09775529680500765,0.08535747196937706,0.14773068106554288,0.13676420315845372,0.12547024548142538,0.019239968677841123,8.733753539346773E-5,-0.011995433178967296,-0.004093075226852588,-0.27997127834029994,-0.19521794779921905,0.023093165506438865,0.017319842310713485,1.6346242753927784,0.004034813965697422,0.18077854589348402,0.0,0.08542986851545069
7,18546.542701333397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.063989130600241,0.0,-0.608895255345996,-0.35899014249133004,0.04715118906479379,-0.7660471388904752,-0.1417180204871831,-0.24565023491619187,-0.09156933328890698,-0.2837977340519604,-0.1267612725177184,-0.1175480310279027,-0.032713143323934206,-0.13134977043055235,-0.18223281103774794,0.10658893014491284,-0.1870529999210988,-0.0680044560643796,-0.588820233601041,-0.09408570128286539,-0.16969181585043422,-0.15984005105212631,-0.3317662227344657,-0.44424851059035775,-0.08740262209809882,-0.1787098115208397,-0.04747218846266501,0.42218137435068603,-0.04770067589724809,0.14533513050434943,0.12653469274543844,0.21190128225643617,0.19133540195853627,0.1891878799583735,0.022753450761566874,-3.956227926606664E-4,-0.011222740904682798,-0.003835059056441176,-0.2374407356882152,-0.16431658004601812,0.025160588125108147,0.018839305110360593,1.729590881362216,0.008513683476929445,0.45797646414763893,0.0,0.15359988629450438
8,17750.82996817282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0616245737020171,0.0,-0.6867993020438081,-0.39078606564584367,0.2803918955579472,-0.7584961195638596,-0.1391883370064449,-0.21167236909640147,-0.07783197040982265,-0.4070441926392813,-0.18467430349096556,-0.16289725666893373,-0.050040131520241206,-0.18398902176770765,-0.262343965310349,0.1443805562289535,-0.25980999665524745,-0.09377235126719971,-0.7040338620195867,-0.12445865637592268,-0.19628852002206668,-0.1897607086531014,-0.3938407356737771,-0.5252201811436452,-0.10247877362055949,-0.21432813792264954,-0.05788704673860605,0.5275570439570536,-0.07481580171584377,0.1810809762680464,0.15831570298855485,0.2565041891154369,0.21580528927513992,0.2492641291664646,0.01549761150890542,-0.003861655536843342,-0.010440467204237759,-0.0035794647582403282,-0.19377841493210043,-0.11578190816522849,0.0279087913960392,0.020837565397630643,1.8613213979681118,0.01444983077467974,0.8337758656553262,0.0,0.2269673027410518
9,17551.62540618422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2069636415873775,0.0,-0.7887334727280217,-0.4786292956836612,0.5584045429243646,-0.7746552108735708,-0.13591864011234905,-0.17438568557490544,-0.038846479947203784,-0.5195020114218363,-0.282231295600635,-0.2223220839585232,-0.04900812675030222,-0.15958115710328882,-0.26877602858503963,0.28785073080066725,-0.37685538528866436,-0.14893201070499057,-0.7016518046080934,-0.1903896236359068,-0.15602807353330134,-0.1791925888947621,-0.3274769335288618,-0.4767594317891402,-0.08958207787761668,-0.20409932859350238,-0.06184286388495482,0.486418981297906,-0.14126898499613744,0.10053259244850445,0.10897659544368558,0.12871722348082967,-0.06315605776770955,0.3001722364369431,-0.08079897008926898,-0.02628141561297816,-0.010359796086217371,-0.003514031782716859,-0.20188268175238996,-0.09612193002820596,0.034170362550998735,0.02457402101066869,1.8674164581969181,0.019293087865396054,0.8387432328863084,0.0,0.2838538549001672
