Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_shopping_trip,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_shopping_trip,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_shopping_trip,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_shopping_trip,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_shopping_trip,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_walk_grad,g_walk_speed
0,25778.038176090424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0
1,23022.231834289847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.197220882677401E-7,0.0,-1.0548919496757364E-7,-6.24423934962281E-8,4.651417922185771E-9,-1.274491270116166E-7,-1.5347275122474562E-8,-3.1818100989265436E-8,-1.318709053766551E-8,-5.943701328679778E-7,-9.606824994832843E-8,-1.9008200012567816E-7,-1.2497312112131778E-7,-3.212767673843176E-7,-3.8389816562684605E-7,-6.35197058288311E-8,-1.9481289288785214E-7,-6.910271756185118E-8,-2.031758459092564E-7,-2.4692318295060707E-8,-6.376528842233374E-8,-5.264755182622958E-8,-1.1450358815192943E-7,-1.558723074722472E-7,-2.864709862683693E-8,-6.204446948151084E-8,-1.9638852346696088E-8,2.2356915441795712E-7,1.6643498975494214E-8,7.168228714267473E-8,5.953796032274772E-8,1.2087907818356752E-7,1.5885054098196577E-7,5.023767870255464E-8,5.245762948701598E-8,1.434399271557534E-8,2.5916384066026376E-4,-0.001459595202575939,-0.10000136308919011,-0.09999712002451633,1.5561812706461711E-9,1.1043616905148968E-7,-2.6626628775229754E-9,0.0
2,22984.421682913067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.405924955490227E-4,0.0,-2.4907914617523634E-4,-1.5450273391790593E-4,-1.9646373051212024E-4,-4.001302023838659E-4,-7.45848284837905E-5,-1.589831610795254E-4,-5.762076315315802E-5,-9.734221579589918E-5,-2.1889507699766183E-5,-3.80685405465642E-5,-2.1117938065626856E-5,-4.6722323321157076E-5,-7.113573426541884E-5,1.2785421279694813E-5,-4.6225241134064666E-5,-1.529507051756493E-5,-3.522099095288185E-4,-4.79098852233939E-5,-1.0890341284976167E-4,-8.88449037035518E-5,-1.9711126447040847E-4,-2.6912376866045285E-4,-4.9594502238622374E-5,-1.0729701737271019E-4,-3.3771743944261486E-5,2.973905943158811E-4,2.090586315247597E-5,9.572067176871E-5,7.942636534394578E-5,1.6080946569477561E-4,2.103983828445663E-4,6.789037977761656E-5,6.896494727966697E-5,1.8853403380188187E-5,0.001958217048802772,-0.001159817041376618,-0.10249668485543774,-0.0962044898565496,2.821350049360296E-6,2.026170226431126E-4,-3.483589416446041E-6,0.0
3,22564.751604790414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0024405943265115738,0.0,-0.0011218506777227058,-6.962329843270792E-4,-8.895161588974829E-4,-0.0018058570216596755,-3.3672063082345444E-4,-7.179218324756966E-4,-2.600451411162474E-4,-4.388320718247172E-4,-9.849558913234974E-5,-1.7143767505964263E-4,-9.54305144894677E-5,-2.107026872469038E-4,-3.21302848466905E-4,5.7074077661186566E-5,-2.079764778419207E-4,-6.872073003780498E-5,-0.0015556546043271652,-2.1140474660611997E-4,-4.809196962190072E-4,-3.9300092876740767E-4,-8.709292564041457E-4,-0.0011892237902249888,-2.191923800801169E-4,-4.7388094845234453E-4,-1.4895714697212768E-4,0.0013367390310774173,9.402748006974126E-5,4.3024981591910307E-4,3.569986462646636E-4,7.228181971067822E-4,9.458707705742085E-4,3.0500773676475493E-4,3.1010033456066666E-4,8.479083525058024E-5,0.0016486317442830128,-0.0012159786641995226,-0.11091773456956129,-0.08292913412423647,1.2366949764079737E-5,8.868570198337762E-4,-1.562604842591796E-5,0.0
4,21271.97932227109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06923501962067005,0.0,-0.0325172855730959,-0.019829666182367305,-0.02386198126997289,-0.050735125717150054,-0.009462032050232333,-0.020298136552290902,-0.007476797809859292,-0.011444788824126384,-0.0028019739192100108,-0.0046726921508117745,-0.0023294687810560414,-0.0053905120799379765,-0.00812544267358046,0.0021275419284562678,-0.005870761906256464,-0.001997649313666095,-0.0292084577321425,-0.003693880361889712,-0.009048618797872048,-0.007712913104590779,-0.01657355484448876,-0.022450198429499264,-0.004166524000083471,-0.008936693349797775,-0.0027099939981127703,0.013395574479219598,-5.674302523526998E-4,0.004587339985132117,0.0038890571269668346,0.007143742225748277,0.0071054275335303806,0.005378510322141664,0.0013773609410707285,1.0864547902260614E-4,-0.0048917484018129636,-0.0024353898868470806,-0.2493378114373736,-0.1340942084513997,3.854420581550632E-4,0.026901411191839492,6.631690859467833E-4,0.0
5,18755.719290791247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7520600882017024,0.0,-0.35962888795272985,-0.22485738927120225,-0.17277701111903407,-0.5435398904273837,-0.10146616615788219,-0.20246941989199996,-0.07537720494439094,-0.08975220407311554,-0.03968040455787949,-0.04264240012416002,-0.006940880833399732,-0.04158079026146229,-0.05387541766734107,0.045128785590001864,-0.06804026683419878,-0.02607795013308741,-0.3019177479268745,-0.04023777924388339,-0.09143288959170476,-0.0827321029415905,-0.17058224316836507,-0.23142090752840594,-0.045899933754282536,-0.09101310265372396,-0.023694505350900168,0.19294487154637635,-0.011163669913192113,0.06562650176151227,0.05635908337476582,0.10130565779615734,0.09886412842856093,0.07903326366731461,0.017800865779839175,0.0017781714421887525,-0.008861860953272203,-0.0033618387441195453,-0.2648196102512629,-0.1955729449475886,0.014529243310536469,1.031561837227044,0.0018530659286170965,0.0
6,18637.157819156426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7365381147809191,0.0,-0.36388858444219546,-0.22590268649161444,-0.12757547859884522,-0.5297017134176316,-0.0990295712634351,-0.19162059047541782,-0.07172342744937134,-0.10786775602388295,-0.04796881191103228,-0.049469954171735275,-0.009149315760858484,-0.05039184065567437,-0.06644484167812915,0.05037705374142117,-0.079045146821859,-0.030003642194453155,-0.32622818169908446,-0.04543224003523555,-0.09781542537868107,-0.08905003178146643,-0.18391104778457157,-0.24904092917126203,-0.049446216824659446,-0.09840407675334542,-0.025617253414759202,0.2142264553195792,-0.014232996198780164,0.07296479949091568,0.06273332278413299,0.11160726848378799,0.10773586665960218,0.08883792443003517,0.018561516012739525,0.0017921885655112504,-0.010408201506742428,-0.0036225813706581987,-0.2860952557412691,-0.20591507091227929,0.01564733454455998,1.102804553773255,0.0020391957073322693,0.0
7,17949.246473860145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9748492808962406,0.0,-0.8387364439879778,-0.4472524259474548,1.0542470720971204,-0.60709328188788,-0.12160176878570651,-0.06598247626093964,-0.028675608023546892,-0.9561895446329016,-0.36609700857387706,-0.3598111311359802,-0.16030617251941018,-0.45402515664317683,-0.6760038317261382,0.2220200009870655,-0.5267387360880349,-0.18173206362698727,-0.9309976902128358,-0.18955872729247986,-0.2439374025944013,-0.2548306952912098,-0.5205130677882388,-0.6823834244294698,-0.13160109078067994,-0.287230502212664,-0.07874121988069992,1.0738987396792983,-0.1268642074714196,0.3679389639471721,0.3169275743534198,0.5292471049623109,0.4819396294642654,0.46788667787984334,0.06240734549477706,0.0062148756177135105,-0.006839548200126186,-0.0023032172554490085,-0.11213809475184863,-0.27607099885444003,0.020375038956680348,1.0493870943456542,0.028542530669836422,0.0
8,17875.164975346735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3000436569943075,0.0,-1.0565732665706944,-0.6364254508478289,1.5994841150956431,-0.5988030525510151,-0.10515239186703966,0.02083208071952565,0.05572403822836938,-1.3674049373046213,-0.6769558749082406,-0.5447556090095189,-0.17632787959235663,-0.511588973529207,-0.8209106939369397,0.5557175080654986,-0.8783442117472988,-0.32891307383659074,-0.568416227532844,-0.30875759043138795,-0.038482551218717215,-0.1413615324480955,-0.0943725874788231,-0.2306463077411921,-0.05804388259037345,-0.1496164577906646,-0.048766366832082964,1.4104863881220853,-0.2989392800949373,0.4142743046817223,0.37862014771867636,0.6000818365581019,0.2772330373424838,0.7463541510575795,-0.06834629700459957,-0.025676125830968514,-0.005989702840106006,-0.0018970310280019475,-0.18781611662769723,-0.2803091020722376,0.035921399546083206,1.197260589193922,0.03235361330245181,0.0
9,17519.09275559142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.805112302692916,0.0,-1.0528542281888067,-0.7359447292238992,1.7150607730520704,-0.1587945458653222,0.09500784805162159,0.14654171370050428,0.30223393507334145,-1.884987749756999,-1.427796103804439,-0.8490681809779694,-0.08704146720913682,-0.21647451047975635,-0.6154683273138325,1.5154674446105827,-1.5889434718986917,-0.6674483024111733,-0.8955394673970924,-0.6709240037234241,-0.014193979414866068,-0.19561192299352412,0.20628766939526721,-0.2891769769844531,9.367907418458901E-4,-0.23780927435324267,-0.10473129073296882,1.6674476776977756,-0.7558214212735821,0.24138536267706184,0.2579240577095905,0.43401380466830786,-0.7695294067241683,1.1957124370024654,-0.4563644588938408,-0.14288041127214665,-0.0055428874169780075,-0.0016463238703131055,-0.16089719807493366,-0.2390083236929567,0.06346268425742052,1.1863599764942248,0.03700207188576912,0.0
