Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_speed
0,18738.06335805751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,18176.059808112263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0470595527513833E-7,4.0322236300493556E-10,-3.98401704988183E-8,-2.2739309418680285E-8,-4.2625726037161664E-8,-1.1983301568046325E-8,-3.487091818505636E-8,-1.7020194327339574E-8,-4.3951096411123493E-8,-3.4038309481322096E-10,-1.8206111537766273E-8,-1.3737249049935275E-8,-1.8488499427082294E-8,7.56020803292609E-10,-2.0408760639343804E-8,-1.2664670248938146E-8,-2.2707953322350397E-9,-1.0926655004668695E-10,-7.070029699358975E-10,-1.26675333367554E-9,-3.279383321322317E-9,6.588663315628269E-10,-2.0793880349277456E-9,-1.1408123119644273E-9,7.4118673550817936E-9,4.6427281854972365E-11,1.8620363964470792E-9,1.1017169120955184E-9,4.156866780424132E-9,1.7906775158819624E-9,1.7472174592125085E-9,4.5594266822618173E-10,2.514404686694538E-5,-1.9286774785319769E-4,-0.09999992489848177,-0.09999983358332168,-5.707003524989456E-11,-5.251986732665809E-9,-6.496658434350455E-9,1.7829890026935387E-9,-1.1671430556098429E-8,-1.0370129588980865E-8
2,18037.203970074428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.338587448976074E-5,8.173397328269022E-8,-1.2638202951795879E-5,-7.210418341990938E-6,-1.3630612412984753E-5,-3.794981227087194E-6,-1.1162147281697024E-5,-5.435415805158575E-6,-8.404861474837173E-7,-6.157958283731E-8,-8.493564289393375E-7,-1.380282741118377E-6,-4.004025037523189E-7,1.4037026438346755E-6,-1.7503097486484691E-6,-1.5966625366411113E-6,-8.414892134200149E-7,-3.2227361893281E-8,-2.67059736393563E-7,-3.8885127557204916E-7,-9.964027890922558E-7,1.4771443785356997E-7,-6.286079989758907E-7,-3.4294572177415765E-7,1.966010231824265E-6,1.2072971447900755E-8,4.929604973885166E-7,2.907186004794329E-7,1.1029851070222032E-6,4.768133022411414E-7,4.624132927261446E-7,1.190829877654569E-7,-0.00380408930299478,-9.894281545073493E-4,-0.09998384849086207,-0.09995585120514248,-1.1517327514350302E-8,-1.1297176406776626E-6,-1.404478181175371E-6,6.406656416304227E-7,-3.096362566563191E-6,-2.7504440901553704E-6
3,17679.610546670137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023590716415570638,6.211891774174149E-5,-0.008972294858245581,-0.005139130917669822,-0.009582911650886669,-0.0026616098777467205,-0.007899821930332009,-0.0038764997961342374,8.6934169948648E-5,-3.0818512847232714E-5,-3.63491451790364E-4,-7.897463723640411E-4,9.907474448514327E-5,0.0010890228316189083,-0.0010805123940960599,-9.999906675462378E-4,-0.003186046629418264,-3.91327765483266E-5,-0.001085275296296323,-8.252130165254677E-4,-0.0019711227066713855,-1.9706506549770585E-4,-0.0012702285144024358,-6.590044239543887E-4,0.0013649209849214655,7.832371653817778E-6,3.3782801342891036E-4,1.9551062171056238E-4,7.67346229840257E-4,3.3934970623816595E-4,3.1612148281008487E-4,7.46432073986873E-5,-0.005210627521296891,-0.0012900909798336157,-0.15893453523984924,-0.0696550008648148,5.7064713989704336E-5,0.004103913179656046,0.005054497904724854,0.003236794572787554,-0.002128359973471477,-0.00188737693815606
4,17303.97597244748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07891555012922336,1.8679252577719755E-4,-0.029982194348313784,-0.017239281915287695,-0.03206524531134763,-0.008871473888752172,-0.026387794273609398,-0.013010485765535276,4.8486236889339724E-4,-8.931995291249224E-5,-0.0011169238088282953,-0.0024390381362149336,4.500516535146231E-4,0.003568539904372117,-0.0035265580639528542,-0.003175816935500766,-0.006215079561058105,-1.0710365282904573E-4,-0.0020634330200236498,-0.0018140546842754855,-0.004482679873383659,-1.5261237437584328E-4,-0.0028179216148696575,-0.0014868019181276991,0.003072125251454156,9.631079964340372E-6,6.584944542520478E-4,3.3481062746292813E-4,0.0017710597552124071,9.343831102491184E-4,6.120615128978822E-4,1.8403196951803878E-5,-0.0050675676041180276,-0.0012685004041435226,-0.15401912190821712,-0.057738481099023777,8.243636908615095E-5,0.005512586794034753,0.006494248321042663,0.007041299715653697,-0.0033025602138922455,-0.002799990842192572
5,13809.728028856109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1231627843800154,0.007341733389106531,-1.185571657913589,-0.6827712157709609,-1.2657061035177841,-0.3506785943097858,-1.043003343591625,-0.5154364308275392,0.02108408805521398,-0.003410563856843736,-0.04405223840741044,-0.09512233036890329,0.01844627637818231,0.14154549082363593,-0.14024206584547566,-0.12489222671619554,-0.18409027695813504,-0.003927848658821019,-0.05994602825347828,-0.05882901905956619,-0.14847103072805234,0.0012719449792293813,-0.09203791303537075,-0.04904816660685017,0.08473991914058922,-3.320873441774401E-6,0.014019704779020719,0.005277235914275094,0.05066443989939501,0.032389289952554245,0.012971303400010034,-0.005214730178564694,-0.005938707793712742,-0.0019313739143722057,-0.21805782456400444,-0.22055918519709913,0.0017473906153990454,0.10343685413663452,0.1108441935665583,0.2250442280899549,-0.04099312057365891,-0.02702180235288594
6,13664.039704200684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1404865256155046,0.010417891099287624,-1.1979287973369748,-0.6878803642408196,-1.2541759696060786,-0.35269337285595076,-1.0474417612754756,-0.5181132121038753,0.02686840772113819,-0.00532527423308546,-0.050075111364382044,-0.10804980389908057,0.020426532216846326,0.16117223718181498,-0.15861348652481538,-0.14255395299037973,-0.21032168035562904,-0.005154979068933937,-0.06791402466717758,-0.06753929988276838,-0.1665111402136942,0.0018111047863533522,-0.10556433593924003,-0.05645247165031483,0.10409249126370904,6.236220273177673E-5,0.01787296103598505,0.007359426101892212,0.061784086897766856,0.038383612229954345,0.016691610229708595,-0.005164795749683339,-0.005899954041772105,-0.0019242686522634154,-0.2174013168351106,-0.2269837867718775,0.001482519345427003,0.07730073467333695,0.09944840903575194,0.2428232451078522,-0.11604001532997554,-0.09223316991746079
7,13512.892175147063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.158141119219017,0.013498869814156381,-1.2105464716443168,-0.693125000993805,-1.2431388123778904,-0.3547247059210017,-1.052095610386061,-0.5208727558432984,0.03315066271083337,-0.00723201877761104,-0.055889065058381204,-0.12058601431826475,0.02266152772161105,0.18036964190823013,-0.17626320183379068,-0.15989674650025668,-0.23589645554418812,-0.006378513131696204,-0.0755911136817259,-0.07604912306109632,-0.1836603302256164,0.002426525860490265,-0.11878774612672457,-0.06374206845976747,0.12350709337363629,1.1166209515086381E-4,0.021777811423034227,0.009405000318489912,0.07284034299019466,0.044361755503889946,0.0204224640726671,-0.0051049824603889415,-0.0058599745014606235,-0.0019171989948904395,-0.21671799217168236,-0.23365282639966575,0.0012263375219193993,0.05170340204094906,0.0880124966306971,0.2605359047837547,-0.19410775305177969,-0.16028099790364025
8,13363.194443029082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1758539835068107,0.01658447051151827,-1.2233299134294,-0.6984461670586047,-1.2325072333483464,-0.35674315991656996,-1.0568803366181772,-0.5236691117419682,0.03997466421503575,-0.009125820968012855,-0.061475693189210714,-0.13272258402245996,0.02517536993718522,0.1991453633561654,-0.19318689192729727,-0.17690626769720158,-0.2607595327582681,-0.007592402432048227,-0.08296467016957695,-0.08434309476644242,-0.19987483032002315,0.003122212168631524,-0.1316872418764233,-0.07090420726339382,0.14251793731538992,1.3375288854281314E-4,0.025591664265056636,0.011303261995564376,0.08355359209858226,0.05026083509141267,0.024014731284071455,-0.005108301467933553,-0.005819120756158946,-0.0019102119637156437,-0.21616112117795022,-0.2404011644987961,9.663422048791297E-4,0.026856655206248737,0.07492301356106706,0.27764309556378414,-0.2732719685658167,-0.22939565944438728
9,13153.162837952212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.195716083562735,0.05324333856983084,-1.3417730567849306,-0.7364156668624491,-1.1443124205457014,-0.3546625169107302,-1.0822564869164,-0.5321631808712236,0.281461373397358,-0.025194260437152574,-0.05690155874468916,-0.15909736927641713,0.13921467364697143,0.3007859974411142,-0.18498509801504542,-0.27476144716455586,-0.3220108864158565,-0.016477405952075537,-0.0770217811474649,-0.11313564438463983,-0.111521261431049,0.03522332903031969,-0.1803892818419336,-0.1119255272886544,0.033072196500491535,-0.01157167218060262,-0.023801625105830254,-0.05614129295140051,-0.01501793428571424,0.06819220074116988,-0.042535367569836696,-0.05650562812737425,-0.0057537480048020905,-0.001962050306434611,-0.2396119105754231,-0.24426631778762936,-0.0014388192238589212,-0.061736167646550016,-0.18387921691610437,0.2530546275409366,-0.3786612725013805,-0.28472979892666
