Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_speed
0,18738.06335805751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,18173.07334326679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0312421713963755E-7,0.0,-3.923832586794469E-8,-2.2395798557354723E-8,-4.19818014748078E-8,-1.1802276095048365E-8,-3.4344141451409317E-8,-1.6763079148260747E-8,-4.328715017131442E-8,-3.3524110532149546E-10,-1.7931081327280213E-8,-1.3529727609134157E-8,-1.8209203330359284E-8,7.445999921968357E-10,-2.010045616022673E-8,-1.2473351695436119E-8,-2.2364916141181947E-9,-1.0761591738984049E-10,-6.963226456265366E-10,-1.247617153208228E-9,-3.229843391653271E-9,6.4891318228787E-10,-2.0479758068008305E-9,-1.1235786566814848E-9,7.299900149205111E-9,4.572592917598975E-11,1.8339075859108355E-9,1.0850738505828427E-9,4.0940711668077365E-9,1.7636266866544217E-9,1.7208231583440707E-9,4.490549806630411E-10,2.476420889396898E-5,-1.8995419560026308E-4,-0.09999992603300115,-0.09999983609729145,-5.620790805844756E-11,-5.1726477143609535E-9,-6.398516811250485E-9,1.7560543198158733E-9,-1.1495116355459898E-8,-1.0213473461849665E-8
2,17904.88677717099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.1573061039965885E-5,0.0,-1.1952294014979846E-5,-6.8189632851435195E-6,-1.2889718695016985E-5,-3.588879198253606E-6,-1.0556221477288866E-5,-5.140323757113598E-6,-8.086244348196978E-7,-5.83312310769615E-8,-8.078759710839359E-7,-1.3084338389662848E-6,-3.859073654275811E-7,1.3261208426598314E-6,-1.659802710091074E-6,-1.51239964836705E-6,-7.952962592871563E-7,-3.0472808362284875E-8,-2.523987281670393E-7,-3.6767002170671244E-7,-9.421464643738468E-7,1.39807389786443E-7,-5.943968941274742E-7,-3.2428619897130345E-7,1.85970715279787E-6,1.1421218213578322E-8,4.6630914087985357E-7,2.7500489464346815E-7,1.0433450644750786E-6,4.5102523965678927E-7,4.374140881971491E-7,1.1265090346301003E-7,-0.0035939119866245546,-9.424887481642482E-4,-0.09998471298116207,-0.09995823845624559,-1.0903457986371935E-8,-1.0692506726125637E-6,-1.3292819420183769E-6,6.055999530570612E-7,-2.9289333743855467E-6,-2.6017218270984097E-6
3,17512.911974304927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02267947632334287,0.0,-0.008626280979261467,-0.004941631767215627,-0.00921312920191397,-0.002557922658692493,-0.007595078782174815,-0.003728148091114703,8.167400714709832E-5,-2.927639121615075E-5,-3.479675433618903E-4,-7.559254180656892E-4,9.407163183160899E-5,0.0010437886882541782,-0.0010372673895053227,-9.571195740853825E-4,-0.002982651089421513,-3.747517290516561E-5,-0.0010134342980639994,-7.759964998552936E-4,-0.0018600616725081092,-1.810623610333153E-4,-0.001193707002694129,-6.203298686161926E-4,0.0013088441386077498,7.4969076824232334E-6,3.2388348745604804E-4,1.8736351877380626E-4,7.358444699403862E-4,3.2553707197286846E-4,3.030543277381775E-4,7.144349830249067E-5,-0.0047795774078609535,-0.0011964970194291078,-0.15274740430200798,-0.0708962976772455,5.127235294467403E-5,0.0036736311528286015,0.0045181559440706865,0.0029695058653060307,-0.002041278638674932,-0.0018101290083640277
4,17354.233132748665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04363148540206884,0.0,-0.01658189640166219,-0.009523454944523196,-0.01772734132194243,-0.004909827273497258,-0.014595414807085495,-0.007187776218399496,2.222108441273675E-4,-5.157275593824481E-5,-6.347502304179694E-4,-0.001382546417958588,2.192901202814907E-4,0.0019804919214594322,-0.0019654012086130113,-0.0017805472836014673,-0.004096938693657671,-6.306870673904081E-5,-0.0013727488340687637,-0.0011437871081447365,-0.0027950568358319277,-1.6026091380756365E-4,-0.0017696253880452018,-9.287688903164401E-4,0.001993240917977749,8.460506514245274E-6,4.5792883874651665E-4,2.479674160338442E-4,0.0011354643735575372,5.555693538851485E-4,4.265526694019271E-4,5.614133465656233E-5,-0.0047077227921389075,-0.0011845580227683606,-0.15009246557467687,-0.0639999473309163,5.932988310866821E-5,0.00408555698238528,0.0049240220180014884,0.0043394811743586404,-0.002562378176122488,-0.0022297670832457117
5,13636.390908679976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9505607491056827,0.0,-1.1197826467323533,-0.6448579885097975,-1.1940143649721002,-0.33132794376730346,-0.9849363948460719,-0.4869737635244743,0.018317555570735156,-0.00327228239181329,-0.04240356986084201,-0.09091058229178829,0.015986891045508884,0.13416490838491274,-0.13362473382699686,-0.11873836598243359,-0.17357851721802164,-0.0037187993314642715,-0.05662016353394293,-0.05563467505133484,-0.14031714984383709,0.0013861430010163758,-0.0870866887841938,-0.04640556950054735,0.0772842944920135,-5.6555562639947236E-5,0.012358278205965061,0.00428676477418375,0.04633914172770286,0.030324393703337376,0.01136287923294848,-0.005461658906713808,-0.005447370102145183,-0.0017969074653786513,-0.21096308936564787,-0.22669165040584843,0.0015472404603790097,0.0894157372402093,0.09532155569756963,0.20665494643289828,-0.030076909981977856,-0.017962227902199476
6,13494.775148389097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9675952174186775,0.0,-1.1316276825149685,-0.6498864848203735,-1.1816211944551365,-0.3332644058241003,-0.9889135473719918,-0.4896570046505788,0.02263528722163675,-0.005169684658204653,-0.048928416055881385,-0.10416626904768386,0.01697233980958422,0.15361353121688123,-0.15245669610833656,-0.13662459856553272,-0.2009345318505045,-0.004933494587953349,-0.0649725541942506,-0.06459705506854171,-0.1591678237837778,0.0017811775891592805,-0.10096122378789713,-0.053981890054323495,0.09515449067863574,-6.650386042937091E-6,0.015780098524530772,0.006059469734370779,0.056680295943736844,0.03612537879380954,0.014664278506971478,-0.005648563469131331,-0.0054192016621909716,-0.0017914295520565086,-0.21002363874617747,-0.23384941615302285,0.0013429267946394078,0.06774795528306145,0.08578526660437645,0.22590177362008695,-0.10359426999500346,-0.08188136178919618
7,13342.542860583011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9853008420134146,0.0,-1.1438507153929398,-0.655119015933088,-1.169875567485379,-0.33525703492521985,-0.9932197147379148,-0.4924758244802866,0.027434385733690378,-0.007066406520299825,-0.05523802759178429,-0.11703224344342215,0.018237402181802913,0.17262578606712944,-0.17055531652345848,-0.15419776659061785,-0.22758191507338102,-0.006144152473779782,-0.07302013178914894,-0.07335267347566604,-0.17709105827187555,0.002263981725376258,-0.11452300530424964,-0.0614400775488395,0.11350492034393089,3.547612636654874E-5,0.019375772474274182,0.007892052783503502,0.06720032552028336,0.041969531910558036,0.018101210902515524,-0.005760223838775439,-0.005388819139583372,-0.001785831952422611,-0.20916595327226542,-0.24145363884684365,0.0011364185065210496,0.04643824455888289,0.07499192349282201,0.24444690329745253,-0.18181073337447773,-0.15012490013625246
8,13183.995076489431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0034369758582895,0.0,-1.1563722465538464,-0.660505601033543,-1.1587047358718263,-0.33727968512703776,-0.9977815137809782,-0.49539050542318486,0.03276290491070496,-0.008958083510554287,-0.061313147780476335,-0.12950078352913758,0.019808218912626522,0.19121402867144177,-0.18792113372717886,-0.17144575362185255,-0.2534891774586456,-0.007346949105985429,-0.08075622922446016,-0.08189184462713048,-0.19406559291870798,0.0028365025696564746,-0.12775967638768046,-0.06877191379287109,0.132005171116452,6.136020923930058E-5,0.023045694694522917,0.009702488894687587,0.07769723270232883,0.047810751521836246,0.021567304792228244,-0.005848250980907841,-0.005356910080361764,-0.0017802385675992447,-0.2083552580948757,-0.24938075579850474,9.289930504754609E-4,0.025536698491103734,0.06362407783354009,0.2622227443684185,-0.26350969636870625,-0.2215759315177005
9,13030.831769451645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0215096288495937,0.0,-1.169016495442586,-0.6659391717514141,-1.1479378503527216,-0.3392786883213165,-1.0024423131862135,-0.49831806697033326,0.038689989444867165,-0.010837659049600903,-0.06712520373808097,-0.14155303468489114,0.02172593829327442,0.20938306538374551,-0.20453379293681417,-0.18834382390298857,-0.2785592495515216,-0.008534027127547493,-0.08815587398774583,-0.09018869287284961,-0.21003475569059582,0.003506640237232517,-0.14063577141702294,-0.07595634840169617,0.15000736045755447,5.6498020206894074E-5,0.026589335515015248,0.011338843235637119,0.08778501519751078,0.05356269679936349,0.024853779063720105,-0.006014180249683364,-0.005324448991643003,-0.0017748027945633897,-0.20770674426000138,-0.25733448598722813,7.166506409132297E-4,0.005011235056864488,0.05075086239212287,0.2792143802689458,-0.3456565543001541,-0.29341011855747623
