Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_vgvi,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_speed
0,18738.06335805751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,18170.460594538246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.016028297839245E-7,0.0,-3.8659444452011064E-8,-2.2065394257653525E-8,-4.136244567550662E-8,-1.1628157598756387E-8,-3.3837463737907316E-8,-1.6515774127516222E-8,-4.264853661610735E-8,-3.302953070124448E-10,-1.7666544818182183E-8,-1.3330124091340594E-8,-1.7940563698730324E-8,7.336149389803019E-10,-1.980391495298706E-8,-1.2289332848271415E-8,-2.2034967448502865E-9,-1.0602826416413243E-10,-6.860498261284898E-10,-1.2292111083982923E-9,-3.1821936442584278E-9,6.393397926625069E-10,-2.017762103524382E-9,-1.1070025467352668E-9,7.19220502100908E-9,4.505133641391928E-11,1.8068520223377025E-9,1.0690658004654167E-9,4.033671502409445E-9,1.7376079743121891E-9,1.6954359247035199E-9,4.424300909082356E-10,2.439886353348488E-5,-1.8715180912532318E-4,-0.09999992712423325,-0.0999998385153414,-5.096335854290968E-9,-6.304119754555523E-9,1.7301473222917555E-9,-1.1325529374237374E-8,-1.0062794505792926E-8
2,17795.151321817317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9792443395711733E-5,0.0,-1.127852618338059E-5,-6.434452879462377E-6,-1.2162083153345808E-5,-3.3864438124825534E-6,-9.9610335674287E-6,-4.850466019188279E-6,-7.758248921755529E-7,-5.512920534972102E-8,-7.666357509598171E-7,-1.2375244443850599E-6,-3.7084541589152E-7,1.2500699566697354E-6,-1.5704194539219498E-6,-1.4293713306460176E-6,-7.499878031698698E-7,-2.875011274369315E-8,-2.380184372598966E-7,-3.468743337070544E-7,-8.888755421914115E-7,1.320271465521868E-7,-5.60804776718263E-7,-3.059637013985947E-7,1.755242125392982E-6,1.0780600745015654E-8,4.40118194746379E-7,2.5956217950941297E-7,9.847363788917467E-7,4.2568389953168443E-7,4.128466686801692E-7,1.0632917216735473E-7,-0.003387677242309247,-8.965122474036664E-4,-0.09998556358548465,-0.09996058441568498,-1.0097549742358184E-6,-1.2552964089358242E-6,5.711922033217012E-7,-2.7644001663005956E-6,-2.455571713753798E-6
3,17386.67315139219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021884812595057878,0.0,-0.008324482529872688,-0.004769311973677716,-0.008890758697143052,-0.0024675441363671566,-0.007329282867123174,-0.0035987381056308554,7.56502306506353E-5,-2.7947695494401164E-5,-3.3485236477823416E-4,-7.268189329852451E-4,8.878544370731848E-5,0.0010041689452337142,-9.998969070318402E-4,-9.199484787339342E-4,-0.0028028254099121165,-3.599772030798061E-5,-9.500560712763624E-4,-7.326168462503302E-4,-0.0017616673193311116,-1.6676315486424328E-4,-0.001126340553342929,-5.862665002205823E-4,0.0012600306147043609,7.205506343251843E-6,3.1175229776852733E-4,1.802804884937725E-4,7.0842044213096E-4,3.1350018767595207E-4,2.916872623636694E-4,6.867050898046371E-5,-0.004392495789929852,-0.0011123024699187284,-0.1474190147899192,-0.07197568054081055,0.003302982950916233,0.004056713136730703,0.0027374664333565577,-0.001965554636091381,-0.0017429615606155743
4,17231.58010470622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.041834011179178274,0.0,-0.01589848232035176,-0.009131154330165423,-0.016996629794866006,-0.004707093118229241,-0.013993564085979305,-0.006893129940794895,1.9880272109750182E-4,-4.9346084500325565E-5,-6.100258176947352E-4,-0.0013262510139292164,2.0004293569117024E-4,0.0018943217338627484,-0.001885960625449667,-0.0017043397295933706,-0.003838297996435691,-6.023625796800639E-5,-0.0012837109426354872,-0.0010776982104996743,-0.002639214329449996,-1.437527005781877E-4,-0.0016669888596041408,-8.76098315183782E-4,0.0019384094152763113,8.322261348634738E-6,4.482460759109745E-4,2.4349394290135962E-4,0.0011027215431783396,5.358746984107108E-4,4.1730033955781135E-4,5.830749731247043E-5,-0.004314755974736273,-0.0010989394336949443,-0.14437964428567224,-0.06376292035317385,0.0035966812333638474,0.004337039599965438,0.003986687440870939,-0.002507903940425993,-0.0021876459678414305
5,13393.977940530644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.825504985564001,0.0,-1.072217111000898,-0.6173932126741692,-1.1425152840187511,-0.3173122451485747,-0.9429942616289749,-0.4663556902388914,0.016139512273997354,-0.003166824773637905,-0.04113260535993243,-0.08779094224673706,0.014158098845394403,0.12863325132111,-0.12863970647358552,-0.11414406480755866,-0.16514564759229075,-0.0035569991368642638,-0.05392314679448996,-0.05312548816285083,-0.13392869408338176,0.0015413546759589934,-0.08319308824612758,-0.044341453317158316,0.0726440693749484,-8.460766863010819E-5,0.011406604849651222,0.003747375831241359,0.043617410794994954,0.02890381933868168,0.010434008000201474,-0.0054969018578324095,-0.004846722934492084,-0.0016470266904671737,-0.19839716907088728,-0.2140922870898982,0.07672445935076026,0.0818290874343162,0.19201772809103432,-0.023653961420783295,-0.012762726611036378
6,13249.107908446864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.842748962222812,0.0,-1.0849675281971167,-0.6228393123264986,-1.1257904789718995,-0.31920937664015225,-0.9463521080943692,-0.46916685719291973,0.020524317126898846,-0.005420273656132421,-0.04923786015153846,-0.10390431108948586,0.014741247292011228,0.15192603681506694,-0.15152018700150688,-0.13578198136546787,-0.19985923010760434,-0.005025131733926372,-0.06452832144061277,-0.06428603189549398,-0.15767385652424878,0.001779108770625232,-0.10040054597896811,-0.053729652319527324,0.09281608957191997,-4.630433567166328E-5,0.01514009664328227,0.005576675449313937,0.05533079729736336,0.03569592995874085,0.014016723388274576,-0.00593059507561359,-0.004819933642533229,-0.0016410964655345704,-0.19637153154306727,-0.22196485594985427,0.05824929516932219,0.0739462542901048,0.21694028700948648,-0.10245109817749805,-0.08113263378267527
7,13119.316732851828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8576489176688002,0.0,-1.0958721266912463,-0.6275400875554901,-1.1126190251535786,-0.3208275761356548,-0.9494516520159523,-0.471622639287545,0.024633816177899476,-0.007289019217767459,-0.05571334751094381,-0.11678067033905934,0.015512794247791577,0.17063922530271963,-0.1695738829969302,-0.15331260915789172,-0.22760688193327097,-0.006229523741925632,-0.07290489842605635,-0.07324553968095003,-0.17611833323177536,0.0020991009033555453,-0.11422468892379142,-0.061337491021026445,0.11008658406454075,-2.137538190219535E-5,0.01843236998816803,0.007169140041225921,0.0652473542468083,0.041372562214983165,0.017142943120861627,-0.006198324781625405,-0.004795572869233467,-0.0016360823974488653,-0.1946865046033073,-0.22899392345573744,0.04335829681571719,0.0673916529277933,0.23679905920385297,-0.17298673468036163,-0.14259635975933077
8,12983.66126651722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8729217892365293,0.0,-1.10702421534286,-0.6323714184907819,-1.099963640484672,-0.32247007080491635,-0.9527735614416902,-0.47416103363420803,0.02918300777009476,-0.009157430832410872,-0.06198029206164899,-0.12927683361729675,0.01654861605585982,0.1889060470129736,-0.18691188790808871,-0.17052610073946312,-0.25453851062294935,-0.007421989113047688,-0.08095421346183965,-0.08197412831249554,-0.19358451041640576,0.002521088823742657,-0.12770350337159558,-0.06880912272944585,0.12757019114121074,-9.1032366339363E-6,0.02181227366127495,0.00875963289188935,0.07518460341545025,0.04705900099377991,0.020316097611583345,-0.006432457690319915,-0.004769743492612135,-0.0016310435124579836,-0.19300840098070302,-0.23635414335010826,0.02889638861849624,0.06079648786697612,0.2557969263961149,-0.24702209380728654,-0.20726452119880778
9,12849.590831794229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8882483095321603,0.0,-1.118312568145176,-0.6372644723775948,-1.0877182634828697,-0.324102583189854,-0.9562178388518862,-0.4767282584417652,0.034229016489939444,-0.011020070205504466,-0.06801575816799359,-0.14138172010000297,0.01788545037316866,0.20673716403725545,-0.20352662525069531,-0.18740653014384737,-0.2805950265511973,-0.008596862706168594,-0.08866400092353922,-0.09045626528266426,-0.21006026489555887,0.0030499878177266157,-0.14081703047908933,-0.07613158979406592,0.1447821468089241,-2.036000965777323E-5,0.025129150982183785,0.010233397923077906,0.08485220470347865,0.052691263915667225,0.023378615481781988,-0.006709481090183462,-0.004743183227014573,-0.0016261059456143536,-0.1914286144606683,-0.24382702539839857,0.014757036927023836,0.053433368875187105,0.2740552870030407,-0.3223798208514707,-0.2731080120301928
10,12729.938432512983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8992373708781773,0.0,-1.2104472680783744,-0.6674567150419879,-0.9802894728335083,-0.32143776872765,-0.9661199797722987,-0.4827199271539153,0.2169676316416695,-0.02822930347527016,-0.075838194542894,-0.18263705142294134,0.11025814778297142,0.30632968510583525,-0.21908059824863085,-0.2922088207018213,-0.3433234864076839,-0.015547098955710962,-0.09038223121502068,-0.12182598198044031,-0.15825495313283205,0.03492114628809979,-0.19343355275628377,-0.11744593529850422,0.0793535218567919,-0.009293812469404476,-0.014198279054629556,-0.0430598829859491,0.017262211964759494,0.077779370580558,-0.030844112320344924,-0.049928689761896024,-0.004779765211565389,-0.0016775492362347275,-0.19923878023844588,-0.24295057840830062,-0.09202271583168964,-0.021767762440938206,0.3638269388907952,-0.37488062863030747,-0.24695059213050222
11,12610.289633391592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.915901926885508,0.0,-1.4115959120459545,-0.7351655862346831,-0.7571700623789513,-0.31199040599704797,-0.9888308863767966,-0.4972052522195378,0.32670297895990535,-0.06871137710916445,-0.19891091073235462,-0.29190097577433727,0.004949137650528526,0.3887152233294756,-0.304151968166699,-0.48904520458338946,-0.4472693986532688,-0.030308465594439865,-0.08209038074760126,-0.17588638562931774,0.07354525282938551,0.1053822895706856,-0.2809064832990599,-0.20155524295771338,-0.04693850390301921,-0.030168128782046454,-0.09349428710153923,-0.1565975290305766,-0.11543603295442595,0.13827296466115702,-0.14504786592577912,-0.14497600195665059,-0.0047033022182170195,-0.0016519284435743283,-0.2170679506829778,-0.24000690418102566,-0.1482292504241294,-0.24749919161209522,0.40191041617344625,-0.488244540612549,-0.18339780393836444
12,12296.576663562433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.94069811511809,0.0,-2.064808802011782,-0.953090333976376,-0.011112220226792369,-0.2770861677545723,-1.0527454806078904,-0.5405729376678525,0.7549530873707799,-0.2020743032993788,-0.5579592511439877,-0.63814494170476,-0.24513249177543817,0.6620788442682872,-0.5577110498627236,-1.118657436850209,-0.8671790065562511,-0.08129024955012064,-0.08524434107202979,-0.3659213741139644,0.8409781968762722,0.322599044281576,-0.583570363060558,-0.48783164752197755,-0.44998374759344195,-0.09928145546484672,-0.3513133874958123,-0.5284500197215993,-0.5435297823541974,0.34088113868530656,-0.517837583463921,-0.4579541255619518,-0.004725387279409405,-0.0016507415090068027,-0.20109652470037478,-0.22960889709374205,0.13223902836605497,-0.3965121272143879,0.4857800624219493,-0.883019448099013,0.007804002722000408
