Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_speed
0,18738.06335805751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,18170.460594605473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0160282930666669E-7,0.0,-3.8659444270416504E-8,-2.2065394154006E-8,-4.1362445481215276E-8,-1.1628157544135575E-8,-3.3837463578962987E-8,-1.6515774049936865E-8,-4.264853641577487E-8,-3.302953054609524E-10,-1.7666544735197323E-8,-1.3330124028725158E-8,-1.794056361445832E-8,7.336149355343007E-10,-1.980391485996236E-8,-1.2289332790544874E-8,-2.2034967344998268E-9,-1.0602826366608709E-10,-6.860498229059159E-10,-1.229211102624333E-9,-3.182193629310746E-9,6.393397896593435E-10,-2.0177620940463714E-9,-1.1070025415353563E-9,7.192204987225218E-9,4.5051336202300155E-11,1.8068520138503974E-9,1.0690657954437062E-9,4.033671483462126E-9,1.7376079661501432E-9,1.6954359167395683E-9,4.424300888300138E-10,2.439886341887638E-5,-1.8715180824621714E-4,-0.0999999271242336,-0.09999983851534215,-5.53786748307075E-11,-6.304119724943253E-9,1.7301473141647542E-9,-1.1325529321038095E-8,-1.0062794458525078E-8
2,17795.195264108275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9793204005130196E-5,0.0,-1.1278814122207546E-5,-6.434617149706861E-6,-1.2162393657841477E-5,-3.3865302673352017E-6,-9.961287878749925E-6,-4.85058985360663E-6,-7.758436804729602E-7,-5.513060921827716E-8,-7.66654939702943E-7,-1.2375558065099932E-6,-3.708544596766531E-7,1.2501019608468502E-6,-1.5704591787493544E-6,-1.4294076337608171E-6,-7.500069476461518E-7,-2.875084644599633E-8,-2.380245131231089E-7,-3.4688318580344734E-7,-8.888982255291942E-7,1.3203051385178272E-7,-5.608190878085817E-7,-3.0597150919271567E-7,1.7552869060610263E-6,1.0780875761827824E-8,4.4012942318270885E-7,2.595688014501228E-7,9.847615020446136E-7,4.256947599844454E-7,4.1285720134114857E-7,1.0633188471288576E-7,-0.003387764654106297,-8.965304249052013E-4,-0.09998556321723381,-0.09996058341009297,-1.0299391212971166E-8,-1.2553284262422741E-6,5.712067814087138E-7,-2.7644706931955327E-6,-2.4556343615813876E-6
3,17386.24848877318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022204470262931868,0.0,-0.008446073742122659,-0.0048389749716945,-0.009020619219644152,-0.0025035858427042996,-0.00743633722113703,-0.0036513029101278073,7.676661137824611E-5,-2.8355776633916054E-5,-3.39739946549965E-4,-7.374328681282184E-4,9.008891634510088E-5,0.0010188387669670753,-0.001014500047898536,-9.333847710915922E-4,-0.0028438388513949957,-3.652387884851378E-5,-9.639592814317526E-4,-7.433335835518921E-4,-0.0017874340520668507,-1.6920731527511862E-4,-0.0011428165254575638,-5.948417632457475E-4,0.0012784356294436733,7.310748944646222E-6,3.163059293674451E-4,1.8291371530642728E-4,7.187682234387006E-4,3.1807955470728155E-4,2.959478026716753E-4,6.967344069403375E-5,-0.004402316298701205,-0.0011144268245772916,-0.14811416028812163,-0.07156634364959946,4.696279195173207E-5,0.004116182133596208,0.002777546272985593,-0.0019942644959361874,-0.0017684200560206605
4,17231.927070656264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04215227852083847,0.0,-0.01601959152656272,-0.009200462800125656,-0.017125425336266743,-0.004742996521227356,-0.014100162422054339,-0.006945399149387297,1.998226095015233E-4,-4.97695226467699E-5,-6.151499205782711E-4,-0.0013371955116495415,2.0126883977990306E-4,0.0019092628585522177,-0.001900828547392354,-0.001718138601330977,-0.003880834011456058,-6.075028644598091E-5,-0.001298246926895763,-0.0010887429270095739,-0.002665551048709967,-1.4631139265799487E-4,-0.0016840600142607393,-8.849518219904535E-4,0.0019501986327558271,8.361452551920278E-6,4.506244873944018E-4,2.447070653894472E-4,0.0011096095990118422,5.396456995183515E-4,4.1954320842579364E-4,5.823765927569759E-5,-0.0043260327346956165,-0.001101373315927358,-0.14515062070164275,-0.06369359889596823,5.342347789322587E-5,0.004402029748965815,0.004030874228989795,-0.0025223008284534706,-0.00219961530197464
5,13427.005389092654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8449562455067143,0.0,-1.0795927451381166,-0.6216422824291549,-1.1503870607673794,-0.3195000109752801,-0.9494839494935338,-0.4695610936147919,0.016196196828539393,-0.0031906612215278326,-0.04143971134304496,-0.08841701907621335,0.014226310814332887,0.12951963316710416,-0.1295476152750357,-0.11495218154235454,-0.16649680169635483,-0.0035813563217351315,-0.05437483536257985,-0.05353448849935662,-0.13493108061168668,0.0015289923937213444,-0.08383887863213868,-0.044682167454570584,0.07323270124817682,-8.345530507353598E-5,0.011508271307726798,0.003794052961193696,0.04396804506318824,0.029116287598275035,0.010531034504842591,-0.005520972863914284,-0.004882468095997935,-0.0016576239300908975,-0.2054821897560733,-0.21772208428855908,0.0013836393014894156,0.08282817441680637,0.1939438561761058,-0.024303150497402642,-0.013269643312168128
6,13305.552952615835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.859156053460471,0.0,-1.0901644864153215,-0.6261500277846912,-1.1365961420726785,-0.32106088155140844,-0.952266533270068,-0.47187912202075954,0.02008309139515614,-0.0050459968743881,-0.04807246830906276,-0.10168563392515456,0.014835714347023814,0.14882681613694912,-0.14841435946231601,-0.132812196455051,-0.19528158110582355,-0.004817271799528204,-0.06311671043951855,-0.06276135675156258,-0.1543923781315262,0.0016951200259166185,-0.09805676429103745,-0.05245129283335464,0.09003639496548375,-4.9024292409314566E-5,0.014629001948680916,0.0053342899255433875,0.05372353785220649,0.034755229335186974,0.013528198114924546,-0.005863930193316251,-0.004862667010984445,-0.0016532950864729902,-0.2029129022667379,-0.22432143331418797,0.0012471400693661236,0.07551560284478698,0.21477124433424627,-0.09126243994423211,-0.07140602705134542
7,13174.714071819708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.873952092350381,0.0,-1.1010584693205336,-0.6308317195573171,-1.1233815350540055,-0.3226712453067301,-0.9553431848974288,-0.47431491603708553,0.024317345098440697,-0.006909946486967845,-0.05452861295893913,-0.11459232300913215,0.015655665752408385,0.1676670358874514,-0.16657185349052686,-0.15037534334901564,-0.22316424434613655,-0.006038360503578908,-0.07151124358308933,-0.07174612004925628,-0.1728382047982646,0.001982041650518569,-0.11191349037764695,-0.060075395961047516,0.10738025576796642,-1.9463353997996125E-5,0.017937125571542905,0.006952835826276726,0.06369834965454334,0.04044833983967927,0.016678195951312594,-0.006121783554219691,-0.0048407515301191525,-0.001648808560683078,-0.20035959329238215,-0.23137164466923485,0.0011150577990028296,0.06825869623485833,0.23461247662859866,-0.16288447823506896,-0.1338165294880222
8,13036.5702835502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8892400842572394,0.0,-1.112245183787013,-0.6356668497110982,-1.1107231321481028,-0.3243202001804298,-0.9586851467351628,-0.4768513616058663,0.028946078157286986,-0.008778800753612584,-0.06078957891224932,-0.1271325843635256,0.016719275673604428,0.18605677784227512,-0.1840255226062648,-0.16763362885547112,-0.2501561647100484,-0.007242072051628081,-0.07956761480107044,-0.080490253374946,-0.19031258803846257,0.0023876720020057987,-0.12541428806654437,-0.06755469225176376,0.1250270611830087,-1.1428530842747946E-6,0.021361204267363813,0.008589425195663428,0.0737455973724932,0.04616261354837031,0.01990372975575073,-0.00633189181779985,-0.004816799765935476,-0.001644181170143885,-0.19791669992959057,-0.23879321614995774,9.751059498612866E-4,0.059949529603940246,0.2534339888590395,-0.23836783993451344,-0.1997647740225807
9,12898.243070062927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9046787086073973,0.0,-1.1236064210244407,-0.6405827560262032,-1.098507233075984,-0.32597068203385376,-0.9621852961435463,-0.47943157902006406,0.03403698344912795,-0.010646645841182226,-0.0668286914541258,-0.13929192773317975,0.018070795725448677,0.20400761126666717,-0.20076415929028918,-0.18456888445671285,-0.2762144887984778,-0.008423748475489937,-0.08727781920736824,-0.08898215665498932,-0.20681718405534072,0.002914850684944785,-0.1385446688020524,-0.07487875663145692,0.14251379734906483,-4.702435795639238E-6,0.024758256354292966,0.01013348900547394,0.08358729313168575,0.05183628694895405,0.023054693051955656,-0.006567169712125288,-0.00479185184057901,-0.0016396032802168863,-0.19557198350507318,-0.24638161614009138,8.294732687987225E-4,0.05106555838583057,0.2714971258426144,-0.31570398680541184,-0.26738373774313196
10,12773.456897675933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9118017944411645,0.0,-1.2216006676413562,-0.671954445588964,-1.0084755970006853,-0.32237451071922857,-0.9776549336638181,-0.4853811552062773,0.2389884579769103,-0.028429359702679,-0.0632973650974171,-0.16260993727013157,0.12651197172606665,0.28274428860801903,-0.1816000126342427,-0.2741713650581165,-0.27564361817283495,-0.012978223454849678,-0.06944908414192195,-0.10563983142451516,-0.11279152386542217,0.044307470389442626,-0.17052902100253275,-0.10631922475802419,0.058229649489907054,-0.01079761679825555,-0.018963356545394053,-0.050729849588382406,-0.0010052403702679458,0.07322891145822447,-0.03834228267057934,-0.05272719576193797,-0.004824781094702639,-0.0017013739141450465,-0.20117949043527789,-0.24928452897409803,3.027562921742522E-4,-0.034572054033014124,0.3380683364893954,-0.42088949973847106,-0.2876422817841578
11,12657.087723285973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.919811991642405,0.0,-1.3735526225808747,-0.7211202410944564,-0.867443744631938,-0.3155356338464735,-1.001318291593625,-0.49517143591054613,0.3737050104954944,-0.05792053445160915,-0.12698962658715993,-0.22690752540758052,0.10513420888451414,0.3512073125048871,-0.21846626285984314,-0.4078666461568987,-0.28737830002591835,-0.019678211878674932,-0.04936421293400919,-0.13380322662879113,0.046469866222886694,0.10573122356372838,-0.22039409692983133,-0.15775256061804152,-0.05638894730200726,-0.02773898056065254,-0.08083329090265808,-0.14095616539929584,-0.11679908906389055,0.11090709138107765,-0.12836389432952452,-0.12390254914925808,-0.004767854728614198,-0.001705102506989751,-0.22053946251190928,-0.24997462208460303,-4.269521711041661E-4,-0.2978052693517731,0.39482894280569547,-0.5407376782453794,-0.2731099551407181
