Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_f,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_speed
0,18738.06335805751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,18170.460594605396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0160282930660503E-7,0.0,-3.8659444270393045E-8,-2.2065394153992614E-8,-4.1362445481190176E-8,-1.162815754412852E-8,-3.383746357894245E-8,-1.6515774049926843E-8,-4.264853641574899E-8,-3.30295305460752E-10,-1.7666544735186606E-8,-1.3330124028717066E-8,-1.7940563614447435E-8,7.336149355338556E-10,-1.9803914859950344E-8,-1.2289332790537416E-8,-2.2034967344984896E-9,-1.0602826366602274E-10,-6.860498229054996E-10,-1.2292111026235872E-9,-3.1821936293088153E-9,6.393397896589556E-10,-2.017762094045147E-9,-1.1070025415346847E-9,7.1922049872208544E-9,4.505133620227282E-11,1.806852013849301E-9,1.0690657954430575E-9,4.0336714834596785E-9,1.7376079661490886E-9,1.6954359167385395E-9,4.424300888297454E-10,2.4398863418861577E-5,-1.8715180824610357E-4,-0.0999999271242336,-0.09999983851534215,0.0,2.9191001827930575E-11,-6.304119724939429E-9,1.7301473141637045E-9,-1.1325529321031223E-8,-1.0062794458518971E-8
2,17795.195267940133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9793204073332964E-5,0.0,-1.1278814148026627E-5,-6.434617164436743E-6,-1.216239368568413E-5,-3.386530275087482E-6,-9.961287901553671E-6,-4.850589864710712E-6,-7.758436821581626E-7,-5.513060934416742E-8,-7.666549414237424E-7,-1.2375558093222729E-6,-3.708544604879207E-7,1.2501019637165506E-6,-1.570459182311568E-6,-1.4294076370161397E-6,-7.500069493615014E-7,-2.8750846511769198E-8,-2.3802451366741355E-7,-3.46883186596934E-7,-8.888982275621984E-7,1.3203051415385507E-7,-5.608190890913945E-7,-3.0597150989255774E-7,1.7552869100764099E-6,1.078087578648774E-8,4.4012942418953605E-7,2.5956880204389715E-7,9.847615042973492E-7,4.256947609582796E-7,4.1285720228558755E-7,1.0633188495611252E-7,-0.003387764661944618,-8.965304265359238E-4,-0.09998556321720077,-0.09996058341000279,0.0,8.880639495580593E-9,-1.255352635774517E-6,5.711825760551686E-7,-2.764470699519525E-6,-2.4556343671988813E-6
3,17386.248360735102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022204636696035146,0.0,-0.008446137049879449,-0.004839011242546267,-0.009020686833068167,-0.0025036046080883024,-0.0074363929601451596,-0.0036513302787262083,7.676719327042488E-5,-2.8355989056190655E-5,-3.397424908236303E-4,-7.374383937873555E-4,9.00895952369192E-5,0.0010188464046026263,-0.0010145076506003952,-9.333917660794894E-4,-0.0028438601928884523,-3.652415276886443E-5,-9.639665156260166E-4,-7.433391606201849E-4,-0.0017874474620870357,-1.692085865341571E-4,-0.0011428250995858906,-5.948462259584139E-4,0.001278445211718609,7.310803735695304E-6,3.1630830013613655E-4,1.8291508624061325E-4,7.187736108463545E-4,3.180819388941985E-4,2.959500208451836E-4,6.967396284002256E-5,-0.004402323400011952,-0.0011144283474334774,-0.14811452164140373,-0.07156613053360342,0.0,3.310308959853578E-5,0.004116221971461107,0.002777576043819735,-0.0019942794433532064,-0.0017684333106556369
4,17231.927264895883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0421524447936749,0.0,-0.016019654788227613,-0.009200499002757247,-0.01712549289765085,-0.004743015278090855,-0.014100218108436426,-0.006945426457550553,1.9982308511854396E-4,-4.976974042306157E-5,-6.151525809966939E-4,-0.0013372011691081384,2.012693803798653E-4,0.0019092705916462299,-0.0019008362729247396,-0.0017181457473323268,-0.0038808548268573803,-6.075054684809029E-5,-0.001298254033808652,-0.0010887484352626845,-0.0026655636582403443,-1.463125606756378E-4,-0.0016840684933532406,-8.84956233618955E-4,0.0019502049298502242,8.361475495035934E-6,4.5062577634521675E-4,2.4470773560896625E-4,0.0011096132585261083,5.396476807120798E-4,4.1954442639669247E-4,5.823765140612736E-5,-0.004326040679222395,-0.001101375017134878,-0.14515101594791985,-0.06369355881031158,0.0,4.9722828927901616E-5,0.004402048092005645,0.004030883318074957,-0.0025223090462741732,-0.00219962218718114
5,13427.013671038547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.844961421297972,0.0,-1.079594706390446,-0.6216434123262699,-1.1503892106790559,-0.31950059342053616,-0.9494856770370346,-0.4695619459916807,0.016196192743231096,-0.0031906675066739774,-0.04143979419748246,-0.08841717932013626,0.014226305224108199,0.12951985675846875,-0.12954785304124813,-0.11495239020323612,-0.166496980384198,-0.0035813612261389183,-0.05437489338559935,-0.053534563392109366,-0.13493116013784845,0.001529010114335025,-0.08383899395989337,-0.044682229854180223,0.07323289518053992,-8.345421113066906E-5,0.011508309328301495,0.0037940752173336195,0.04396815589801996,0.02911634820073719,0.010531072057236714,-0.005520972130142514,-0.004882498972009071,-0.0016576311141895364,-0.2054840577022385,-0.21772358193617872,0.0,0.0025482529025461216,0.08282529111821288,0.1939413291705752,-0.02430353499031094,-0.013269964109190513
6,13305.559264882915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.859161346814995,0.0,-1.090166499434727,-0.6261511789577208,-1.1365983519274652,-0.3210614787218777,-0.9522683083628555,-0.4718799891530507,0.020083075166730538,-0.0050460076183385825,-0.04807256180206001,-0.10168579493265592,0.014835620171551378,0.14882704551067974,-0.14841461247178084,-0.1328124110547428,-0.19528158085321812,-0.004817275446046771,-0.06311668473261932,-0.06276140477700963,-0.15439185585957732,0.001695149790104138,-0.09805681861582935,-0.05245131918521877,0.0900366778878535,-4.902136841445272E-5,0.014629064434472469,0.00533433207396615,0.05372369354834476,0.03475530470033713,0.01352826060395831,-0.0058639169770569235,-0.004862698293409291,-0.0016533023558240694,-0.20291462511544575,-0.2243229954538791,0.0,0.002805229431898874,0.07551250307404517,0.21476774706222804,-0.0912637266915467,-0.07140714927284876
7,13174.718196224325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8739575156363864,0.0,-1.1010605409802108,-0.6308328947181872,-1.1233838119547717,-0.3226718588942175,-0.9553450133681236,-0.4743157997385755,0.024317317460071982,-0.006909963125640641,-0.05452871533482011,-0.11459248520628891,0.01565548543837367,0.16766727184138774,-0.16657212178134986,-0.15037556475723696,-0.22316405094568914,-0.00603836166530548,-0.07151113203811475,-0.07174613711374916,-0.1728370529135113,0.0019820850698262535,-0.11191348046501964,-0.060075382275277193,0.10738063741940293,-1.945858698780877E-5,0.01793721584548119,0.006952899569663572,0.06369855404478258,0.0404484309022268,0.016678286379410233,-0.006121756266660568,-0.00484078323050338,-0.0016488159207971383,-0.20036114688721127,-0.231373275136342,0.0,0.0030493427448049387,0.06825582437962557,0.2346079686388532,-0.16288672367460855,-0.13381850539881834
8,13036.572249370676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.889245657955219,0.0,-1.1122473241260753,-0.6356680532690436,-1.1107254870831684,-0.32432083283197366,-0.9586870373877474,-0.47685226495115113,0.028946041619438822,-0.008778824539389109,-0.060789687872254985,-0.12713274787693346,0.016719014241658312,0.18605702122919615,-0.18402580519859676,-0.1676338576506495,-0.25015576758316976,-0.007242069430076238,-0.07956741701221567,-0.08049023630484055,-0.19031078951662114,0.002387731216047019,-0.12541421280175563,-0.06755463579171692,0.12502754335223834,-1.1364151691741357E-6,0.021361323228587796,0.008589510263273575,0.07374584917472299,0.04616272013468364,0.019903848608672517,-0.006331850125036888,-0.004816831759172423,-0.0016441886004929327,-0.1979181103596148,-0.23879491696272886,0.0,0.0032761287124169706,0.059946548447630754,0.2534284612179114,-0.23837106582530498,-0.19976762416536414
9,12898.242267395746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9046847532896094,0.0,-1.1236087521198466,-0.6405840570934774,-1.0985098066404497,-0.3259713703072811,-0.9621873591186488,-0.4794325543403104,0.034036943642514174,-0.010646677229337452,-0.06682880606438234,-0.13929209728713043,0.018070461908303716,0.20400787025865572,-0.20076446059613162,-0.18456912668438774,-0.2762139165797198,-0.008423740883322168,-0.08727754857831671,-0.0889821107629337,-0.20681474727626226,0.0029149231289597594,-0.13854454064610028,-0.07487866144924914,0.1425143659777044,-4.6948701772585384E-6,0.024758399536478532,0.010133590942370015,0.08358758127416889,0.05183640755859676,0.02305483527652019,-0.006567116440955865,-0.004791881182911136,-0.0016396102137937862,-0.19557416273621556,-0.24638341024505087,0.0,0.003485262197465793,0.0510503127409213,0.27149062016307707,-0.3157080999306099,-0.26738737605360724
