Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_grad_f,g_bike_stressLink,g_bike_stressLink_f,g_walk_speed
0,18738.06335805751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,18168.2009707041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0014667504251153E-7,0.0,-3.810538376827907E-8,-2.1749156722362825E-8,-4.07696460309011E-8,-1.1461504791375566E-8,-3.335251087425057E-8,-1.627907281855628E-8,-4.203730493151803E-8,-3.2556156998567626E-10,-1.7413350856398936E-8,-1.3139078985210095E-8,-1.768344254423999E-8,7.231008925306174E-10,-1.9520088560369265E-8,-1.2113204187939122E-8,-2.1719165985145447E-9,-1.0450868483829345E-10,-6.76217474910644E-10,-1.2115942606441672E-9,-3.1365869778591193E-9,6.30176881821939E-10,-1.98884387496383E-9,-1.0911371716210805E-9,7.08912754309996E-9,4.4405668205015725E-11,1.780956521740386E-9,1.0537441284456432E-9,3.975861597940965E-9,1.7127048678151295E-9,1.6711372209590546E-9,4.360892569374702E-10,2.4049183107310438E-5,-1.8446958073856052E-4,-0.09999992816867655,-0.09999984082971249,0.0,2.8772641413412673E-11,-6.21377016596086E-9,1.705351140610045E-9,-9.91857622011489E-9
2,17704.642555797545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8025419323611834E-5,0.0,-1.060985889444827E-5,-6.0528699594564255E-6,-1.1440107256833666E-5,-3.185560205904978E-6,-9.370365162988721E-6,-4.562814392456378E-6,-7.416823597213793E-7,-5.193963160474201E-8,-7.251841553257442E-7,-1.1667994466853777E-6,-3.5502722418084266E-7,1.1747612626972657E-6,-1.4812049496919672E-6,-1.3466987754997827E-6,-7.050922452780027E-7,-2.704128655816327E-8,-2.2376920064618707E-7,-3.262471453549628E-7,-8.36033891687916E-7,1.2429198372432522E-7,-5.274809063396912E-7,-2.877869012952493E-7,1.6515218312938583E-6,1.0144411206426686E-8,4.1411353689570527E-7,2.4422881549129277E-7,9.265456629400175E-7,4.0052408395925166E-7,3.884539024244718E-7,1.0005160937129074E-7,-0.0031832492853212588,-8.510638722818609E-4,-0.09998640924299428,-0.0999629136355309,0.0,8.351318679584495E-9,-1.1817607134986322E-6,5.37067416584139E-7,-2.310464165740342E-6
3,17364.61758475534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.013777246756980503,0.0,-0.005240778834089944,-0.0030028725385294855,-0.005597365776558794,-0.0015529900952610484,-0.004614209000330445,-0.002266220880716549,4.459992210355524E-5,-1.7427714253203448E-5,-2.106133824888688E-4,-4.5631589955102557E-4,5.399858731285099E-5,6.302130627156501E-4,-6.291408299597998E-4,-5.77171167311623E-4,-0.001717524619744838,-2.254126105136391E-5,-5.808413823852454E-4,-4.5115496680175736E-4,-0.0010880318762284053,-9.99676281925103E-5,-6.932752375789714E-4,-3.6142624208593266E-4,7.915417257982862E-4,4.519962774175035E-6,1.958152014035064E-4,1.1320135846348962E-4,4.450339215395691E-4,1.969898394049553E-4,1.8320333450827506E-4,4.308355294321306E-5,-0.003736272974598831,-9.701608445066888E-4,-0.1277967514728013,-0.0823909524286943,0.0,1.9704228188307747E-5,0.002375070909533074,0.0016469397987786505,-0.0010951698186480834
4,17187.63603760015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032681398436543996,0.0,-0.012418103578909738,-0.0071360143604650445,-0.013280857424630279,-0.0036752777736133876,-0.010929657741833326,-0.0053889501809207645,1.544587093446819E-4,-3.778285733594124E-5,-4.7064905540118577E-4,-0.0010250883274435076,1.5359731013363774E-4,0.0014708561569648404,-0.0014678595940165586,-0.0013182675995228445,-0.002755704066950515,-4.63203584356918E-5,-9.14422322130239E-4,-7.896727178718069E-4,-0.0019516563997938614,-8.618010012624798E-5,-0.0012212291636018642,-6.444406929188393E-4,0.001562849277775234,6.888904875230564E-6,3.669694499454229E-4,2.0047959092975515E-4,8.861850271654715E-4,4.2379618602676565E-4,3.4110134624766586E-4,5.3836807263479714E-5,-0.003652949995987099,-9.554090682437709E-4,-0.12449025061377368,-0.06837564794028711,0.0,3.6409934363956496E-5,0.002870029236998329,0.0029237236514009215,-0.0017552747472484515
5,16043.76632871596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.9614663891440567,0.0,-1.502782687227754,-0.8653544147848076,-1.5961721247005354,-0.4448057462140074,-1.3210585426115884,-0.6539891949846013,0.02166908611812305,-0.004503351866713382,-0.05922253192127307,-0.1252508083503471,0.017996843037258074,0.18239562994276776,-0.18295890688906902,-0.16200779713336655,-0.2422087254284293,-0.005124504709604007,-0.07924773497785025,-0.07695097850660693,-0.19443235726310956,0.001159246997635295,-0.12041857995991226,-0.06408604975269602,0.09017616460764893,-3.3125348679323576E-4,0.012384643718231655,0.0023245212501261108,0.054685473895844446,0.03923667466947861,0.010936591454041687,-0.009863861034836444,-0.004051324439469109,-0.0016528431621818012,-0.18700461021741688,-0.29653230417870835,0.0,0.003742551103128345,0.15597011062855143,0.28447619008309705,0.035608216338782375
6,15028.814626947056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.047652729864276,0.0,-1.6095301219476512,-0.9089184632059052,-1.4669570756665498,-0.451771876805635,-1.3451515906192033,-0.6734840661654801,0.19714928929351577,-0.023581885681593008,-0.07972512249571154,-0.2283687612817698,0.10863504012734705,0.3923444091419379,-0.33150115689701065,-0.32032622426164303,-0.5299827528711444,-0.01841529490954281,-0.16566992636101935,-0.16749434446078287,-0.38593144756638514,0.002296334225018953,-0.26074722389279703,-0.14107283145423,0.2298178124374294,-2.8326739570695686E-4,0.035421991216116167,0.01193494361113367,0.13722391351545082,0.09193710490023027,0.03278421240859292,-0.017745992755511412,-0.004187725620734414,-0.0017202982632162783,-0.15621984467818448,-0.34484838247699673,0.0,0.006685198406206731,0.2521200418474065,0.5503637117038878,-0.6378297084932609
7,14887.623340430744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.058897936807063,0.0,-1.6216410249080675,-0.9139474404008878,-1.456371955461186,-0.45274835457747986,-1.3488631349569173,-0.6758746825162699,0.20875810537000133,-0.02564135247376408,-0.08394997417792296,-0.23778446167454093,0.11176030913853845,0.4076658318435735,-0.34370914868114044,-0.33491338468613463,-0.5521640741062918,-0.01957873157520355,-0.1719298045358455,-0.1747149133226491,-0.3987407011675856,0.0033726042711861156,-0.27219829970717496,-0.14772430519041496,0.24749407077266417,-2.838453457514966E-4,0.03890115202393873,0.01343614565475649,0.14710351911081482,0.09763222833035905,0.03597328124503998,-0.017944468962685395,-0.004197929508518711,-0.0017249777165706678,-0.15235714531513703,-0.35199567498372814,0.0,0.0069176547441784164,0.2773430009897501,0.5747574009625596,-0.7405912689345449
8,14716.770635474228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0654153440062215,0.0,-1.6442863426059808,-0.9217046652758853,-1.4346329227549275,-0.4529466343280056,-1.353479611652661,-0.6780941349646824,0.23856099836732872,-0.029632769042279926,-0.08970838303632182,-0.25021745105498056,0.12095990324910448,0.42663851518660645,-0.3546604468992886,-0.3583317440509959,-0.5832414453714229,-0.021453303871586678,-0.17946138089445585,-0.1847539545066088,-0.4121315726350637,0.007694219743574884,-0.28936514233327526,-0.15898506615326133,0.2595624671751536,-0.0014246702597226389,0.03802171634390157,0.007719709816746844,0.14967786275292963,0.10663343180239157,0.03205674753063612,-0.022778818336653878,-0.004275134514569648,-0.0017473910074331201,-0.13948246559877184,-0.3578321901454966,0.0,0.00731612112505423,0.42514036965008767,0.6253255896999454,-0.8251308195007773
9,14563.143474318822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.072037415313967,0.0,-1.66680643787377,-0.9294229732906024,-1.4124028181860513,-0.45315949802158656,-1.3579877890707004,-0.680310433977517,0.26727716042258504,-0.03363370650501048,-0.09594923810817743,-0.26322127958894875,0.1293253033556957,0.44614401050317015,-0.36666915497561686,-0.38219010445931917,-0.6153690259759602,-0.023377703987158015,-0.18733866812339497,-0.19505452748380692,-0.426352998256069,0.011858882042629667,-0.306879603884093,-0.17041478574463836,0.27242894078566177,-0.002521111585623075,0.037394798998983264,0.0023543786468818023,0.15294647479562792,0.1157692123751914,0.028488903705384004,-0.02750125222574074,-0.004352398256470838,-0.0017693485266582348,-0.126512898356116,-0.36366007145910473,0.0,0.007732651661179455,0.5733348322209993,0.6762564625663052,-0.9090035633526681
