Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_stressLink,g_bike_stressLink_f,g_walk_vgvi,g_walk_speed
0,18738.06335805751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0
1,18168.200967793644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0014667661879887E-7,0.0,-3.810538436804969E-8,-2.174915706468992E-8,-4.076964667260664E-8,-1.1461504971777213E-8,-3.335251139921199E-8,-1.6279073074785422E-8,-4.203730559317626E-8,-3.25561575109946E-10,-1.7413351130481367E-8,-1.3139079192016402E-8,-1.7683442822573612E-8,7.231009039120715E-10,-1.9520088867611302E-8,-1.2113204378598376E-8,-2.1719166327000496E-9,-1.0450868648323789E-10,-6.762174855541631E-10,-1.2115942797144029E-9,-3.136587027228331E-9,6.30176891740789E-10,-1.9888439062678084E-9,-1.091137188795347E-9,7.089127654681319E-9,4.440566890395149E-11,1.7809565497722624E-9,1.0537441450313513E-9,3.975861660520179E-9,1.7127048947727392E-9,1.6711372472623986E-9,4.3608926380142224E-10,2.404918348583946E-5,-1.8446958364207243E-4,-0.09999992816867541,-0.09999984082970997,-6.2137702637642786E-9,1.7053511674519087E-9,-1.116321395959694E-8,-9.918576376231169E-9
2,17705.67670322516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8046314146267626E-5,0.0,-1.0617769109418815E-5,-6.057382688826664E-6,-1.144863670448753E-5,-3.187935195417331E-6,-9.377351494802574E-6,-4.566216294721912E-6,-7.422058511094633E-7,-5.1978251249114826E-8,-7.257137344648751E-7,-1.167662659693945E-6,-3.552796322546734E-7,1.1756397269718665E-6,-1.482298638035739E-6,-1.3476973646812675E-6,-7.056181985012456E-7,-2.7061441739025607E-8,-2.2393612778876842E-7,-3.26490350053564E-7,-8.366570990353878E-7,1.2438451252916106E-7,-5.278741007063567E-7,-2.880014186363751E-7,1.6527522575284514E-6,1.015196837127289E-8,4.1442205933149315E-7,2.4441076783653925E-7,9.272359643756973E-7,4.0082249011458735E-7,3.887433074858545E-7,1.0012614496858468E-7,-0.0031856491175131754,-8.515626471432539E-4,-0.09998639912759,-0.09996288600549395,-1.1826237228917199E-6,5.374845784181247E-7,-2.602978814505408E-6,-2.312185519141192E-6
3,17290.029113032495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02163956531080419,0.0,-0.008231582265992177,-0.004716559088481358,-0.008791598894121672,-0.002439233644499406,-0.007247424856916608,-0.003559508701394358,7.046710068714975E-5,-2.7367620061290796E-5,-3.306747917150799E-4,-7.166319500868962E-4,8.505364642071276E-5,9.89941212986601E-4,-9.881015233800523E-4,-9.065028143496744E-4,-0.0026999798692205813,-3.5417096769508466E-5,-9.131251655490703E-4,-7.091088620290788E-4,-0.0017100463976907196,-1.5727857573281654E-4,-0.0010896568344971086,-5.680556503768299E-4,0.0012432635035777863,7.0991795063152755E-6,3.075616399965131E-4,1.7780035005819655E-4,6.990094680841494E-4,3.094139302573751E-4,2.8775213875054394E-4,6.766623659543083E-5,-0.0040560121226290765,-0.001038993733383177,-0.14373255963791728,-0.07234201524979507,0.0037367826434459572,0.0025896557780426283,-0.0019398427236895972,-0.0017201491595744717
4,17139.316882267907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040605134337649645,0.0,-0.015431432503755818,-0.008862598685229657,-0.01649580243940514,-0.004568590567526781,-0.013582226373127443,-0.006691658202216453,1.7660597588295518E-4,-4.7902607923566674E-5,-5.951391353863078E-4,-0.0012901014596919842,1.827291680637505E-4,0.0018352606224131848,-0.0018335888755661727,-0.0016536407334943673,-0.00366313850549669,-5.831392957189037E-5,-0.001223519110869821,-0.0010329992623361213,-0.00253346333532495,-1.3253896718262798E-4,-0.0015975425451739264,-8.404995240652503E-4,0.0018983106481001487,8.20532755280068E-6,4.406948799827764E-4,2.398551632816724E-4,0.0010790308097507518,5.221554761772788E-4,4.101306178096695E-4,5.932671366312738E-5,-0.003978344466000211,-0.0010254745326872482,-0.1405454373120744,-0.06380355704103119,0.003906459418246101,0.0037293858651104863,-0.0024621064119833536,-0.00215067536494674
5,12785.154870035925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.359473583315737,0.0,-0.8952468047049779,-0.5154535772148509,-0.9532170968921921,-0.26500046303870917,-0.7872637761747062,-0.38944913058912095,0.012120108452445464,-0.002675353403033642,-0.03490210312429459,-0.07400000085617303,0.01073918190193017,0.10757743210680595,-0.10810559604824975,-0.09577621688564389,-0.13744319293317675,-0.00296862205998061,-0.04493877122561249,-0.04433264114798362,-0.11167361242822066,0.0014245171921771832,-0.06945881894121969,-0.037022695965235594,0.059521063470736595,-9.613810680654566E-5,0.009160449686949932,0.0028267496879800865,0.03578988733585384,0.024030584783148654,0.008333924588593503,-0.00481880896567555,-0.004378179937617595,-0.001472009133711283,-0.1896778272275267,-0.1934757177934502,0.061344024647077104,0.15631331144533703,-0.014996898885252217,-0.006515266741179841
6,12239.805774454888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.490981638727501,0.0,-0.9783779014130839,-0.5544648516851122,-0.7838753549419033,-0.27973283728313014,-0.7966205084484742,-0.4103974611368449,-0.0043874240027516505,-0.020444199664576175,-0.12122012959718927,-0.2186266635878009,-0.020490411536173214,0.2938133356733339,-0.3149945366267154,-0.28236952109781854,-0.44610746829836534,-0.014993999116145662,-0.13991782095535255,-0.1414023922472556,-0.3203312695575169,3.788516334245948E-4,-0.21841340231294146,-0.11795104023701121,0.21749991677992,7.96127658192898E-5,0.037458678151939664,0.015958367049941854,0.12769829956044543,0.07885153998761198,0.03534719534884026,-0.009696297521133065,-0.004210229594269694,-0.0014118080735819143,-0.16035716171846634,-0.2506671934890584,0.02027131895524048,0.37140402932823946,-0.5743746770054605,-0.49008477181161775
7,11818.026831971643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.585227090434375,0.0,-1.0718403358049275,-0.5925395300878172,-0.46105868964194435,-0.29018099423451055,-0.7731742383865474,-0.42446785668149295,-0.01628445699665381,-0.04946223057475906,-0.2559628217782185,-0.4476079088778959,-0.05896918842424777,0.5907787651326923,-0.6358110230347884,-0.581489232464669,-0.9276162622622581,-0.034061483494281425,-0.28680072894841246,-0.29439605396679247,-0.6394329288411761,0.0017189336431526186,-0.4532270369899342,-0.24660155390404437,0.4051007014298245,-0.0011482684996592623,0.059530693441315376,0.021260961735256607,0.23662815042248442,0.1610060029729644,0.05400875722464786,-0.03045776958527975,-0.004291295667263075,-0.0013762066719095983,-0.12929247509714642,-0.25316774316925783,-0.05767260531732654,0.6960868567603731,-0.6325779911485462,-0.361024513528552
8,11682.591300650141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6383176777357904,0.0,-1.1424010277934213,-0.6218192937581463,-0.2515236563347646,-0.2890993902193712,-0.7607123084644759,-0.43412924107216466,0.1021738925398212,-0.07261239970645726,-0.29749168111545815,-0.5259896761247034,0.031576793578466,0.6772456360746529,-0.664720590629445,-0.7320274932688791,-1.0866404408230592,-0.04554911962809949,-0.3208451159122161,-0.35739789709769876,-0.6535933997841962,0.03421693202138538,-0.5507491116698154,-0.3133400113055844,0.34784585597144196,-0.007209133753639992,0.0033974096171473026,-0.027336600942861375,0.16924004671159654,0.20170521714615758,-0.008537658003240814,-0.07836773236904634,-0.004386287178246553,-0.001417411413491997,-0.10726253753604653,-0.24880940074029156,0.12642712227841874,0.7185649413428876,-0.5546666907959865,-0.434892439587568
9,11582.75298889801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.833639394424199,0.0,-1.3954628041832975,-0.7384996720760252,0.42414460038194046,-0.2598520836028818,-0.726687696307047,-0.47934864326669535,-0.007986521285603926,-0.17590886669255534,-0.5888414177680814,-0.7073167779194856,-0.25896428338905836,0.4594656410154193,-0.6455421027471686,-1.059694094331659,-1.1629746852268972,-0.08579110966379584,-0.27145058669398026,-0.44976805691416466,-0.45537871926923323,0.23558688903464567,-0.6998240113344754,-0.4918644951041623,0.31226587027176117,-0.03443393386034127,-0.12666969863314043,-0.19100070737606512,0.1351023053894207,0.39875098638130735,-0.1769204857049444,-0.26164552334613794,-0.004251810391149406,-0.001295587875561348,-0.09616720689181357,-0.242613836946698,0.30197444479014657,0.5479152597472714,-0.5878092073108251,-0.40694078868226385
