Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_stressLink,g_bike_stressLink_f,g_walk_speed
0,18738.06335805751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0
1,18166.265338849225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.875601242334742E-8,0.0,-3.757624255841909E-8,-2.1447142309609808E-8,-4.020350818650778E-8,-1.1302347372859475E-8,-3.288936928609105E-8,-1.605301740499606E-8,-4.145356404792056E-8,-3.2104073786196104E-10,-1.717154456477614E-8,-1.2956626337758546E-8,-1.7437885689616794E-8,7.130597266037441E-10,-1.9249027564363608E-8,-1.194499710312759E-8,-2.141756803152252E-9,-1.0305745022345555E-10,-6.66827344240958E-10,-1.1947697495242888E-9,-3.0930315202264628E-9,6.214260827301155E-10,-1.961226274768001E-9,-1.0759853587794683E-9,6.990686085383158E-9,4.378903961674253E-11,1.7562256990736375E-9,1.0391115650682674E-9,3.920651755967884E-9,1.6889218052589355E-9,1.6479313774930084E-9,4.300336087795603E-10,2.371522993358228E-5,-1.819079884520758E-4,-0.09999992916614486,-0.09999984303999224,-6.127484147076951E-9,1.6816701938108776E-9,-9.780844306611139E-9
2,17633.559595923114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6314959335489956E-5,0.0,-9.962562208061437E-6,-5.6834955831056E-6,-1.074132504282104E-5,-2.9911120275457596E-6,-8.798585566456815E-6,-4.284365490302294E-6,-7.07365496484522E-7,-4.884266904709982E-8,-6.846404437021676E-7,-1.0980544718835515E-6,-3.39024010342212E-7,1.1019915963120783E-6,-1.3944372364357994E-6,-1.2664513138549093E-6,-6.616866898133503E-7,-2.538772321260537E-8,-2.0999288152074576E-7,-3.0628790430694504E-7,-7.849014800598047E-7,1.1679310221429835E-7,-4.952330165179675E-7,-2.701965175437577E-7,1.5510797860973324E-6,9.528219866888169E-9,3.8893046097766073E-7,2.2937950315292902E-7,8.70194275704143E-7,3.761601688489048E-7,3.648317236379299E-7,9.397174936158938E-8,-0.0029855587116706466,-8.071680227464859E-4,-0.09998722905618908,-0.09996516922516065,-1.1104420952744528E-6,5.040967084760508E-7,-2.169943491443427E-6
3,17309.760970336563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0133512094190106,0.0,-0.0050789223456760655,-0.0029103725527974394,-0.005424560976243367,-0.0015046073532625653,-0.004471671084740581,-0.0021967572187816873,3.980789208475413E-5,-1.6742617759189062E-5,-2.0414766400500946E-4,-4.4127856644621196E-4,5.018257801184372E-5,6.089186467024647E-4,-6.095953858375001E-4,-5.576783894799967E-4,-0.0016225534735102055,-2.1729759995474093E-5,-5.475543466376364E-4,-4.282696666617667E-4,-0.0010355217522701255,-9.237692893833164E-5,-6.578211819781425E-4,-3.434539513041952E-4,7.655957698193474E-4,4.366045421856563E-6,1.8937537286573065E-4,1.0944767067822445E-4,4.3045423440225665E-4,1.9057614571397105E-4,1.7717045305006864E-4,4.162447482822293E-5,-0.0034587652520157155,-9.093738849956003E-4,-0.1251612753654179,-0.08296382803425723,0.002147331656303698,0.0015295467713963202,-0.001059526014666702
4,17137.497135961505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.031319420003987276,0.0,-0.011900242189333478,-0.006838168896752022,-0.012725743949479087,-0.0035220676994653097,-0.010473678399230971,-0.005164982350934373,1.3224347962462172E-4,-3.6276306079001665E-5,-4.5473285739032037E-4,-9.85716615339153E-4,1.3632101332429432E-4,0.0014069855050214853,-0.0014102547948905038,-0.0012638934612174892,-0.0025862465138699183,-4.4151991494653034E-5,-8.573005394359308E-4,-7.455307312268782E-4,-0.001844313882163957,-7.612853897391041E-5,-0.0011531146425932262,-6.091296155808215E-4,0.001502161731584785,6.620235076617375E-6,3.531914433245574E-4,1.9300051202062816E-4,8.515237352904968E-4,4.0664277459351647E-4,3.2821421682126516E-4,5.2320625755156364E-5,-0.0033793192074606485,-8.952831102412911E-4,-0.12185262094600087,-0.06937321778898221,0.0025052664445293013,0.002687658752719312,-0.0016771018118016123
5,15737.707374362986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7240363690521257,0.0,-1.412320762655131,-0.8133263127881192,-1.4984206201616044,-0.41817141283034376,-1.2413205893458956,-0.6148298663988001,0.01770934785676036,-0.004288346919875379,-0.05694926581625086,-0.11908146821369071,0.014771747263627061,0.1719058515413265,-0.1735799552539849,-0.15333028461358947,-0.2257042930122021,-0.004809637140598057,-0.0739605043113706,-0.07207840622808023,-0.18199123878364093,0.0015172009428930224,-0.1129020615529372,-0.060091434902035896,0.08143917168498079,-3.78234111779268E-4,0.010589412787335255,0.0013264114582857717,0.0495677389022898,0.03654541876737401,0.009199172016510554,-0.009911596517016832,-0.0037789643130846837,-0.0015545144539269432,-0.18433305374062847,-0.30230831066677144,0.12964474057675476,0.25890028374202323,0.05020405298695918
6,14744.405962269431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.812497457166877,0.0,-1.516086231826154,-0.8563825541002471,-1.3639208466329429,-0.4253306154546671,-1.2631370419938108,-0.6346070979321707,0.16868941054769415,-0.02329507161528763,-0.08530499814080608,-0.22729900430160793,0.09014257153756455,0.3784488307952606,-0.32897781274027027,-0.31504840261292166,-0.5174604481928029,-0.017770921668760518,-0.16211197722098453,-0.1638478595776706,-0.37775046557939335,0.002260236368882636,-0.25480871506636565,-0.13780173794651787,0.21549051728172336,-4.140167674453601E-4,0.031987987783674884,0.009718365648853845,0.12911314088062814,0.08854596199479114,0.029362228066915547,-0.018694485438907386,-0.0038831098337112017,-0.0016067620959485127,-0.15470241842402574,-0.35167383698800275,0.193761455150171,0.5186464997264962,-0.6046669595485563
7,14594.94842948041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8246026877189836,0.0,-1.528170994541813,-0.8615184769342544,-1.353211651680149,-0.42638478132027346,-1.2668760973608781,-0.6371433659070012,0.17887757266677246,-0.02535536248297176,-0.08985822963675717,-0.23692536237535836,0.09269286779412125,0.39348152351235083,-0.34134737465575843,-0.32977055131406247,-0.5398235337756621,-0.018913184606303753,-0.1684284013337376,-0.1711480910601556,-0.39058615958114135,0.003322542367930466,-0.26632115261395967,-0.1444961317585606,0.2333906378675877,-4.0236983952227496E-4,0.035539542873489705,0.011306981258698693,0.13916768065309443,0.09427374021651545,0.032646070062681345,-0.018856334520927567,-0.003888467588855424,-0.0016100922170809743,-0.15106715332201465,-0.35950944298305687,0.21395398057207557,0.5419224907154334,-0.711857547570229
8,14524.645174650195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.83002457176872,0.0,-1.5340371064731628,-0.8639542382235906,-1.3485167807539407,-0.42684891622986143,-1.2687205931093328,-0.6383016771922216,0.18415572388745322,-0.026329321906066464,-0.09176677042657262,-0.24101585772463938,0.09416883985311811,0.3998232336007097,-0.34628763645690863,-0.33630184102534794,-0.549547092576271,-0.019427693508323778,-0.17109503597996453,-0.17431846525589637,-0.3958610183213321,0.0039546140783876275,-0.2713901534793461,-0.14752723075448057,0.24138084469416202,-4.4317656686605224E-4,0.03704840333978412,0.011756410555763009,0.14341957695575086,0.09692932130021692,0.03391112339195736,-0.019031511317743575,-0.0038930612431107812,-0.0016123180598962934,-0.14901795565690323,-0.363189038738009,0.22908636725879125,0.5531109176203779,-0.7625203741619544
9,14020.165240970977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8723183126177756,0.0,-1.6408063143277294,-0.903203120245059,-1.116697591631467,-0.4279703717094835,-1.2685762033332066,-0.6513481454187096,0.3049072177685297,-0.05287207178668597,-0.16988976208130907,-0.4064419555207336,0.11458188462334816,0.6678128364745948,-0.5827060347010348,-0.5689004988903712,-0.9177407739654557,-0.03609208345564463,-0.2814249569731311,-0.29311527641461577,-0.636493967418078,0.00877072443461586,-0.4549092632695771,-0.24885269527841508,0.36044531014974956,-0.0011168023766331455,0.04547351356176013,0.013912565844983734,0.22178046828363968,0.16297321434594636,0.03882124046953244,-0.042984826397120465,-0.004141406736032379,-0.001660309227349975,-0.10075280272878182,-0.37219680017804874,0.5388185772217823,0.8099239772378435,-0.8265157768943086
