Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_stressLink,g_bike_stressLink_f,g_walk_speed
0,18738.06335805751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0
1,18166.265338849225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.875601242334742E-8,0.0,-3.757624255841909E-8,-2.1447142309609808E-8,-4.020350818650778E-8,-1.1302347372859475E-8,-3.288936928609105E-8,-1.605301740499606E-8,-4.145356404792056E-8,-3.2104073786196104E-10,-1.717154456477614E-8,-1.2956626337758546E-8,-1.7437885689616794E-8,7.130597266037441E-10,-1.9249027564363608E-8,-1.194499710312759E-8,-2.141756803152252E-9,-1.0305745022345555E-10,-6.66827344240958E-10,-1.1947697495242888E-9,-3.0930315202264628E-9,6.214260827301155E-10,-1.961226274768001E-9,-1.0759853587794683E-9,6.990686085383158E-9,4.378903961674253E-11,1.7562256990736375E-9,1.0391115650682674E-9,3.920651755967884E-9,1.6889218052589355E-9,1.6479313774930084E-9,4.300336087795603E-10,2.371522993358228E-5,-1.819079884520758E-4,-0.09999992916614486,-0.09999984303999224,-6.127484147076951E-9,1.6816701938108776E-9,-9.780844306611139E-9
2,17633.559595923114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6314959335489956E-5,0.0,-9.962562208061437E-6,-5.6834955831056E-6,-1.074132504282104E-5,-2.9911120275457596E-6,-8.798585566456815E-6,-4.284365490302294E-6,-7.07365496484522E-7,-4.884266904709982E-8,-6.846404437021676E-7,-1.0980544718835515E-6,-3.39024010342212E-7,1.1019915963120783E-6,-1.3944372364357994E-6,-1.2664513138549093E-6,-6.616866898133503E-7,-2.538772321260537E-8,-2.0999288152074576E-7,-3.0628790430694504E-7,-7.849014800598047E-7,1.1679310221429835E-7,-4.952330165179675E-7,-2.701965175437577E-7,1.5510797860973324E-6,9.528219866888169E-9,3.8893046097766073E-7,2.2937950315292902E-7,8.70194275704143E-7,3.761601688489048E-7,3.648317236379299E-7,9.397174936158938E-8,-0.0029855587116706466,-8.071680227464859E-4,-0.09998722905618908,-0.09996516922516065,-1.1104420952744528E-6,5.040967084760508E-7,-2.169943491443427E-6
3,17309.752494203312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0133512094190106,0.0,-0.0050789223456760655,-0.0029103725527974394,-0.005424560976243367,-0.0015046073532625653,-0.004471671084740581,-0.0021967572187816873,3.980789208475413E-5,-1.6742617759189062E-5,-2.0414766400500946E-4,-4.4127856644621196E-4,5.018257801184372E-5,6.089186467024647E-4,-6.095953858375001E-4,-5.576783894799967E-4,-0.0016225534735102055,-2.1729759995474093E-5,-5.475543466376364E-4,-4.282696666617667E-4,-0.0010355217522701255,-9.237692893833164E-5,-6.578211819781425E-4,-3.434539513041952E-4,7.655957698193474E-4,4.366045421856563E-6,1.8937537286573065E-4,1.0944767067822445E-4,4.3045423440225665E-4,1.9057614571397105E-4,1.7717045305006864E-4,4.162447482822293E-5,-0.0034587652520157155,-9.093738849956003E-4,-0.1251612753654179,-0.08296382803425723,0.002147331656303698,0.0015295467713963202,-0.001059526014666702
4,17137.47113264935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03131938525673974,0.0,-0.011900228446993415,-0.006838162585374174,-0.012725736998670944,-0.003522063858856288,-0.01047366612798727,-0.005164976697474831,1.3224395051171723E-4,-3.627626123721811E-5,-4.5473128578156426E-4,-9.857140401688203E-4,1.363185392614251E-4,0.0014069825531920046,-0.0014102522865434802,-0.0012638904159757878,-0.002586200837178667,-4.4151509079459893E-5,-8.572849925041837E-4,-7.455185732317148E-4,-0.0018442764650763905,-7.612296467387049E-5,-0.0011531000413907914,-6.091223425372218E-4,0.0015021567079714388,6.620176601461187E-6,3.531900767551611E-4,1.9299968228212583E-4,8.515208277245089E-4,4.0664179374168085E-4,3.282129969921174E-4,5.232013093797856E-5,-0.0033793449207295692,-8.952885518573471E-4,-0.12185169471273943,-0.06937334389029168,0.0025249984043299784,0.002701931299151464,-0.001677093852856036
5,15217.336033883741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4924618164151213,0.0,-1.3244986979151057,-0.7627510425023332,-1.4052611592853455,-0.3921680616106408,-1.164132985199915,-0.576597321685051,0.01660785691079727,-0.004021588972284745,-0.05340444399975249,-0.11167265587284225,0.013852022562103689,0.16121121398137478,-0.16278047001016865,-0.1437910318378718,-0.21167326089553223,-0.004510513267571696,-0.06936262574782286,-0.06759640433814258,-0.17065961527111642,0.0014213420183196309,-0.1058813737556301,-0.056354941052192714,0.07643970618768732,-3.53943636175439E-4,0.009951997339786887,0.0012584560868092241,0.04651956376401912,0.03428054955600852,0.008647165803337119,-0.00928433411900608,-0.0037591136241839984,-0.0015142751601860804,-0.17965800019375472,-0.28710128583891226,0.13045281912176232,0.2504123644983885,0.046914064127144994
6,14297.919217980045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5877114347818413,0.0,-1.4272540739098416,-0.8058082136937395,-1.2684159616843915,-0.40030859737874863,-1.1857003316650006,-0.5968438603388015,0.14128053488188386,-0.02291269214427683,-0.09036553222114177,-0.22539674393854703,0.07209024362503813,0.364092306836592,-0.32523934820341993,-0.3092093507689637,-0.5103497242894903,-0.017298866357348744,-0.15997335001265106,-0.1614978238853162,-0.3652035153793462,0.0016985579557418594,-0.25071859857143536,-0.13542528975083196,0.21047227776805633,-3.943474904898267E-4,0.03133919922110931,0.009611813101991395,0.12599150966732947,0.08621770138648366,0.028801688050070495,-0.018043112842593727,-0.0037805207521082783,-0.0015408028788429875,-0.16189142827922426,-0.3365933625207918,0.03449511806413687,0.4537053376629418,-0.6132770018832578
7,14174.065165817534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.599760450968339,0.0,-1.4389810030391008,-0.8108358358179937,-1.2574010565808589,-0.40135380037145646,-1.1891853971608086,-0.5993447509678312,0.1504874454352668,-0.02493180648983478,-0.09508522950937735,-0.235064979364176,0.07425402582603717,0.3788577390948891,-0.33754960313041504,-0.323938436230808,-0.5327173012435992,-0.018449027786849884,-0.16620779750078768,-0.1688534248969357,-0.3765662048165534,0.002742861506976493,-0.2621980629543712,-0.14211081001823164,0.2279991542319366,-3.9073686788747806E-4,0.03477799994932596,0.011104342304253221,0.13580509915558892,0.09188184846786021,0.031966025417871045,-0.018255294841950605,-0.0037748741437102695,-0.001541494454131989,-0.16015920809859457,-0.3438592843910528,0.03154540250580343,0.46556623944006115,-0.7125321464388618
8,14104.916531473273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.6013541600534795,0.0,-1.457925703663919,-0.8171287218871695,-1.253674882124985,-0.4009168822289907,-1.1948642250242654,-0.6009133055725621,0.1810447396636075,-0.02779523168186593,-0.09158270224969384,-0.23089320220386156,0.08843754699082099,0.37201621730915946,-0.32153002846134693,-0.327618573784235,-0.522587900205334,-0.01884912987077575,-0.16026043805647602,-0.1673193731431116,-0.35645351163658445,0.010044453414568548,-0.26161599736138,-0.14475964133962516,0.22686641816654904,-0.0019899669755109473,0.030775690417739896,0.0012492796560359763,0.12709367469479835,0.09671772369010559,0.02363848120408536,-0.023318784237658943,-0.0037854200903223714,-0.0015539303740301142,-0.15771781399878185,-0.3485944926712384,0.07704983554842694,0.45750148996295315,-0.7898425390217669
9,13939.496796877691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.560962569318139,0.0,-1.5895663285427157,-0.8541634407613984,-1.1744175966609665,-0.3926431842906281,-1.2198834489411503,-0.6034796250890874,0.23595724898307452,-0.05312762421068498,-0.14040773333935946,-0.27454317215003904,0.027405701120570267,0.3761553220140008,-0.36229124870205526,-0.4020994917071884,-0.5810304531205049,-0.021316183749895298,-0.172484141790748,-0.19296047557503068,-0.3739106676790971,0.05203880357458886,-0.3146646147435531,-0.1920608791562247,0.2131796337249511,-0.015015792560845858,-0.002968976784502097,-0.07475505055046654,0.06612083592023972,0.1385034091140285,-0.0448523067672458,-0.06823507825701967,-0.003932179523548083,-0.001579121634514995,-0.1316172410284287,-0.35021348666105634,0.3495386539460344,0.6240567767781321,-0.8635075565256984
