Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_walk_grad,g_walk_vgvi,g_walk_speed
0,33034.08551211685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,30852.48456737066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.132867325528472E-8,0.0,-2.627738537626959E-7,-9.689695090052704E-8,1.4405763709352067E-8,1.5438845040434865E-8,9.388556704879284E-10,-2.8132925777214106E-8,0.0,-1.62399966365536E-6,-4.491793864042707E-7,-4.536981624404175E-7,-2.549964644142062E-7,-9.452350483717981E-7,-2.229793317880994E-7,0.0,0.0,-6.632366238555116E-7,-5.742869097793963E-7,-1.6256742194922604E-7,-1.4589383056294092E-7,-9.717997947163131E-8,-3.5194767771534914E-7,-8.393791260892283E-8,0.0,0.0,-2.2181550581346607E-7,6.172543498002423E-7,1.2834111323552493E-7,1.4524823003906663E-7,9.500028386562673E-8,3.681386434383674E-7,1.1668399257027952E-7,0.0,0.0,0.0,6.362384331332209E-4,-0.0035142879648847776,-0.10000331645234813,-0.0999938924852876,3.8088367083109165E-9,2.742211585082607E-7,-6.214005658057943E-9,-4.1795424005456156E-7,-3.4085122961292977E-7
2,30815.30310782838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.956418960912557E-5,0.0,-3.563525375840069E-5,-1.591586539398945E-5,-3.5969875285591626E-5,-8.7152773191591E-6,-2.0203118954112883E-5,-8.151307938735108E-6,0.0,-8.92309868132416E-6,-3.8037528635868995E-6,-3.6757765510777608E-6,-1.9362956429246403E-6,-5.034641353253841E-6,-2.725033834779274E-7,0.0,0.0,-4.014967588062296E-6,-5.777248457468033E-5,-1.7951914740157174E-5,-1.411498354905695E-5,-9.298739427918835E-6,-3.494211204320266E-5,-8.610150492594071E-6,0.0,0.0,-2.2109485250117433E-5,4.5621816982030884E-5,8.902911122826289E-6,1.0811357287765624E-5,7.0542368407038005E-6,2.7249297377508096E-5,8.713783076517585E-6,0.0,0.0,0.0,0.001833658959835957,-0.003302897533261184,-0.10034775276479731,-0.09955452210455927,3.985238137813443E-7,2.867626160413735E-5,-4.523804535879366E-7,-3.0402759966374876E-5,-2.4611960229449995E-5
3,29595.930715529244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0073838694660958255,0.0,-0.003646557445699309,-0.0016404981389288816,-0.0038395347816850126,-9.388151331648046E-4,-0.002150871630533378,-8.477773049768154E-4,0.0,-7.695951753132489E-4,-3.490935823421975E-4,-3.3313919673799795E-4,-1.7490934497048344E-4,-4.3215656407992486E-4,-1.0262715290094231E-5,0.0,0.0,-3.5019081625851435E-4,-0.005269898911676488,-0.0016450912940490058,-0.0012810894220224678,-8.539929507080355E-4,-0.003197081914248986,-7.8597185157265E-4,0.0,0.0,-0.002012896483570359,0.004621277900557136,9.058114621361324E-4,0.0010964128491204764,7.151219166687283E-4,0.002760063191312734,8.803813824015623E-4,0.0,0.0,0.0,8.803933097255979E-4,-0.0034752254739972973,-0.12875244167153826,-0.054380411686898215,3.3218599632643736E-5,0.0023707640819058966,-4.6217378750317935E-5,-0.0031055834545061856,-0.0025204041155535988
4,26452.37601296534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16394171213154402,0.0,-0.08353124981105141,-0.03717740360338559,-0.08424188293408988,-0.020486735851117786,-0.04762693683350544,-0.01923634778845313,0.0,-0.017445951247841023,-0.00799832269406744,-0.007731847057890811,-0.004024744189979383,-0.00977608669806229,-1.0881346190615385E-4,0.0,0.0,-0.008027032873967575,-0.0906061698193073,-0.027671135071000358,-0.02200795965745222,-0.015262801312155894,-0.05575992391877616,-0.013470672198430997,0.0,0.0,-0.03446235405270797,0.060869097060969594,0.006565688496844065,0.01390036809229342,0.009494515507613089,0.036742775254515636,0.013402150951243108,0.0,0.0,0.0,-0.01538446327530102,-0.006507566759279242,-0.44217573664989596,-0.15627586663287477,6.318549955386221E-4,0.0445107660507847,2.2345597712292522E-4,0.013241639991831498,0.016149566223589946
5,23822.032550573113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.823892077694276,0.0,-0.43050269546547826,-0.18885618043785643,-0.3715957351269713,-0.10113736747497729,-0.22625901596929546,-0.09513923474903721,0.0,-0.10458145642957703,-0.04527644273002136,-0.048247940390943315,-0.02713448137615523,-0.05881344135300893,0.0026818374277174325,0.0,0.0,-0.0532472205663106,-0.4456824267494876,-0.1422898921737059,-0.10175478350880075,-0.0755190052998844,-0.2733820911803572,-0.06893421454776807,0.0,0.0,-0.1622081754717016,0.32042303811159667,0.020319570823182254,0.07229693077863113,0.05051802570031583,0.185492875880229,0.07200226581990885,0.0,0.0,0.0,-0.018903893927797476,-0.007346372589007077,-0.4509024324620604,-0.21593507474040427,0.011043923833744553,0.8349829350004283,-3.937657155710018E-4,-0.03635496537116592,0.015187907194762242
6,22648.13277875008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8185586613142741,0.0,-0.7916643775016738,-0.27943981192090445,0.2895800198547105,-0.07491201376353276,-0.05169238892556527,-0.08418312894783013,0.0,-0.5023022686244794,-0.23271856153528991,-0.22175838528761094,-0.12593430311788475,-0.2804831156879013,0.0074358364278126945,0.0,0.0,-0.2538004678303598,-1.2996456648301087,-0.4673952563188257,-0.2693741767552398,-0.21760878705274475,-0.7663787378186324,-0.1931086453465563,0.0,0.0,-0.47449146032417056,0.9044912781852557,-0.17330969356695836,0.20987141638310525,0.15504281071438547,0.4081740190759233,0.21653049880408862,0.0,0.0,0.0,-0.018167258037050677,-0.006832848775460626,-0.3050420333280004,-0.21033390031549817,0.009168464341660758,0.7682896588229309,0.0014815172415560377,0.15843665772052723,0.29390409526861405
7,22608.84385904875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8863132994867327,0.0,-0.8298129493687999,-0.302040735318799,0.29827853955059236,-0.07844261555641123,-0.05768606780589509,-0.08368881548051291,0.0,-0.5439046992121666,-0.2566425210212321,-0.24409090998491345,-0.13774780940945577,-0.298126098631356,0.011505864201545493,0.0,0.0,-0.2761938459995154,-1.3553291795550535,-0.49475208648684466,-0.2763116521970555,-0.22708765924339966,-0.7819671454953526,-0.1999018108457826,0.0,0.0,-0.4901312399905247,0.9157179279507233,-0.20819915566850863,0.1986077215321119,0.1516800725686151,0.38875440267700057,0.22300219962102147,0.0,0.0,0.0,-0.015969800742437097,-0.006419128436864106,-0.2658538000169241,-0.1998759317096434,0.008527244525664553,0.6902094847640952,0.0010252789743253352,0.1527199831071605,0.3123609188380296
8,22274.540070126273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0951853852425115,0.0,-0.9189418859440361,-0.41987041919692214,0.5287141737248362,-0.04780480479114388,-0.0017428860360537354,-0.01597905855202375,0.0,-0.8916629262306768,-0.47675767872159336,-0.4446551402915399,-0.24269461622235267,-0.42529524459505924,0.06253755193449492,0.0,0.0,-0.4716025510615146,-1.6812220719655266,-0.7070593072130212,-0.28323088780388045,-0.2795801573239939,-0.7447092193121891,-0.2343304336552084,0.0,0.0,-0.53727798590413,0.6941274444032842,-0.5915641475063212,-0.021788326082989334,0.04819438174892336,-0.016357445907674906,0.21930105036874106,0.0,0.0,0.0,-0.016571064435366403,-0.006292604785012817,-0.2509253665853824,-0.19486900705997365,0.013628745515263104,0.6460541346181101,-0.006566453728566628,-0.08545255240415223,0.37238756608982654
9,22075.659585966878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2089991086903127,0.0,-0.8723421481447896,-0.4169688085283146,0.5931039157646835,-0.016101001705047274,0.06575928661451733,0.07350904981421091,0.0,-1.1935043429794518,-0.6936844324609934,-0.6361484317041832,-0.34255449786127473,-0.5176904062345328,0.12186999198838741,0.0,0.0,-0.6429012858415607,-1.753337890195364,-0.83936671614331,-0.2298419058512864,-0.2918461524148279,-0.5308620498411324,-0.22569560972190306,0.0,0.0,-0.46382496701208886,0.8298374057418468,-0.9005944858901467,-0.11233356021871602,-0.009999553278687554,0.0019358332338186152,0.27044586900557,0.0,0.0,0.0,-0.016476607378619314,-0.006048412637859296,-0.2596306252727061,-0.22351906165387725,0.022958822971927594,0.6101054899935172,-0.01599602777083274,-0.423051780917465,0.3676130604259923
