Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_walk_vgvi,g_walk_speed
0,33034.08551211685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0
1,30693.766240181692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.9908452316598977E-8,0.0,-2.5550312367004724E-7,-9.4215894293447E-8,1.4007168422152145E-8,1.5011665267318623E-8,9.128783288372064E-10,-2.735451153579052E-8,0.0,-1.5790649676956414E-6,-4.367509730177688E-7,-4.411447183461892E-7,-2.479409281011844E-7,-9.190811947352431E-7,-2.168096824319861E-7,0.0,0.0,-6.44885427910546E-7,-5.58396877126003E-7,-1.5806931899900646E-7,-1.4185707177200088E-7,-9.449109170357562E-8,-3.42209583400556E-7,-8.161542162140265E-8,0.0,0.0,-2.1567805853687937E-7,6.001754444538839E-7,1.247900232744657E-7,1.4122933446811423E-7,9.237170642985283E-8,3.5795255880784943E-7,1.1345544527014642E-7,0.0,0.0,0.0,6.18634254271275E-4,-0.0034170505917799346,-0.10000322468891908,-0.09999406147504962,3.7034494208142323E-9,2.66633691183572E-7,-4.063898000351254E-7,-3.314201646238649E-7
2,30656.066266905196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.750510321953978E-5,0.0,-3.462820185195673E-5,-1.545845976608857E-5,-3.489512969778724E-5,-8.452189255937173E-6,-1.960498003654631E-5,-7.917333895212147E-6,0.0,-8.92888798118487E-6,-3.7682030804646763E-6,-3.6370890331990377E-6,-1.9283027234479916E-6,-5.047382734972242E-6,-3.0422903058027E-7,0.0,0.0,-3.993831292907483E-6,-5.622092324936806E-5,-1.7465303336467696E-5,-1.3738813275185621E-5,-9.048344119423307E-6,-3.400299888649461E-5,-8.37793599220634E-6,0.0,0.0,-2.1518278705844156E-5,4.439901532568263E-5,8.668672283367673E-6,1.0520728203977506E-5,6.8651505438176915E-6,2.6518821019338763E-5,8.4798016874451E-6,0.0,0.0,0.0,0.0017926227075233375,-0.003209839350916141,-0.10033926621043711,-0.09956665861879078,3.887616852409057E-7,2.797830494905403E-5,-2.9575054707439703E-5,-2.3941311933258574E-5
3,29450.275912777328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007204758909118563,0.0,-0.0035624230032655206,-0.0016019003457462327,-0.0037454836992159685,-9.155604709032723E-4,-0.0020987352995493584,-8.279032421933977E-4,0.0,-7.789172873421048E-4,-3.486935170426831E-4,-3.3223338939565464E-4,-1.7572886981226081E-4,-4.3844503338632347E-4,-1.4196324311403148E-5,0.0,0.0,-3.517669229527666E-4,-0.005153202628892573,-0.0016082716481776937,-0.0012529630948617926,-8.350493121393847E-4,-0.003126262384984725,-7.684818297830671E-4,0.0,0.0,-0.0019685345751241728,0.004521270821755158,8.866780373548812E-4,0.0010725983044056705,6.996446860885564E-4,0.0027003205397685085,8.612816487479809E-4,0.0,0.0,0.0,8.562710337793275E-4,-0.0033791586168990468,-0.1281728303691489,-0.055386177982487135,3.25467064174854E-5,0.002323094362275813,-0.003037255944888758,-0.002464916021858583
4,26455.75565434942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15232303551413798,0.0,-0.07775147260807598,-0.034581498979857905,-0.0782357189085012,-0.01901712097033776,-0.04425280379187069,-0.017895315085736014,0.0,-0.01679575966605546,-0.00759924652917925,-0.007340582195825535,-0.003848309941050574,-0.00943461012633461,-1.84615529842675E-4,0.0,0.0,-0.007672436316028616,-0.08447663363467058,-0.0257874422028283,-0.020524871427304293,-0.014229493504053786,-0.051986074368747824,-0.012558460369337826,0.0,0.0,-0.03213333523345461,0.056556065131319,0.006080007091175038,0.012910470289987817,0.008818067675482308,0.03413977209197835,0.012462587141588911,0.0,0.0,0.0,-0.014287494245773268,-0.006202442057676767,-0.4200895692528739,-0.15028636354376615,5.965442085423482E-4,0.04205865272122325,0.013646879563896834,0.016164968145672604
5,26181.054843484733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3785952250437774,0.0,-0.7300311725926162,-0.31875869417563846,-0.6043643220752112,-0.16801436086255617,-0.3745700283493667,-0.15955089108428086,0.0,-0.18786059192274454,-0.08060440563251617,-0.08583951925196298,-0.04919372441582871,-0.10595239747540544,0.004797219906532932,0.0,0.0,-0.09603043400610485,-0.7735498065528181,-0.24833712353284035,-0.17524782934667102,-0.1307577120433435,-0.47379451358505137,-0.12045595998256749,0.0,0.0,-0.2796613170312948,0.5429747730837902,0.029440414182268653,0.12216537308362842,0.08569037079089901,0.3123208979761339,0.12283992116064829,0.0,0.0,0.0,-0.024851194655347797,-0.008491179829654113,-0.49864514247582203,-0.28436379335467643,0.021840811426598425,1.6530869949110414,-0.09163271786250257,0.009151245866381285
6,25879.641100082128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5339161008882847,0.0,-0.837536483497156,-0.3586795343493967,-0.6422594151337246,-0.18565776980074106,-0.40971333722142533,-0.17643743198944603,0.0,-0.22751698579705398,-0.10072054545415998,-0.10353661971166511,-0.0588703991933031,-0.12737478938041977,0.004963957573562329,0.0,0.0,-0.1154171948683523,-0.879598043386425,-0.28455969934075864,-0.19861730032631683,-0.1494272192142082,-0.5389218986593939,-0.1356586109205389,0.0,0.0,-0.3200431356289555,0.6295839747918194,0.013651623413403174,0.14413494652023312,0.10095051711641477,0.3541522853369384,0.1427873134847375,0.0,0.0,0.0,-0.02056158276800628,-0.007733066916919964,-0.4170713536322027,-0.2598326734030313,0.020883606303788674,1.5984239022292774,-0.001711850474531415,0.0919626366536228
7,24911.279344666906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.357227242354023,0.0,-1.4215748659589686,-0.45397507186158564,0.23232058344419104,-0.12047802217376585,-0.17259550078766348,-0.15228100309751025,0.0,-0.7494654017070987,-0.38710085341335165,-0.31953220150393286,-0.17959756516937148,-0.4068670246561499,0.010336034975797395,0.0,0.0,-0.37291685372549466,-2.0623358382684613,-0.7298409797285523,-0.43862595276560973,-0.3474157128358597,-1.233847613354944,-0.30647063907587824,0.0,0.0,-0.7628631252308876,1.318801887524509,-0.33118609868342663,0.3306809197046662,0.23131639270149912,0.589793995562494,0.3146516833684945,0.0,0.0,0.0,-0.023327686098076846,-0.007707214634891965,-0.27040481507230707,-0.25390368557251736,0.01906977862150453,1.63139238055359,0.3097247194023537,0.5184842371901259
8,24577.980522423735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5698018116253283,0.0,-1.7444225541295317,-0.5339005350895559,0.590991372491107,-0.1277386677133843,-0.11526966086521245,-0.12779488205653985,0.0,-1.0510222554787123,-0.5727153314971547,-0.46827391332886503,-0.2598393584379046,-0.5410824877375583,0.03219923984352002,0.0,0.0,-0.5319160797619039,-2.1105081527013207,-0.822280117478958,-0.39235094858177566,-0.36065713502205965,-1.171837561491491,-0.3098822601628973,0.0,0.0,-0.7402211380458721,1.5225341430000743,-0.5893444625800198,0.32729091815678757,0.24054418730003835,0.5443644019904108,0.38735551756944187,0.0,0.0,0.0,-0.020435595933456497,-0.0069610138390313915,-0.2288479282289915,-0.2820207980956907,0.03607801248181501,1.4811294741743162,-0.057042534096312325,0.417221254997989
9,24315.622724621964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8472336939876208,0.0,-2.171928663937546,-0.631745094047891,1.1282722753010095,-0.13014104437887505,-0.01727628157619153,-0.08220195814502901,0.0,-1.4940640968016752,-0.8418591852911972,-0.6897956439484141,-0.38075441575667046,-0.7404525301339122,0.06670673638537057,0.0,0.0,-0.7690724533234319,-1.9761175451375288,-0.9018605907223454,-0.26892810933536015,-0.3473094649767528,-0.9425005326098325,-0.28560803502372484,0.0,0.0,-0.6189991486013555,1.7319528957727226,-0.9913625737066942,0.2949686696500211,0.23669702153593264,0.42221140638828925,0.4709065148413289,0.0,0.0,0.0,-0.019638064826438855,-0.006474801952457155,-0.2459919376694093,-0.2828532015961566,0.06590937379992616,1.4823737885031385,-0.20569527979315436,0.5332729502973212
10,24106.775556540502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0466429030271844,0.0,-2.2962508963541715,-0.6598183250877198,1.2527950467408677,-0.08586995317941654,0.04746129130594007,0.020500006110280578,0.0,-1.8034844728414126,-1.106063211506456,-0.905232119364876,-0.4819552679635336,-0.8174016596568832,0.1361753596183522,0.0,0.0,-0.9480822631403102,-2.1604557092918584,-1.1346743295067199,-0.21681423874828992,-0.3733381478407909,-0.8194945262059751,-0.29918057955934996,0.0,0.0,-0.6078317417054492,1.4833053782048742,-1.3260304684398936,0.0014480051372239289,0.05802549306996002,0.07606746470029979,0.4433972048752613,0.0,0.0,0.0,-0.019801863241283045,-0.006301517227869848,-0.2423977483771221,-0.26079127812192726,0.09219549060707889,1.4684133081790762,-0.26974176562335417,0.5981412740104846
11,23861.342424095186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1976599595386452,0.0,-1.9523045198999451,-0.41102177386876226,0.9718007943455771,0.12180163998106314,0.23502547398454576,0.42532252641079843,0.0,-2.345678895612903,-1.827208950696374,-1.4774634266972124,-0.7218354622583947,-0.7803370763750883,0.40100794763176356,0.0,0.0,-1.3009674437927803,-2.434644011192357,-1.7200197109858542,-0.06039714979242827,-0.4012055329007579,-0.293872185634273,-0.2667191616044146,0.0,0.0,-0.44965598077093794,1.6663426656017826,-2.008546302613923,-0.5016609306433655,-0.38126268398351565,0.4541725248992534,0.39868934721381943,0.0,0.0,0.0,-0.018842007062926755,-0.005712276294107933,-0.23091170752486945,-0.2624457053268769,0.1692502512185813,1.447065058680981,-0.30643380305710555,0.607390398999668
12,23759.681083843403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.846434809485412,0.0,-1.2654860498796583,0.08021524099556954,1.5643830105334267,0.1844212670173614,-0.02869164562132942,0.817830244662541,0.0,-2.2186232731299187,-2.8729152863945497,-2.2816803580998486,-0.9996567841550896,-0.0393582240873922,1.0302851375477626,0.0,0.0,-1.3991493624278981,-2.6902156430138198,-2.0248880820210253,-0.22743016231533303,-0.4649409969271167,-0.07539520222072121,-0.04475034770609007,0.0,0.0,-0.18507251706130406,2.058183818938746,-2.165436048819467,-0.6537083832537436,-0.9974479521825876,0.34099158449550476,0.3781775356177173,0.0,0.0,0.0,-0.018795024167406672,-0.0057708617873852555,-0.23006382799081534,-0.27539662704167234,0.3166203759772682,1.4270026428608353,-0.014744922257519444,0.23483081381654147
13,23687.678329241047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2369166311204003,0.0,-1.0282544132271776,0.10320558382263686,1.6985196724909,0.16798898333154852,0.6347585984493802,0.6123893037879965,0.0,-1.6042786885917089,-4.279308623401707,-3.3185137633480393,-1.368505956258117,1.1835514703367864,1.9327030892718655,0.0,0.0,-1.2734197404664316,-2.810017165183313,-2.228454811487071,-0.47553971300696785,-0.5199660871628792,-0.02763647652929665,0.349717322353439,0.0,0.0,0.02112957160306725,2.1240499403264717,-2.8592327560452278,-0.5129232451096611,-0.9767661965994676,0.2638357981219934,0.3886128056359999,0.0,0.0,0.0,-0.019176662612639016,-0.00620595573471611,-0.2340169306355995,-0.2776420473954133,0.5421105779182751,1.4176777552849045,0.2609943466603186,-0.16159765379517343
14,23684.686117784535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0187216860789556,0.0,-1.2673169496320258,0.022912016226441054,1.6308284311704968,0.4890890317913572,0.22385494090762492,0.5364108149070693,0.0,-1.4314390329360105,-5.495959481889603,-4.163462502947967,-1.8290104100235394,1.632182065674365,2.3177966131525225,0.0,0.0,-0.9976393323216255,-2.7246786662182036,-2.3200221833454844,-0.5763291901580311,-0.5362562960103624,-0.14728533881068331,0.6202399772544595,0.0,0.0,0.17460432511256627,1.921677415654257,-2.922016541833417,-0.6606346477820286,-0.53548069064451,0.359034058947352,0.5370143274820299,0.0,0.0,0.0,-0.018619910965273885,-0.006083108949283377,-0.2286617778303578,-0.27705310376685444,0.770253576885255,1.398058162074343,0.5534460518137732,-0.620494493596872
15,23600.83044444772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7863622840614983,0.0,-1.3086863735788978,-4.835462804800225E-4,1.4468885044754773,0.4614039824583098,0.14187509010914637,0.39628329371944926,0.0,-1.378138130732908,-7.174382201956693,-5.2999865431402915,-2.526473090037495,1.839876321321586,2.573070020296082,0.0,0.0,-0.4510666977194392,-2.5478637594787017,-2.306881801554475,-0.7527710793464298,-0.5503314008431536,-0.383373526939771,1.0289507030659397,0.0,0.0,0.22595794745357267,1.602380076610595,-2.2138812648042414,-0.7280165709375216,-0.3649590405107038,0.4594016837617617,1.0029069236545014,0.0,0.0,0.0,-0.01785185179501126,-0.005729157300236052,-0.22187582751999219,-0.26894448900223406,1.1457502456790094,1.3721857973767362,0.2881955349222695,-0.2586737365014121
16,23568.75160906639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.668255744949965,0.0,-1.1400977511623833,-0.10951094003340847,1.136318135728932,0.40586753880510695,0.32894943191142245,0.265563436777691,0.0,-1.591860591133127,-8.457355553627579,-6.098352746225364,-3.0690078888100114,1.2791574284606633,2.4387883744003322,0.0,0.0,0.11315510948960072,-2.4031341606204473,-2.1063705010187426,-0.9690434224385851,-0.6089516101882774,-0.5553606427283743,1.270203153010332,0.0,0.0,0.14231620215907106,1.334571247205575,-1.8033330320842271,-0.10019912837164735,-0.6191378811063989,0.367297799394242,0.9737983763581869,0.0,0.0,0.0,-0.016535635464290155,-0.005057133278426606,-0.20894104940384584,-0.26817967380225116,1.537333630074911,1.3266601328912886,0.4608343507023176,-0.5855807671838383
17,23435.38955424087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6374850548005244,0.0,-0.9519262872220545,-0.1494165626398832,1.042605454012181,0.4811077161326866,0.24111419295998668,0.3120576532422905,0.0,-1.2859136004100737,-9.0150261044481,-6.255349757054048,-3.1651085808523196,0.8201869550576388,2.3091002800265543,0.0,0.0,0.5461516565614217,-2.4360163440056106,-1.9627789339699062,-1.0094290935966523,-0.7266469992186219,-0.5405499085966314,1.062741243816416,0.0,0.0,0.14957349539546777,1.3992631537058822,-1.8431848928023524,0.02138207282036146,-0.46582148125522105,0.2333537405951621,0.44514575609715334,0.0,0.0,0.0,-0.01628990229575454,-0.005000852525148503,-0.20592475427005674,-0.2645651811253991,1.8922578213369934,1.2978720249536178,0.2849744700121395,-0.3804936543405524
