Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_stressLink,g_walk_vgvi,g_walk_speed
0,33034.08551211685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0
1,30537.231350356586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.8494366089618966E-8,0.0,-2.4826379984088464E-7,-9.154641863754378E-8,1.3610294886200662E-8,1.4586330717493497E-8,8.870131975458504E-10,-2.6579459691602954E-8,0.0,-1.5343243692863739E-6,-4.243762447523697E-7,-4.2864549944913583E-7,-2.409158685119109E-7,-8.930403139099488E-7,-2.1066668316889308E-7,0.0,0.0,-6.266135008268622E-7,-5.425754822223203E-7,-1.5359064581782542E-7,-1.378377499521218E-7,-9.181381871376802E-8,-3.325135532460335E-7,-7.930296274385883E-8,0.0,0.0,-2.0956712225490308E-7,5.831703122492218E-7,1.212542724149215E-7,1.372277987071968E-7,8.975448325898619E-8,3.47810473453019E-7,1.1024084383320626E-7,0.0,0.0,0.0,6.011061174948897E-4,-0.0033202332401201873,-0.1000031333218665,-0.09999422973485234,2.590789982838659E-7,-3.948753131628546E-7,-3.2202983756733576E-7
2,30499.183076180707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.595509487993335E-5,0.0,-3.3879712935881275E-5,-1.5116708331200258E-5,-3.4084005723945095E-5,-8.253098030739122E-6,-1.9154828116694182E-5,-7.742815105077824E-6,0.0,-8.990610122133846E-6,-3.75815898675726E-6,-3.6225262137984172E-6,-1.932966786329764E-6,-5.091479539536073E-6,-3.3669044902212606E-7,0.0,0.0,-3.998159585320881E-6,-5.5082057025096564E-5,-1.7106978711902316E-5,-1.3463413091700967E-5,-8.864430616586436E-6,-3.331358819786232E-5,-8.207243398279685E-6,0.0,0.0,-2.1084965093631408E-5,4.350517241344076E-5,8.49861795075972E-6,1.030807034083272E-5,6.726921972281874E-6,2.5984820271668844E-5,8.308637968810086E-6,0.0,0.0,0.0,0.0017589841964994967,-0.003115902818286322,-0.10033323518294043,-0.09957557389318503,2.7482778672247164E-5,-2.8967197774886033E-5,-2.3448704594488623E-5
3,29306.420937174895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007035320520978646,0.0,-0.0034831111024691665,-0.0015654676219624614,-0.0036564559955073405,-8.935322334934135E-4,-0.002049413088661446,-8.091482118610216E-4,0.0,-7.894730231494967E-4,-3.4885097370664E-4,-3.318150521573119E-4,-1.7680814534707637E-4,-4.454248624519906E-4,-1.8173174810737934E-5,0.0,0.0,-3.538867658220017E-4,-0.005043537310765942,-0.0015736257982459005,-0.001226555003147463,-8.172484902233296E-4,-0.00305971176459638,-7.520379731456356E-4,0.0,0.0,-0.0019268641133739922,0.004427413499051351,8.687526447570918E-4,0.001050242534055929,6.85117518140726E-4,0.002644249809960219,8.433526174109772E-4,0.0,0.0,0.0,8.387145796088938E-4,-0.003282367135352402,-0.12763391972613597,-0.05633069273231739,0.002278784248615439,-0.002973085562827031,-0.00241280452181829
4,26442.103112661705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1431750130781256,0.0,-0.07321698481483903,-0.032542078534232355,-0.07350252015095807,-0.017858179837757525,-0.04159613362517592,-0.016842002099886594,0.0,-0.01636859535412889,-0.0073095988017327545,-0.007054773680762247,-0.003724898445258681,-0.009216450529726855,-2.5651842413471125E-4,0.0,0.0,-0.007424173503460869,-0.07966652799270632,-0.02430776201644591,-0.019361724601036235,-0.013418790176445086,-0.04902491472936268,-0.011842342921195945,0.0,0.0,-0.030306209504630442,0.05315920955440969,0.005694420976034794,0.012130117636803321,0.008285044651063498,0.032089810330179255,0.01172409137191662,0.0,0.0,0.0,-0.013434319487940792,-0.005943296594236166,-0.4029027897717159,-0.14580997063275553,0.04018016804474266,0.014089378892718399,0.016282197841097995
5,25583.462859931216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2181578567855713,0.0,-0.6494811455426044,-0.2830209966519183,-0.5306828749219192,-0.147955513335482,-0.3304268486667521,-0.14142437706081423,0.0,-0.17287147974844616,-0.07376886370057903,-0.07801849378969994,-0.045118293476446504,-0.09777257913283739,0.0037688601801537046,0.0,0.0,-0.0878243443918044,-0.7003268943269092,-0.2247918671987983,-0.15873786100807916,-0.11814302764187462,-0.4287111948095468,-0.10918770541424158,0.0,0.0,-0.25304931176296047,0.4814202161814817,0.024888667970514398,0.10822015012289599,0.07594066341007401,0.27682075349167135,0.10927528600000457,0.0,0.0,0.0,-0.024919734086994768,-0.008352506022691046,-0.5067350626714819,-0.2765020989234691,1.5257028376145392,-0.08677598228879231,0.006661174115140221
6,25190.665499965886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3925836440073323,0.0,-0.7552565055590592,-0.32503960320790487,-0.5881979195999038,-0.16870889744227716,-0.373271321254279,-0.1604118298577876,0.0,-0.20819188580893733,-0.09072107333502989,-0.09384850043876129,-0.05381700820232315,-0.11700387622715797,0.003756907815737646,0.0,0.0,-0.1050285082960373,-0.7956633914316891,-0.25686905088111844,-0.17989886742953293,-0.13499166394198578,-0.4874315138295856,-0.12295088547466515,0.0,0.0,-0.289166578603969,0.5659413536316418,0.016150046331355465,0.12884900159906656,0.09033321785912407,0.3200276361852418,0.12851388362602784,0.0,0.0,0.0,-0.02060249559216858,-0.007600614519934415,-0.42634238163785354,-0.2551976626574277,1.489022243499133,-0.019246341912686704,0.07051635056325554
7,23862.912160190226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2726775292248929,0.0,-1.2737360554187243,-0.41706587225864356,0.18823175489029198,-0.11640380522688598,-0.1660734080224184,-0.14167066926973668,0.0,-0.7005561394270934,-0.3518806747771664,-0.29571972997583046,-0.16684600091461627,-0.3832434163670945,0.005249018169839862,0.0,0.0,-0.3455214242574888,-1.850578355057501,-0.6546838131138468,-0.39279914939289773,-0.3116885919581563,-1.1045117433255116,-0.27510679333830346,0.0,0.0,-0.6829919221547589,1.2161354123578194,-0.2769632272289248,0.29993737846968216,0.21107624666306252,0.5516362748437935,0.2898185892065748,0.0,0.0,0.0,-0.021448801356054203,-0.0072719228329415,-0.2722447073975318,-0.2515602937849879,1.4558767313444583,0.20070478741333309,0.41557784728327535
8,23727.34920049447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4813337887792573,0.0,-1.5299570694553912,-0.4997429451795685,0.4683747297486903,-0.1191723576461591,-0.12188876278103741,-0.11201396331578829,0.0,-0.9719206585613658,-0.5260412997476105,-0.43882303855809446,-0.24063425441865388,-0.4910481512151137,0.030368219922355215,0.0,0.0,-0.4874070200323869,-2.0278083318623863,-0.7925993018837824,-0.3786893739359658,-0.343384172694339,-1.0991445915436222,-0.296354884211517,0.0,0.0,-0.7064558332696624,1.3079166870820802,-0.5119710613359798,0.24012599674261098,0.1867467623437555,0.42768573222177886,0.3402109754946601,0.0,0.0,0.0,-0.018748571708330733,-0.006598836223912954,-0.2196662903895397,-0.2880441125883001,1.2739674267447565,-0.25970729264047393,0.24429926562133786
9,23441.27473511742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8794962983223327,0.0,-1.9947572555961297,-0.6410200453408017,1.0618582590451482,-0.11811768660761617,-0.015298646382759254,-0.038122175134748595,0.0,-1.5286494137578084,-0.878893148617925,-0.7361588606771139,-0.3973903674640582,-0.7141316504897551,0.086686919397737,0.0,0.0,-0.7851067423574998,-1.9801341420252194,-0.961344325011788,-0.23720398109522206,-0.34213281990101274,-0.811648804418404,-0.28059901067159854,0.0,0.0,-0.5766076866593164,1.3291281087414302,-1.041034199110856,0.06836268173648352,0.10557832556457465,0.07748180133937538,0.4048035931054358,0.0,0.0,0.0,-0.01784813293538957,-0.006038162627291732,-0.23472558109166813,-0.27986688383707764,1.2531345282015993,-0.4957936307052635,0.3726606624431934
