Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_stressLink,g_walk_speed
0,33034.08551211685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0
1,30231.448169891017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.568713615773465E-8,0.0,-2.3389236608239989E-7,-8.624700208096487E-8,1.282242548471789E-8,1.3741960793967953E-8,8.356659958209027E-10,-2.5040834469001004E-8,0.0,-1.4455057777262656E-6,-3.9981005711630654E-7,-4.0383217424766045E-7,-2.269697899941979E-7,-8.413442159559221E-7,-1.9847166204933456E-7,0.0,0.0,0.0,-5.111670062111839E-7,-1.4469962830456549E-7,-1.2985863219864708E-7,-8.649892296737194E-8,-3.132650904925572E-7,-7.471229234948237E-8,0.0,0.0,-1.9743575224698048E-7,5.494118927060744E-7,1.1423513492866227E-7,1.2928398966130636E-7,8.455879781668545E-8,3.27676506346494E-7,1.0385924899076932E-7,0.0,0.0,0.0,5.663094344708868E-4,-0.003128032395278174,-0.10000295194090127,-0.0999945637625414,2.440814969790543E-7,-3.0338825356749067E-7
2,30192.976611891732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.304705290789251E-5,0.0,-3.24795366117463E-5,-1.4476482341245012E-5,-3.256130072310356E-5,-7.879138476508984E-6,-1.8310372784866885E-5,-7.416203808157406E-6,0.0,-9.14463928724832E-6,-3.7511013436530055E-6,-3.6046358023074135E-6,-1.9484799038840285E-6,-5.196959186288627E-6,-4.033044524976441E-7,0.0,0.0,0.0,-5.2945448706286755E-5,-1.64339519920788E-5,-1.2947054786093534E-5,-8.519583337876798E-6,-3.202049794271529E-5,-7.886895851169941E-6,0.0,0.0,-2.0272269393298052E-5,4.184120063444046E-5,8.182802413187005E-6,9.912091322225353E-6,6.46956210105735E-6,2.4990677954097697E-5,7.9898744564548E-6,0.0,0.0,0.0,0.0016909374128329063,-0.0029296277591558738,-0.10032193990151722,-0.09959216841176116,2.655481273584921E-5,-2.2532057267233738E-5
3,29486.124142476667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0035434301749386783,0.0,-0.0017598356178705693,-7.900556327645474E-4,-0.0018404963266734297,-4.4943331796672647E-4,-0.0010322180833378675,-4.0840712739243347E-4,0.0,-4.2995889366545135E-4,-1.8513455088363788E-4,-1.7544375151698732E-4,-9.486668685343316E-5,-2.4367182026749736E-4,-1.3937863023936563E-5,0.0,0.0,0.0,-0.002556793790305893,-7.972253545550024E-4,-6.221131703852747E-4,-4.142421765617053E-4,-0.0015510360595170577,-3.81141031652685E-4,0.0,0.0,-9.770750157073883E-4,0.0022445206675006913,4.40922461078152E-4,5.323278496236589E-4,3.473183929227815E-4,0.0013405118972010864,4.2750294713451384E-4,0.0,0.0,0.0,0.0012242818520921011,-0.0030141443690630213,-0.11409052170378527,-0.07788238258704562,0.0011620925004414237,-0.001222093706535569
4,26967.320032837346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12018063110436443,0.0,-0.06256364555590246,-0.027621822615025347,-0.061254566960061374,-0.014836781727576331,-0.03491021504081442,-0.01429046375578913,0.0,-0.014580091981811268,-0.006410219360418563,-0.00625292286885838,-0.003319986416402578,-0.008230195930016398,-2.5739715079366025E-4,0.0,0.0,0.0,-0.06661535103469296,-0.020146332624985806,-0.016234837649684426,-0.011276553313020967,-0.04106312446921701,-0.009900719913358504,0.0,0.0,-0.025327355183850236,0.038579885629568864,0.0027355006759949827,0.008711593662893254,0.0059469408532172455,0.023342061923983984,0.00897319401863325,0.0,0.0,0.0,-0.011002538877608874,-0.00529549702523677,-0.3489862391232746,-0.15633585152052096,0.04353265743095955,0.042628561416053416
5,24738.304692349244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3975573166271905,0.0,-0.21843348088684658,-0.09460116193570736,-0.1734482396225828,-0.047648197352471146,-0.10841099258459569,-0.047086588740228516,0.0,-0.05860503949334101,-0.025647478935347197,-0.026557007929507853,-0.015044793895648327,-0.03332490134674936,0.0011509385729069842,0.0,0.0,0.0,-0.25371701626483345,-0.08064698628638871,-0.0582867114123682,-0.042394613984480904,-0.15525091084948425,-0.03959353207650723,0.0,0.0,-0.09216895269894741,0.14472972535665157,0.0036397105767971426,0.032299891991780724,0.022425198073428014,0.08445833830170509,0.03464569553010898,0.0,0.0,0.0,-0.020084103168540396,-0.007040733246100292,-0.4792704702421442,-0.22129552473855815,0.5742652747201696,0.04969517511471373
6,23968.731264796985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8639148046046536,0.0,-0.4538490601903654,-0.1984752164832027,-0.3791851273538447,-0.10592840292336135,-0.23481008465269995,-0.09856204123899387,0.0,-0.12184851349308318,-0.051472583832458965,-0.055972580695099805,-0.031321946497945015,-0.06920577648379736,0.0013783735465387695,0.0,0.0,0.0,-0.4334975861794139,-0.1391966010955454,-0.09824514688435122,-0.07394289323747436,-0.2660719882970937,-0.0668302822320716,0.0,0.0,-0.15790033635126488,0.3100634582878451,0.007426874585874089,0.06948746792609006,0.048288588087265064,0.17938413440373402,0.07333283913552131,0.0,0.0,0.0,-0.013152357483365844,-0.005907672305694139,-0.34585311033646393,-0.20444491690527108,0.7101753815048472,0.1330514928293719
7,23208.397947923004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8800125826257598,0.0,-0.8615168073051116,-0.30216375614390617,0.3723174018174781,-0.081953417721912,-0.035245138087371036,-0.08471555925712457,0.0,-0.6381762683059704,-0.2880185474353136,-0.27518413886058524,-0.15540449962302025,-0.36058140908622927,-4.2186555938823235E-4,0.0,0.0,0.0,-1.3666155695098214,-0.5310698772993288,-0.2643830775231565,-0.2228777506227943,-0.79420495895663,-0.20713654269751108,0.0,0.0,-0.4886161873735715,1.0564094259654255,-0.1583983221664291,0.23527158489972766,0.16917031273699668,0.5167657740141922,0.26495874405814346,0.0,0.0,0.0,-0.010238443135435527,-0.0049458604916644425,-0.15041322918346842,-0.20628318886997152,0.6148320565597774,0.4891018061751667
8,22880.98287126754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0551843938887422,0.0,-0.9943659671025873,-0.38272650102124056,0.6606878891986295,-0.07534323573475113,0.02651603396046391,-0.04803930367244295,0.0,-0.9566128484697717,-0.4527197580654044,-0.4373311042108896,-0.24356719749056027,-0.51078261861646,0.023628048308577655,0.0,0.0,0.0,-1.3381963841559397,-0.6140569291044898,-0.19728080367321438,-0.21889167875828122,-0.5964994894738134,-0.19946098540962998,0.0,0.0,-0.404613210338377,1.1190029496359493,-0.39983164309383407,0.17667054068785254,0.15104050547090622,0.39328009629209326,0.3109926539541821,0.0,0.0,0.0,-0.009700319758224794,-0.0046354435848089985,-0.1554869804625737,-0.18432147955308037,0.6565908653218526,0.6332243239628919
9,22535.224525310303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1651435483538386,0.0,-1.0163816124540292,-0.42345916708156334,0.7995845816627896,-0.04523964637942289,0.0863150408258144,0.012745452977389014,0.0,-1.2422664485966144,-0.6249591224654794,-0.6050948883086786,-0.3301899708710916,-0.626258234598108,0.0656534929960946,0.0,0.0,0.0,-1.4260886976891631,-0.7308247438689626,-0.17104880250592985,-0.23182307191665302,-0.44676797049993,-0.20087233552193165,0.0,0.0,-0.36426402814659486,1.0512831987836015,-0.6724060390240516,0.053210064510800875,0.08527852479273923,0.21710125954328152,0.32602781401289677,0.0,0.0,0.0,-0.008606759665314986,-0.00424521620188012,-0.13345348535019236,-0.12748413162069133,0.7140687648918436,0.9969621133315265
10,22438.073866825485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2029986712723912,0.0,-0.8785588346771327,-0.3188663429186944,0.7456299556330014,-6.662164159693743E-4,0.11961307799540374,0.09246836958874624,0.0,-1.4733828175198251,-0.7950030794377089,-0.7787492503587935,-0.4155213357193231,-0.718011930539167,0.12979336034952327,0.0,0.0,0.0,-1.405477554092624,-0.7807708442161746,-0.1581706202429217,-0.22481233021830066,-0.32662859822140833,-0.16453554816878027,0.0,0.0,-0.2919357045268509,1.1545122656567566,-0.826237275800573,-0.035926069924157006,5.858200584524798E-4,0.38225909397409596,0.3282163005128702,0.0,0.0,0.0,-0.00797361543572733,-0.003962818721690221,-0.13070441797201293,-0.11189981153732009,0.759479568237464,1.1742338263220278
11,22278.637698396626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3443641672403428,0.0,-0.5287688948662277,-0.07940674111808088,0.5424859301595034,0.12282582717318513,0.1651738116871829,0.29173828672225455,0.0,-2.0194852032947033,-1.2408967744119503,-1.2385813902045428,-0.6348102819199342,-0.9071802516110903,0.32284792496407577,0.0,0.0,0.0,-1.6172254817752572,-1.0022848571450642,-0.1950132000410208,-0.24325378737073006,-0.1667079484487608,-0.0992187097587468,0.0,0.0,-0.21670522605629813,1.2037649146112506,-1.21233100394389,-0.3624812272322633,-0.28060745286160294,0.5334796838815301,0.28470612302683707,0.0,0.0,0.0,-0.007894424613495057,-0.0035891171456236583,-0.12595010937875753,-0.12911244774181732,0.7309838179736485,1.0114973101982625
