Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_stressLink,g_walk_speed
0,33034.08551211685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0
1,30231.448169611063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5687136157997996E-8,0.0,-2.3389236608374807E-7,-8.624700208146202E-8,1.28224254847918E-8,1.3741960794047164E-8,8.356659958257196E-10,-2.5040834469145343E-8,0.0,-1.4455057777345979E-6,-3.998100571186111E-7,-4.038321742499882E-7,-2.269697899955062E-7,-8.413442159607718E-7,-1.9847166205047858E-7,0.0,0.0,0.0,-5.111670062141304E-7,-1.4469962830539955E-7,-1.298586321993956E-7,-8.649892296787054E-8,-3.132650904943629E-7,-7.471229234991303E-8,0.0,0.0,-1.9743575224811852E-7,5.494118927092413E-7,1.1423513492932073E-7,1.2928398966205156E-7,8.455879781717287E-8,3.2767650634838276E-7,1.0385924899136799E-7,0.0,0.0,0.0,5.663094344741511E-4,-0.003128032395296205,-0.10000295194090128,-0.09999456376254137,2.440814969804612E-7,-3.033882535692395E-7
2,30192.97656856074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.304708182058872E-5,0.0,-3.2479551409088344E-5,-1.4476488944787776E-5,-3.2561315672109914E-5,-7.87914209918624E-6,-1.831038118826357E-5,-7.416207199957759E-6,0.0,-9.14464282144139E-6,-3.751102881854006E-6,-3.6046372714136197E-6,-1.9484806940307284E-6,-5.196961185706621E-6,-4.033045466640015E-7,0.0,0.0,0.0,-5.294547276298944E-5,-1.643395946509815E-5,-1.294706066677745E-5,-8.51958720734683E-6,-3.202051249011037E-5,-7.886899434866774E-6,0.0,0.0,-2.0272278603675247E-5,4.18412195824238E-5,8.182806115610999E-6,9.912095811382197E-6,6.469565031026214E-6,2.4990689271474447E-5,7.989878075161773E-6,0.0,0.0,0.0,0.0016909379283888137,-0.002929627670772858,-0.10032194004789265,-0.09959216822711144,2.657457820332313E-5,-2.2532067467439913E-5
3,29486.356162298114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.003542115173693168,0.0,-0.0017591829605071762,-7.897625910708539E-4,-0.0018398132307910614,-4.492664866432783E-4,-0.0010318349964754385,-4.0825561900701047E-4,0.0,-4.2979989525795877E-4,-1.850660178756515E-4,-1.753788244169071E-4,-9.48315789828396E-5,-2.4358171613186533E-4,-1.3932749337862778E-5,0.0,0.0,0.0,-0.0025558477118512533,-7.969303307605438E-4,-6.218829980722682E-4,-4.140888762159203E-4,-0.001550462101202876,-3.809999956556313E-4,0.0,0.0,-9.76713488067555E-4,0.0022436884107432764,4.407589550111902E-4,5.321304610147517E-4,3.4718960724215773E-4,0.0013400148429131384,4.273444389056404E-4,0.0,0.0,0.0,0.001224453336398385,-0.0030141134042657018,-0.11408531951079455,-0.07789058538848831,0.0011626326838461072,-0.0012216404652231842
4,26978.39320413718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11946054512488469,0.0,-0.06218854909677399,-0.027456238665714307,-0.06088759280156719,-0.014747922465863025,-0.03470107268955356,-0.014204790816490214,0.0,-0.01449260329023356,-0.006371762061188796,-0.0062154090552510215,-0.00330006622444132,-0.008180808609062762,-2.5584526101874935E-4,0.0,0.0,0.0,-0.06621980815686317,-0.020026770168793985,-0.016138464963120294,-0.011209520508113484,-0.040819191497421824,-0.009841928953260411,0.0,0.0,-0.025176983931656318,0.03835356695000212,0.0027206759874222443,0.008660619634540597,0.005912033860757067,0.02320503856796185,0.008920141674358097,0.0,0.0,0.0,-0.010928219327607088,-0.005281628906043231,-0.3475389658849265,-0.15585144071666845,0.04351052816129105,0.04236870649727488
5,26184.42613778394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5378639203765708,0.0,-0.29721113620222905,-0.12847856420393153,-0.23099500052002445,-0.06424570145173657,-0.14583794553015947,-0.06371361369643593,0.0,-0.08051717979107706,-0.035297275643105176,-0.036667875511796524,-0.020830181146323647,-0.04580759669814083,0.0018190042666360769,0.0,0.0,0.0,-0.3486808583252816,-0.11117647533806818,-0.07978963390038811,-0.05823316367845581,-0.2132646152085134,-0.05460242489049642,0.0,0.0,-0.1262186423001105,0.19745487396364747,0.004051176337447465,0.04400458637476258,0.030604009590953406,0.11488538155658959,0.047435926511106216,0.0,0.0,0.0,-0.02609148247363191,-0.008183393935106606,-0.5715247992687693,-0.2649119149556321,0.853948325652813,0.02598441336186548
6,24694.784859168514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0114296196794301,0.0,-0.5362042180347272,-0.233679869461763,-0.44699128433246604,-0.12351381987083301,-0.2765915869921259,-0.11657820110164474,0.0,-0.13718408120623937,-0.05912502966873597,-0.06346075389475825,-0.035826046181507934,-0.07754880541015202,0.0027366215956654977,0.0,0.0,0.0,-0.5395315880929943,-0.1718474021897345,-0.12332823188314626,-0.0918410973011469,-0.3320426289712819,-0.08343781907589524,0.0,0.0,-0.19642047822381972,0.3590552146098126,0.008906335568384717,0.08062022824026895,0.05594629098002365,0.2086406385536172,0.08507332217335778,0.0,0.0,0.0,-0.020600722851266306,-0.007323491949714049,-0.4608765765500771,-0.2564648073950564,1.0449502942412736,0.10254214777048035
7,23030.303883647815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9994885673310729,0.0,-1.105968459468587,-0.35554619420094197,0.39440346121052305,-0.08810843911139607,-0.06775343725185312,-0.10841309290979811,0.0,-0.7892574258193835,-0.38177551154064404,-0.3203332297989441,-0.1784506499286641,-0.4456979030566788,-0.009535253819591466,0.0,0.0,0.0,-1.8418028428895332,-0.6356508416445557,-0.3997340913961961,-0.31535643579030787,-1.1099530261061337,-0.2700636541830774,0.0,0.0,-0.6809483519912695,1.2207688225193014,-0.22280197578899688,0.29044554016088386,0.20300924437198326,0.5989105975183082,0.30294110096031746,0.0,0.0,0.0,-0.017338427322171408,-0.006203011762047014,-0.20174725036736946,-0.26255435326858945,0.9646833637252111,0.5012548712429227
8,22745.880683123796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1271152350815001,0.0,-1.1729421571980916,-0.4322783347739466,0.5414518612093513,-0.07373785276894164,-0.03224682856978227,-0.06544240426393236,0.0,-1.0318027065860917,-0.5360583075959566,-0.45241205028194464,-0.2435361150055408,-0.5294981980008331,0.021129782764078488,0.0,0.0,0.0,-2.021185643516179,-0.7529848223433864,-0.40132472780203565,-0.351477531618096,-1.0813172531331035,-0.2883497951499967,0.0,0.0,-0.6992136573982652,1.0446814019464017,-0.4760347765102738,0.1511427505142582,0.131231608805974,0.3230620071389848,0.29973761878539074,0.0,0.0,0.0,-0.016854349754414556,-0.005972802914568826,-0.17816147508199645,-0.22840984283415566,0.9701156831696407,0.6156984481876502
9,22554.625931346516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.515127717803895,0.0,-1.3646996576788195,-0.5900804145408044,1.0798283579194656,-0.023511405901135922,0.13971628156526977,0.10758332494515643,0.0,-1.927376796578241,-1.113930193958104,-0.9447756732987953,-0.49015354904387,-0.8465884891792768,0.1391744744840412,0.0,0.0,0.0,-2.1617270780690094,-1.0291800805718874,-0.2685583309840319,-0.40853613051772497,-0.6316671415712143,-0.27673263941455234,0.0,0.0,-0.5338646429819836,0.8407688870035217,-1.38951506242057,-0.19048728821830005,-0.04940595143143389,-0.22147922344694226,0.3680230119369467,0.0,0.0,0.0,-0.013820384809766504,-0.00483763992894626,-0.12970050825301124,-0.06859011913657126,1.1778796548440513,1.587286394743272
