Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_45_64,b_carD_age_gr_65up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_45_64,b_carP_age_gr_65up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_45_64,b_pt_age_gr_65up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_45_64,b_bike_age_gr_65up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_45_64,b_walk_age_gr_65up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_stressLink,g_walk_grad,g_walk_vgvi,g_walk_speed
0,33034.08551211685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
1,31508.091888724914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.707788310584311E-8,0.0,-2.9220656520271227E-7,-1.077501615774468E-7,1.601932107154428E-8,1.7168115531145902E-8,1.044014793580323E-9,-3.128403185001201E-8,-1.805900232508065E-6,-4.994909644990215E-7,-5.045158785288444E-7,-2.8355804787412497E-7,-1.0511087113079944E-6,-2.4795474785644826E-7,-5.688845734059188E-7,-1.686397007879658E-7,-6.386115016567151E-7,-1.8077623515976705E-7,-1.622350721071454E-7,-1.0806489154556342E-7,-3.9136854966227613E-7,-9.333961040084545E-8,-1.9400055756517487E-7,-5.2660006773120004E-8,6.863916285006261E-7,1.427163141836488E-7,1.6151715931303333E-7,1.0564105311149596E-7,4.093730292308962E-7,1.297535055138751E-7,1.8006487667559164E-7,5.221150796271316E-8,7.075020765334863E-4,-0.003907915497101074,-0.10000368792075555,-0.09999320839622938,4.235455986266536E-9,3.0493605694107586E-7,-6.910022528843786E-9,-4.647683593686026E-7,-3.7902921323466373E-7
2,31473.717475033645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.834512698985617E-5,0.0,-3.9927130888690476E-5,-1.7864930215383654E-5,-4.055341349917019E-5,-9.837524850541974E-6,-2.27542682094025E-5,-9.149153494270937E-6,-8.937173159354713E-6,-3.968523757285483E-6,-3.849493785898318E-6,-1.9767869873680987E-6,-5.003022446535026E-6,-1.4314677809599855E-7,-3.7503283626628834E-6,-3.6839675490507283E-7,-6.433488294943467E-5,-2.0009297634037927E-5,-1.5705930421226026E-5,-1.0358631417371528E-5,-3.8915361456811885E-5,-9.592303956419114E-6,-1.946822068474896E-5,-5.141649882567087E-6,5.083765044582247E-5,9.902975547852757E-6,1.2051028787011544E-5,7.860680578822132E-6,3.036501155144259E-5,9.711545120188107E-6,1.3248305924999225E-5,3.877812297356594E-6,0.001991369483468788,-0.0036810337123787348,-0.1003834020316198,-0.09950267733940664,4.3956541261882506E-7,3.163117388333831E-5,-5.050957846077767E-7,-3.3938773979703034E-5,-2.7477812110626012E-5
3,30197.5733339129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008298129812357929,0.0,-0.004080925514920325,-0.0018389214873725842,-0.0043186349227087775,-0.0010569817557546837,-0.002417008034823589,-9.500220191352156E-4,-7.514809186226404E-4,-3.5995186628342993E-4,-3.452811578538673E-4,-1.7597390721654159E-4,-4.176215553215391E-4,5.466865672711483E-6,-3.302678393861256E-4,-2.2525634142078728E-5,-0.005879039758989495,-0.001836721684721644,-0.0014282214720385924,-9.528591239892414E-4,-0.003566735337546164,-8.771711065356752E-4,-0.0017773834105043649,-4.6732855819405574E-4,0.005144535139560747,0.0010064281084822286,0.0012209124079085643,7.960828594137618E-4,0.003072626130646635,9.802685355626835E-4,0.0013426927221990635,3.928934242007729E-4,9.465629996745475E-4,-0.0038697291490489357,-0.13184748504852273,-0.0491350651233617,3.6804491929345114E-5,0.0026276207606394744,-5.153185360669058E-5,-0.003462042135168862,-0.002809842760815417
4,26579.952591352132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2165668397337283,0.0,-0.10949551264768506,-0.04887485870667639,-0.111516060543999,-0.027180376859592733,-0.062892652317379,-0.02527087778532843,-0.02010644726182079,-0.00972216867496269,-0.009413556510982149,-0.004765619058977604,-0.011152453738100905,2.659189369949097E-4,-0.008951034445745316,-5.704017314904042E-4,-0.1183037373823737,-0.03621556883753979,-0.028701783435246597,-0.019921512378417106,-0.07280200726627722,-0.01759118136689558,-0.035683465966722616,-0.009317808936790916,0.08132777458041596,0.009096694319625358,0.01860789099802,0.012709033536480013,0.04907792572288309,0.017796154760844334,0.01880688506330104,0.006034691611380053,-0.02031718181289353,-0.007834880519650101,-0.5419369798886804,-0.18250200213801138,7.756764407431459E-4,0.05461244603503325,1.3305957918501393E-4,0.006693987088736201,0.012037690682223996
5,24621.768533956685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8551147938170212,0.0,-0.43122734863107637,-0.19121384723673734,-0.40480435082470306,-0.10682778310621957,-0.2388615891927415,-0.09711876239456035,-0.08514892090706769,-0.03811818562183149,-0.04200999976785533,-0.022656039960814143,-0.047502892615248586,0.003362526280201922,-0.04181764436906031,-0.0023086553606598923,-0.41196868725005953,-0.13051949671240942,-0.09511973530071856,-0.07038554644550743,-0.2536865527855227,-0.06273412766923492,-0.12168854891712771,-0.030585268988974415,0.324617521264397,0.026707423780450885,0.07367533951449486,0.051166332401715024,0.1896264862469152,0.07182915654710206,0.07174378862134173,0.02407942917154301,-0.01864216367592926,-0.007733438681772837,-0.4807202769768063,-0.21053572931581688,0.007367255029959942,0.5736339912005237,-1.465390800796493E-5,-0.01103120058998783,0.022784663334325297
6,24041.78400150772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7834767350258128,0.0,-0.5311974971880016,-0.2098325020953227,-0.1392976036768756,-0.08889745120174647,-0.1566632519456952,-0.08684032352875326,-0.20203595068792995,-0.09523651900056351,-0.09588090775392225,-0.052754721955570856,-0.1123560522020901,0.008030695268236021,-0.10004669846683734,-0.0054870581513213525,-0.7525373856732864,-0.25543856188537767,-0.16482084544353087,-0.12687275363255307,-0.45291420493772977,-0.11294564786650323,-0.22119688492792783,-0.055604724649203074,0.5053008159680157,-0.03818668381331607,0.11644264078392988,0.08393491785199156,0.25579314514486684,0.1188807189576665,0.08849423367370142,0.0394569489755112,-0.022647374877590894,-0.008327158170732131,-0.48206232734835697,-0.23127620854963926,0.010706444085678047,0.7825440918669474,3.557660173341476E-4,0.025417050472695695,0.08701235668008285
7,23415.60484495807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8283654984823854,0.0,-0.6639607125441958,-0.2498926356561092,0.04763591903219,-0.08627798187486267,-0.11157120912041912,-0.085646881975489,-0.31743175122256184,-0.15364059982650957,-0.1517058808658908,-0.08297999079533983,-0.173907708252557,0.013931115318719387,-0.1582083123491338,-0.0084551234077051,-1.063495433335219,-0.3696828750472398,-0.22875375008394033,-0.17959500452099386,-0.6320009899188311,-0.1566627425984644,-0.3129476499807013,-0.07930472999204234,0.6754326759706138,-0.10765695092438352,0.15109517731943245,0.11247220283146228,0.3104089816681879,0.1645481847326153,0.10053045860445142,0.053627782480122455,-0.020685663698626882,-0.007876885024884643,-0.4091949036754239,-0.22409881726092404,0.010019964831827578,0.6559271283338806,7.610135594282152E-4,0.07801194614954449,0.15406367636545243
8,23175.6964885589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8930309500532494,0.0,-0.7243499849338148,-0.2931554498301781,0.1598227180407254,-0.07812521509879469,-0.07821824918053613,-0.06402058694451945,-0.432372436607634,-0.22585559202090988,-0.2184687570443871,-0.11769769194945535,-0.21829850200579068,0.03194050064157216,-0.224694398190892,-0.008665360950262756,-1.3081359957896619,-0.47502538793549826,-0.27049992867972134,-0.22032049604771173,-0.7279862876969585,-0.18523092233940444,-0.3794779310486731,-0.09848771797526483,0.6443017281015011,-0.2263831769647112,0.09289360941053415,0.08695622565312727,0.20638519121524218,0.17622885368249047,0.04721236138895358,0.04782571722550994,-0.02028162488255841,-0.00772455424739678,-0.3744025519849895,-0.24163151654402434,0.010393252212844808,0.5873259047716534,-0.0033093424646006902,-0.11607304907360783,-0.020107100804902023
9,23107.504334745052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1679073573341485,0.0,-0.8100571576033991,-0.43986393700046156,0.34037904747385905,-0.03403595590969744,-0.004991056245280526,0.044300918424366495,-0.8232875836960296,-0.5009914029637637,-0.4684072505799577,-0.2456096655317629,-0.3356877039909129,0.1178919764262289,-0.46762714190479526,-0.0028884658308894846,-2.043168284043183,-0.8320849397745591,-0.3744884817511831,-0.34000419381788427,-0.9109738090505072,-0.25723717655108835,-0.5641182630961286,-0.1567436663874774,0.12858376365483748,-0.7402446679496982,-0.29051902538140956,-0.11189542528765481,-0.4263468559239147,0.13809293034983067,-0.25664614790496,-0.012940002734174436,-0.02092915594989117,-0.007617573088430689,-0.30639553902919564,-0.20202399780359354,0.0142994696875435,0.5346747479509232,-0.010788040073704975,-0.10877527613208196,-0.01906473185928457
