Iteration,LL,asc_carD,b_carD_age_gr_under25,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under25,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under25,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under25,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under25,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_walk_grad,g_walk_vgvi,g_walk_speed
0,14790.786546584945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,14497.200604892294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.617213994342957E-7,-1.937200083010199E-8,-2.574696876889714E-7,-9.476610580129167E-8,-2.8511002984408796E-7,-7.283500553248806E-8,-1.700465891543158E-7,-6.255218699253161E-8,0.0,-4.5825189188960503E-7,-2.3570528292343E-8,-2.0754161682320454E-7,-7.96896634489532E-8,-2.4061878154152507E-7,-5.3437060827714233E-8,-1.4833092595307467E-7,-6.091613733123301E-8,0.0,-1.9001055182685316E-7,0.0,-7.86731630440166E-8,-3.48533519249064E-8,-1.0046779066393806E-7,-2.4346380989687517E-8,-5.511044293285078E-8,-2.1693261436014215E-8,0.0,6.254362043546157E-7,2.7946405346978382E-8,2.498769428930705E-7,9.719934344985788E-8,3.0263423014174397E-7,0.0,0.0,0.0,2.1712469407191094E-7,1.3977705100621265E-4,-9.945355517902087E-4,-0.10000061205267423,-0.09999492464061062,6.46437663651556E-10,4.482019351608497E-8,4.910865042298191E-8,-5.031167370382125E-9,-3.6982564629426153E-7,-2.678990452205844E-7
2,13993.499151116033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5614580572033125E-5,-1.4766551913397584E-6,-1.6238539055199976E-5,-5.9121931703863964E-6,-1.824920015259109E-5,-4.6518510910304144E-6,-1.0866343198823722E-5,-3.981784585761647E-6,0.0,-6.48701114937711E-6,-1.3232118475192276E-7,-3.0500590150577748E-6,-1.3874401567024853E-6,-3.352992218602413E-6,-4.6705951398676457E-7,-2.30505172483113E-6,-1.189931959584322E-6,0.0,-1.0653750738687409E-5,0.0,-4.424905092721825E-6,-1.9428910764271734E-6,-5.608941901102504E-6,-1.3850685657253316E-6,-3.0880578590389155E-6,-1.2097889286281993E-6,0.0,3.094494921153852E-5,1.3781430119417952E-6,1.236215997052886E-5,4.8011572191998445E-6,1.4968920853702018E-5,0.0,0.0,0.0,1.0734856334774547E-5,-0.0026101141424778344,-0.0015421853281816396,-0.10004020643604611,-0.09974968232711526,4.200171438525693E-8,2.920075367413611E-6,3.2579483970266535E-6,-2.4829957363146836E-7,-1.824016452394751E-5,-1.3193621384363161E-5
3,13544.777386887214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002062563854892146,-8.000624039513582E-5,-9.436939099050441E-4,-3.4469750499522E-4,-0.0010524737252230756,-2.66594184209654E-4,-6.289613237339315E-4,-2.3186555903569893E-4,0.0,-2.980939457968873E-4,-2.450623786423756E-6,-1.440803908531843E-4,-6.772622122739916E-5,-1.5722182299518253E-4,-1.3769192593156051E-5,-1.1535695354723669E-4,-6.27738527445569E-5,0.0,-0.001129289419980763,0.0,-4.831462981074562E-4,-1.953102104694816E-4,-5.956150493991564E-4,-1.5160671936779115E-4,-3.336992305579624E-4,-1.2590255786576918E-4,0.0,0.0018994451183594805,8.39089168850659E-5,7.586674396734297E-4,2.9347471510205646E-4,9.181028039108767E-4,0.0,0.0,0.0,6.571997033718936E-4,-0.00297948242975613,-0.0016170457797705308,-0.11034668317025904,-0.08498285847310744,1.051800024389497E-5,7.304972234986972E-4,8.733748814501597E-4,-1.4856915626077806E-5,-0.0010907754744835013,-7.838429985636254E-4
4,13434.356421801827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6367680895398774,-0.024128449614939703,-0.29529731498745726,-0.10564420191682045,-0.3252064589982402,-0.07997129393291343,-0.19596408774088211,-0.0729728828093793,0.0,-0.05573765779680527,9.857212950286957E-4,-0.028542641035866345,-0.014471591559505167,-0.03233953017133,0.0015825105755739764,-0.02802972708511555,-0.01592897876084658,0.0,-0.22100859838605139,0.0,-0.0923328130407968,-0.039444426020497754,-0.11595054346286168,-0.02937358211083854,-0.0640727340834664,-0.023774191258143326,0.0,0.3522564173582458,0.012117923738725347,0.13657319644346197,0.047924485337666564,0.1654832675805434,0.0,0.0,0.0,0.11062250150718209,-0.023992111353117757,-0.006043392646027166,-0.552043299949389,-0.1643511268817528,0.0039006335386213096,0.2773904650851894,0.31799909953236827,0.009703863506384943,0.7121638921041555,0.5548879487528778
5,11312.742659183925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8873762502393188,-0.03359816844193891,-0.4110580527601077,-0.14736017361964204,-0.4522315887947771,-0.11141944995186187,-0.2727564854804573,-0.10174076132937325,0.0,-0.07568484528282418,0.001451577216608464,-0.03873568947121092,-0.019938851961460065,-0.04415731397081416,0.002584710214270182,-0.03881938083121642,-0.021982477201806037,0.0,-0.29796325481952274,0.0,-0.1240437528071714,-0.05338596717945053,-0.15615286869846418,-0.03952660525172791,-0.08618829043071345,-0.03201443321130892,0.0,0.49081936118189207,0.016830831979042876,0.1900127440485331,0.06675253903774729,0.2300815918109793,0.0,0.0,0.0,0.1538468719698287,-0.023748828695182994,-0.006045265890932264,-0.5417638435262347,-0.08326942425194678,0.005273031687110367,0.3756157671115165,0.43091897949797453,0.013546272544522422,0.994912338945241,0.7773761753162987
6,8105.009407550764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.895886950805792,-0.1054289071874828,-1.3120780749124772,-0.4897750395780788,-1.4305302910271487,-0.36757070755669247,-0.8731568927977658,-0.3288225453617028,0.0,-0.3073341851362371,0.0026317271652914758,-0.1457116651411331,-0.08421329370196035,-0.16818762374714075,0.005782144574159504,-0.15121322938585985,-0.0808241168423444,0.0,-0.802178239646911,0.0,-0.32423604160638897,-0.15014239912742236,-0.41794188775208246,-0.10125235832145735,-0.23030789347299147,-0.09068228957748997,0.0,1.9833279468405456,0.07469976922512798,0.7473931527151045,0.2914876184502142,0.8953395956269556,0.0,0.0,0.0,0.6273168909425619,-0.009750705606480482,-0.003579797333128348,-0.28083652369272405,-0.15752180113501194,0.0038108883447256735,0.28311827124267686,0.4374511301127576,0.013202214017193877,0.8737593147865996,0.7107447890472968
7,7599.121218583341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.577280474647485,0.047864946573669076,-1.2138165617692966,-0.486014258452277,-1.0987237452347571,-0.28682874847070283,-0.7650923042366886,-0.29158961513170517,0.0,-0.49024935789102086,0.01881567197132255,-0.2129917260178332,-0.17345998666640042,-0.219752415069484,0.05023381585742595,-0.2918323329256474,-0.1875249633405819,0.0,-1.2440368303690874,0.0,-0.4588250913205869,-0.2522590638971286,-0.6053097576225258,-0.14387698570552973,-0.35333222802151226,-0.1524340874015348,0.0,2.841250260867704,0.0651994313015267,0.8458902495971259,0.3896096774480799,0.8672026996559298,0.0,0.0,0.0,0.6596102036867921,-0.009630799050347057,-0.0033598755797358917,-0.2504500799756945,-0.16625389908573235,-0.0010971919283252283,-0.04617555699536707,0.47753802049754235,0.014440055353556887,0.9190542006144882,0.9217922043699214
8,7518.760077734709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.636585856933303,0.11368668111636356,-1.2478608903756194,-0.5209382101122761,-1.0308411831679551,-0.2753278585115036,-0.770519295657885,-0.29806397554501485,0.0,-0.5025741586774654,0.034016392333968665,-0.21730865652706655,-0.20320993436655643,-0.20794552275539763,0.08062819262397518,-0.33637807873183384,-0.23628794873960474,0.0,-1.357267496057517,0.0,-0.48796554284065247,-0.28180820195765494,-0.6543127906598277,-0.14585232304932477,-0.39053154829630643,-0.17518782275432726,0.0,2.894038483042179,0.03704136092552545,0.7672076920346133,0.3559195065599377,0.7133725071408642,0.0,0.0,0.0,0.5576330797601792,-0.009671737665539122,-0.0033678513407884476,-0.2506323269435757,-0.16295961201191306,-0.003457343105716585,-0.17843025380622657,0.4873003678901347,0.01365041856507108,0.8982391327635385,0.9767956964438982
9,7477.728477828937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.681991218930935,0.19241761253652392,-1.28033215893693,-0.5538087466456044,-0.9617111637229313,-0.25720698631239064,-0.7734661453529222,-0.3048420566694133,0.0,-0.4921332555278313,0.05392157836220529,-0.22028860908810868,-0.2246435434326737,-0.2061942965308416,0.10600356136537793,-0.36672071585605626,-0.2876379693997011,0.0,-1.3454935388843319,0.0,-0.4601508489259176,-0.2858864534088342,-0.6380358491165907,-0.12458257775599463,-0.3928316862862176,-0.18916329801179352,0.0,2.9383501667373975,0.008224991904795354,0.7146898926354526,0.3098356657376963,0.6872972790121713,0.0,0.0,0.0,0.5226674553638385,-0.009684307790763748,-0.003372191010374896,-0.2707805853543049,-0.15774562299177117,-0.00681021902883241,-0.28967379654088804,0.3734952184268351,0.013971117629118488,0.9398497271141348,1.0275500523614525
