Iteration,LL,asc_carD,b_carD_age_gr_under25,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under25,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under25,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under25,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under25,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_vgvi,g_bike_stressLink,g_walk_speed
0,14790.786546584945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0
1,14396.624781647299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.159549988892362E-7,-1.7793661905783736E-8,-2.364922763479546E-7,-8.704501210508348E-8,-2.6188061426832507E-7,-6.690075406857998E-8,-1.5619199803780297E-7,-5.7455730906377976E-8,0.0,-4.2091569701457955E-7,-2.1650113225421197E-8,-1.9063210834646538E-7,-7.319692690664106E-8,-2.2101430226446013E-7,-4.908326207221937E-8,-1.362456242764345E-7,-5.59529788267382E-8,0.0,-1.745293915373337E-7,0.0,-7.226324614278167E-8,-3.2013665799115917E-8,-9.228215067579869E-8,-2.236275311772322E-8,-5.062030492489777E-8,-1.9925797185926575E-8,0.0,5.744786231182557E-7,2.566946453220352E-8,2.295181524554332E-7,8.928000106852259E-8,2.779770256819149E-7,0.0,0.0,0.0,1.9943440182538796E-7,1.2838867856784734E-4,-9.135055029699726E-4,-0.10000056218551967,-0.09999533815686788,4.1168456318552496E-8,4.510751005740398E-8,-2.4607189919846033E-7
2,13937.52673135399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.014667028004036E-5,-1.2476260466229234E-6,-1.3747922335175106E-5,-5.004004902355426E-6,-1.544616473545068E-5,-3.936755871128605E-6,-9.199185668514862E-6,-3.3707917378800846E-6,0.0,-5.717097363804404E-6,-1.258253172515597E-7,-2.6780969999764927E-6,-1.214329586955522E-6,-2.955991507802988E-6,-4.263075236701128E-7,-2.0168919273729166E-6,-1.0325894540418552E-6,0.0,-9.008844543826878E-6,0.0,-3.741898539857838E-6,-1.6430246898040618E-6,-4.743857074220423E-6,-1.1706958419173391E-6,-2.6117631899288664E-6,-1.0232864358462529E-6,0.0,2.6279877442229735E-5,1.1705810617000758E-6,1.0498568636009338E-5,4.077645073242643E-6,1.271254714547061E-5,0.0,0.0,0.0,9.116801995355252E-6,-0.0022160725923633354,-0.0013812798782393376,-0.10003398657106229,-0.09978740875181229,2.468393855425769E-6,2.7538976948818455E-6,-1.1205689103433761E-5
3,13539.936734078765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018645211359314719,-7.22174432570412E-5,-8.535148490093369E-4,-3.1155276746341475E-4,-9.514075424080234E-4,-2.4086739274981227E-4,-5.686794094597314E-4,-2.097321174185478E-4,0.0,-2.7211797224139665E-4,-2.5617564303459303E-6,-1.3114446657585692E-4,-6.15170653043246E-5,-1.4401794623172153E-4,-1.2749128313227618E-5,-1.0528864574707614E-4,-5.688284109504347E-5,0.0,-0.0010233379184177592,0.0,-4.374728226377697E-4,-1.772167850580716E-4,-5.392683405742556E-4,-1.3758029824237526E-4,-3.02117283965851E-4,-1.1406844484339413E-4,0.0,0.001716829809233232,7.581099059749958E-5,6.85735811712632E-4,2.651906620864278E-4,8.298095987380914E-4,0.0,0.0,0.0,5.939389644083518E-4,-0.0025147968898616073,-0.0014420113427585071,-0.10905352750548117,-0.08643729938418199,6.396491446092927E-4,7.629766556783264E-4,-7.075497688573929E-4
4,11966.628830378637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7291451483060463,-0.02767411124497986,-0.3382956436521709,-0.12090048845730116,-0.372256362537196,-0.09155712077550135,-0.22446799900526082,-0.08359622096721402,0.0,-0.06050678845279216,0.001199439437795395,-0.03144590702146019,-0.01579229781836428,-0.035772924016472966,0.002365520839159348,-0.03139160835238222,-0.01778360557828398,0.0,-0.23507335338218285,0.0,-0.09768479894002964,-0.042276853566840585,-0.12312355952672861,-0.03113768250190289,-0.067914893256667,-0.02533925522370261,0.0,0.38633981112965743,0.012929973435450832,0.14967239479515496,0.0516711875259114,0.18105065806227974,0.0,0.0,0.0,0.12030631043307402,-0.017119490990733847,-0.004589328858372593,-0.4200170789403712,-0.21074607687516245,0.2835905075429456,0.3229863360558107,0.7312432070776227
5,10655.190466349135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8871645221781246,-0.03360711607374765,-0.4112492310193803,-0.14722314100807055,-0.4521604558882069,-0.111366932814402,-0.2728643694601456,-0.10174416166507819,0.0,-0.07315398233439527,0.0014798996275597275,-0.03796210632449548,-0.019220574479131218,-0.0433495326816209,0.003030295418205742,-0.03828072501986684,-0.021617179164801256,0.0,-0.2812624569421258,0.0,-0.11659840997963546,-0.050712888730453744,-0.14719393938925418,-0.037209444242271045,-0.08113897159785965,-0.03030264951697052,0.0,0.47267929629279803,0.01582022595661059,0.1829484005337055,0.0632688129509439,0.22121137547101433,0.0,0.0,0.0,0.14710703827460467,-0.016041495764675336,-0.004401571375008471,-0.39132039402335345,-0.1792342551085915,0.3399363049451235,0.38721904342113533,0.8889859779199759
6,9621.095194018695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9483399930289008,-0.033427335395168005,-0.43921437135141966,-0.15839827670387427,-0.47816090607475764,-0.11790683322564724,-0.2912487906428739,-0.10883687910415418,0.0,-0.08924858712175272,0.0016394323625322368,-0.04579350149281333,-0.02340433207290431,-0.05150574144386325,0.003238035549386837,-0.04593094592643032,-0.025978435204309813,0.0,-0.3114525571996761,0.0,-0.128375231936805,-0.056661090756375,-0.16219322790676968,-0.04075592162643187,-0.0898121861036749,-0.033859199648311744,0.0,0.5123905005244477,0.016136487732584484,0.19458306346005486,0.06746677176581957,0.23288516233290488,0.0,0.0,0.0,0.15458673440191464,-0.015664561253196662,-0.004329560343037399,-0.37966144791406703,-0.1351081689281704,0.37453286848773565,0.43893966342848684,1.1364489296875564
7,9096.467835237798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.027113056208256,-0.03425538659199355,-0.47475603676823636,-0.17256913917802846,-0.5141393177776018,-0.12731598912663503,-0.31469663695757644,-0.11758422295500605,0.0,-0.10643283750204044,0.0018090882214213256,-0.05332988830578541,-0.02863986614103465,-0.058201592228234005,0.0035579285982949103,-0.053453673730613833,-0.030630088252898313,0.0,-0.31277566479128566,0.0,-0.1286667165782014,-0.057894683739929766,-0.16323039015962804,-0.03953890461840917,-0.0908520826362876,-0.035046056235464175,0.0,0.5110912302554782,0.014713883853645054,0.1882051442092366,0.06596165223393315,0.22072667441152033,0.0,0.0,0.0,0.14614488362225866,-0.015175794357487848,-0.004239830170629625,-0.3825898716146645,-0.11169925296738088,0.30417396340073105,0.38584406090145723,1.2862298612753422
8,8358.160627914416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9843902721073979,0.03427792410313231,-0.42286373727663673,-0.19826500127073116,-0.34162553101896986,-0.09873612903410724,-0.2755677850143171,-0.11079189185268395,0.0,-0.474572410635552,-0.001017508022011618,-0.21213470349340247,-0.12497155225729534,-0.2209070055067187,-0.005526254543204047,-0.20695018192316433,-0.11218035112300458,0.0,-0.7375894598910189,0.0,-0.2765140139772331,-0.15178775087322424,-0.36259365544679933,-0.08470402779888442,-0.20577702273644383,-0.09147617187601795,0.0,1.3799721142964283,0.03637236785427148,0.43928513228313193,0.18688468392892965,0.4840408708646075,0.0,0.0,0.0,0.3412443244097042,-0.012826781351291472,-0.003534823480362488,-0.3834239441057456,-0.12303503698328344,-0.2799239036673867,-0.19113836697291137,1.781515064982788
9,8159.505066681757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0383473491365147,0.08950586160239618,-0.42086343181776303,-0.23380277265201382,-0.25947259321222244,-0.09020084992795255,-0.27120367318940003,-0.11221542591718457,0.0,-0.7859618967571171,-0.0012789912944908232,-0.33736661419748826,-0.21521671041173804,-0.3282997235772213,-0.011104781168560379,-0.32848181821194145,-0.18573345741571584,0.0,-0.8208078313494446,0.0,-0.2829641698733059,-0.18595867642407093,-0.37536137236004985,-0.07822661820434462,-0.2248891886422013,-0.11515434607946257,0.0,1.5098800413237425,0.025808929052582287,0.3739558182300863,0.1972912997138805,0.3418766924085357,0.0,0.0,0.0,0.2604444206730144,-0.01236023916181439,-0.0032798879176718925,-0.37101256808022115,-0.12375842649529642,-0.4319982860134455,-0.05736225606119402,1.7863755499966862
