Iteration,LL,asc_carD,b_carD_age_gr_under25,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under25,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under25,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under25,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under25,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_stressLink,g_walk_speed
0,14790.786546584945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0
1,14365.682108064584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.010805252391677E-7,-1.7280688185739156E-8,-2.2967443731052815E-7,-8.453559027233772E-8,-2.54330854493182E-7,-6.497207132356324E-8,-1.516891368112106E-7,-5.5799338862009374E-8,0.0,-4.087811126852829E-7,-2.1025961818058514E-8,-1.8513637271339473E-7,-7.108673170961274E-8,-2.1464267795149029E-7,-4.7668240045251145E-8,-1.3231779732912353E-7,-5.4339909642423877E-8,0.0,-1.6949788134521738E-7,0.0,-7.01799680411386E-8,-3.1090743394262395E-8,-8.96217473042762E-8,-2.1718057005254755E-8,-4.9160971468714966E-8,-1.935135610901727E-8,0.0,5.579169711127586E-7,2.4929439191587337E-8,2.229013705301482E-7,8.670614670868352E-8,2.6996322224415095E-7,0.0,0.0,0.0,1.9368490475441233E-7,1.2468735961476842E-4,-8.8717004045411E-4,-0.10000054597826571,-0.09999547255320668,4.3807105039110714E-8,-2.3897788908414886E-7
2,13927.47468709965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8031810266099875E-5,-1.1592961900498293E-6,-1.2784265227790587E-5,-4.652846812022621E-6,-1.4362100194613507E-5,-3.660293875570701E-6,-8.554162655301901E-6,-3.1344242262516726E-6,0.0,-5.393355078287458E-6,-1.2172895812224835E-7,-2.5233534839914213E-6,-1.1426800702049754E-6,-2.7890486388578296E-6,-4.0693806684391575E-7,-1.8980861327652244E-6,-9.688618542661785E-7,0.0,-8.374379409434725E-6,0.0,-3.478413222120865E-6,-1.5273521297161918E-6,-4.410054025885756E-6,-1.0880771439734573E-6,-2.427970935501314E-6,-9.513093804453052E-7,0.0,2.44656533152639E-5,1.0898326414860155E-6,9.773818701967364E-6,3.796236297687216E-6,1.1835016476616249E-5,0.0,0.0,0.0,8.487512028215138E-6,-0.0020599106985669993,-0.0013233200848796547,-0.10003158492450269,-0.09980208109488567,2.5592494007288562E-6,-1.0432485682402303E-5
3,13540.491675917136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001830134043388496,-7.085403957400042E-5,-8.379202833337256E-4,-3.057910260878289E-4,-9.33861453949776E-4,-2.363837022713892E-4,-5.582320673496682E-4,-2.059097694916239E-4,0.0,-2.674689266568502E-4,-2.6065031937157695E-6,-1.2882310783807782E-4,-6.037574933646996E-5,-1.417548417906731E-4,-1.2533565369267612E-5,-1.0354399537418688E-4,-5.581700587393896E-5,0.0,-0.0010053160986606424,0.0,-4.296288227918914E-4,-1.7418749994342533E-4,-5.295865222238067E-4,-1.352328873460072E-4,-2.966864146948822E-4,-1.1205239572279895E-4,0.0,0.0016847890301972754,7.438360769408537E-5,6.729410610133598E-4,2.60214038645672E-4,8.143121442610571E-4,0.0,0.0,0.0,5.828245615258313E-4,-0.0023388576774608363,-0.00138009208973802,-0.10877751809462431,-0.08669437047947229,7.392641343898363E-4,-6.939987232842546E-4
4,11633.609504260714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8148712266210976,-0.030937238615022893,-0.3780231402877283,-0.13510403362250153,-0.41594198932779075,-0.10236510055795991,-0.25085854316279127,-0.0933973471053654,0.0,-0.0672650478492241,0.0013405872793615468,-0.03514668169102912,-0.017518700015320535,-0.03990761585083792,0.0027429237817614546,-0.03501200657028853,-0.019820935927516686,0.0,-0.2583391008829995,0.0,-0.10723497491474285,-0.04654275901599275,-0.13528941651730617,-0.034162874877292984,-0.07461103312660951,-0.027911790522738605,0.0,0.42881231773787604,0.014286722356599942,0.16615641265140918,0.05715481591700507,0.20087691207706945,0.0,0.0,0.0,0.13337898051356714,-0.016491235523217764,-0.004455112068365821,-0.43561372788641295,-0.20435318167652627,0.3451418128563687,0.8442707918003352
5,10309.178547602782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9769728795346289,-0.03700628818502032,-0.45289104243641687,-0.16210044046571034,-0.4979243842710338,-0.12268261769585076,-0.30053140974662657,-0.11200847402241412,0.0,-0.08031801739782535,0.0016268423802477117,-0.041911995536188594,-0.021036910636325453,-0.047739340799966584,0.003432558359838153,-0.04210989362786321,-0.02377414978527101,0.0,-0.305649996474428,0.0,-0.1265840637852969,-0.05519194578590516,-0.15991261249632122,-0.040384239975286194,-0.08814563093730515,-0.033005935591902485,0.0,0.5167189631332054,0.017207495879606047,0.20002238259262056,0.06890517744711815,0.24172635617757166,0.0,0.0,0.0,0.1606007001124611,-0.015366003270490695,-0.004258226436490743,-0.40941707847443487,-0.17209947314812102,0.4096435924193084,1.014237469737567
6,9313.013253257968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.041382201697181,-0.0371211507578043,-0.4828951350376229,-0.17364341397579874,-0.5266921337825844,-0.12975649666926387,-0.3201420081539492,-0.11946235471724252,0.0,-0.09441180347924778,0.0018324182281259725,-0.04882064466519072,-0.02476428095973791,-0.054817431430388044,0.0037599528921067353,-0.049067953152598154,-0.027748632587801202,0.0,-0.3337746623941229,0.0,-0.13733229997116095,-0.060771560855871556,-0.17360239252211002,-0.043718816767538984,-0.09608616049171644,-0.03630240488663149,0.0,0.5538510544599204,0.01747688970500585,0.21082552085713302,0.07276792225508458,0.2525458124721569,0.0,0.0,0.0,0.16746525405718019,-0.015046868133942992,-0.0042001936960365345,-0.4023636052421136,-0.1309880614745641,0.4524234350369595,1.2533868895851368
7,8421.232209650814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3512644257371131,-0.035980108342335546,-0.6205581326260871,-0.23180430695149362,-0.6596106722554425,-0.16669078868003734,-0.4103162120248194,-0.1529477214538223,0.0,-0.17895796032291517,0.0024636018587076607,-0.08389881466633595,-0.05204759414927877,-0.08467307504195021,0.005531268203172497,-0.08611792349637143,-0.0507116870524065,0.0,-0.26866715194939095,0.0,-0.10755186489990778,-0.05554308883432613,-0.14061991515261307,-0.026361738766335924,-0.08023960334259013,-0.03529378790774374,0.0,0.4753262237030893,0.007007374504002446,0.1448354460847316,0.05516145074994872,0.1452465733612544,0.0,0.0,0.0,0.09491423233910258,-0.013204061415109287,-0.0038540118876213437,-0.42133443862390363,-0.06016981372305877,2.9213557885210406E-5,1.6589662237183576
8,8288.184563841984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3557797973411416,-0.02926815080188217,-0.6188569602076486,-0.23617784431816774,-0.6459014765434816,-0.16546494513827945,-0.4085895995283596,-0.15306119975019367,0.0,-0.2178888893404708,0.00209340726492152,-0.10022513611860064,-0.0625614416230589,-0.10089645899031985,0.004379536137720439,-0.1020304101951795,-0.0593032759750008,0.0,-0.2828747678118915,0.0,-0.11041728967107892,-0.06024729713912457,-0.1456180846378212,-0.02637626102491081,-0.0839226495802663,-0.03833662984557381,0.0,0.546806685996443,0.008211014171414536,0.16073628028414771,0.06582586206044652,0.15795107715090423,0.0,0.0,0.0,0.10674231998878808,-0.01295081977676074,-0.003780692579473531,-0.42319415468248095,-0.06032266770893958,-0.0962510154709279,1.7001541812871028
9,8018.097766504588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5957477320829052,0.18938495561876337,-0.6157248747533167,-0.3829597534330559,-0.29951144685513015,-0.1416624443266904,-0.3856082952217015,-0.16272261453425568,0.0,-1.0697339402845563,0.01533308886166404,-0.4070705718915573,-0.35065991732897794,-0.32162271879747767,0.024291138025377162,-0.47186265346002415,-0.3076634429936996,0.0,-0.6344555519423181,0.0,-0.1518737179457754,-0.20196015817490487,-0.20238784076348493,-0.015029750635394048,-0.15906938580313046,-0.12741187671193197,0.0,0.9822518031435923,-0.03883919372212571,-0.19716765765781658,0.08064468098824874,-0.5332765651686193,0.0,0.0,0.0,-0.3086339079449456,-0.01192798466376151,-0.0031563975274299123,-0.38489306135081597,-0.05519469606938791,-0.07114557028455074,1.6960303027757233
