Iteration,LL,asc_carD,b_carD_age_gr_under25,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under25,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under25,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under25,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under25,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_stressLink,g_walk_speed
0,14790.786546584945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0
1,14365.682108046441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.010805252338111E-7,-1.7280688185554423E-8,-2.2967443730807286E-7,-8.453559027143402E-8,-2.5433085449046315E-7,-6.497207132286867E-8,-1.51689136809589E-7,-5.579933886141287E-8,0.0,-4.0878111268091295E-7,-2.1025961817833743E-8,-1.8513637271141558E-7,-7.10867317088528E-8,-2.1464267794919573E-7,-4.766824004474156E-8,-1.3231779732770904E-7,-5.433990964184297E-8,0.0,-1.6949788134340539E-7,0.0,-7.017996804038837E-8,-3.109074339393003E-8,-8.962174730331812E-8,-2.1718057005022586E-8,-4.916097146818943E-8,-1.93513561088104E-8,0.0,5.579169711067945E-7,2.4929439191320836E-8,2.2290137052776533E-7,8.670614670775661E-8,2.69963222241265E-7,0.0,0.0,0.0,1.9368490475234178E-7,1.2468735961343547E-4,-8.871700404446259E-4,-0.1000005459782657,-0.09999547255320672,4.380710503864241E-8,-2.3897788908159416E-7
2,13927.456895038606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8033483018124298E-5,-1.1593655782845575E-6,-1.2785028037830633E-5,-4.653124380102676E-6,-1.4362957374932199E-5,-3.6605123253507657E-6,-8.55467318497836E-6,-3.1346112818088785E-6,0.0,-5.393657938320274E-6,-1.217350767846163E-7,-2.52349555280228E-6,-1.1427451796364404E-6,-2.7892050583791407E-6,-4.0695989588980523E-7,-1.8981934198957016E-6,-9.689174201227366E-7,0.0,-8.374877933430449E-6,0.0,-3.4786203044664043E-6,-1.5274430417238171E-6,-4.410316532929302E-6,-1.088141935349261E-6,-2.42811547066212E-6,-9.513660056942808E-7,0.0,2.4467105936181297E-5,1.089897344419232E-6,9.774399010454116E-6,3.796461686700116E-6,1.1835719162894481E-5,0.0,0.0,0.0,8.488015956592278E-6,-0.0020600434335515967,-0.0013233465852061318,-0.10003158681041124,-0.09980206934452697,2.560570251142302E-6,-1.0433105034331869E-5
3,13542.518627366895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018203256732261261,-7.04747532670262E-5,-8.334292341188213E-4,-3.0415200690184116E-4,-9.2885685599487E-4,-2.3511709585176648E-4,-5.552402724078238E-4,-2.0480610684363217E-4,0.0,-2.660448667126565E-4,-2.59311249159473E-6,-1.281365560482068E-4,-6.0053802447935434E-5,-1.4099957840171825E-4,-1.246795385539968E-5,-1.0299136441669498E-4,-5.551868897007436E-5,0.0,-9.998845656262253E-4,0.0,-4.2730713142961435E-4,-1.7324679047231578E-4,-5.267254117534212E-4,-1.345019510899562E-4,-2.950833066532526E-4,-1.1144711948633531E-4,0.0,0.001675752430082655,7.39847120386731E-5,6.693316568328023E-4,2.5881847481278454E-4,8.099445409979605E-4,0.0,0.0,0.0,5.796986739182334E-4,-0.0023374794668477635,-0.0013798110822252324,-0.10872993701141642,-0.08676570503717979,7.356908603976297E-4,-6.902788237736789E-4
4,11638.201311074865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7368874761414856,-0.027976785448649566,-0.3418487530675892,-0.12217447472658327,-0.37613530023925706,-0.09256756760634009,-0.2268521168375495,-0.08446076616557417,0.0,-0.06077236143181036,0.0012146428130262181,-0.031759760053616005,-0.015831695784888876,-0.03606324808372512,0.0024884424830675642,-0.03164808365480107,-0.017918004549497744,0.0,-0.23363000936131764,0.0,-0.09697847366135769,-0.042090967626812234,-0.1223472123483062,-0.03089702151016888,-0.06747401628256149,-0.02524060966988158,0.0,0.3877373783976396,0.01291775631960217,0.1502460611782522,0.05167660745501947,0.18163620318650645,0.0,0.0,0.0,0.12060470600324737,-0.015059130326872953,-0.0041448812934436075,-0.40241015887993464,-0.1918496811133405,0.3133298078150312,0.764116416770049
5,10310.144793239744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.8988585528992508,-0.03404636359849801,-0.4166563411321794,-0.1491475566659516,-0.4580572467701632,-0.1128679612350095,-0.2764824387716974,-0.10306111244691189,0.0,-0.07381524299817478,0.0015009708188028752,-0.038528082542438405,-0.01933557058168225,-0.043891416624746646,0.0031695473342324447,-0.03873287584814422,-0.021858436367549045,0.0,-0.28095707082283056,0.0,-0.11634261080995283,-0.050743120997185684,-0.14698838525649122,-0.03712110392753166,-0.08101634916528308,-0.030335154331012876,0.0,0.4752727014108575,0.015817946227297583,0.1839770339885958,0.06335988490532582,0.22232315605712852,0.0,0.0,0.0,0.14769411560365314,-0.013906894440612983,-0.00394243412509979,-0.3755955423657109,-0.1593452401249616,0.3773811770470006,0.9329334774307917
6,9142.452066585696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9953790825096898,-0.036154434513567396,-0.4611585399904005,-0.1658076666647257,-0.5039576329814672,-0.12426483344147181,-0.30583261338515805,-0.11421873091640791,0.0,-0.08754783880278649,0.0017316364503338036,-0.045511883987024264,-0.02289278947349562,-0.05134589889137683,0.003560488137262708,-0.045768142192184176,-0.025810057678128266,0.0,-0.31705803687629003,0.0,-0.13064474846716176,-0.057594500196447844,-0.1651452625042812,-0.04165105564743893,-0.09129187813154874,-0.03437199522338412,0.0,0.5287023669756988,0.01687326833189284,0.20232706993245317,0.069572410175794,0.24296041448236874,0.0,0.0,0.0,0.16103090248140783,-0.013281744952017007,-0.003830169614484217,-0.36132947587121844,-0.1171214926373558,0.4282140945831179,1.1687050821682694
7,8196.499207564659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2186636082094409,-0.0367081165747135,-0.5608043694222921,-0.20672191475952495,-0.6015406571656636,-0.1516548233972915,-0.3703360824758668,-0.13847827888989594,0.0,-0.1401876969920796,0.0019234906786242934,-0.06725135122829372,-0.039643871322282385,-0.07034921831206431,0.004129612402534697,-0.06888878901028574,-0.04017170821777715,0.0,-0.2986783503762299,0.0,-0.12077593894060297,-0.05763225626813838,-0.15478128823264653,-0.03470838879980741,-0.08723853491373304,-0.035525969901293836,0.0,0.5187663321026078,0.011095665568441816,0.1765099084682884,0.06220739430839961,0.191483897607574,0.0,0.0,0.0,0.12602872864717962,-0.011829572221651407,-0.003560133163700105,-0.3690410198174095,-0.07429036849774887,0.10083991527719455,1.428704356180061
8,7953.345089215781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.211004417928959,-0.019456232322599614,-0.5485734826727848,-0.21380523140204322,-0.5594081738533911,-0.14612869565303366,-0.35979651840398463,-0.13689525514341994,0.0,-0.22424430768166326,0.0010820872122429821,-0.10203199160010548,-0.06272083426150432,-0.10550932860218216,0.0019219274829519449,-0.10420525021717209,-0.0600023891850402,0.0,-0.3794842175647654,0.0,-0.1473616924846523,-0.0765209775265109,-0.1902436251789152,-0.04252854102002393,-0.10855212118967453,-0.046894191888106604,0.0,0.688259178947841,0.013358106774812048,0.2157457472543466,0.0832158031083769,0.2244337444152269,0.0,0.0,0.0,0.15172983761713676,-0.011381550561749856,-0.0034178207731453253,-0.36696560085229507,-0.07903257432979754,-0.0769058306616989,1.4935464243075718
9,7661.983095773959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.430385916773352,0.19570538832902035,-0.5569882096336511,-0.3407773386516554,-0.2586704730178368,-0.11850309788517309,-0.3314491788843698,-0.14972916862278263,0.0,-0.819639487976361,0.019733748874654376,-0.28619173511610396,-0.2965296720964361,-0.20403336664550728,0.040662511192469324,-0.38502881058677546,-0.2833102630491026,0.0,-1.126596969171268,0.0,-0.3440253773245932,-0.27463129924254553,-0.4143014401274888,-0.10874709258561678,-0.2823573584237788,-0.16447309099090768,0.0,0.9920845327786267,-0.053742343776022085,-0.1640544350678445,0.025904955818844173,-0.48993903545205486,0.0,0.0,0.0,-0.30945100073971127,-0.010969461653946863,-0.003064875547160574,-0.3067247509503673,-0.06781719792407609,-0.12969142826465302,1.4861417543214424
