Iteration,LL,asc_carD,b_carD_age_gr_under16,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,asc_carP,b_carP_age_gr_under16,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,asc_pt,b_pt_age_gr_under16,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,asc_bike,b_bike_age_gr_under16,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,asc_walk,b_walk_age_gr_under16,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_walk_grad,g_walk_vgvi,g_walk_speed
0,14790.786546584945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,14570.088941233476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.930080199990736E-7,0.0,-2.718101711275037E-7,-1.0004436509066992E-7,-3.009900182723869E-7,-7.689175178467532E-8,-1.7951780231899793E-7,-6.603620334281363E-8,-4.837754932319796E-7,-2.5979448938998715E-9,-2.1910121883140193E-7,-8.412819875448573E-8,-2.540207073475037E-7,-5.6413385119253376E-8,-1.5659262544145043E-7,-6.430902938924178E-8,-2.0059371288195587E-7,-8.634669341339355E-10,-8.305508155961513E-8,-3.6794605361544906E-8,-1.0606362099664346E-7,-2.5702419739354157E-8,-5.8179970849952384E-8,-2.2901527384302154E-8,6.602715964775156E-7,-2.733501349832848E-10,2.637945274964975E-7,1.0261312861226018E-7,3.194902771748354E-7,9.808312085705526E-8,1.634336546689168E-7,6.578439729449086E-8,1.4756231886835778E-4,-0.0010499289487275135,-0.10000064614263376,-0.09999464195448969,6.824427898970863E-10,4.7316577648129594E-8,5.184389197471823E-8,-5.311392095082949E-9,-3.904241043241408E-7,-2.8282042045379396E-7
2,14040.004311398836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.022518958820352E-5,0.0,-1.833855000805874E-5,-6.678025630132861E-6,-2.0612655559648746E-5,-5.254860092731409E-6,-1.2272030396474858E-5,-4.496979440054699E-6,-7.129271214041402E-6,-6.078733313038383E-8,-3.360854904689174E-6,-1.5321418030347961E-6,-3.684420461178395E-6,-5.004626199258149E-7,-2.5461361692235526E-6,-1.3218206746016458E-6,-1.2040956618295349E-5,-5.676788980950122E-8,-5.000874325862072E-6,-2.1957833698432225E-6,-6.338460914172836E-6,-1.5658706668895597E-6,-3.4896898539613283E-6,-1.3670593065782014E-6,3.487574437101965E-5,-1.6667583542223433E-8,1.3932419304774144E-5,5.410780743941434E-6,1.6870126114437757E-5,5.182554224532513E-6,8.624384086929078E-6,3.473838492074436E-6,-0.0029444092327235425,-0.0016649622250539573,-0.10004544409315189,-0.09971789258037181,4.7477471432703264E-8,3.3005600709052703E-6,3.684010941604894E-6,-2.798366506073849E-7,-2.0556563175543985E-5,-1.486871980165294E-5
3,13726.395431970179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001420249415261019,0.0,-6.495373669357623E-4,-2.373560695372135E-4,-7.247650148828396E-4,-1.8370117556162427E-4,-4.330185371041081E-4,-1.5958027372630005E-4,-2.0510443210731342E-4,-1.8571722330652924E-6,-9.91859043324957E-5,-4.667196135753463E-5,-1.0786636975255194E-4,-9.539981193846012E-6,-7.91912713313988E-5,-4.3212766079534436E-5,-7.679011210271756E-4,-3.74359830837247E-6,-3.2862427305865453E-4,-1.327583281433471E-4,-4.052812442056295E-4,-1.029213090087512E-4,-2.2702677588278447E-4,-8.565375580927128E-5,0.0013064834744729336,-7.910619249748921E-7,5.218275436529843E-4,2.0191932374537968E-4,6.315202225031314E-4,1.9395058049057344E-4,3.220669799222715E-4,1.300456270061134E-4,-0.003215493695421057,-0.0017197925978486624,-0.10720914572917885,-0.08965815763404833,7.326538258829045E-6,5.087600503473677E-4,6.096468633706694E-4,-1.0233653014163893E-5,-7.513951277646354E-4,-5.401560909986244E-4
4,10893.974899411885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4904697307228197,0.0,-0.22766002807555838,-0.08138126169018398,-0.2505023412677993,-0.06143902395439371,-0.1510194159408142,-0.0563689425300539,-0.04088711855346648,-4.2241902915500355E-4,-0.02095418493091528,-0.010843577057949047,-0.023892254594684997,0.0015062045867850972,-0.02112606169586838,-0.012096604672888603,-0.17621644494075692,-7.123798209890174E-4,-0.07380177875290134,-0.03132970038421853,-0.09245295890185064,-0.023538570184818433,-0.05112861834495648,-0.018787043267120048,0.27074245048918133,-0.0012942977179389889,0.1051029231458861,0.036760946147773865,0.12723229999532346,0.039765919863009244,0.05969050733330914,0.02547768651705674,-0.01684675024967631,-0.0046034238308750594,-0.3746579289840103,-0.10294416569897248,0.0035677116805180186,0.25354288301213856,0.29473464937938165,0.007686040624989513,0.5642025590774464,0.43897278535592094
5,10568.079144454661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5191732923391834,0.0,-0.24092288694365147,-0.08616216452788877,-0.26504117183545284,-0.06503018395318136,-0.15981522813588409,-0.05967572277376199,-0.04312890541624152,-4.444561788065856E-4,-0.022094986919063024,-0.01146583898462462,-0.02521973176800432,0.0016277009609217323,-0.0223536501528945,-0.012787277332137477,-0.18553104692980668,-7.49416792957003E-4,-0.0776535043247762,-0.03300995960263883,-0.09731674247867406,-0.024774318960709793,-0.05380950463579442,-0.019778039076318064,0.28671276600803586,-0.0013729187540434834,0.11126658803746907,0.03893231289276898,0.1346733034622583,0.042106572616229083,0.06318546173488673,0.02698684254037778,-0.01672879179180714,-0.004585236591017714,-0.3711704981312227,-0.09156479665136265,0.003756268729636987,0.26702142896535525,0.31020991205268494,0.008131018491078924,0.5968445525625552,0.4643733382910084
6,8880.221767926163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.290936338217678,0.0,-1.0234721293594249,-0.39169441542985745,-1.1074040158795078,-0.2881762623419871,-0.6830568296475125,-0.261999375630225,-0.28859286164969117,-0.0024254694867470498,-0.1356831679893194,-0.07643427423343531,-0.15384358357140313,0.0010509188903314328,-0.1352432769376425,-0.07063590615823939,-0.6296346017031902,-0.0028029139340856753,-0.25004632028931956,-0.12027611981466547,-0.32501398985885616,-0.07622725857781862,-0.17992373439353826,-0.07364364117742497,1.627798047344454,-0.0065995071641408495,0.6002395623027836,0.23967120722556873,0.7190499689773682,0.23389491102349408,0.3521379135341438,0.16195215350385983,-0.003910549587142037,-0.0022956588295042356,-0.16758281914904305,-0.1788475650969671,7.422950258053717E-4,0.06603740635335256,0.037451772368268466,0.006689259181727324,0.45034746808267795,0.438872743141166
7,8406.986795392808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1028875526680113,0.0,-0.9241021105384984,-0.3887738426978361,-0.8837180485689267,-0.24180993884240176,-0.6019470135742754,-0.2448026884143285,-0.40796790004658556,-0.006515089017507249,-0.18880081765010304,-0.12457793678209114,-0.1982399204954074,0.022786028561162044,-0.2135326231596043,-0.12537861522616012,-0.93648502278596,-0.008676736602230804,-0.33936063884334844,-0.18825893589854387,-0.44244304639568044,-0.10720653957548495,-0.25968735633715956,-0.1157399591325637,2.217554362155492,-0.015205012466232619,0.7111758350094668,0.32076729781680824,0.805440093430466,0.31687640551579277,0.4060202834474015,0.22825352904627008,-0.0035067767693117485,-0.002084478443901335,-0.12801783919169543,-0.19297259121348054,7.539343874189182E-4,0.08245930885529916,0.030422362023948338,0.006996141481600098,0.4518956120777488,0.517333287084145
8,8137.858006433772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.7404297697270357,0.0,-0.9102476129405127,-0.7637640405238864,0.13368131916970927,-0.1175072089986948,-0.48483871910869236,-0.3552738003810277,-0.5372767676598387,-0.04505485500774079,-0.3012846215345353,-0.4184266719793893,-0.09921563168643005,0.3836624692594582,-0.695800831770854,-0.5778584319576372,-1.5804072821250752,-0.05768280093973154,-0.3145635925923979,-0.384611200947208,-0.4742113326593146,-0.038316544666244526,-0.42045310153087656,-0.2827710815539895,3.1473450002685066,-0.11294922121181505,-0.10898128418823061,0.1755167573048287,-0.817264870879219,0.39583909161603476,-0.32569319772866645,0.37939368385305383,-0.004192037418247433,-0.0021399897295630702,-0.1654590636871078,-0.15731915960688572,-0.004921559931542259,-0.21832494017172127,-0.41669642035303134,0.005907849553856835,0.4768764794277478,0.9322774668647977
9,8136.412312423042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0390765638395365,0.0,-0.9133109524473806,-0.9281360232515139,0.5504019442806807,-0.06389276882285463,-0.4408113627493744,-0.40230593323980735,-0.6301300057530226,-0.06333991930823413,-0.37526437162114773,-0.5512696199512439,-0.08879562078003582,0.5325818602643603,-0.9122797963938004,-0.7824420604784337,-1.763368262252227,-0.080714301651548,-0.26891299649908074,-0.4450627891604849,-0.4409284089793603,0.008784599628615025,-0.4606807127287315,-0.3449253518841216,3.539502309347124,-0.15712717527577771,-0.4383770786516434,0.0876049860115059,-1.4388003505665035,0.41341867818941214,-0.6216850335896074,0.43307307856810373,-0.003941061367071436,-0.0020328760878640688,-0.12903216611880808,-0.1656869662544483,-0.0038824942894879087,-0.09308035236751874,-0.22574305318525406,0.0027504272997580406,0.2879654303881527,0.959203722952266
10,8069.390070665956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5675464524411167,0.0,-0.7945578406085455,-1.2831509207091962,1.561968003071489,0.15448974755168166,-0.2384969696599862,-0.46584806732124634,-0.6406255764142257,-0.12776298657279503,-0.5736082479168991,-0.8295262125783629,-0.1894274720212817,0.8875225297433387,-1.382986602194494,-1.3263311034282075,-1.0571758691168012,-0.15343855151165836,0.20515486218519968,-0.3158133865878817,0.06280516087968852,0.3361702892416645,-0.2635783675244783,-0.3728746029644406,4.426830333358561,-0.2973664289980972,-0.7271645061842229,-0.517056984273404,-1.5269724109356109,0.20574984415299916,-0.961000720437265,0.37992667837218114,-0.0038341658158976993,-0.0018524142144326964,-0.2025399863615782,-0.15756978126795548,-0.0077798078993105545,-0.23851081587577785,-0.11040870669449158,2.4010832532324246E-4,0.24885893606439863,1.2938983796843073
11,7980.778569436637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0262990644383745,0.0,-0.6050251796408816,-1.5473008273253401,2.2251888977742107,0.3936644062148612,-0.032753742981185635,-0.4751569493592419,-0.32460325237070853,-0.20494297894011693,-0.655450116695559,-1.0601292598540246,-0.15120182486562855,1.1594855595821791,-1.70848215917426,-1.8682047941710032,-1.0296721490021858,-0.23518667217530392,-0.05980164868917992,-0.19316889743568127,-0.24311429420194025,0.5066052386610381,-0.37461403991751335,-0.40438177534452324,4.546119257041407,-0.4555721059655716,-0.9169843653518784,-1.2778515446890497,-1.1982188716808426,-0.17879436481000413,-1.1207462824387466,0.13237700841266795,-0.004138054679860102,-0.001955852504358158,-0.19161161287316536,-0.15754481105677443,-0.012476950218488953,-0.36435417906627177,0.011879175197526043,-0.002854432038165789,0.11313508427141394,1.4477486331695995
12,7911.088343281239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.53958709292362,0.0,0.1621366097233118,-1.5238145569021488,2.0471432101958236,1.2151667660643592,0.4839885120255727,0.009420484989793587,-0.4822775080052451,-0.5669260769218645,-1.4577939277796408,-1.9732344508588504,-0.7505976746449246,-0.005639635508958962,-2.1793898982426154,-3.8059354742301457,-1.062403532957826,-0.5649506988264493,-0.3660904863224052,-0.820381599818613,-0.10145540894508823,0.44847575183848093,-0.5795016039376484,-0.575392064140756,4.466788696864241,-1.1324414617721912,-1.7127474276289263,-1.6287512199056615,-0.8671983708760114,-0.5331594379883581,-0.8687350914543278,-0.9080113543768212,-0.003644494065595403,-0.001323515465530131,-0.19084369146003488,-0.13012628907844812,-0.04124084855558913,-0.9493582593436111,0.3094719551650599,7.559267748065927E-4,-0.06876354424011585,1.8748536789078598
13,7735.430952126487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.565920721462108,0.0,0.22116611293488025,-1.1757683368136604,1.5946588037842309,1.6278710672712666,0.975715466549409,0.6437241051958429,0.1775580046140544,-0.966153704574457,-1.676484657207969,-2.7767116925165185,-0.4470513320843467,-0.5788262029998216,-2.4924520163306974,-5.885676938274395,-0.9642886365897605,-0.9390466301511908,-0.5966153771603038,-1.2207446486105162,0.08478822878355383,0.13655236048671948,-0.4092346253751449,-0.7645453600677155,4.522123064073262,-1.8950303688145143,-1.2039685405513176,-1.6807165589884634,-1.0681515281271237,-0.6786534127439282,-0.938677575253159,-1.3687937539686237,-0.003798959058864928,-0.00138705349267933,-0.1946128964033264,-0.12265394620837358,-0.07804611807620404,-1.3270781752774214,0.5971717169981982,0.008121759711901667,-0.3309433230601503,2.299682182062723
