Iteration,LL,asc_carD,b_carD_age_gr_under25,b_carD_age_gr_40_54,b_carD_age_gr_55up,b_carD_female,b_carD_hhcars_0,b_carD_hhcars_2,b_carD_hhcars_3,b_carD_hhcars_23,asc_carP,b_carP_age_gr_under25,b_carP_age_gr_40_54,b_carP_age_gr_55up,b_carP_female,b_carP_hhcars_0,b_carP_hhcars_2,b_carP_hhcars_3,b_carP_hhcars_23,asc_pt,b_pt_age_gr_under25,b_pt_age_gr_40_54,b_pt_age_gr_55up,b_pt_female,b_pt_hhcars_0,b_pt_hhcars_2,b_pt_hhcars_3,b_pt_hhcars_23,asc_bike,b_bike_age_gr_under25,b_bike_age_gr_40_54,b_bike_age_gr_55up,b_bike_female,b_bike_hhcars_0,b_bike_hhcars_2,b_bike_hhcars_3,b_bike_hhcars_23,asc_walk,b_walk_age_gr_under25,b_walk_age_gr_40_54,b_walk_age_gr_55up,b_walk_female,b_walk_hhcars_0,b_walk_hhcars_2,b_walk_hhcars_3,b_walk_hhcars_23,b_car_time,b_pt_time,b_bike_cost,b_walk_cost,g_bike_grad,g_bike_vgvi,g_bike_stressLink,g_walk_grad,g_walk_vgvi,g_walk_speed
0,14790.786546584945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
1,14497.20060486864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.617213994276889E-7,-1.9372000829874144E-8,-2.574696876859431E-7,-9.476610580017707E-8,-2.851100298407346E-7,-7.283500553163141E-8,-1.700465891523158E-7,-6.255218699179591E-8,0.0,-4.5825189188421525E-7,-2.3570528292065776E-8,-2.0754161682076352E-7,-7.968966344801594E-8,-2.40618781538695E-7,-5.343706082708573E-8,-1.4833092595133007E-7,-6.091613733051655E-8,0.0,-1.9001055182461832E-7,0.0,-7.867316304309127E-8,-3.485335192449647E-8,-1.0046779066275639E-7,-2.4346380989401164E-8,-5.51104429322026E-8,-2.169326143575907E-8,0.0,6.254362043472595E-7,2.794640534664969E-8,2.4987694289013155E-7,9.719934344871467E-8,3.0263423013818453E-7,0.0,0.0,0.0,2.171246940693572E-7,1.3977705100456865E-4,-9.945355517785113E-4,-0.10000061205267421,-0.09999492464061067,6.464376636439529E-10,4.482019351555782E-8,4.9108650422404314E-8,-5.031167370322951E-9,-3.698256462899118E-7,-2.678990452174335E-7
2,13993.495080464663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.561516360742908E-5,-1.476679430380235E-6,-1.6238804868863865E-5,-5.9122899318454915E-6,-1.8249498949909988E-5,-4.651927253961681E-6,-1.0866521110685886E-5,-3.981849774485923E-6,0.0,-6.487111426010408E-6,-1.323229936102577E-7,-3.0501062947775695E-6,-1.3874619085726349E-6,-3.3530439868545373E-6,-4.67066393794661E-7,-2.305087597663044E-6,-1.1899507385500575E-6,0.0,-1.0653924782287443E-5,0.0,-4.424977383692819E-6,-1.942922812865271E-6,-5.609033523667994E-6,-1.3850911986399727E-6,-3.088108306118264E-6,-1.2098086902510544E-6,0.0,3.09454535170013E-5,1.3781654698066979E-6,1.2362361434533362E-5,4.8012354602870325E-6,1.4969164798532827E-5,0.0,0.0,0.0,1.073503127655355E-5,-0.0026101598815213294,-0.0015421944373796071,-0.10004020709461975,-0.09974967824799175,4.200370942962108E-8,2.9202171804976535E-6,3.2594654394595056E-6,-2.4830361992291325E-7,-1.8240461761883967E-5,-1.3193836378329986E-5
3,13544.383069820813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020643865496088472,-8.007687924871356E-5,-9.445278816144333E-4,-3.4500214947686867E-4,-0.0010534037321844845,-2.668297531365276E-4,-6.295171175973878E-4,-2.3207047372616197E-4,0.0,-2.98356981670936E-4,-2.4527565100871292E-6,-1.4420750736222413E-4,-6.778602576738607E-5,-1.5736056369462066E-4,-1.37812912511135E-5,-1.154588148659197E-4,-6.282929800986058E-5,0.0,-0.0011302928575199097,0.0,-4.8357573649763174E-4,-1.954836601333712E-4,-5.961443524877443E-4,-1.5174143402484606E-4,-3.3399581850143115E-4,-1.2601442116204697E-4,0.0,0.0019011252332679102,8.39831341691855E-5,7.593385012810372E-4,2.9373429788053407E-4,9.189148898340262E-4,0.0,0.0,0.0,6.577810078672164E-4,-0.002979866045661212,-0.0016171233843239007,-0.1103559585615516,-0.08496957761179666,1.052801070012512E-5,7.311715753338855E-4,8.746669133068231E-4,-1.487005470547785E-5,-0.0010917401301341948,-7.84536177642611E-4
4,13286.573320731231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6021703416587879,-0.022817690037425516,-0.2792513163396501,-0.09990443021063919,-0.3075368715778114,-0.07562698369670408,-0.18531596577483775,-0.06900743736954855,0.0,-0.05272566343854165,9.313689195152923E-4,-0.026998713320924215,-0.013688270279187686,-0.030589780096673593,0.0014939457158009053,-0.026510389712264635,-0.015065061335691889,0.0,-0.20902493268173988,0.0,-0.08732726142813135,-0.03730526750071023,-0.10966406983045375,-0.02778064444143,-0.06059928137513024,-0.022485724403889806,0.0,0.33317909443139254,0.011463089379342631,0.1291775264937662,0.045332267990939236,0.156522846193418,0.0,0.0,0.0,0.10463576607648824,-0.022868919903123668,-0.00580664274504529,-0.5282692018421795,-0.16013013216465388,0.003686975072761307,0.26240555175678454,0.3028675471537469,0.009171299101063842,0.6730775371710842,0.5244480198454894
5,11125.599279538505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.853065865299494,-0.03230131827474794,-0.3951522797342319,-0.14166355502607386,-0.43472196219461057,-0.10711243855354757,-0.2621974795212703,-0.09780886713107219,0.0,-0.0727130077000883,0.0013948614494995449,-0.0372097734116976,-0.019160371327784274,-0.042428695438119245,0.002487498004680464,-0.037307504059400795,-0.021121407984055533,0.0,-0.2861093430313037,0.0,-0.11909367441467941,-0.051271699487578835,-0.14993875002499008,-0.037950897212517536,-0.08275286563494615,-0.03074005767598318,0.0,0.47179577873392886,0.016174820474593364,0.18264460530252302,0.0641604347987844,0.22115611212565484,0.0,0.0,0.0,0.14787437867339392,-0.02260621019999711,-0.005804607193050476,-0.5175957453419762,-0.07891406200415041,0.00506293368602689,0.3610916349430718,0.41489058057051575,0.013036750603360868,0.9566301277872757,0.7451614533773037
6,8312.544486354469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.9281527055552425,-0.10650923037566438,-1.3255249727457363,-0.49533772796000647,-1.4446299094966186,-0.3717582377381586,-0.8819929117939551,-0.3324963011845915,0.0,-0.314629843381973,0.002447168347734721,-0.1489262596957902,-0.08583535116598331,-0.17186334481691293,0.00517666359031255,-0.15374682553563251,-0.08212045851197584,0.0,-0.8142717821453456,0.0,-0.3289934626077318,-0.1524130880339361,-0.42412246185454255,-0.10270281869167891,-0.23373068956685933,-0.09210185137851182,0.0,2.016129236435879,0.07592625819987228,0.7589402607345755,0.2956559557240819,0.9088390011644389,0.0,0.0,0.0,0.6365440431720653,-0.008427169117420561,-0.003313984553980692,-0.26261275275136453,-0.1565300212696475,0.00392304123106844,0.29468319466814596,0.2917333007658682,0.012077625819267614,0.8321442914093836,0.7304402190406231
7,8015.48549833152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.783115840601,-0.03770152205852029,-1.2770612597664537,-0.49409963376926047,-1.288724986488284,-0.3349477963420152,-0.830375030520733,-0.31609905396439825,0.0,-0.3906138534503343,0.010509225351974563,-0.17886684415155257,-0.12470330012118991,-0.19350924383957346,0.027381309124833747,-0.21584995613066071,-0.13001076870255618,0.0,-1.0289144876886445,0.0,-0.3953100213680151,-0.20114807326252226,-0.5151347021107958,-0.12416986635142205,-0.29306252454984927,-0.12132897433621997,0.0,2.413845222390575,0.07204053855985112,0.8067545333709278,0.3406289313537091,0.9007599402202651,0.0,0.0,0.0,0.6540870572002254,-0.008386888492879324,-0.0032196011865720056,-0.25769782202495733,-0.15724260686495078,0.002346345230027683,0.19458492527026844,0.15289448713956888,0.013409232075091104,0.8991826934489701,0.8291833838931527
8,7852.998887300985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8459496454843354,0.04204163709969892,-1.311766447445501,-0.5361211624310908,-1.1945439749449416,-0.3198010520512815,-0.8318527350136456,-0.32309784143994347,0.0,-0.4164397699913984,0.028176458162879767,-0.19129842597775823,-0.1626922937939144,-0.19128976206505396,0.06578936059668797,-0.276715326994245,-0.19010592253314923,0.0,-1.1708401238143729,0.0,-0.4299322421282839,-0.2386222212589618,-0.5726451892733925,-0.12844904834553902,-0.33714066188719943,-0.1487644693513932,0.0,2.518027237488792,0.040626915121424044,0.7207829850251484,0.3084735911243732,0.723222300345049,0.0,0.0,0.0,0.5406414837715238,-0.008476122009774479,-0.003226311850171161,-0.28403465714468384,-0.14597264716635122,-7.838532432943787E-4,-0.006106704875411317,-0.10117436994163603,0.014883171839791398,0.9814939773499057,0.9259662704061713
9,7629.234764794243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.4502937258785336,1.1040045577664361,-1.65732071624736,-1.0153421054770169,-0.08955194008397505,-0.10828658487971607,-0.8242642224997945,-0.38548112255751904,0.0,-0.9591335856070891,0.2754358876911034,-0.5247647745687051,-0.6180921210253469,-0.5216091779093917,0.3874360752056143,-0.95261172216769,-0.9235350394130264,0.0,-1.5972319278347986,0.0,0.10942167624832261,-0.44424089420556395,0.022002419930977624,-0.03118408281900359,-0.24781226919749844,-0.3626507204781949,0.0,3.3109713909867518,-0.30421939695949957,-0.17283940646885065,-0.19286590992595487,-0.15472092442575924,0.0,0.0,0.0,-0.1936741105555304,-0.0077072476978206125,-0.002695730894181406,-0.25986404968669374,-0.14104607890008236,-0.016753960911506157,0.0031258467767025615,0.21805460782112895,0.02436846838273868,0.6831949347437969,1.1666953122447783
